Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
1995-03-01,3.5250001,3.38169381,3.38212212,3.3812655,-4.05327575,4.07757703,10.8120505,-2.91970529,1.62107479,3.89473965,15.28202518,0.3351384,-0.19734478,10.0,2.0,1,1,0.88364867,0.85122717,-0.70422133,0,1.0,1.41843833,0.03620225,0.0715097,2.54925335,-3.17259715,0.01388887,-0.00704221,0.07019709,0.02158275,-0.00735297,0.03030307,-0.02205884,3.43214287,3.3225,0,1,3.4025,0,0.54647496,57.69232039,0,0,0,0,-137.49921322,2.0,4.0,6.0,-2.26509927,5.86575352,0.0,1.0,3.0,2.0,0,0,0.0,-38.73217326
1995-03-02,3.5999999,3.40248487,3.40298459,3.40198515,-5.47264782,5.50041007,10.8120505,-2.91970529,1.53769912,5.49450302,17.71557902,0.35428124,0.41074976,10.0,3.0,1,1,0.86488222,0.83412824,0.0,1,0.0,0.0,0.03392603,0.06473488,4.43552364,-4.24714071,0.01277779,0.02127654,0.08040807,-0.00704221,0.0296296,0.0,0.00751875,3.47500001,3.33666666,0,1,3.41624999,0,0.62100262,71.99999695,1,0,0,0,262.49933243,3.0,4.0,7.0,-3.6435808,7.32947711,1.0,0.0,3.0,2.0,1,0,2.12765411,74.46789371
1995-03-03,3.5999999,3.42129582,3.42182564,3.42076601,-4.94928537,4.97871938,5.12123495,-2.91970529,1.43849286,4.99999774,17.69152671,0.36972767,-0.09,10.0,4.0,1,1,0.86406377,0.83529391,0.0,1,0.0,0.0,0.03127734,0.05972398,3.7810352,-3.64328145,0.01833335,0.0,0.08955297,0.02127654,0.02158275,-0.00735297,0.0,3.50357141,3.35083333,0,1,3.42249999,0,0.61825156,69.56521559,0,0,0,0,0.0,3.0,4.0,6.0,-3.20118274,6.72682203,0.0,0.0,3.0,2.0,0,0,0.0,0.0
1995-03-06,3.54999995,3.43355336,3.43412572,3.432981,-3.26406297,3.29630852,5.12123495,-2.91970529,1.50905483,3.21910639,16.04269739,0.38006694,-0.35617843,10.0,5.0,1,1,0.87684232,0.84666122,-1.3888876,0,1.0,0.0,0.03497166,0.05648814,2.24250356,-3.55174319,0.02388891,-0.01388888,0.09335661,0.0,-0.00704221,0.0296296,0.0,3.52499996,3.36333333,0,1,3.42624999,0,0.56788345,62.49999503,0,0,0,0,-149.99985695,2.0,4.0,5.0,-1.57379477,4.98657674,0.0,1.0,3.0,2.0,0,1,-1.3888876,-41.66662803
1995-03-07,3.5,3.43988161,3.44039458,3.43936864,-1.70301205,1.73232446,5.12123495,-2.91970529,1.42857153,1.39679345,14.39894604,0.39231694,-0.5660928,11.0,6.0,1,1,0.88841964,0.85984821,-2.7777752,0,2.0,0.0,0.03926161,0.05692062,0.1913566,-2.96346103,0.03944445,-0.01408449,0.0946861,-0.01388888,0.02127654,0.02158275,-0.01492536,3.5428571,3.37416666,0,1,3.42874999,0,0.51665615,65.21739852,0,0,0,0,-549.99947548,1.0,4.0,5.0,0.09551762,3.53085412,0.0,2.0,3.0,2.0,0,1,-1.40844938,-154.92943179
1995-03-08,3.4749999,3.44322621,3.44370068,3.44275175,-0.90069725,0.92800462,5.12123495,-3.51162542,1.38746189,0.41279483,13.58644838,0.40137051,-0.70446967,11.0,7.0,1,1,0.89426133,0.86651209,-3.47222231,0,3.0,1.43885445,0.04346657,0.05748953,-0.91440466,-2.5814223,0.02166664,-0.00714288,0.09497228,-0.01408449,0.0,-0.00704221,0.03030307,3.5428571,3.38499999,0,1,3.43249998,0,0.49127304,60.86956882,0,0,0,0,-87.50033379,1.0,3.0,4.0,0.99489032,2.82359219,0.0,3.0,3.0,3.0,0,0,0.0,-25.00009537
1995-03-09,3.45000005,3.44387134,3.44433757,3.4434051,-0.16412966,0.19115785,5.12123495,-4.23104578,1.44927544,-0.5149311,12.77389208,0.40863838,-2.24742622,11.0,8.0,0,1,0.90122281,0.8722373,-4.1666628,0,4.0,0.0,0.04613629,0.05733083,-1.50617652,-2.70117069,0.02333331,-0.0071942,0.09503287,-0.00714288,-0.01388888,0.02127654,0.0,3.5285714,3.39499999,0,1,3.43374999,0,0.46522155,58.33334989,0,0,0,0,-262.49849796,0.0,3.0,4.0,1.82904406,2.18433158,0.0,4.0,3.0,4.0,0,1,-2.12766087,-75.53913818
1995-03-10,3.5250001,3.45159789,3.4521153,3.45108047,-2.0676537,2.09701053,5.12123495,-4.23104578,1.67173257,1.28271202,15.18314237,0.42001339,-3.49103623,12.0,9.0,1,1,0.88489993,0.85146527,-2.08332809,0,5.0,3.54609919,0.04710954,0.055503,0.65165419,-2.71727504,0.02999999,0.02173914,0.09349746,-0.0071942,-0.01408449,0.0,-0.00735297,3.5285714,3.40749999,0,1,3.44374999,0,0.53615911,62.96298259,0,0,0,0,2775.0017643,1.0,4.0,5.0,-0.03650644,4.1281578,1.0,0.0,3.0,4.0,0,0,0.0,804.34832636
1995-03-13,3.625,3.46811237,3.46860594,3.46761881,-4.31431902,4.34155004,5.12123495,-4.23104578,1.72413793,3.46585127,18.37338649,0.44122768,1.70197146,13.0,10.0,1,1,0.86202586,0.8275431,0.0,1,0.0,0.6896578,0.04819135,0.05305958,3.04365859,-2.95375633,0.01111113,0.02836877,0.10028741,0.02173914,-0.00714288,-0.01388888,0.0296296,3.53214284,3.42416666,0,1,3.45624999,0,0.63535728,72.41380671,1,0,0,0,599.9994278,2.0,4.0,6.0,-2.33854613,6.31732293,2.0,0.0,3.0,4.0,1,0,5.83941753,170.21259902
1995-03-14,3.67499995,3.48781595,3.48831792,3.48731398,-5.07978314,5.10710135,6.39010008,-4.23104578,1.60349819,4.30815921,19.91312272,0.45849552,0.24303061,13.0,11.0,1,1,0.84997207,0.8179021,0.0,1,0.0,1.36054294,0.04914163,0.05521077,4.17322773,-4.00604629,-0.00222221,0.01379309,0.11050124,0.02836877,-0.0071942,-0.01408449,0.02158275,3.54285714,3.44249999,0,1,3.46999998,0,0.68365375,70.3703756,1,0,0,0,599.9994278,3.0,4.0,6.0,-2.9741346,7.21274989,3.0,0.0,3.0,4.0,0,0,0.0,165.51708353
1995-03-15,3.70000005,3.50802396,3.50856694,3.50748099,-5.17386781,5.2032178,7.07037479,-4.23104578,1.64092598,4.38287338,20.63045882,0.47742409,0.01734248,13.0,12.0,1,1,0.84538729,0.81256877,0.0,1,0.0,0.6756718,0.05118609,0.05860101,3.9681376,-3.81668624,0.00611109,0.00680275,0.11626734,0.01379309,0.02173914,-0.00714288,-0.00704221,3.56428572,3.45833333,0,1,3.48874998,0,0.70426675,71.42858116,1,0,0,0,725.00276566,4.0,5.0,7.0,-3.08355487,7.29353075,4.0,0.0,4.0,4.0,1,0,2.06896683,197.27966668
1995-03-16,3.6500001,3.5215455,3.52203852,3.52105248,-3.50579659,3.5328113,7.07037479,-4.23104578,1.71232779,2.40481259,18.91308874,0.49481696,-0.45131598,13.0,13.0,1,1,0.8580736,0.82382704,-1.35135005,0,1.0,0.68492757,0.04932217,0.06131016,2.35558378,-3.62162345,-0.00666665,-0.0135135,0.11677549,0.00680275,0.02836877,-0.0071942,0.02127654,3.58571431,3.46916666,0,1,3.50374999,0,0.65273252,68.96553879,0,0,0,0,-549.99947548,4.0,4.0,7.0,-1.54354155,5.49506635,0.0,1.0,4.0,4.0,0,1,-2.01341775,-148.64850497
1995-03-17,3.57500005,3.52663641,3.52708926,3.52618356,-1.340162,1.36549616,7.07037479,-4.23104578,1.69830101,0.10000134,16.3890912,0.49983482,-0.95841616,13.0,14.0,1,1,0.87617006,0.84220404,-3.37837833,0,2.0,1.39860005,0.04663949,0.0645674,-0.1011657,-3.28053141,-0.00555553,-0.02054796,0.11192103,-0.0135135,0.01379309,0.02173914,0.0,3.60000004,3.4725,0,1,3.515,0,0.57685789,57.14287174,0,0,0,0,-525.00033379,3.0,4.0,6.0,0.66438291,3.37004107,0.0,2.0,4.0,4.0,0,1,-2.72108588,-143.83570413
1995-03-20,3.4000001,3.51457581,3.51515425,3.51399736,3.38688695,-3.35286056,7.07037479,-8.30124931,1.94327615,-4.51353822,10.64669652,0.48787055,-46.13477956,12.0,15.0,0,1,0.92321031,0.88434479,-8.10810671,0,3.0,1.47058679,0.04504659,0.06521076,-4.62683378,-3.65015976,0.00500001,-0.04895103,0.10854903,-0.02054796,0.00680275,0.02836877,-0.01388888,3.59285719,3.47,0,1,3.51750001,0,0.4001495,40.62500279,0,0,0,0,-3412.49907017,2.0,4.0,5.0,5.99996288,-0.73978463,0.0,3.0,4.0,4.0,0,1,-6.20689392,-954.54518172
1995-03-21,3.5,3.51318763,3.51380455,3.51257072,0.39441563,-0.35916347,7.07037479,-8.30124931,1.98979475,-1.65579538,13.82692219,0.48408483,-0.63314914,11.0,16.0,0,1,0.89842473,0.85862884,-5.40540662,0,4.0,0.71428844,0.04127637,0.06417925,-1.58027351,-3.88655126,0.01277778,0.02941174,0.09593719,-0.04895103,-0.0135135,0.01379309,-0.01408449,3.58928575,3.47166667,0,1,3.52750001,0,0.49753799,48.57142234,0,0,0,0,2549.99756813,2.0,5.0,6.0,3.01415124,2.26057214,1.0,0.0,4.0,4.0,1,0,2.94117358,749.99926371
1995-03-22,3.4749999,3.50955071,3.51016417,3.50893724,1.01192135,-0.97661413,7.07037479,-8.30124931,1.9527232,-2.11267884,12.94040876,0.47315626,0.2759299,10.0,17.0,0,1,0.90494992,0.86589545,-6.08108487,0,5.0,1.43885445,0.03655664,0.06242173,-2.19693504,-3.97139888,0.01833336,-0.00714288,0.09207941,0.02941174,-0.02054796,0.00680275,-0.00714288,3.56785716,3.47416666,0,1,3.53125,0,0.4717751,42.42424067,0,0,0,0,-187.50071526,1.0,5.0,5.0,3.73361416,1.74507869,0.0,1.0,4.0,4.0,0,0,0.0,-53.57163293
1995-03-23,3.4749999,3.50626015,3.50691198,3.50560833,0.91833317,-0.88081797,7.07037479,-8.30124931,2.05549802,-1.8658626,12.87162584,0.46235269,-0.1168262,9.0,18.0,0,1,0.90651723,0.86540727,-6.08108487,0,6.0,1.43884759,0.03271996,0.05880831,-1.88707897,-4.27467234,0.02388888,0.0,0.0878845,-0.00714288,-0.04895103,-0.0135135,-0.0071942,3.53928573,3.47583333,0,1,3.53499999,0,0.47054839,42.42424067,0,0,0,0,0.0,1.0,5.0,5.0,3.47290112,1.67374998,0.0,0.0,4.0,4.0,0,0,0.0,0.0
1995-03-24,3.5250001,3.50804491,3.50869714,3.50739268,-0.46249515,0.49950109,7.07037479,-8.30124931,2.0263424,-0.40363038,14.39350465,0.45781698,-0.78367626,8.0,19.0,0,1,0.89443893,0.85391208,-4.72972838,0,7.0,1.41844509,0.0279115,0.05247018,-0.44574137,-4.30316801,0.00777776,0.01438854,0.07951332,0.0,0.02941174,-0.02054796,0.02173914,3.51428573,3.4825,0,1,3.5425,0,0.51997463,48.48485724,0,0,0,0,275.00104904,2.0,5.0,6.0,2.055827,3.01782324,1.0,0.0,4.0,4.0,0,0,0.0,79.1369947
1995-03-27,3.54999995,3.51204063,3.51267182,3.51140944,-1.05149666,1.08705677,7.07037479,-8.30124931,1.96177046,0.20161127,15.09275156,0.45838841,-1.49949478,8.0,20.0,1,1,0.88848215,0.84924674,-4.05405658,0,8.0,0.70422133,0.02500414,0.04524315,0.19397564,-4.23980802,-0.01444444,0.00709216,0.07791485,0.01438854,-0.00714288,-0.04895103,0.02836877,3.5,3.48833333,0,1,3.54625,0,0.54419763,53.12499721,0,0,0,0,174.99899864,3.0,5.0,7.0,1.44968277,3.5882362,2.0,0.0,4.0,4.0,0,0,0.0,49.64510465
1995-03-28,3.5,3.5108939,3.51151673,3.51027108,0.32904934,-0.29345939,7.07037479,-8.30124931,1.98979524,-1.25944632,13.38901553,0.45792413,-7.2469044,7.0,21.0,0,1,0.90181759,0.86202169,-5.40540662,0,9.0,0.0,0.02314973,0.0409578,-1.10088239,-4.35243948,-0.02722221,-0.01408449,0.07858745,0.00709216,0.0,0.02941174,0.01379309,3.48928571,3.49166666,0,1,3.54375,0,0.49165577,51.51515765,0,0,0,0,-1249.99880791,2.0,4.0,7.0,2.94861684,2.32610812,0.0,1.0,4.0,4.0,0,1,-1.40844938,-352.11234499
1995-03-29,3.54999995,3.51461829,3.51522674,3.51400984,-0.97952712,1.01380608,7.07037479,-8.30124931,2.01207198,-0.05027815,14.92508478,0.46281698,-0.96007916,7.0,22.0,0,1,0.89025277,0.85001133,-4.05405658,0,10.0,0.70422133,0.02015725,0.03615209,0.18609185,-4.23227252,-0.03666667,0.0142857,0.07847225,-0.01408449,0.01438854,-0.00714288,0.00680275,3.51071426,3.49916666,0,1,3.54499999,0,0.54023309,55.88234799,0,0,0,0,649.99938011,3.0,4.0,8.0,1.52229288,3.51562608,1.0,0.0,4.0,4.0,1,0,1.42857007,185.7141086
1995-03-30,3.5250001,3.51560703,3.51615464,3.51505943,-0.25093495,0.2820048,7.07037479,-8.30124931,1.82370738,-0.75414541,14.03269657,0.46056698,13.99946596,6.0,23.0,0,1,0.89517854,0.85870439,-4.72972838,0,11.0,0.0,0.01590246,0.03131277,-0.72238223,-4.03650514,-0.02888891,-0.00704221,0.07749151,0.0142857,0.00709216,0.0,-0.0135135,3.5142857,3.505,0,1,3.54125,0,0.5140203,50.0,0,0,0,0,-287.49835491,3.0,4.0,7.0,2.02485513,2.55779489,0.0,1.0,4.0,4.0,0,0,0.0,-80.98545318
1995-03-31,3.4749999,3.51173969,3.51228417,3.5111952,1.07292865,-1.04159123,7.07037479,-8.30124931,1.84994837,-1.8658626,12.33798077,0.44772768,1.47414167,5.0,24.0,0,1,0.90867037,0.8716714,-6.08108487,0,12.0,1.43884759,0.01364278,0.02764361,-1.78739518,-4.3718316,-0.01500001,-0.01418445,0.07754456,-0.00704221,-0.01408449,0.01438854,-0.02054796,3.5142857,3.50916666,0,1,3.535,0,0.46183301,39.99999364,0,0,0,0,-1200.00457764,2.0,4.0,6.0,3.38155457,1.26703469,0.0,2.0,4.0,4.0,0,1,-1.41844509,-340.42682133
1995-04-03,3.4749999,3.50824066,3.50872114,3.50776018,0.97039527,-0.94274177,7.07037479,-8.30124931,1.7985612,-1.46835713,12.26086218,0.43131697,-0.21304112,4.0,25.0,0,1,0.90876801,0.87279679,-6.08108487,0,13.0,0.71942722,0.01351512,0.02346096,-1.5247701,-4.6268638,0.02166664,0.0,0.07858746,-0.01418445,0.0142857,0.00709216,-0.04895103,3.5142857,3.51333333,0,1,3.53125,0,0.46092489,35.71428328,0,0,0,0,0.0,1.0,4.0,5.0,3.19785232,1.28471528,0.0,0.0,4.0,4.0,0,0,0.0,0.0
1995-04-04,3.57500005,3.5145987,3.51500033,3.51419707,-1.6783139,1.70078262,7.07037479,-8.30124931,1.8481522,1.62436684,15.37491969,0.4192634,-2.10624779,4.0,26.0,1,1,0.88522102,0.84825798,-3.37837833,0,14.0,2.0979034,0.01849074,0.02270629,2.09961274,-5.36533972,0.0011111,0.02877702,0.07880691,0.0,-0.00704221,-0.01408449,0.02941174,3.52142855,3.5225,0,1,3.535,0,0.56021772,41.93548486,0,0,0,0,650.00092983,2.0,4.0,5.0,0.6504199,4.02951641,1.0,0.0,4.0,4.0,0,0,0.0,187.05063242
1995-04-05,3.625,3.52511311,3.5254887,3.52473752,-2.74513943,2.76586159,7.07037479,-8.30124931,1.82266047,3.0980195,16.84243402,0.41360267,0.90721666,4.0,27.0,1,1,0.87408005,0.83762684,-2.02702829,0,15.0,0.6896578,0.02130245,0.02329407,3.58200788,-5.41506801,0.00833335,0.013986,0.07992596,0.02877702,-0.01418445,0.0142857,-0.00714288,3.53214284,3.53,0,1,3.54250001,0,0.60875472,48.38709082,0,0,0,0,599.9994278,2.0,5.0,6.0,-0.52738365,4.98361737,2.0,0.0,4.0,4.0,1,0,3.57142857,167.83200554
