Date,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
2009-08-06,,,,,,,,False,False,,,0.0,True,0.0,7.160589993592556,,,,,,,,,,,,0,0,,0,-0.03666655,,,,,,,,,,0.0,0.0,False,False,0.0,
2009-08-07,,,,,,,,False,False,,,0.0,True,0.0,4.44308904,,,,,0.01545117,,,,,,,0,0,,0,0.19583698,,,613575.0,,,,,,,1.0,0.0,False,False,0.0,37921.81634284
2009-08-10,,,,,,,,False,False,,,-2.79975672,False,1.0,6.38697237,,,,,-0.02799757,,0.01545117,,,,,0,0,,0,-0.25049268,,,-1113660.09235382,,,,,,,0.0,1.0,False,False,0.0,-67782.11026588
2009-08-11,,,,,,,,False,False,,,-4.62568603,False,2.0,3.19081045,,,,,-0.01878523,,-0.02799757,0.01545117,,,,0,0,,0,-0.51396621,,,-691620.43972016,,,,,,,0.0,2.0,False,False,0.0,-43307.47828152
2009-08-12,,,,,,,,False,False,,,-2.61716553,False,3.0,3.37500572,,,,,0.02105934,,-0.01878523,-0.02799757,0.01545117,,,0,0,,0,-0.17377076,,,478928.8892746,2.0,,,,,,1.0,0.0,False,False,0.0,30563.42609718
2009-08-13,,,,,,,,False,False,,,0.0,True,0.0,4.35044922,,,,,0.03437495,,0.02105934,-0.01878523,-0.02799757,,,0,0,,0,0.36777813,,,632829.12216187,3.0,,,,,,2.0,0.0,False,False,0.0,39551.82013512
2009-08-14,,,,,,,,False,False,,,0.0,True,0.0,4.51807219,,,,,0.00302122,,0.03437495,0.02105934,-0.01878523,16.20000008,,0,0,,0,0.40977512,,,31890.72990417,3.0,,,,,,3.0,0.0,False,False,0.0,1926.93240932
2009-08-17,,,,,,,,False,False,,,-2.28916301,False,1.0,1.04808929,,,,,-0.02289163,,0.00302122,0.03437495,0.02105934,16.20571423,,0,0,,0,0.02924072,,,-96672.27172852,3.0,,,,,,0.0,1.0,False,False,0.0,-5823.63069319
2009-08-18,,,,,,,,False,False,,,0.0,True,0.0,4.97949852,,,,,0.05240446,,-0.02289163,0.00302122,0.03437495,16.29714271,,0,0,,0,0.85205222,,,1229695.55187225,4.0,,,,,,1.0,0.0,False,False,0.0,75813.53908319
2009-08-19,,,,,,,,False,False,,,0.0,True,0.0,6.37228248,,,,,0.04803748,,0.05240446,-0.02289163,0.00302122,16.5714283,,0,0,,0,1.6005593,,,1698055.36804199,4.0,6.0,,,,,2.0,0.0,False,False,0.0,99476.00459283
2009-08-20,,,,,,,,False,False,,,-0.72665827,False,1.0,3.71621531,,,,,-0.00726658,,0.04803748,0.05240446,-0.02289163,16.86999975,,0,0,,0,1.40619615,,,-244671.42047882,3.0,6.0,,,,,0.0,1.0,False,False,0.0,-13676.43537318
2009-08-21,,,,,,,,False,False,,,-0.39127835,False,2.0,2.1885488,,,,,0.00337835,,-0.00726658,0.04803748,0.05240446,17.12999971,,0,0,,0,1.4360443,,,51815.53878784,3.0,6.0,,,,,1.0,0.0,False,False,0.0,2917.54156081
2009-08-24,,,,,,,,False,False,,,-2.17998548,False,3.0,3.14286368,,,,,-0.01795733,,0.00337835,-0.00726658,0.04803748,17.2657141,,0,0,,0,1.08778786,,,-326911.68823242,3.0,6.0,,,,,0.0,1.0,False,False,0.0,-18345.21289736
2009-08-25,,6.11014654,,,,1.0,,True,False,,,-0.22358306,False,4.0,1.96078641,,,8.64898546,-8.1662691,0.02000002,,-0.01795733,0.00337835,-0.00726658,17.44428553,,0,0,,0,1.42094648,,-49.3664939,185780.20248413,3.0,7.0,8.0,-1.12102284,7.39122359,,1.0,0.0,False,False,0.0,10616.01157052
2009-08-26,3.79351829,5.36301797,,,-0.1222767,2.0,,True,False,,,-0.22358306,False,5.0,3.92157282,,,6.62718138,-6.42497002,0.0,,0.02000002,-0.01795733,0.00337835,17.67714282,,0,0,,0,1.40155467,67.21649428,-49.3664939,0.0,2.0,6.0,8.0,-0.76104633,6.70804088,,0.0,0.0,False,False,0.0,0.0
