Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2010-04-19,49.29999924,50.77920897,50.84606559,50.71235235,3.13603728,-2.86481365,2.94339379,-4.25613706,1.72993318,-3.17874584,3.79886849,3.42287115,0.32078034,6.0,2.0,0,1,0.98070097,0.94610231,-7.83324418,0,72.0,1.09533656,0.14188812,0.18757288,-2.74227561,-5.23451335,0.07377777,-0.00984137,0.74617182,-0.01639664,0.00136213,0.00769967,-0.0003934,50.97999954,50.82533315,0,1,50.91399956,0,0.08401164,38.55025157,0,0,0,0,-278467.95387268,1.0,5.0,7.0,4.40704084,-1.59381019,0.0,3.0,5.0,3.0,0,0,0.0,-5592.8489406
2010-04-20,49.95000076,50.70023676,50.77132326,50.62915026,1.64428925,-1.35965864,2.94339379,-4.25613706,1.72458189,-1.79198198,5.03969893,3.30797835,-0.43626132,6.0,3.0,0,1,0.96926683,0.93477519,-6.61806095,0,73.0,0.92092671,0.17526902,0.18333803,-1.35177845,-5.33844648,-0.02888921,0.01318462,0.75412018,-0.00984137,-0.01632336,-0.01833809,0.00609999,50.69428526,50.85699984,0,1,50.8284996,0,0.72969821,43.99399958,0,0,0,0,216125.50735474,2.0,5.0,7.0,2.97113557,-0.0328124,1.0,0.0,5.0,3.0,1,0,1.91798097,4383.88459836
2010-04-21,49.40000153,50.57640483,50.65502916,50.49778051,2.54054169,-2.22222459,2.94339379,-4.25613706,1.75101218,-2.72991618,3.75873672,3.17597839,0.52340604,6.0,4.0,0,1,0.98128438,0.94626414,-7.64628907,0,74.0,1.19433226,0.24058971,0.21604748,-1.91839785,-5.83992421,0.00933321,-0.011011,0.77245222,0.01318462,-0.01639664,0.00136213,-0.00567183,50.27285712,50.84699987,0,1,50.70249977,0,0.17464242,42.40232084,0,0,0,0,-747723.96278381,1.0,5.0,7.0,3.9042733,-0.85849305,0.0,1.0,5.0,3.0,0,0,0.0,-14969.44847574
2010-04-22,49.45000076,50.46912825,50.55397804,50.38427847,2.23251215,-1.8893381,2.94339379,-4.25613706,1.75790868,-2.44074128,3.73248286,3.01644273,-0.10592812,6.0,5.0,0,1,0.98159727,0.9464391,-7.55281508,0,75.0,1.33468117,0.28888824,0.25984089,-1.70042312,-5.95362885,-0.09599965,0.00101213,0.82176667,-0.011011,-0.00984137,-0.01632336,0.00649091,49.99571446,50.81633326,0,1,50.64199982,0,0.22382861,39.42161755,0,0,0,0,13989.78652954,2.0,5.0,7.0,3.58927527,-0.53257505,1.0,0.0,5.0,3.0,0,0,0.0,283.19405056
2010-04-23,49.15000153,50.34349714,50.43593263,50.25106164,2.61633991,-2.24020363,2.94339379,-4.25613706,1.77881141,-2.80386742,2.97733653,2.83890714,0.14877699,6.0,6.0,0,1,0.98887557,0.95329934,-8.11366614,0,76.0,1.48524826,0.32489787,0.30709154,-2.12831958,-6.11550402,-0.30755573,-0.00606672,0.88204197,0.00101213,0.01318462,-0.01639664,0.01524336,49.66571481,50.76566671,0,1,50.59099998,0,-0.07468338,37.81022963,0,0,0,0,-88799.77416992,2.0,4.0,7.0,3.96360247,-0.89294112,0.0,1.0,5.0,3.0,0,0,0.0,-1795.74869161
2010-04-26,49.0,50.21554503,50.3125513,50.11853876,2.67867612,-2.28273216,2.94339379,-4.25613706,1.76530677,-2.80808134,2.53952729,2.6292642,0.0015029,5.0,7.0,0,1,0.99288674,0.95758061,-8.39409523,0,77.0,0.81632964,0.35129328,0.35067082,-2.29694551,-6.24049038,-0.45866631,-0.00305191,0.95014355,-0.00606672,-0.011011,-0.00984137,0.00769967,49.43428639,50.71233342,0,1,50.525,0,-0.22409399,34.08070624,0,0,0,0,-36735.37368774,2.0,3.0,6.0,3.98776799,-0.97364034,0.0,2.0,5.0,3.0,0,0,0.0,-747.41348011
2010-04-27,47.72999954,49.97882641,50.10386722,49.8537856,4.97353384,-4.44958324,2.94339379,-4.25613706,1.98288048,-4.90814213,-0.222843,2.35697131,0.74786323,5.0,7.0,0,0,1.02206221,0.9824046,-10.76837158,0,78.0,3.33123857,0.39980458,0.40785786,-4.35619472,-6.70422599,-0.31977759,-0.02591838,1.13553617,-0.00305191,0.00101213,0.01318462,-0.01833809,49.14000048,50.63700002,0,1,50.37700005,0,-1.47943173,29.72619718,0,1,0,0,-989838.35678101,1.0,3.0,6.0,6.48596272,-2.93715441,0.0,3.0,5.0,3.0,0,0,0.0,-20200.78279145
2010-04-28,47.08000183,49.70274788,49.85090258,49.55459318,5.88551538,-5.25614115,2.94339379,-4.86552298,2.06335747,-5.65400031,-1.68008068,2.0169287,0.15196344,4.0,7.0,0,0,1.03772147,0.99645432,-11.98354767,0,79.0,2.52760956,0.48044704,0.48253113,-5.04675099,-7.30548638,-0.41666641,-0.01361822,1.34862561,-0.02591838,-0.00606672,-0.011011,0.00136213,48.82285799,50.49600004,0,1,50.19350014,0,-2.10213851,24.40552296,0,1,0,0,-504463.22364807,1.0,2.0,5.0,7.33786843,-3.80378814,0.0,4.0,5.0,4.0,0,0,0.0,-10569.10179104
2010-04-29,48.15000153,49.55486727,49.70466402,49.40507053,3.22879013,-2.60658144,2.94339379,-4.86552298,2.11689604,-2.98206471,0.45638586,1.69875017,-0.47257436,3.0,8.0,0,1,1.01662584,0.97428792,-9.9831744,0,80.0,1.28764052,0.55785934,0.55967075,-2.47204295,-7.70151623,-0.32733298,0.02272727,1.42168587,-0.01361822,-0.00305191,0.00101213,-0.01632336,48.56571524,50.37633336,0,1,50.07850018,0,-1.02579235,27.05313075,0,1,0,0,427892.87796021,1.0,3.0,5.0,4.80601482,-1.02935678,1.0,0.0,5.0,4.0,1,0,3.37054451,9088.63341798
2010-04-30,48.45000076,49.44964189,49.58095943,49.31832435,2.33427998,-1.79220553,2.94339379,-4.86552298,2.13327395,-1.82654939,0.99167923,1.3771789,-0.38748835,2.0,9.0,0,1,1.01151332,0.96884785,-9.42232335,0,81.0,1.81630765,0.61568977,0.62832167,-1.59276358,-7.95628457,-0.19777781,0.00623051,1.454379,0.02272727,-0.02591838,-0.00606672,-0.01639664,48.43000085,50.26966667,0,1,49.95900021,0,-0.72067559,26.16137296,0,1,0,0,111569.71626282,2.0,4.0,5.0,3.78269914,-0.3437864,2.0,0.0,5.0,4.0,0,0,0.0,2317.12799018
