Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2003-09-24,13.93599987,14.3587218,14.36525615,14.35218745,3.08019722,-2.98642067,9.4851836,-5.61656658,2.07376605,-2.82697603,21.09415612,2.83302861,0.31189503,11.0,2.0,0,1,0.84654134,0.80506602,-11.77513112,0,44.0,2.72675171,0.10166724,0.10022111,-2.36206117,-9.64079134,0.015689,-0.0081139,0.22696395,-0.03076711,-0.00542372,0.01202797,-0.00652059,14.38200011,14.42379999,0,1,14.30090003,0,2.27517727,43.72510438,0,0,0,0,-184566.51878357,1.0,4.0,5.0,4.59815521,-1.46846283,0.0,4.0,5.0,5.0,0,0,0.0,-13136.40685253
2003-09-25,13.6960001,14.29560545,14.30407384,14.28713706,4.4397907,-4.31612848,3.40425129,-7.33872339,2.2321432,-4.32222571,18.73572885,2.77985436,0.52892195,11.0,3.0,0,1,0.86452791,0.81988505,-13.29450171,0,45.0,2.97897189,0.10158316,0.09650802,-3.67258053,-9.98876668,0.01422225,-0.01722157,0.25485141,-0.0081139,-0.01186093,0.0192095,-0.0022343,14.29571438,14.36713333,0,1,14.25720005,0,2.01942346,41.22066724,0,0,0,0,-382799.63493347,0.0,4.0,5.0,5.86744533,-2.88847398,0.0,5.0,5.0,5.0,0,0,0.0,-27468.401155
2003-09-26,13.29599953,14.20040488,14.21257853,14.18823124,6.89364494,-6.71052759,3.40425129,-10.2592883,2.3766546,-6.58704624,15.03132756,2.67498146,0.52399405,10.0,4.0,0,1,0.89309495,0.84556185,-15.82679207,0,46.0,3.8056527,0.1025536,0.09381229,-5.89718169,-10.55187353,-0.00475553,-0.02920565,0.33309612,-0.01722157,-0.03076711,-0.00542372,0.00181946,14.12771429,14.28893331,0,1,14.20770001,0,1.60885174,23.80072608,0,1,0,0,-525000.75101852,0.0,3.0,4.0,8.66962356,-4.9345491,0.0,5.736138353188064,5.0,6.0,0,0,0.0,-38332.41437037
2003-09-29,13.29399967,14.11408058,14.12750363,14.10065753,6.26977565,-6.0678342,3.40425129,-10.27432933,2.22012031,-6.07223104,14.80137886,2.57342855,-0.0781557,9.0,5.0,0,1,0.89327088,0.84886847,-15.83945258,0,47.0,0.79735181,0.10773441,0.09643453,-5.29453082,-11.13443801,-0.01497782,-0.00015041,0.390371,-0.02920565,-0.0081139,-0.01186093,-0.00391169,13.91971425,14.2087333,0,1,14.16849999,0,1.5981962,23.95541905,0,1,0,0,-2391.82662964,0.0,3.0,4.0,7.95677137,-4.38083859,0.0,5.736138353188064,5.0,7.0,0,0,0.0,-179.89069756
2003-09-30,13.76200008,14.0805491,14.09573463,14.06536357,2.42504395,-2.20435609,3.52038832,-10.27432933,2.38129755,-2.49002931,18.58783859,2.50852859,-0.58993172,8.0,6.0,0,1,0.86706976,0.81944381,-12.8766745,0,48.0,4.92660582,0.11962842,0.1070686,-1.34093784,-11.69252617,-0.04533337,0.03520388,0.39720356,-0.00015041,-0.01722157,-0.03076711,0.00280505,13.78999996,14.14799999,0,1,14.16059999,0,2.04756948,38.92406066,0,0,0,0,1046448.92120361,1.0,3.0,5.0,4.40741938,-0.22198076,1.0,0.0,5.0,7.0,0,0,0.0,78715.88288156
2003-10-01,13.81000042,14.05478256,14.07035537,14.03920976,1.88526387,-1.65973446,3.86917727,-10.27432933,2.41439856,-1.91163974,18.74156652,2.4488429,-0.23228223,7.0,7.0,0,1,0.86630906,0.81802109,-12.57279797,0,49.0,1.66545645,0.13028593,0.11890814,-0.78789599,-11.87849214,-0.09551114,0.00348789,0.4047,0.03520388,-0.02920565,-0.0081139,0.01202797,13.69199998,14.13100001,0,1,14.14130001,0,2.08341834,40.56604905,0,0,0,0,62424.43656921,2.0,3.0,6.0,3.87632631,0.33132789,2.0,0.0,5.0,7.0,0,0,0.0,4536.00030436
2003-10-02,14.20400047,14.06899379,14.08507507,14.05291251,-0.83726697,1.06370004,6.72218264,-10.27432933,2.44196699,0.94418433,21.83678521,2.41292294,-1.49391332,7.0,8.0,1,1,0.84518985,0.79635051,-10.0784952,0,50.0,3.16812021,0.14281608,0.12871422,2.08178822,-11.91229467,-0.17199999,0.02853005,0.40481298,0.00348789,-0.00015041,-0.01722157,0.0192095,13.71400002,14.11513335,0,1,14.14210005,0,2.46636351,48.07693189,0,0,0,0,412715.05594253,3.0,3.0,6.0,1.36955705,3.27052398,3.0,0.0,5.0,7.0,0,0,0.0,29885.23123839
2003-10-03,14.35000038,14.09575632,14.11203002,14.07948263,-1.65833,1.88514109,7.75006143,-10.27432933,2.42807326,1.93519779,22.78915664,2.39087152,1.04959744,7.0,9.0,1,1,0.83868489,0.79012343,-9.15421112,0,51.0,1.68641515,0.15521402,0.13543129,3.0506892,-11.84358923,-0.16635556,0.01027879,0.40702396,0.02853005,0.03520388,-0.02920565,-0.00542372,13.77314295,14.11413336,0,1,14.15610008,0,2.60388801,51.4990028,0,0,0,0,108185.93215943,4.0,4.0,7.0,0.60993222,4.15340324,4.0,0.0,5.0,7.0,0,0,0.0,7616.58184713
2003-10-06,14.58199978,14.14206522,14.15963272,14.12449772,-2.8964961,3.13744385,9.36678193,-10.27432933,2.49328883,3.43520524,24.45228677,2.38077435,0.77511842,7.0,10.0,1,1,0.82845368,0.7785879,-7.68548863,0,52.0,2.08476139,0.15969614,0.13897104,4.45921491,-11.62626347,-0.13480004,0.0161672,0.41370255,0.01027879,0.00348789,-0.00015041,-0.01186093,13.89971433,14.14520003,0,1,14.16360006,0,2.82302571,54.41452045,0,0,0,0,246615.35930634,5.0,5.0,7.0,-0.62571806,5.40822182,5.0,0.0,5.0,7.0,0,0,0.0,17185.73886763
2003-10-07,14.57999992,14.18377329,14.2006723,14.16687428,-2.60169837,2.83350924,9.36678193,-10.27432933,2.36331588,3.36445853,24.11108977,2.35788862,-0.02059461,7.0,11.0,1,1,0.82936293,0.78209661,-7.69814915,0,53.0,1.00137766,0.16377313,0.14419172,4.59711267,-11.75487689,-0.03377781,-0.00013715,0.42053752,0.0161672,0.02853005,0.03520388,-0.03076711,14.08314296,14.18846671,0,1,14.17180004,0,2.8160692,51.78571091,0,0,0,0,-801.94187164,4.0,5.0,6.0,-0.54444747,4.89076008,0.0,1.0,5.0,7.0,0,0,0.0,-54.99532875
