Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2020-03-27,58.79000092,51.29437944,56.3758805,46.21287837,-4.10634525,21.39330217,36.766783910108856,-21.29005235,9.387926355786805,21.720350032100498,-7.09452992,-16.88508964,-0.07825195,6.0,0.0,1,0,1.17450883,0.97821694,-41.00351228,0,157.0,6.54873008,3.99906065,6.7046216,20.739596197790522,-53.46622513,1.50333345,0.00255801,8.57041014,0.05127287,0.10436103152643185,0.10597157225884826,0.04574298,53.24857167,52.95333328,0,1,48.79749985,0,-1.75272131,63.76291624,0,0,0,0,573920.83816528,4.0,8.0,10.0,-3.67449526,21.8251522,2.0,0.0,8.0,5.0,0,0,0.0,9787.19038436
2020-03-30,57.72000122,51.90634342,57.28691155,46.52577528,-0.75032858,19.39401542,36.766783910108856,-21.29005235,9.387926355786805,21.720350032100498,-8.71446884,-16.0637467,-0.16254899,7.0,0.0,1,0,1.19554058,0.99538713,-42.07727011,0,158.0,6.16770842,3.2025211,6.3228748,20.739596197790522,-52.95056395,3.38422258,-0.01820037,8.48632867,0.00255801,-0.02703651,0.04978581,-0.10300419264863774,55.53142875,52.71566671,0,1,48.72699986,0,-2.80830742,61.42464523,0,0,0,0,-4760963.64212036,3.0,8.0,9.0,-1.42632069,18.71802335,0.0,1.0,8.0,5.0,0,0,0.0,-80982.54070384
2020-03-31,55.68000031,52.26573931,57.7518817,46.77959693,3.72105133,15.98491977,36.766783910108856,-21.29005235,9.387926355786805,15.80010762,-11.88168882,-15.10491798,-0.29385559,8.0,0.0,1,0,1.2386967,1.03097912,-44.12443607,0,159.0,8.56681112,2.43562772,5.86525497,17.03238967,-52.25632486,2.82222265,-0.03534305,8.44966808,-0.01820037,0.05127287,0.10597157225884826,0.10847734859955797,56.48428617,52.37033335,0,1,48.68699989,0,-4.82676735,64.16427402,0,0,0,0,-10039660.50567627,2.0,7.0,9.0,2.21107172,14.47494019,0.0,2.0,8.0,5.0,0,0,0.0,-173937.28851959
2020-04-01,54.58000183,52.48614527,57.52224043,47.4500501,5.39068982,13.06330431,36.766783910108856,-21.29005235,9.387926355786805,10.75487353,-13.51693676,-13.83062497,-0.31931644,9.0,0.0,1,0,1.25720924,1.0553823,-45.22829805,0,160.0,5.53316298,1.90865182,5.30989429,12.51192494,-51.31920285,3.07711097,-0.01975572,8.330205,-0.03534305,0.00255801,-0.02703651,0.01631157,56.93142918,51.98866679,0,1,48.55599995,0,-5.90520029,70.2611204,1,0,0,0,-3425285.24856567,2.0,6.0,9.0,4.54165749,12.214272,0.0,3.0,8.0,5.0,0,0,0.0,-61517.33530517
2020-04-02,56.68999863,52.88651225,57.7366847,48.03633981,1.84633286,15.26487745,36.766783910108856,-21.29005235,9.387926355786805,12.24789682,-10.03240511,-12.5072893,0.13882295,10.0,0.0,1,0,1.207812,1.01521063,-43.11089036,0,161.0,4.95677831,1.6380708,4.67264616,14.98509603,-50.52479704,2.74044418,0.03865879,8.36772563,-0.01975572,-0.01820037,0.05127287,0.08050739,56.84000015,51.76566671,0,1,48.59449997,0,-3.77801091,70.53186049,1,0,0,0,6453847.19886778,2.0,6.0,9.0,0.45519953,13.87374415,1.0,0.0,8.0,5.0,0,0,0.0,118245.63910505
2020-04-03,57.81999969,53.3563682,57.23054585,49.48219055,-1.01946359,14.42028569,36.766783910108856,-21.29005235,8.94401368,10.6043413,-8.09760758,-10.63814633,-0.13419084,11.0,0.0,1,0,1.17755109,0.99867082,-41.97692041,0,162.0,5.8803209,1.95751365,4.02759688,13.51184756,-48.88367969,1.45711153,0.01993299,8.59137907,0.03865879,-0.03534305,0.00255801,0.10847734859955797,57.13142885,51.66200002,0,1,48.8875,0,-2.63228084,84.14533102,1,0,0,0,5148058.86611942,2.0,6.0,10.0,-1.46771161,13.97203769,2.0,0.0,8.0,5.0,0,0,0.0,90810.70719402
2020-04-06,59.06999969,53.90052358,57.067525,50.73352216,-3.39000289,14.11287892,36.766783910108856,-20.39349466,8.31459074,9.83491044,-5.99289401,-9.05496053,-0.0725581,12.0,0.0,1,0,1.14689528,0.98060347,-40.72253006,0,163.0,3.16573378,2.50040163,3.5267219,12.76480403,-47.43264936,1.11066657,0.02161882,8.84758725,0.01993299,-0.01975572,-0.01820037,0.04978581,57.19285747,51.69499995,0,1,49.5539999,0,-1.37600779,82.3204385,1,0,0,0,6260125.0,3.0,6.0,10.0,-2.50852122,14.9943606,3.0,0.0,8.0,5.0,0,0,0.0,108269.19808096
2020-04-07,59.59999847,54.44333071,56.77011788,52.11654355,-4.74812192,12.55613275,36.766783910108856,-20.39349466,7.95062342,7.81754451,-5.05400508,-7.49395354,-0.20512296,13.0,0.0,1,0,1.13273655,0.97372408,-40.19066978,0,164.0,5.95637471,3.07873829,3.27874604,10.41032005,-45.8299458,-0.02666702,0.00897239,9.09943825,0.02161882,0.03865879,-0.03534305,0.10847734859955797,57.30857141,51.75699984,0,1,50.18849983,0,-0.83795739,82.27146248,1,0,0,0,3960574.87792963,4.0,6.0,10.0,-2.96420753,14.34004716,4.0,0.0,8.0,5.0,0,0,0.0,67048.83863876
2020-04-08,60.31999969,55.00301347,56.40562453,53.60040242,-6.48934879,11.13991596,36.766783910108856,-20.39349466,7.32758637,6.56167931,-3.8484152,-6.12856082,-0.16064702,14.0,0.0,1,0,1.11330032,0.9667486,-39.46813972,0,165.0,3.03382268,3.55904033,3.36316432,8.92532154,-44.42810962,0.36822247,0.01208056,9.19590696,0.00897239,0.01993299,-0.01975572,-0.02703651,57.67999976,51.81899986,0,1,51.06199989,0,-0.1161161,80.86378173,1,0,0,0,3123005.29479984,5.0,7.0,10.0,-4.44753783,13.18172693,5.0,0.0,8.0,5.0,0,0,0.0,52399.41903951
2020-04-09,58.15000153,55.30272662,56.21095771,54.39449553,-3.33455505,6.45830765,36.766783910108856,-16.53603298,6.74855681,1.5568497,-7.28254317,-5.45885345,-0.76273609,14.0,0.0,1,0,1.14603111,1.01105998,-41.64575952,0,166.0,5.65778303,4.00021646,3.75335678,2.53909446,-43.0907394,-0.16644431,-0.03597477,8.76882379,0.01208056,0.02161882,0.03865879,0.05127287,58.03285708,51.84066658,0,1,52.07849998,0,-2.27886139,68.28000362,0,0,0,0,-8143786.12823486,4.0,6.0,9.0,-0.41994466,9.37291805,0.0,1.0,8.0,5.0,0,0,0.0,-135009.71766307
2020-04-13,58.77000046,55.63294318,56.21302548,55.05286087,-4.35081667,6.3248929,36.766783910108856,-16.53603298,6.07209688,1.71088139,-6.26498939,-4.91659633,0.09893806,14.0,0.0,1,0,1.12755821,1.00611627,-41.02358298,0,167.0,3.42010942,4.36651373,4.272706,1.53949474,-41.91775607,-0.21066683,0.01066206,8.36752987,-0.03597477,0.00897239,0.01993299,0.00255801,58.63142831,51.81166662,0,1,53.03950005,0,-1.65229901,65.78947282,0,0,0,0,1777536.93771362,4.0,6.0,9.0,-1.94130256,8.73440701,1.0,0.0,8.0,5.0,0,0,0.0,30568.1322626
2020-04-14,60.88999939,56.1336152,56.73390157,55.53332883,-6.82558362,8.7972912,36.766783910108856,-7.32991388,5.42664744,4.91815279,-2.86519085,-4.65036079,1.87463106,14.0,0.0,1,0,1.08376353,0.97523058,-38.89613803,0,168.0,5.74807035,4.61496199,4.76271732,4.48620445,-41.51968454,0.02666643,0.03607281,7.0780619,0.01066206,0.01208056,0.02161882,-0.01820037,59.23142842,51.87033323,0,1,54.4335001,0,0.46738647,59.16580302,0,0,0,0,13749677.07252502,4.0,7.0,9.0,-4.42513008,11.19774475,2.0,0.0,8.0,5.0,0,0,0.0,233957.40965506
2020-04-15,61.81999969,56.67517563,57.32029537,56.03005588,-7.27871942,9.36581016,36.766783910108856,-7.32991388,5.34616593,5.73459999,-1.33068764,-4.18658215,0.16600688,14.0,0.0,1,0,1.066948,0.96002468,-37.9628713,0,169.0,6.32481376,4.71964122,5.15068346,5.54460456,-41.22188533,0.55044437,0.01527345,6.10592207,0.03607281,-0.03597477,0.00897239,-0.03534305,59.80285699,52.04833323,0,1,55.62400017,0,1.3942352,66.06383613,0,0,0,0,3903118.28079224,4.0,8.0,10.0,-5.34712701,11.29740258,3.0,0.0,6.0,5.0,0,0,0.0,64101.13844501
2020-04-16,63.45000076,57.32039707,58.08242422,56.55836991,-8.4595374,10.86151421,36.766783910108856,-7.32991388,5.07936447,7.88850528,1.26889475,-3.84426062,0.37559817,14.0,1.0,1,1,1.03826369,0.9366764,-36.32714522,0,170.0,4.58628211,4.71165051,5.42129402,7.4950566,-40.76671356,0.93133291,0.02636689,4.86670786,0.01527345,0.01066206,0.01208056,-0.01975572,60.42857143,52.25666656,0,1,56.86500015,0,3.00837792,63.68811184,0,0,0,0,8153428.34281921,4.0,9.0,10.0,-6.49267817,12.82837344,4.0,0.0,6.0,5.0,0,0,0.0,131889.81531978
2020-04-17,64.73999786,58.02702571,58.9142016,57.13984983,-8.99875881,11.7394938,36.766783910108856,-7.32991388,4.81486394,9.29217062,3.32597084,-3.42036085,0.17793806,14.0,2.0,1,1,1.01595953,0.91966225,-35.03261729,0,171.0,3.6608014,4.59313661,5.55115575,8.92704584,-40.35697727,0.65955582,0.02033092,3.67646914,0.02636689,0.03607281,-0.03597477,0.03865879,61.16285706,52.55066655,0,1,58.01499996,0,4.27871744,65.90058703,0,0,0,0,5340200.99830627,5.0,9.0,10.0,-7.22519098,13.51306164,5.0,0.0,6.0,5.0,0,0,0.0,84163.92331118
2020-04-20,68.43000031,59.0177852,60.23528345,57.80028695,-11.97532781,15.5337035,36.766783910108856,-7.32991388,4.79008741,14.04864301,9.20489756,-2.66131092,0.51187958,14.0,3.0,1,1,0.96361072,0.86780897,-31.32965453,0,172.0,8.49042457,4.41417905,5.64725481,13.37359329,-39.43003527,0.58733334,0.05699726,3.73699453,0.02033092,0.01527345,0.01066206,0.01993299,62.32142857,53.0996666,0,1,58.98600006,0,7.91452079,75.10548991,1,0,0,0,24095346.94213867,5.0,9.0,11.0,-10.50189481,17.0071365,6.0,0.0,6.0,5.0,0,0,0.0,372186.40310804
2020-04-21,66.06999969,59.68942468,61.02270071,58.35614864,-7.63932043,11.67527031,36.766783910108856,-7.32991388,5.28119472,8.76999038,5.44825219,-1.91346811,-0.3757411,14.0,4.0,1,1,1.0011444,0.89552051,-33.69794412,0,173.0,10.930037237699846,4.17847033,5.69726417,7.90314693,-38.55410359,0.54533335,-0.03448781,3.61314837,0.05699726,0.02636689,0.03607281,0.02161882,63.45285688,53.7773332,0,1,59.71700001,0,5.50745369,73.99538642,1,0,0,0,-16402712.24212646,4.0,8.0,11.0,-6.06844516,13.24614557,0.0,1.0,6.0,5.0,0,0,0.0,-239700.60162174
2020-04-22,68.06999969,60.48757468,61.83637402,59.13877533,-9.15766961,13.12064698,16.57033906,-7.32991388,5.1491104,10.31265562,8.63021261,-0.95569682,0.17590273,14.0,5.0,1,1,0.97204532,0.86906311,-31.69091957,0,174.0,3.05566947,3.89067342,5.72641973,9.96229883,-37.87954493,0.5831114,0.03027092,4.01542714,-0.03448781,0.02033092,0.01527345,0.00897239,64.7814282,54.48266652,0,1,60.2539999,0,7.47504419,79.91130954,1,0,0,0,7461800.0,4.0,8.0,12.0,-7.67439938,14.60391721,1.0,0.0,6.0,5.0,0,0,0.0,112937.79377124
2020-04-23,68.91000366,61.28971077,62.6693263,59.91009524,-9.056272,13.06038012,16.57033906,-7.32991388,4.99823694,10.11631537,9.96670526,-0.08513935,-0.01903877,14.0,6.0,1,1,0.95934852,0.85938379,-30.84796527,0,175.0,2.84428817,3.51040158,5.69507096,10.27387531,-37.2906461,0.61133338,0.0123403,4.30812764,0.03027092,0.05699726,0.02636689,0.01208056,65.9271431,55.35133336,0,1,60.91050014,0,8.28601224,78.71241435,1,0,0,0,2574612.159729,4.0,8.0,12.0,-7.68435994,14.43229218,2.0,0.0,6.0,5.0,0,0,0.0,37823.00824551
2020-04-24,72.0,62.30973832,63.92626411,60.69321253,-11.21352207,15.70387149,16.57033906,-7.32991388,5.01736081,13.22153444,14.91918326,0.9394178,0.30695159,14.0,7.0,1,1,0.92035035,0.82000313,-27.74711601,0,176.0,7.99306234,3.29227374,5.67397034,12.4415944,-35.74185391,1.28444417,0.04484104,4.92863098,0.0123403,-0.03448781,0.02033092,-0.03597477,67.38142885,56.49066671,0,1,61.57850018,0,11.25373971,80.50774873,1,0,0,0,30037236.40136719,4.0,9.0,12.0,-9.93465866,16.9827349,3.0,0.0,6.0,5.0,0,0,0.0,435890.79676516
2020-04-27,73.59999847,63.38500119,65.20143665,61.56856573,-11.41108967,16.3470557,16.57033906,-7.32991388,4.93643235,13.87900124,17.44744617,1.96367485,0.04972697,14.0,8.0,1,1,0.90080898,0.80208033,-26.1414979,0,177.0,4.04891769,3.14712299,5.60837777,13.36630627,-34.84968812,1.45444438,0.0222222,5.55977354,0.04484104,0.03027092,0.05699726,0.01066206,68.83142853,57.62566668,0,1,62.31900005,0,12.79153106,80.79695005,1,0,0,0,6976313.34686279,4.0,9.0,12.0,-10.26389741,17.49424796,4.0,0.0,6.0,5.0,0,0,0.0,96893.24092865
2020-04-28,70.12999725,64.02738177,65.93396004,62.12080349,-5.9832274,11.42049633,16.57033906,-7.32991388,5.462814,7.26169915,11.94027903,2.73266763,-0.47678518,14.0,9.0,1,1,0.94796163,0.83870535,-29.62368672,0,178.0,9.01183508,3.12733859,5.50581587,6.40844336,-33.86209679,1.31288901,-0.04714676,5.70996839,0.0222222,0.0123403,-0.03448781,0.03607281,69.60142844,58.86299998,0,1,62.93949986,0,9.26873916,69.84545658,0,0,0,0,-16080332.65686035,4.0,8.0,11.0,-4.45535287,12.94837086,0.0,1.0,6.0,5.0,0,0,0.0,-218482.78519346
2020-04-29,69.27999878,64.52763101,66.44046326,62.61479875,-4.09863679,9.62066996,16.57033906,-7.32991388,5.69273687,4.9344901,10.6040054,3.38426756,-0.32047721,14.0,10.0,1,1,0.96105376,0.84719902,-30.47667063,0,179.0,4.92204979,3.16645091,5.35177656,4.05116012,-33.18351348,1.31155557,-0.01212033,5.60884939,-0.04714676,0.04484104,0.03027092,0.01527345,69.72285679,59.90533333,0,1,63.61949978,0,8.35928374,66.80420183,0,0,0,0,-5194680.67474365,3.0,7.0,10.0,-2.78088745,10.9384193,0.0,2.0,6.0,5.0,0,0,0.0,-74072.16424054
2020-04-30,67.66000366,64.82595221,66.48603877,63.16586566,-1.73509434,6.64223731,16.57033906,-8.26503851,5.7097446,1.43711332,8.03393108,4.07295342,-0.70876154,14.0,11.0,1,1,0.98273256,0.86853767,-32.10235562,0,180.0,3.19242672,3.23373643,5.15181012,0.91788353,-32.7199085,1.11511086,-0.0233833,5.250481,-0.01212033,0.0222222,0.0123403,0.02636689,69.95000022,60.87300008,0,1,64.27349987,0,6.72198868,68.21142224,0,0,0,0,-3591205.17578125,2.0,6.0,10.0,0.15829398,8.53562562,0.0,3.0,6.0,5.0,0,0,0.0,-51836.10333513
