Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2021-07-19,21.54000092,23.33085317,23.50275613,23.15895021,9.11214079,-7.51601313,7.5977248,-11.10734824,4.55962436,-7.9009221,-5.30306799,0.64160728,-0.22759132,2.0,0.0,0,0,1.10159666,1.01040418,-44.76922842,0,119.0,5.29248491,0.6528967,0.58919769,-8.98076994,-39.31966735,-0.36044451,0.00795508,2.03129837,-0.00465759,-0.03964371,-0.01459855,-0.01132681,22.09000043,24.40200005,0,1,24.26050014,0,-2.24035164,10.85792581,0,1,0,0,5153450.31280518,1.0,4.0,4.0,11.90846357,-4.71969059,1.0,0.0,8.0,10.0,0,0,0.0,241153.49136271
2021-07-20,22.18000031,23.22124813,23.37023779,23.07225848,5.3662645,-4.02280507,7.5977248,-11.10734824,4.46992293,-3.85782369,-2.76130582,0.26015022,-0.51172488,1.0,0.0,0,0,1.07309642,0.98369796,-43.12820435,0,120.0,5.09468464,0.82929091,0.71385131,-4.83758786,-40.23712264,-0.47822223,0.02971213,2.06291117,0.00795508,-0.0041744,-0.02178649,0.00981996,21.93142891,24.32600009,0,1,24.09850016,0,-1.59717891,19.72790051,0,1,0,0,14690545.98999024,2.0,4.0,5.0,8.37768762,-1.01138215,2.0,0.0,8.0,10.0,0,0,0.0,682012.31966524
2021-07-21,22.52000046,23.15446264,23.26916704,23.03975825,3.32667213,-2.30798303,7.5977248,-11.10734824,4.35486015,-1.20949952,-1.5581507,-0.08073551,-0.68648139,0.0,0.0,0,0,1.05937673,0.97227953,-42.25640908,0,121.0,2.48667609,0.9718777,0.84733608,-2.34168613,-40.87181252,-0.13599981,0.01532913,2.06779171,0.02971213,-0.00465759,-0.03964371,-0.0725284,21.87000029,24.26400013,0,1,23.9545002,0,-1.25515462,24.12399511,0,1,0,0,6948685.1184845,3.0,5.0,6.0,5.77879811,0.14414277,3.0,0.0,8.0,10.0,0,0,0.0,313286.06956164
2021-07-22,22.06999969,23.05118046,23.14604596,22.95631496,4.87560615,-4.01592784,7.5977248,-11.10734824,4.12648197,-2.37290523,-3.799423,-0.3352212,0.96189019,0.0,0.0,0,0,1.08075962,0.99822999,-43.41025719,0,122.0,3.57952391,1.10043214,0.99278551,-2.94200452,-41.69491908,-0.18644435,-0.01998227,2.03324072,0.01532913,0.00795508,-0.0041744,0.00830059,21.81571443,24.19400012,0,1,23.74450016,0,-1.70312857,28.73195023,0,1,0,0,-7861018.32771301,3.0,4.0,6.0,7.5565001,-1.33503405,0.0,1.0,8.0,10.0,0,0,0.0,-349068.3023056
2021-07-23,21.80999947,22.93297274,23.01342759,22.8525179,5.51778153,-4.78000209,7.5977248,-11.10734824,4.03157254,-2.71458928,-5.17886265,-0.58262841,0.14399397,0.0,0.0,0,0,1.0949329,1.01430145,-44.07692445,0,123.0,2.61347872,1.19482784,1.12766833,-3.28531591,-42.17726493,-0.25555568,-0.01178071,1.96571465,-0.01998227,0.02971213,-0.00465759,0.00909883,21.85142871,24.11633345,0,1,23.5085001,0,-1.96055555,28.82447794,0,1,0,0,-4589862.04051971,3.0,3.0,6.0,8.30728956,-1.99049422,0.0,2.0,8.0,10.0,0,0,0.0,-207968.37806917
2021-07-26,22.12999916,22.85649907,22.91338607,22.79961207,3.53993195,-3.02581532,7.5977248,-11.10734824,3.99264193,-0.47862681,-4.0406596,-0.82542135,-0.82368353,0.0,0.0,0,0,1.08203446,1.00218162,-43.25641241,0,124.0,3.70537608,1.25626934,1.24641012,-1.02103445,-42.67106423,-0.21288901,0.01467216,1.82861856,-0.01178071,0.01532913,0.00795508,-0.01459855,21.94571441,24.03166676,0,1,23.27600002,0,-1.63839456,29.72972973,0,1,0,0,5205723.03543091,3.0,4.0,6.0,5.62915029,-0.93659711,1.0,0.0,8.0,10.0,0,0,0.0,238685.15189833
2021-07-27,21.68000031,22.74445157,22.79601103,22.69289211,5.14765086,-4.67201009,5.29963463,-11.10734824,3.77240399,-2.12189551,-6.22938642,-0.97024986,3.43329849,0.0,0.0,0,0,1.10415622,1.02870814,-44.41025563,0,125.0,4.70479909,1.30200813,1.3523839,-2.00805525,-43.27110814,-0.12000016,-0.02033434,1.58301807,0.01467216,-0.01998227,0.02971213,-0.02178649,21.99000004,23.9210001,0,1,22.99100008,0,-2.08475247,37.77778891,0,0,0,0,-10385388.58852386,2.0,4.0,6.0,7.44318288,-2.37647819,0.0,1.0,8.0,10.0,0,0,0.0,-469290.05794703
2021-07-28,22.55999947,22.7268847,22.77463327,22.67913613,0.95139101,-0.52808805,5.29963463,-11.10734824,3.61733834,2.02209143,-2.68857562,-1.07044274,-1.95296466,1.0,0.0,1,0,1.06380195,0.99145519,-42.15384752,0,126.0,4.10017402,1.30994268,1.42953253,2.26286372,-43.43386214,0.06066678,0.04059037,1.33235407,-0.02033434,-0.01178071,0.01532913,-0.03964371,22.13571412,23.85933342,0,1,22.7875001,0,-1.20203146,45.39006636,0,0,0,0,22064746.95739746,2.0,5.0,6.0,3.51694832,2.03746915,1.0,0.0,8.0,10.0,0,0,0.0,1017746.61655008
2021-07-29,22.18000031,22.67480047,22.71415471,22.63544623,2.40827051,-2.05340813,5.29963463,-11.10734824,3.70507626,0.66457129,-4.58060298,-1.2111785,-0.67134459,2.0,0.0,1,0,1.08505571,1.01095418,-43.12820435,0,127.0,3.20108648,1.27832954,1.47856097,0.79410572,-43.57626842,0.10288904,-0.01684393,1.03773174,0.04059037,0.01467216,-0.01998227,-0.0041744,22.13571412,23.77200012,0,1,22.57850008,0,-1.58009455,40.44749504,0,0,0,0,-7303241.87068939,2.0,5.0,5.0,5.07643692,0.61475819,0.0,1.0,8.0,10.0,0,0,0.0,-323725.26788907
2021-07-30,21.70999908,22.58291463,22.6164629,22.54936636,4.17532865,-3.86627041,5.29963463,-11.10734824,3.8119375,-1.07086299,-6.8478261,-1.36095004,-2.6113591,2.0,0.0,0,0,1.11163163,1.03539288,-44.33333568,0,128.0,3.20590089,1.20545604,1.50697447,-0.9616457,-43.79282177,0.14088872,-0.02119032,0.92269987,-0.01684393,-0.02033434,-0.01178071,-0.00465759,22.01999964,23.6473334,0,1,22.42800007,0,-2.04797723,39.56227302,0,0,0,0,-7467943.39599609,2.0,5.0,5.0,6.91205787,-1.12954128,0.0,2.0,8.0,10.0,0,0,0.0,-336697.17282436
