Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2016-04-20,40.08000183,38.94717778,39.00781879,38.88653678,-2.67510726,2.97770709,2.74753113,-6.34725768,2.40839873,3.25715278,11.38183581,2.83138966,1.3789439,4.0,2.0,1,1,0.92189645,0.87372847,-3.00096291,0,20.0,2.66966931,0.39219642,0.39680107,3.39673839,-6.18752718,-0.11111103,0.02140673,0.66321631,-0.01009076,-0.00155273,0.02619052,0.01582362,38.96714347,39.18700027,0,1,38.93850021,0,3.95349473,60.02711638,0,0,0,0,6487741.17851257,2.0,4.0,6.0,-0.93211838,4.72069595,1.0,0.0,5.0,3.0,0,0,0.0,165334.88534667
2016-04-21,40.09999847,39.05697023,39.12209106,38.9918494,-2.43867194,2.76346414,2.74753113,-6.34725768,2.31385996,3.1757656,11.38354741,2.86398945,-0.02498722,5.0,3.0,1,1,0.92093726,0.87466006,-2.95256832,0,21.0,1.33665665,0.36653425,0.39265393,3.27017714,-6.02569457,0.10488926,0.00049892,0.61543209,0.02140673,0.02747531,-0.00386702,-0.02247194,39.29571479,39.23800023,0,1,38.91750011,0,3.9625445,55.30300841,0,0,0,0,110769.40460201,3.0,5.0,6.0,-0.8774929,4.32464316,2.0,0.0,5.0,3.0,0,0,0.0,2763.70757339
2016-04-22,40.31000137,39.17630653,39.25032956,39.1022835,-2.62880619,2.996075,2.74753113,-6.34725768,2.29560286,3.42717101,11.87969209,2.94451091,0.07916372,6.0,4.0,1,1,0.91677329,0.87086123,-2.44433284,0,22.0,2.36913417,0.33206308,0.38764766,3.54738388,-5.78644916,0.11644457,0.00523698,0.6897301,0.00049892,-0.01009076,-0.00155273,0.00339606,39.51285771,39.29866689,0,1,38.98700027,0,4.1599463,62.2580667,0,0,0,0,1351137.65296941,4.0,5.0,7.0,-1.10643171,4.51844947,3.0,0.0,5.0,3.0,0,0,0.0,33694.20709184
2016-04-25,39.81999969,39.23761064,39.31459203,39.16062925,-1.26923071,1.65587757,2.74753113,-2.36661493,2.35793291,1.93267484,10.43816705,3.00862523,-0.43607283,7.0,5.0,1,1,0.92906339,0.88190473,-3.63020332,0,23.0,3.26468922,0.29633743,0.37915604,1.93869062,-5.46298359,0.23644426,-0.01215583,0.711314,0.00523698,0.02140673,0.02747531,-0.00911217,39.68142918,39.30966682,0,1,39.04100018,0,3.65505085,59.84496362,0,0,0,0,-3887771.31729126,3.0,5.0,7.0,0.22967635,3.15478461,0.0,1.0,5.0,3.0,0,0,0.0,-96446.81679091
2016-04-26,39.72999954,39.28450482,39.36246241,39.20654723,-0.92508717,1.31752408,2.74753113,-2.36661493,2.33900296,1.59640355,10.11159989,3.02413948,-0.17399269,8.0,6.0,1,1,0.93155956,0.8847795,-3.84801589,0,24.0,2.01358985,0.2592096,0.36699261,1.57566575,-5.33954821,0.33333359,-0.00226017,0.71990442,-0.01215583,0.00049892,-0.01009076,-0.00683137,39.84571457,39.32133344,0,1,39.05100021,0,3.55606668,54.80606801,0,0,0,0,-474408.80432129,3.0,5.0,6.0,0.3453247,2.58793594,0.0,2.0,5.0,3.0,0,0,0.0,-11913.83244493
2016-04-27,40.00999832,39.35359944,39.43086661,39.27633227,-1.44746747,1.83370678,2.74753113,-2.36661493,2.31192225,1.99012646,10.83800511,3.13156088,0.24663119,9.0,7.0,1,1,0.92533683,0.87909839,-3.17038089,0,25.0,2.44938661,0.24295752,0.35285163,1.92280753,-4.99710373,0.15622211,0.00704754,0.75112185,-0.00226017,0.00523698,0.02140673,0.02619052,39.89857156,39.34600004,0,1,39.09950008,0,3.81415539,66.2288948,0,0,0,0,3563712.46337891,3.0,5.0,7.0,-0.14096284,3.14021139,1.0,0.0,5.0,3.0,0,0,0.0,89698.27597381
2016-04-28,40.06999969,39.42182804,39.50420626,39.33944981,-1.41201258,1.82318415,2.74753113,-2.24719375,2.48333271,1.83527746,10.95596625,3.2344323,-0.07780863,10.0,8.0,1,1,0.92609176,0.8764251,-3.02516943,0,26.0,3.94310418,0.27541362,0.35008516,1.37641762,-4.34182541,0.21666684,0.00149966,0.77132215,0.00704754,-0.01215583,0.00049892,-0.00386702,40.0171427,39.35366669,0,1,39.17300014,0,3.83814033,65.77947127,0,0,0,0,1068024.44458008,3.0,6.0,7.0,-0.20372651,3.0314702,2.0,0.0,5.0,3.0,0,0,0.0,26693.93874994
2016-04-29,39.18000031,39.39879682,39.47646278,39.32113087,0.75666788,-0.36021072,2.74753113,-2.24719375,2.66553604,-0.6286341,8.46643128,3.30608222,-1.3425281,10.0,9.0,0,1,0.94859959,0.89528887,-5.17908859,0,27.0,3.2669698,0.32328286,0.35000468,-0.95497535,-4.26484142,0.26177741,-0.02221112,0.76948098,0.00149966,-0.00226017,0.00523698,-0.00155273,39.88857106,39.32866669,0,1,39.16200008,0,2.93415626,59.65516448,0,0,0,0,-8901239.89562988,2.0,6.0,7.0,2.18996159,1.07308298,0.0,1.0,5.0,3.0,0,1,-5.56760974,-222142.2501478
2016-05-02,39.02000046,39.36272098,39.42297333,39.30246863,1.03273416,-0.72390612,2.74753113,-2.62948277,2.59592143,-1.25268821,8.01765436,3.39127516,0.99271437,10.0,10.0,0,1,0.95173381,0.89981538,-5.56630991,0,28.0,1.38390802,0.37117652,0.35856196,-1.57777351,-4.05247528,0.0395557,-0.00408371,0.76533632,-0.02221112,0.00704754,-0.01215583,0.02747531,39.73428563,39.31566671,0,1,39.17350006,0,2.76540877,60.70177082,0,0,0,0,-1084398.96583557,2.0,5.0,7.0,2.27109561,0.51445532,0.0,2.0,5.0,3.0,0,0,0.0,-27677.35981085
2016-05-03,38.36000061,39.2672238,39.33045216,39.20399545,2.52985279,-2.20019506,2.74753113,-4.32092265,2.55865502,-2.84742465,6.19104161,3.36071085,1.27305137,9.0,11.0,0,1,0.96728557,0.91611247,-7.163599,0,29.0,2.16371694,0.38909031,0.36679242,-3.15771433,-4.13650364,0.11466632,-0.0169144,0.77460609,-0.00408371,0.00149966,-0.00226017,-0.01009076,39.45571409,39.22300008,0,1,39.16400013,0,2.09589091,45.99626912,0,0,0,0,-6036754.6043396,2.0,5.0,6.0,3.93516716,-0.7948807,0.0,3.0,5.0,3.0,0,0,0.0,-154709.2397109
