Date,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
1991-12-13,,,,,,,,False,False,,,0.0,True,0.0,10.995922634463282,,,,,,,,,,,,0,0,,0,0.00260401,,,,,,,,,,0.0,0.0,False,False,0.0,
1991-12-16,,,,,,,,False,False,,,-1.38880412,False,1.0,7.0421615,,,,,-0.01388804,,,,,,,0,0,,0,-0.00485426,,,-176439.23034668,,,,,,,0.0,1.0,False,False,0.0,-313669.74283854
1991-12-17,,,,,,,,False,False,,,-1.38880412,False,2.0,5.63379797,,,,,0.0,,-0.01388804,,,,,0,0,,0,-0.00488563,,,0.0,,,,,,,0.0,0.0,False,False,0.0,0.0
1991-12-18,,,,,,,,False,False,,,0.0,True,0.0,2.73972374,,,,,0.02816899,,0.0,-0.01388804,,,,0,0,,0,0.01042755,,,170300.0,,,,,,,1.0,0.0,False,False,0.0,307019.45438056
1991-12-19,,,,,,,,False,False,,,-4.10966921,False,1.0,4.28580148,,,,,-0.04109669,,0.02816899,0.0,-0.01388804,,,0,0,,0,-0.01282132,,,-171078.48052979,1.0,,,,,,0.0,1.0,False,False,0.0,-299972.9753276
1991-12-20,,,,,,,,False,False,,,-1.36994548,False,2.0,4.16675144,,,,,0.02857143,,-0.04109669,0.02816899,0.0,,,0,0,,0,0.0027986,,,81800.0,2.0,,,,,,1.0,0.0,False,False,0.0,149577.14285714
1991-12-23,,,,,,,,False,False,,,-2.05483461,False,3.0,4.19588777,,,,,-0.00694402,,0.02857143,-0.04109669,0.02816899,0.55859399,,0,0,,0,-0.00106651,,,-30835.61782837,2.0,,,,,,0.0,1.0,False,False,0.0,-54818.87613932
1991-12-24,,,,,,,,False,False,,,0.0,True,0.0,9.09098115,,,,,0.07692347,,-0.00694402,0.02857143,-0.04109669,0.56417441,,0,0,,0,0.04113837,,,306351.6998291,3.0,,,,,,1.0,0.0,False,False,0.0,548433.57819945
1991-12-26,,,,,,,,False,False,,,0.0,True,0.0,10.995922634463282,,,,,0.09401439274082316,,0.07692347,-0.00694402,0.02857143,0.58314756,,0,0,,0,0.12355378,,,745245.86486816,3.0,,,,,,2.0,0.0,False,False,0.0,1238849.28688007
1991-12-27,,,,,,,,False,False,,,-3.40902155,False,1.0,7.05881846,,,,,-0.03409022,,0.09401944154488433,0.07692347,-0.00694402,0.59877256,,0,0,,0,0.09726137,,,-149921.94976807,3.0,4.0,,,,,0.0,1.0,False,False,0.0,-218068.29057173
1991-12-30,,,,,,,,False,False,,,-1.13629428,False,2.0,4.59769792,,,,,0.02352939,,-0.03409022,0.09402589502729838,0.07692347,0.61439756,,0,0,,0,0.11008696,,,103550.0,3.0,5.0,,,,,1.0,0.0,False,False,0.0,155934.00567698
1991-12-31,,,,,,,,False,False,,,0.0,True,0.0,10.995922634463282,,,,,0.09401439274082316,,0.02352939,-0.03409022,0.09403097884345855,0.6467637,,0,0,,0,0.19533274,,,1178700.0,4.0,6.0,,,,,2.0,0.0,False,False,0.0,1734178.09372608
1992-01-02,,,,,,,,False,False,,,0.0,True,0.0,10.995922634463282,,,,,0.09401439274082316,,0.09401944154488433,0.02352939,-0.03409022,0.68973242,,0,0,,0,0.26491713,,,1987471.67739868,4.0,7.0,,,,,3.0,0.0,False,False,0.0,2569658.76633845
1992-01-03,,18.200407972875173,,,,1.0,,True,False,,,0.0,True,0.0,5.35714286,,,16.712345667101282,-30.94858099,0.01357494,,0.09401944154488433,0.09402589502729838,0.02352939,0.73493327,,0,0,,0,0.27080008,,-85.48875743,71401.45263672,4.0,7.0,8.0,-15.6210349,21.186063684255767,,4.0,0.0,False,False,0.0,82709.39784245
