Date,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
1995-09-18,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,,,,,,,,0,0,,0,0.0,,,,,,,,,,0.0,0.0,False,False,0.0,
1995-09-19,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,0.00943396,,,,,,,0,0,,0,0.01136364,,,1500.0,,,,,,,1.0,0.0,True,False,0.94339623,113.20754717
1995-09-20,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,0.01869159,,0.00943396,,,,,0,0,,0,0.16586538,,,1900.0,,,,,,,2.0,0.0,True,False,1.86915888,142.05607477
1995-09-21,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,0.00917431,,0.01869159,0.00943396,,,,0,0,,0,0.09453125,,,5400.0,,,,,,,3.0,0.0,True,False,0.91743119,396.33027523
1995-09-22,,,,,,,,False,False,,,-6.36363636,False,1.0,0.0,,,,,-0.06363636,,0.00917431,0.01869159,0.00943396,,,0,0,,0,-0.4397007,,,-43400.0,3.0,,,,,,0.0,1.0,False,True,-6.36363636,-3156.36363636
1995-09-25,,,,,,,,False,False,,,-1.81818182,False,2.0,0.0,,,,,0.04854369,,-0.06363636,0.00917431,0.01869159,,,0,0,,0,0.17425497,,,4500.0,4.0,,,,,,1.0,0.0,True,False,4.85436893,349.51456311
1995-09-26,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,0.03703704,,0.04854369,-0.06363636,0.00917431,13.48214286,,0,0,,0,0.62847222,,,4400.0,4.0,,,,,,2.0,0.0,True,False,3.7037037,325.92592593
1995-09-27,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,0.0,,0.03703704,0.04854369,-0.06363636,13.58928571,,0,0,,0,0.62847222,,,0.0,3.0,,,,,,0.0,0.0,False,False,0.0,0.0
1995-09-28,,,,,,,,False,False,,,-2.23214286,False,1.0,0.0,,,,,-0.02232143,,0.0,0.03703704,0.04854369,13.63392857,,0,0,,0,0.30929003,,,-875.0,2.0,,,,,,0.0,1.0,False,True,-2.23214286,-62.5
1995-09-29,,,,,,,,False,False,,,-1.78571429,False,2.0,0.0,,,,,0.00456621,,-0.02232143,0.0,0.03703704,13.65178571,,0,0,,0,0.33715753,,,850.0,3.0,6.0,,,,,1.0,0.0,True,False,0.456621,62.10045662
1995-10-02,,,,,,,,False,False,,,-1.78571429,False,3.0,0.0,,,,,0.0,,0.00456621,-0.02232143,0.0,13.65178571,,0,0,,0,0.22213448,,,0.0,2.0,6.0,,,,,0.0,0.0,False,False,0.0,0.0
1995-10-03,,,,,,,,False,False,,,-2.23214286,False,4.0,0.0,,,,,-0.00454545,,0.0,0.00456621,-0.02232143,13.76785714,,0,0,,0,0.15708259,,,-225.0,1.0,5.0,,,,,0.0,1.0,False,True,-0.45454545,-16.36363636
1995-10-04,,,,,,,,False,False,,,0.0,True,0.0,0.0,,,,,0.02283105,,-0.00454545,0.0,0.00456621,13.83928571,,0,0,,0,0.34604058,,,25125.0,2.0,5.0,,,,,1.0,0.0,True,False,2.28310502,1835.61643836
1995-10-05,,-0.91743119,,,,0.0,,False,False,,,-3.57142857,False,1.0,0.0,,,-1.12612343,-2.47315593,-0.03571429,,0.02283105,-0.00454545,0.0,13.76785714,,0,0,,0,-0.15375817,,-39.83333333,-200.0,2.0,4.0,7.0,4.48608645,1.92416996,,0.0,1.0,False,True,-3.57142857,-14.28571429
1995-10-06,2.15633423,-2.75229358,,,2.0,0.0,,False,False,,,-5.35714286,False,2.0,0.0,,,-2.95712115,-2.47315593,-0.01851852,,-0.03571429,0.02283105,-0.00454545,13.66071429,,0,0,,0,-0.40218099,50.0,-36.75,-300.0,1.0,4.0,7.0,6.17521191,0.57369956,,0.0,2.0,False,True,-1.85185185,-22.22222222
1995-10-09,2.13618158,-1.83486239,,,-0.33333333,0.0,,False,False,,,-4.46428571,False,3.0,0.0,,,-2.08978992,-2.4251769,0.00943396,,-0.01851852,-0.03571429,0.02283105,13.61607143,,0,0,,0,-0.27291667,50.0,-36.625,600.0,2.0,4.0,7.0,4.85558991,1.61457544,,1.0,0.0,True,False,0.94339623,45.28301887
1995-10-10,2.594172,-7.28171334,,,2.96853377,0.0,,False,False,,,-10.26785714,False,4.0,0.0,,,-7.77855428,-2.69926679,-0.06074766,,0.00943396,-0.01851852,-0.03571429,13.44642857,,0,0,,0,-1.04910161,38.35616438,-25.79366438,-8775.0,2.0,3.0,6.0,11.31436558,-3.16281564,,0.0,1.0,False,True,-6.07476636,-656.07476636
