Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2021-07-02,237.24000549,242.64708557,246.22300824,239.0711629,3.78646204,-0.77185861,5.03444646,-4.47087839,3.1098713,-3.14927301,-8.72920099,-14.97551552,-0.11164736,8.0,0.0,0,0,1.12673939,1.06454196,-39.16922936,0,142.0,1.81673104,1.50151353,3.05901362,-3.4009828,-37.02754707,-0.61466573,0.00206972,4.57299089,-0.02088504,-0.00755035,-0.01655723,0.0157618,243.94285801,243.0513326,0,1,245.54300003,0,-28.67781702,40.52288777,0,0,0,0,653373.324585,2.0,4.0,6.0,3.92938828,-0.62893235,1.0,0.0,7.0,4.0,0,0,0.0,2759.76061071
2021-07-06,239.05000305,242.30450628,245.95148696,238.6575256,2.88704615,0.16418216,4.37721957,-4.47087839,3.04051805,-2.3431556,-8.05321765,-15.20163704,-0.25596936,8.0,0.0,0,0,1.11799082,1.05718046,-38.70512742,0,143.0,2.63961409,1.18430896,2.59950117,-2.61690365,-37.05799582,-0.63822089,0.00762939,4.63161533,0.00206972,-0.01627339,0.00234733,-0.00445068,242.20000131,243.23999939,0,1,244.96699982,0,-26.80602215,46.69837682,0,0,0,0,3588863.15917963,2.0,5.0,7.0,2.96248091,0.23961693,2.0,0.0,7.0,4.0,0,0,0.0,15127.56312629
2021-07-07,248.75,242.91836283,246.48161803,239.35510763,-0.91191235,3.77684116,5.02763831,-4.47087839,2.97872287,1.32648256,-4.33836577,-14.53752963,-1.56610946,9.0,0.0,1,0,1.07513839,1.01556393,-36.21794872,0,144.0,3.30050521,0.84831866,2.28656307,1.085945,-36.90314585,-1.06577623,0.04057727,4.54867537,0.00762939,-0.02088504,-0.00755035,0.00402755,242.43714469,243.73433278,0,1,244.88849945,0,-17.02511202,61.55820479,0,0,0,0,35776498.74420166,3.0,5.0,8.0,-0.66613976,4.02261376,3.0,0.0,7.0,4.0,0,0,0.0,149661.15158951
2021-07-08,250.30000305,243.62137618,247.15361167,240.08914069,-1.25704808,4.07944955,5.65075512,-4.47087839,2.83499911,1.81655616,-3.78196723,-14.30406503,0.36945348,9.0,0.0,1,0,1.06765621,1.01095623,-35.82051204,0,145.0,5.10187939,0.72936795,2.09994736,1.43464621,-36.72823797,-1.01333313,0.00623117,4.68682884,0.04057727,0.00206972,-0.01627339,-0.00116328,242.81285967,244.41233266,0,1,245.05299988,0,-15.40102543,56.32123617,0,0,0,0,5942246.69952393,4.0,6.0,8.0,-1.10735266,4.22914499,4.0,0.0,7.0,4.0,0,0,0.0,23888.42894281
2021-07-09,269.48999023,246.08505371,252.66419658,239.50591085,-6.24356906,11.1262312,13.31754974,-4.47087839,3.03679542,8.98643975,3.52656067,-13.04071522,3.94696499,9.0,1.0,1,1,0.99630365,0.93556774,-30.9000025,0,146.0,8.23035863,1.23345828,2.21480831,7.96901368,-36.00015862,-1.48444417,0.07666795,7.17848985,0.00623117,0.00762939,-0.02088504,0.00903614,246.19714355,245.55366567,0,1,246.08749924,0,3.81005368,68.93496792,0,0,0,0,189338008.53729248,5.0,6.0,8.0,-6.46104186,10.90875841,5.0,0.0,7.0,4.0,0,0,0.0,756444.29176511
2021-07-12,267.05999756,248.08266741,256.11935381,240.04598101,-4.09669881,10.11533618,13.31754974,-4.47087839,3.12487338,7.42126144,2.49527502,-11.94835062,-0.17417112,9.0,2.0,1,1,1.00690347,0.944406,-31.52307755,0,147.0,3.9204678,1.7954774,2.42272887,6.36391792,-35.62015786,-0.1546658,-0.00901701,8.44115907,0.07666795,0.04057727,0.00206972,-0.01655723,249.8057142,246.28399913,0,1,247.41049881,0,1.38299068,67.26136769,0,0,0,0,-11081009.60083034,4.0,6.0,8.0,-4.80014067,9.41189432,0.0,1.0,7.0,4.0,0,0,0.0,-41118.44596229
2021-07-13,264.61999512,249.657651,258.74278629,240.57251572,-2.22099952,9.0875519,13.31754974,-4.47087839,3.25679976,5.97304639,1.48505405,-11.04275044,-0.19514406,9.0,3.0,1,1,1.01793477,0.95279877,-32.1487192,0,148.0,4.26271597,2.49114543,2.79269209,4.55605516,-35.10535502,0.16022271,-0.00913653,9.23044387,-0.00901701,0.00623117,0.00762939,0.00234733,253.78714207,247.17033234,0,1,248.43149872,0,-1.07137113,63.73410383,0,0,0,0,-15229519.2382809,3.0,5.0,7.0,-3.23338814,8.07516329,0.0,2.0,7.0,4.0,0,0,0.0,-57026.58345505
2021-07-14,252.53999329,249.93215979,259.94284851,239.92147107,2.93135956,4.99664313,13.31754974,-6.38039125,3.75162662,1.03302893,-3.19147544,-10.90759374,-0.82705158,9.0,3.0,1,0,1.07048315,0.99545062,-35.24615557,0,149.0,6.97592653,3.01344937,3.09138179,-0.4236541,-34.97065609,0.95244378,-0.04565037,9.11968746,-0.00913653,0.07666795,0.04057727,-0.00755035,255.97285461,247.56133219,0,1,248.9879982,0,-13.12414339,52.61833858,0,0,0,0,-39710590.01922608,2.0,5.0,7.0,1.95317581,4.01845938,0.0,3.0,7.0,4.0,0,0,0.0,-150066.47551951
2021-07-15,251.0,250.03385886,260.38064018,239.68707753,3.73730685,4.50714042,13.31754974,-6.99019299,3.90216261,0.42410212,-3.78290358,-10.92840087,-0.58945766,9.0,3.0,1,0,1.07833796,1.00029471,-35.64102564,0,150.0,4.1557768,3.37908036,3.29875313,-1.06087373,-34.95093722,1.99111023,-0.00609802,8.80752732,-0.04565037,-0.00901701,0.00623117,-0.01627339,257.67999704,247.8219991,0,1,249.59599838,0,-14.61432572,49.81312598,0,0,0,0,-5147427.55889893,1.0,5.0,6.0,2.4987783,3.26861188,0.0,4.0,7.0,4.0,0,0,0.0,-20382.62332995
2021-07-16,250.82000732,250.10873014,260.55137138,239.6660889,3.8798197,4.44698114,13.31754974,-7.06190322,3.95252111,0.24522903,-3.83658459,-10.62042152,-0.42176891,9.0,3.0,1,0,1.07942172,1.0003713,-35.68717761,0,151.0,3.15764211,3.70083109,3.55082661,-1.38751455,-34.78227215,3.31777751,-0.0007171,8.75828885,-0.00609802,-0.00913653,0.07666795,-0.02088504,257.97571237,248.23499959,0,1,249.86049881,0,-14.75595704,52.96456253,0,0,0,0,-405901.4831543,0.0,5.0,6.0,2.58378215,3.15094359,0.0,5.0,7.0,5.0,0,0,0.0,-1617.13738308
