Date,Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2019-01-17,133.25,123.74111944,128.90522942,118.57700947,-3.26061582,11.01162517,11.00477897,-11.72991328,4.86057417,9.97011247,-16.08149423,-37.61571481,-0.17460107,10.0,0.0,1,0,1.24023802,1.14302653,-32.11228815,0,120.0,2.1163282,2.66280493,4.85682825,8.99381715,-37.71416248,2.96711188,-0.00744879,8.06263212,0.02285714,0.05136079,0.01010676,-0.04149817,127.5142855,121.94999975,0,1,118.60099983,0,-24.15824303,71.69980094,1,0,0,0,-1372400.0,3.0,7.0,9.0,-3.40311427,10.86912679,0.0,1.0,3.0,4.0,0,0,0.0,-10222.71880819
2019-01-18,133.66000366,124.68577508,129.92537742,119.44617274,-2.794124,10.63431882,11.00477897,-11.72991328,4.79660556,8.92791936,-15.79528096,-36.02720054,-0.10453173,11.0,0.0,1,0,1.23554795,1.13961584,-31.90340101,0,121.0,2.55872967,3.13176686,4.1941177,8.39851972,-37.17940138,1.39666629,0.00307695,8.73784425,-0.00744879,0.03582986,-0.02751556,0.0870483,129.08142853,121.92199987,0,1,119.35050011,0,-23.67717749,74.70128434,1,0,0,0,538785.81237793,4.0,7.0,10.0,-3.07294966,10.35549322,1.0,0.0,3.0,3.0,0,0,0.0,4043.42073079
2019-01-22,133.80000305,125.55379679,130.75691086,120.35068273,-2.27435884,10.05180868,11.00477897,-11.72991328,4.73393208,7.76851726,-15.68001737,-34.52625031,-0.12986252,12.0,0.0,1,0,1.23329782,1.13861918,-31.83207465,0,122.0,2.24963356,3.68379931,3.77902241,7.56867953,-36.62846318,1.54444444,0.00104743,9.22705623,0.00307695,0.02285714,0.05136079,0.00717238,130.49142892,121.82099991,0,1,120.31400032,0,-23.46783528,73.9839314,1,0,0,0,175783.23364258,4.0,7.0,10.0,-2.53424552,9.79192205,2.0,0.0,3.0,3.0,0,0,0.0,1315.15209357
2019-01-23,130.91999817,126.06486359,131.10783869,121.02188849,0.14347734,7.56042608,11.00477897,-4.14981652,4.93054748,4.41678115,-17.45076093,-33.21410743,-0.4314512,13.0,0.0,1,0,1.26070368,1.16209273,-33.29936877,0,123.0,5.32004005,4.17323725,3.76737592,4.62405514,-36.2473275,2.28311056,-0.0215247,8.94303272,0.00104743,-0.00744879,0.03582986,-0.01575065,131.97714342,121.6746666,0,1,121.51800041,0,-26.2793782,69.10586613,0,0,0,0,-3339077.66113281,3.0,7.0,9.0,-0.16197386,7.25497493,0.0,1.0,3.0,3.0,0,0,0.0,-24955.73680847
2019-01-24,132.69999695,126.69678105,130.77404416,122.61951795,-1.45135858,7.59644252,11.00477897,-4.14981652,4.77075151,4.42769097,-16.28275462,-31.43617882,0.00247008,14.0,0.0,1,0,1.24220453,1.1467895,-32.39250164,0,124.0,2.56970892,4.54203698,3.97509447,5.30150367,-35.79626501,1.42399953,0.01359608,8.65701098,-0.0215247,0.00307695,0.02285714,0.04434797,132.8328574,121.73833338,0,1,122.76550026,0,-24.45853655,78.17705093,1,0,0,0,1260417.13562012,3.0,7.0,10.0,-1.69536827,7.35243287,1.0,0.0,3.0,3.0,0,0,0.0,9627.38430529
2019-01-25,134.66999817,127.45613506,130.97875348,123.93351665,-2.74095547,7.97243757,11.00477897,-4.14981652,4.19708563,5.02397918,-14.98567783,-30.18074341,0.1346725,14.0,0.0,1,0,1.21824325,1.13430153,-31.38883279,0,125.0,1.96776857,4.86316129,4.37429509,5.7169336,-35.09917013,1.37088877,0.01484553,8.79065244,0.01359608,0.00104743,-0.00744879,0.01010676,133.32142857,121.94833349,0,1,123.79700012,0,-22.43652691,73.42027893,1,0,0,0,1964091.21704102,4.0,7.0,10.0,-2.47357972,8.23981335,2.0,0.0,3.0,3.0,0,0,0.0,14800.98916511
2019-01-28,133.25,128.00793173,131.00527502,125.01058844,-1.68459661,6.18342331,11.00477897,-4.14981652,3.87644158,3.11871217,-15.83873918,-29.10700056,-0.37923465,14.0,0.0,1,0,1.22695954,1.14943071,-32.11228815,0,126.0,2.63415367,5.14545339,4.87901585,3.46220551,-34.38404727,2.36733398,-0.01054428,8.70323068,0.01484553,-0.0215247,0.00307695,-0.02751556,133.17857143,122.10766678,0,1,124.76850014,0,-23.77258189,69.80324564,0,0,0,0,-2147889.23034668,3.0,7.0,9.0,-1.06000131,6.80801864,0.0,1.0,3.0,3.0,0,0,0.0,-15949.27793533
2019-01-29,132.46000671,128.43193887,130.76330015,126.10057758,-1.28091988,4.80101828,11.00477897,-4.14981652,3.69863808,1.66552025,-16.29371506,-27.95380033,-0.46595897,14.0,0.0,1,0,1.23163981,1.15766704,-32.51477097,0,127.0,3.27948753,5.26656411,5.36522322,2.24488587,-33.99647478,1.27466685,-0.00592866,8.331168,-0.01054428,0.01359608,0.00104743,0.05136079,133.06571524,122.33800023,0,1,125.78350029,0,-24.51756313,72.04238063,1,0,0,0,-624805.69000244,2.0,6.0,9.0,-0.53484218,5.54709601,0.0,2.0,3.0,3.0,0,0,0.0,-4688.97328332
2019-01-30,136.47000122,129.19746862,131.33384562,127.06109161,-3.76357848,6.89448928,11.00477897,-4.14981652,3.4920826,3.95790781,-13.72549725,-26.90686471,1.37637928,14.0,0.0,1,0,1.19401183,1.12417018,-30.47177396,0,128.0,2.88708317,5.2399197,5.81636405,4.6027341,-33.53115802,0.3935557,0.03027325,8.12952617,-0.00592866,0.01484553,-0.0215247,0.03582986,133.46714347,122.69766693,0,1,126.93200035,0,-20.43749572,71.01891289,1,0,0,0,5838552.00195312,3.0,6.0,9.0,-2.66234463,7.99572316,1.0,0.0,3.0,3.0,0,0,0.0,44077.84769757
2019-01-31,135.44999695,129.7929475,131.73251636,127.85337865,-2.74454092,5.60843003,11.00477897,-4.14981652,3.51890673,2.53817302,-14.3463151,-26.03965775,-0.3587084,14.0,0.0,1,0,1.20268116,1.13230303,-30.99144192,0,129.0,3.9793278,5.06772669,6.20861588,2.92099216,-32.9499681,-0.15711093,-0.0074742,7.714156,0.03027325,-0.01054428,0.01359608,0.02285714,133.70285688,123.19700012,0,1,128.01750031,0,-21.36022978,67.69040972,0,0,0,0,-2217183.28704834,2.0,5.0,8.0,-1.69330956,6.65966141,0.0,1.0,3.0,3.0,0,0,0.0,-16246.67155577
