ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.487,1.0,-0.5806,-0.08527,-0.1458,0.02582,-0.1138,1.349,1.3021,-0.0379,1.302,1.3,1.299,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.442,0.1705,-0.1333,0.02534,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,-0.5,0.0,0.0,0.0,0.0,0.02313,0.7551199999999997,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.487,1.0,-0.5806,0.7344,-0.1458,0.02582,-0.1138,1.349,1.3021,-0.0379,1.302,1.3,1.299,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3713,0.1705,-0.1333,0.02534,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,0.0,0.0,0.0,0.0,0.0,0.02313,0.7660619999999999,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.487,1.0,-0.5806,-0.1365,-0.1458,0.02582,-0.1138,1.349,1.3151,-0.0379,1.302,1.3,1.299,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3147,0.1705,-0.1333,0.0347,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,0.5,0.0,1.0,0.0,5.266,0.0329,0.2833588,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.441,0.0,-0.58,-0.2177,-0.1458,0.02582,-0.1138,1.349,-0.5546,-0.0379,1.315,1.3,1.299,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3518,0.1705,-0.1333,-0.01174,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,-0.5,1.0,0.0,1.0,-1.786,-0.02014,0.3940148,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.417,0.0,-0.5796,-0.6753,-0.1458,0.02582,-0.1138,1.349,-0.3151,-0.0379,-0.5547,1.313,1.299,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3755,0.1705,-0.1333,-0.011536,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,-0.5,2.0,0.0,0.0,0.0,-0.01999,0.0391319999999999,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.417,0.0,-0.5786,-0.765,-0.1458,0.02582,-0.1138,1.349,-0.0427499999999999,-0.0379,-0.3152,-0.554,1.3125,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3782,0.1705,-0.1333,-0.004803,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,-0.5,0.0,0.0,0.0,0.0,-0.012405,-1.042178,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.251,0.0,-0.578,0.4036,-0.1458,0.02582,-0.1138,1.349,-1.9339,-0.0379,-0.04285,-0.315,-0.5537,-0.3137,-0.2554,0.0,-1.0,-0.2808,0.0,-0.4883,0.1705,-0.1333,-0.04395,-2.0,-0.5,-0.6665,0.577,-0.0357,0.5293,-0.5,1.0,0.0,1.0,-4.27,-0.0568,0.6141059999999999,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.345,0.0,-0.5776,0.2273,-0.1458,0.02582,-0.1138,1.349,1.0691,-0.0379,-1.933,-0.04282,-0.3147,-0.3086,-0.2554,0.0,-1.0,-0.2808,0.0,-0.4233,0.1705,-0.1333,0.0151,-2.0,-0.5,-0.6665,0.577,-0.0357,0.5293,0.0,0.0,0.0,0.0,0.0,0.011086,1.1017480000000002,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.487,1.0,-0.5806,0.2191,-0.1458,0.02582,-0.1138,1.349,1.9081,-0.0379,1.069,-1.932,-0.0428,-0.3003,-0.2554,0.0,-1.0,-0.2808,0.0,-0.315,0.1705,-0.1333,0.0342,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,0.5,0.0,1.0,0.0,5.543,0.0326,-0.0795912,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.475,0.0,-0.58,0.677,-0.1458,0.02582,-0.1138,1.349,-0.1767,-0.0379,1.908,1.068,-1.93,-0.2993,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3386,0.1705,-0.1333,-0.01127,-1.0,-0.5,-0.6665,0.577,-0.0357,0.5293,-0.5,1.0,0.0,0.0,0.0,-0.01958,-0.074984,,,
