ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,3.033,0.545,1.137,0.0631,1.138,-0.9789,0.6953,-0.979,-0.9766,-0.972,0.04648,0.3794,0.0,-1.0,0.1808,0.0,0.1711,0.03027,0.1759,-5.76,-1.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,-0.5,0.0,0.0,0.0,-4.992,-1.1050799999999996,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.435,0.0,-0.8906,3.033,0.545,1.137,0.0631,1.138,-0.9789,0.6953,-0.979,-0.9766,-0.972,0.04648,0.3794,0.0,-1.0,0.1808,0.0,0.0782,0.03027,0.1759,-5.76,-1.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,0.0,0.0,0.0,0.0,-4.992,-1.4689200000000004,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.151,0.0,-0.888,1.686,0.545,1.137,0.0631,1.138,-1.7369,0.6953,-0.979,-0.9766,-0.972,0.04648,0.3794,0.0,-1.0,0.1808,0.0,-0.11725,0.03027,0.1759,-5.863,-1.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,0.5,0.0,0.0,0.0,-4.992,-0.903624,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,0.9917,0.0,-0.8857,0.4846,0.545,1.137,0.0631,1.138,-1.0389,0.6953,-1.737,-0.9766,-0.972,0.04648,0.3794,0.0,-1.0,0.1808,0.0,-0.2178,0.03027,0.1759,-2.205,-1.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,1.0,0.0,0.0,0.0,-2.297,-0.3174492,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.3955,0.0,-0.8833,3.033,0.545,1.137,0.0631,1.138,2.2541,0.6953,-1.039,-1.734,-0.972,0.04648,0.3794,0.0,-1.0,0.1808,0.0,0.2083,0.03027,0.1759,7.367,-1.0,0.0,-0.5,0.3816,0.2191,0.114,1.0,-0.5,0.0,0.0,0.0,7.098,0.971222,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,1.212,0.545,1.137,0.0631,1.138,1.7521,0.6953,2.254,-1.036,-1.729,0.04648,0.3794,0.0,-1.0,0.1808,0.0,0.4624,0.03027,0.1759,5.38,0.0,0.0,-0.5,0.3816,0.2191,0.114,2.0,-0.5,1.0,0.0,10.61,5.26,1.0738360000000005,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,0.75,0.545,1.137,0.0631,1.138,1.8581,0.6953,1.752,2.258,-1.032,0.04648,0.3794,0.0,-1.0,0.1808,0.0,0.732,0.03027,0.1759,6.44,1.0,0.0,-0.5,0.3816,0.2191,0.114,3.0,-0.5,0.0,0.0,0.0,5.918,0.9542440000000004,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,3.033,0.545,1.137,0.0631,1.138,0.9781,0.6953,1.858,1.754,2.256,0.10406,0.3794,0.0,-1.0,0.1808,0.0,0.8574,0.03027,0.1759,4.016,2.0,0.0,-0.5,0.3816,0.2191,0.114,4.0,-0.5,0.0,0.0,0.0,3.45,-0.1604799999999999,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,1.987,0.545,1.137,0.0631,1.138,0.04505,0.6953,0.978,1.861,1.753,0.1794,0.3794,0.0,-1.0,0.1808,0.0,0.8325,0.03027,0.1759,0.0882,3.0,0.0,-0.5,0.3816,0.2191,0.114,5.0,-0.5,0.0,0.0,0.0,0.0738,0.00973,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.461,0.0,-0.8906,1.797,0.545,1.137,0.0631,1.138,-0.8209,0.6953,0.04495,0.9805,1.86,0.2676,0.3794,0.0,-1.0,0.1808,0.0,0.6675,0.03027,0.1759,-1.168,2.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,0.0,0.0,0.0,0.0,-0.9663,-0.5127160000000002,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.375,0.0,-0.888,0.7803,0.545,1.137,0.0631,1.138,-0.5126000000000001,0.6953,-0.821,0.04776,0.981,0.362,0.3794,0.0,-1.0,0.1808,0.0,0.569,0.03027,0.1759,-0.4285,1.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,0.5,0.0,0.0,0.0,-0.3662,-0.6059879999999999,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.216,0.0,-0.8857,2.932,0.545,1.137,0.0631,1.138,-0.9789,0.6953,-0.5127,-0.8184,0.04984,0.3967,0.3794,0.0,-1.0,0.1808,0.0,0.3904,0.03027,0.1759,-1.406,0.0,0.0,-0.5,0.3816,0.2191,0.114,0.0,1.0,0.0,0.0,0.0,-1.227,-0.4045263999999999,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.243,0.0,-0.8833,0.8145,0.545,1.137,0.0631,1.138,0.1948,0.6953,-0.979,-0.51,-0.8145,0.406,0.3794,0.0,-1.0,0.1808,0.0,0.4194,0.03027,0.1759,0.2344,0.0,0.5,-0.5,0.3816,0.2191,0.114,1.0,-0.5,0.0,0.0,0.0,0.2114,-0.292484,,,
2.154,0.0371,0.003054,0.0,-2.502,-0.75,-0.5,1.0,0.0,-0.02931,0.0,1.2,0.0,-0.8804,0.473,0.545,1.137,0.0631,1.138,-0.2589,0.6953,0.1947,-0.976,-0.5063,0.3782,0.3794,0.0,-1.0,0.1808,0.0,0.372,0.03027,0.1759,-0.191,-1.0,0.5,-0.5,0.3816,0.2191,0.114,0.0,0.0,0.0,0.0,0.0,-0.173,-0.4943920000000001,,,
2.154,-0.11035,0.003054,0.0,-2.502,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.156,0.0,-0.878,-0.582,0.545,1.137,0.041,1.102,-0.2726,0.6953,-0.259,0.1975,-0.972,0.3271,0.3794,0.0,-1.0,0.1808,0.0,0.3242,0.03027,0.1647,-0.1566,-1.0,0.0,-0.5,0.4546,0.0762,0.114,0.0,0.5,0.0,0.0,0.0,-0.1437,-0.9203760000000004,,,
2.322,-0.743,0.003054,0.0,8.37,-0.75,-0.5,0.0,0.0,-0.02931,0.0,0.9487,0.0,-0.8755,2.62,0.545,1.137,-0.6475,1.117,-1.3589,0.6953,-0.2727,-0.256,0.1992,0.2515,0.3794,0.0,-1.0,0.1808,0.0,0.1016,-0.02696,0.0295,-1.902,-1.0,-0.5,-0.5,1.018,-0.5107,0.114,0.0,1.0,0.0,0.0,0.0,-1.752,-0.0412368,,,
2.006,-0.09314,0.003054,0.0,-0.8535,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.197,0.0,-0.873,1.736,0.545,1.137,-0.0556,1.173,1.7541,0.6953,-1.359,-0.2698,-0.2537,0.2208,0.3794,0.0,-1.0,0.1808,0.0,0.374,0.442,-0.0254,2.168,0.0,-0.5,0.0,0.2559,0.3318,0.114,1.0,-0.5,0.0,0.0,0.0,2.104,-0.7847520000000004,,,
2.13,-0.647,0.003054,0.0,9.14,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.047,0.0,-0.8706,0.56,0.545,1.137,-0.664,1.223,-0.9672,0.6953,1.754,-1.356,-0.267,0.1829,0.3794,0.0,-1.0,0.1808,0.0,0.2119,0.4314,-0.1399,-0.8926,-1.0,-1.0,0.0,0.6055,-0.1637,0.114,0.0,0.0,0.0,0.0,0.0,-0.814,1.357228,,,
1.779,-0.03247,0.003054,0.0,-0.9453,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.277,0.0,-0.8677,0.966,0.545,1.137,-0.2106,1.223,1.5901,0.6953,-0.9673,1.757,-1.352,0.1901,0.3794,0.0,-1.0,0.1808,0.0,0.4617,0.3337,0.0976,1.519,0.0,-1.0,0.0,-0.0711,0.5083,0.114,1.0,-0.5,0.0,0.0,0.0,1.435,-0.230116,,,
1.68,-0.1693,0.003054,0.0,16.0,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.237,0.0,-0.865,0.7515,0.545,1.137,-0.3936,1.223,-0.2444,0.6953,1.59,-0.965,1.756,0.1893,0.3794,0.0,0.0,0.1808,0.0,0.4153,0.05722,0.2146,-0.2495,0.0,-1.0,-0.5,-0.01532,0.284,0.114,0.0,0.0,0.0,0.0,0.0,-0.2235,0.4280040000000001,,,
1.597,-0.2499,0.003054,0.0,0.771,-0.75,-0.5,0.0,0.0,-0.02931,0.0,1.192,0.0,-0.863,0.2727,0.545,1.137,-0.4883,1.223,-0.2716,0.6914,-0.2445,1.593,-0.961,0.1884,0.3794,0.0,0.0,0.1847,0.0,0.3667,-0.3403,0.394,-0.1581,0.0,-1.0,-1.0,0.0791,0.1083,0.02832,0.0,0.5,0.0,0.0,0.0,-0.1436,1.0667697600000003,,,
1.182,0.792,0.003054,0.0,-4.99,-0.625,-0.5,1.0,0.0,-0.02931,0.0,1.536,0.0,-0.8604,3.033,0.545,1.137,0.6226,1.223,2.2541,0.7393,-0.2717,-0.2417,1.592,0.2324,0.3794,0.0,0.0,0.2091,0.0,0.7334,-0.0928,0.535,4.062,0.0,-0.5,-1.0,-0.6655,1.094,0.565,1.0,-0.5,0.0,0.0,0.0,3.705,0.096696,,,
1.117,1.494,0.003054,0.0,1.108,-0.5,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,3.033,0.545,1.137,1.273,1.142,1.5271,0.7593,2.254,-0.269,-0.2391,0.3293,0.3794,0.0,0.0,0.2546,0.0,0.9766,0.1594,0.5986,4.543,1.0,-0.5,-1.0,-1.096,1.581,0.8896,2.0,-0.5,0.0,0.0,0.0,3.816,0.988532,,,
1.025,1.719,0.003054,0.0,0.6626,-0.375,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,1.3125,0.545,1.137,1.544,0.9805,1.6501,0.8022,1.527,2.258,-0.2664,0.4307,0.3794,0.0,0.0,0.3179,0.0,1.255,0.543,0.619,4.117,1.0,0.0,-0.5,-1.349,1.816,1.22,3.0,-0.5,0.0,0.0,0.0,3.273,-1.025876,,,
1.467,1.201,0.003054,0.0,-0.3447,-0.25,-0.5,1.0,0.0,-0.02931,0.0,1.326,0.0,-0.8906,3.033,0.545,1.137,0.83,1.021,-1.6259,0.787,1.65,1.529,2.256,0.514,0.3794,0.0,0.0,0.3535,0.0,0.9023,0.3062,0.5034,-3.758,1.0,0.0,-0.5,-0.642,1.302,0.6484,0.0,0.0,0.0,0.0,0.0,-2.81,0.272572,,,
1.302,1.3955,0.003054,0.0,0.329,-0.125,-0.5,1.0,0.0,-0.02931,0.0,1.435,0.0,-0.888,1.318,0.545,1.137,1.072,1.05,0.7071,0.919,-1.626,1.653,1.529,0.5845,0.3794,0.0,0.0,0.3838,0.0,1.022,0.5503,0.4673,0.8354,2.0,0.5,0.0,-0.7837,1.482,0.742,1.0,-0.5,0.0,0.0,0.0,0.668,-0.929896,,,
1.679,0.394,0.003054,0.0,-0.632,0.0,-0.5,1.0,0.0,-0.02931,0.0,1.144,0.0,-0.8857,2.371,0.545,1.137,0.05597,1.083,-1.7859,0.933,0.707,-1.623,1.652,0.6226,0.3794,0.0,0.0,0.389,0.0,0.6587,0.2202,0.3884,-3.943,1.0,0.0,-0.5,0.1437,0.7383,0.225,0.0,0.0,0.0,0.0,0.0,-3.064,1.852106,,,
1.691,1.645,0.003054,0.0,3.47,0.0,-0.5,1.0,0.0,-0.02931,0.0,1.599,0.0,-0.8833,3.033,0.7,1.137,1.253,1.1455,2.2541,1.176,-1.786,0.71,-1.618,0.724,0.3794,0.0,0.0,0.4087,0.0,1.174,0.538,0.6196,7.367,1.0,0.5,0.0,-0.8296,1.816,0.882,1.0,-0.5,0.0,0.0,0.0,7.098,0.012672,,,
1.776,1.54,0.003054,0.0,0.0826,0.125,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,0.763,0.763,1.137,1.229,1.155,0.2327999999999999,1.411,2.254,-1.783,0.711,0.7905,0.3794,0.0,0.0,0.43,0.0,1.199,0.5938,0.6216,0.434,1.0,0.5,0.5,-0.829,1.813,0.825,2.0,-0.5,0.0,0.0,0.0,0.3276,-0.4655279999999998,,,
2.025,0.985,0.003054,0.0,-0.2421,0.25,-0.5,1.0,0.0,-0.02931,0.0,1.496,0.0,-0.8906,3.033,0.8394,1.137,0.717,1.213,-0.6129,1.552,0.2327,2.258,-1.778,0.8145,0.3794,0.0,0.0,0.452,0.0,1.053,0.6724,0.4849,-1.251,1.0,0.5,0.5,-0.4985,1.404,0.608,0.0,0.0,0.0,0.0,0.0,-0.927,1.4092692000000002,,,
1.78,1.719,0.003054,0.0,1.102,0.375,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,1.828,0.991,1.137,1.544,1.042,2.2541,1.93,-0.613,0.2355,2.256,0.8525,0.417,0.0,0.0,0.495,0.0,1.484,0.74,0.7783,3.88,1.0,1.0,0.5,-1.162,1.816,0.9307,1.0,-0.5,0.0,0.0,0.0,2.955,0.9456988000000002,,,
2.008,1.719,0.003054,0.0,0.309,0.5,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,3.033,1.281,1.137,1.544,0.965,1.1841,2.36,2.254,-0.61,0.2372,0.953,0.4656,0.0,0.0,0.5547,0.0,1.616,0.9565,0.846,3.703,2.0,1.0,1.0,-1.349,1.816,0.977,2.0,-0.5,0.0,0.0,0.0,2.6,-1.0819063999999998,,,
2.373,0.921,0.003054,0.0,-0.4673,0.625,-0.5,1.0,0.0,-0.02931,0.0,1.296,0.0,-0.8906,3.033,1.612,1.137,0.7603,1.014,-1.8049,2.412,1.184,2.258,-0.607,0.9966,0.5107,0.0,0.0,0.597,0.0,1.261,0.555,0.7617,-3.834,1.0,0.5,0.5,-0.456,1.618,0.552,0.0,0.0,0.0,0.0,0.0,-2.57,-0.13494,,,
2.373,0.4802,0.003054,0.0,-0.3657,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.214,0.0,-0.888,1.656,1.874,1.298,0.402,1.044,-0.5099,2.412,-1.805,1.187,2.256,1.065,0.5566,0.0,0.0,0.6367,0.0,1.14,0.51,0.705,-0.6426,0.0,0.0,0.5,-0.1368,1.334,0.4126,0.0,0.5,0.0,0.0,0.0,-0.4604,-0.2591279999999999,,,
2.373,0.097,0.003054,0.0,-0.6914,0.875,-0.5,1.0,0.0,-0.02931,0.0,1.144,0.0,-0.8857,0.544,2.018,1.385,0.11957,1.063,-0.4413,2.348,-0.51,-1.802,1.187,1.065,0.59,0.0,0.0,0.6753,0.0,1.037,0.479,0.6523,-0.4634,0.0,0.0,0.5,0.04617,1.007,0.2952,0.0,1.0,0.0,0.0,0.0,-0.3381,0.0508912,,,
2.373,-0.0796,0.003054,0.0,-1.461,0.75,-0.5,0.0,0.0,-0.02931,0.0,1.115,0.0,-0.8833,0.6255,2.037,1.448,-0.08246,1.1,-0.1684,2.072,-0.4414,-0.507,-1.796,1.057,0.6147,0.0,0.0,0.7207,0.0,0.991,0.2896,0.7275,-0.1978,-1.0,-0.5,0.0,0.10474,0.823,0.2267,0.0,1.5,0.0,0.0,0.0,-0.1456,0.7420768000000001,,,
2.373,0.2876,0.003054,0.0,-7.28,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.26,0.0,-0.8804,0.889,1.989,1.515,0.2598,1.132,0.9831,1.946,-0.1685,-0.4387,-0.504,1.082,0.637,0.0,0.0,0.763,0.0,1.176,0.2507,0.8906,1.095,-1.0,0.0,0.0,-0.2793,1.128,0.373,1.0,-0.5,0.0,0.0,0.0,0.8276,0.6172200000000001,,,
2.066,0.8896,0.003054,0.0,2.295,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.481,0.0,-0.878,0.5327,1.926,1.562,0.9062,1.143,1.4511,1.761,0.983,-0.1656,-0.4355,1.092,0.663,0.0,0.0,0.823,0.0,1.465,0.2441,1.113,1.459,0.0,0.0,0.0,-0.77,1.575,0.627,2.0,-0.5,0.0,0.0,0.0,1.064,-0.042624,,,
1.836,0.724,0.003054,0.0,-0.04907,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.471,0.0,-0.8755,-0.0533,1.831,1.624,0.79,1.167,-0.0486,1.651,1.451,0.986,-0.1632,1.073,0.688,0.0,0.0,0.8735,0.0,1.442,0.4802,0.975,-0.0329,0.0,-0.5,0.0,-0.667,1.403,0.563,0.0,0.0,0.0,0.0,0.0,-0.01892,0.7223744000000002,,,
1.714,0.9277,0.003054,0.0,0.4546,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.583,0.0,-0.873,0.621,1.678,1.667,1.054,1.19,0.7101,1.498,-0.0487,1.454,0.9863,1.114,0.721,0.0,0.0,0.931,0.0,1.583,0.4902,1.081,0.7236,1.0,0.0,0.0,-0.881,1.505,0.6816,1.0,-0.5,0.0,0.0,0.0,0.504,0.0802104,,,
1.687,0.702,0.003054,0.0,-0.11127,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.571,0.0,-0.8706,1.163,1.525,1.694,0.8296,1.223,-0.0549799999999999,1.167,0.71,-0.04587,1.453,1.166,0.7563,0.0,0.0,0.9897,0.0,1.552,0.797,0.903,-0.0797,1.0,-0.5,0.0,-0.867,1.224,0.6504,0.0,0.0,0.0,0.0,0.0,-0.0496,1.1617320000000004,,,
1.275,1.306,0.003054,0.0,1.076,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,0.9277,1.535,1.725,1.259,1.146,1.5741,1.26,-0.05508,0.7124,-0.04364,1.264,0.8057,0.0,0.0,1.048,0.0,1.616,0.7036,1.209,2.453,1.0,-0.5,0.0,-1.267,1.757,0.97,1.0,-0.5,0.0,0.0,0.0,1.662,-0.1421356,,,
1.242,1.458,0.003054,0.0,0.2798,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.602,1.0,-0.893,0.9297,1.532,1.737,1.433,1.096,0.6637,1.523,1.574,-0.05225,0.7134,1.383,0.858,0.0,0.0,1.101,0.0,1.616,0.7563,1.293,0.7534,1.0,0.0,0.0,-1.349,1.816,0.9766,2.0,-0.5,0.0,0.0,0.0,0.4858,-0.30674,,,
1.078,1.022,0.003054,0.0,-0.1744,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.517,0.0,-0.8906,0.008255,1.564,1.778,1.009,1.144,-0.4892,1.72,0.6636,1.577,-0.05002,1.386,0.908,0.0,0.0,1.138,0.0,1.616,0.7617,1.199,-0.4744,1.0,0.0,0.0,-1.096,1.415,0.732,0.0,0.0,0.0,0.0,0.0,-0.2903,-0.3757008,,,
1.023,0.765,0.003054,0.0,-0.1212,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.459,0.0,-0.888,0.373,1.603,1.805,0.7197,1.178,-0.3327,1.695,-0.4893,0.6665,1.576,1.386,0.9575,0.0,0.0,1.184,0.0,1.616,0.42,1.323,-0.3638,0.0,0.0,-0.5,-0.8877,1.115,0.5835,0.0,0.5,0.0,0.0,0.0,-0.2261,-0.5072000000000001,,,
0.8643,0.2712,0.003054,0.0,-0.543,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.297,0.0,-0.8857,1.071,1.634,1.766,0.2499,1.172,-0.9769,1.604,-0.3328,-0.4866,0.6675,1.386,1.007,0.0,0.0,1.216,0.0,1.543,-0.00584,1.338,-1.246,0.0,0.0,-1.0,-0.4468,0.5693,0.2961,0.0,1.0,0.0,1.0,-7.688,-0.7974,0.0212479999999999,,,
0.651,-0.01962,0.003054,0.0,-0.9404,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.217,0.0,-0.8833,0.1742,1.631,1.679,-0.004253,1.176,-0.4953,1.193,-0.977,-0.33,-0.4834,1.386,1.046,0.0,0.0,1.257,0.0,1.42,0.2964,1.134,-0.4072,-1.0,-0.5,-1.0,-0.1953,0.3079,0.1262,0.0,1.5,0.0,0.0,0.0,-0.268,0.1455879999999999,,,
0.5015,0.09,0.003054,0.0,16.0,0.75,-0.5,1.0,0.0,-0.02931,0.0,1.279,0.0,-0.8804,-0.4302,1.61,1.597,0.1027,1.202,0.4216999999999999,1.111,-0.4954,-0.974,-0.3271,1.386,1.092,0.0,0.0,1.28,0.0,1.503,0.5054,1.086,0.3323,-1.0,-0.5,-0.5,-0.3354,0.4485,0.2091,1.0,-0.5,0.0,0.0,0.0,0.2306,0.1680390399999999,,,
0.6143,-0.326,0.003054,0.0,-3.88,0.625,-0.5,0.0,0.0,-0.02931,0.0,1.162,0.0,-0.878,0.897,1.548,1.496,-0.317,1.223,-0.7353000000000001,1.018,0.4216,-0.4924,-0.97,1.386,1.126,0.0,0.0,1.296,0.0,1.324,0.4116,1.013,-0.804,-1.0,-0.5,-0.5,0.03683,0.1257,-0.04453,0.0,0.0,0.0,0.0,0.0,-0.536,-1.0708800000000005,,,
0.9146,-0.834,0.003054,0.0,2.027,0.625,-0.5,0.0,0.0,-0.02931,0.0,1.004,0.0,-0.8755,2.135,1.435,1.375,-0.784,1.223,-1.0299,0.879,-0.7354,0.4243,-0.4895,1.385,1.155,0.0,0.0,1.303,0.0,1.085,0.2007,0.9585,-1.773,-1.0,-1.0,-0.5,0.4956,-0.328,-0.4058,0.0,0.5,0.0,1.0,-8.49,-1.223,0.9201431999999998,,,
0.8813,-0.128,0.003054,0.0,-0.8174,0.5,-0.5,0.0,0.0,-0.02931,0.0,1.262,0.0,-0.873,2.412,1.307,1.261,-0.0743,1.223,1.7931,0.8745,-1.03,-0.7324,0.4258,1.346,1.196,0.0,0.0,1.303,0.0,1.443,0.3337,1.16,2.984,0.0,-0.5,-0.5,-0.236,0.463,0.1263,1.0,-0.5,0.0,0.0,0.0,2.152,-1.1846459999999996,-0.1284550726413726,1.9215550726413728,-0.1284550726413726
1.344,-1.174,0.003054,0.0,11.41,0.375,-0.5,0.0,0.0,-0.02931,0.0,0.8906,0.0,-0.8706,2.955,1.032,1.148,-1.065,1.202,-2.1299,0.9717,1.793,-1.027,-0.729,1.259,1.213,0.0,0.0,1.294,0.0,0.888,-0.3337,1.127,-5.863,0.0,-1.0,-1.0,0.9785,-0.507,-0.5957,0.0,0.0,0.0,0.0,0.0,-4.992,1.7959319999999994,0.0539219118654727,-2.1838219118654725,0.0539219118654727
1.361,0.2568,0.003054,0.0,-1.231,0.375,-0.5,1.0,0.0,-0.02931,0.0,1.387,0.0,-0.8677,3.033,0.7085,1.05,0.3667,1.221,2.2541,0.974,-2.13,1.796,-1.023,1.272,1.241,0.0,0.0,1.303,0.0,1.561,0.1718,1.338,7.367,0.0,-1.0,-0.5,-0.347,1.088,0.3774,1.0,-0.5,0.0,0.0,0.0,7.098,-1.1998240000000004,-0.2336460798978805,2.4877460798978808,-0.2336460798978805
1.583,-0.3289,0.003054,0.0,-2.16,0.25,-0.5,0.0,0.0,-0.02931,0.0,1.185,0.0,-0.865,-0.04697,0.266,0.9287,-0.208,1.21,-1.2539,0.879,2.254,-2.129,1.795,1.268,1.254,0.0,0.0,1.303,0.0,1.236,-0.0927,1.309,-5.863,0.0,-1.0,-1.0,0.31,0.572,-0.0655,0.0,0.0,0.0,0.0,0.0,-4.01,-0.073532,-0.0282513163983821,-1.2256486836016178,-0.0282513163983821
1.677,-0.684,0.003054,0.0,1.45,0.125,-0.5,0.0,0.0,-0.02931,0.0,1.051,0.0,-0.863,0.9663,-0.213,0.775,-0.565,1.195,-0.8593000000000001,0.7515,-1.254,2.258,-2.123,1.232,1.27,0.0,0.0,1.303,0.0,1.029,-0.1863,1.218,-2.318,0.0,-1.0,-1.0,0.663,0.1533,-0.3916,0.0,0.5,0.0,0.0,0.0,-1.591,-0.9822519999999996,-0.1863817572593689,-0.6729182427406312,-0.1863817572593689
1.799,-1.14,0.003054,0.0,0.9204,0.0,-0.5,0.0,0.0,-0.02931,0.0,0.857,0.0,-0.8604,0.6816,-0.459,0.6035,-1.023,1.15,-1.3039,0.7266,-0.8594,-1.251,2.256,1.185,1.275,0.0,0.0,1.303,0.0,0.738,-0.541,1.203,-3.928,-1.0,-1.0,-1.5,1.271,-0.3655,-0.842,0.0,1.0,0.0,1.0,-9.8,-2.791,0.3395516,-0.2613860666751861,-1.042513933324814,-0.2613860666751861
1.804,-1.002,0.003054,0.0,0.01472,-0.125,-0.5,0.0,0.0,-0.02931,0.0,0.8535,0.0,-0.858,1.45,-0.4854,0.4277,-0.903,1.1045,-0.00739,0.816,-1.304,-0.8564,-1.246,1.162,1.29,0.0,0.0,1.303,0.0,0.7266,-0.6553,1.262,-0.04437,-1.0,-1.0,-2.0,1.176,-0.3223,-0.8027,0.0,1.5,0.0,0.0,0.0,-0.03078,-0.0340183999999999,0.0111844195052981,-0.0185744195052981,0.0111844195052981
2.064,-0.892,0.003054,0.0,0.02696,-0.25,-0.5,0.0,0.0,-0.02931,0.0,0.8447,0.0,-0.855,3.033,-0.2808,0.2362,-0.813,1.064,-0.0440599999999999,0.975,-0.00749,-1.301,-0.853,1.098,1.289,0.0,0.0,1.303,0.0,0.71,-0.6094,1.228,-0.1226,-2.0,-1.5,-2.0,1.114,-0.289,-0.7324,0.0,2.0,0.0,0.0,0.0,-0.0895,0.8221128,-0.2350580841302871,0.1909980841302871,-0.2350580841302871
