ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,0.848,-0.375,-0.3853,0.3257,0.4644,1.80300001,-0.4565,1.803,1.803,1.803,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3025,0.435,-0.586,0.2325,1.0,0.0,0.0,0.4155,0.3984,0.359,-0.5,0.0,0.0,0.0,0.0,5.273,1.69176,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,1.713,-0.375,-0.3853,0.3257,0.4644,1.80300001,-0.4565,1.803,1.803,1.803,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.302,0.435,-0.586,0.2325,1.0,0.0,0.0,0.4155,0.3984,0.359,0.0,0.0,0.0,0.0,0.0,5.273,1.4794160000000005,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,0.2094,-0.375,-0.3853,0.3257,0.4644,1.71800001,-0.4565,1.803,1.803,1.803,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3015,0.435,-0.586,0.2026,1.0,0.0,0.0,0.4155,0.3984,0.359,0.5,0.0,0.0,0.0,0.0,4.406,0.882388,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,0.627,-0.375,-0.3853,0.3257,0.4644,0.81500001,-0.4565,1.717,1.803,1.803,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3013,0.435,-0.586,0.04877,1.0,0.0,0.0,0.4155,0.3984,0.359,1.0,0.0,0.0,0.0,0.0,1.169,-0.053804,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,-0.2786,-0.375,-0.3853,0.3257,0.4644,0.39380001,-0.4565,0.815,1.717,1.803,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.301,0.435,-0.586,0.008865,1.0,0.0,0.0,0.4155,0.3984,0.359,1.5,0.0,0.0,0.0,0.0,0.3726,-0.78648,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.574,0.0,-0.2734,0.647,-0.375,-0.3853,0.3257,0.4644,-0.80699999,-0.4565,0.3936,0.815,1.717,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3018,0.435,-0.586,-0.04034,1.0,0.0,0.0,0.4155,0.3984,0.359,-0.5,1.0,0.0,0.0,0.0,-0.572,-0.8275163999999998,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.4849,0.0,-0.2715,1.178,-0.375,-0.3853,0.3257,0.4644,-1.23199999,-0.4565,-0.807,0.3936,0.815,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3025,0.435,-0.586,-0.10205,0.0,0.0,0.0,0.4155,0.3984,0.359,-0.5,2.0,0.0,0.0,0.0,-1.79,1.0189344000000002,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,1.494,-0.375,-0.3853,0.3257,0.4644,2.10000001,-0.4565,-1.232,-0.807,0.3936,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3013,0.435,-0.586,0.156,0.0,0.0,0.0,0.4155,0.3984,0.359,0.0,0.0,0.0,0.0,0.0,3.363,-0.3920400000000001,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.574,0.0,-0.2734,0.647,-0.375,-0.3853,0.3257,0.4644,-0.80699999,-0.4565,2.1,-1.232,-0.8076,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.302,0.435,-0.586,-0.06244,-1.0,0.0,0.0,0.4155,0.3984,0.359,-0.5,1.0,0.0,0.0,0.0,-0.9937,-0.574288,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.5146,0.0,-0.2715,0.225,-0.375,-0.3853,0.3257,0.4644,-0.8246999899999999,-0.4565,-0.807,2.1,-1.233,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3025,0.435,-0.586,-0.03912,-2.0,0.0,0.0,0.4155,0.3984,0.359,-0.5,2.0,0.0,0.0,0.0,-0.56,0.3699807999999999,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,1.937,-0.375,-0.3853,0.3257,0.4644,1.65800001,-0.4565,-0.825,-0.807,2.1,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3015,0.435,-0.586,0.1276,-1.0,0.5,0.0,0.4155,0.3984,0.359,0.0,0.0,0.0,0.0,0.0,2.756,-0.3432348000000001,,,
