Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.0,2.25,2.125,2.25,1.2044414281845093,65600
1990-01-03,0.0,2.25,2.125,2.125,1.1375279426574707,28000
1990-01-04,0.0,2.1875,2.125,2.15625,1.1542565822601318,126800
1990-01-05,0.0,2.1875,2.0,2.03125,1.0873427391052246,999200
1990-01-08,0.0,2.125,2.0,2.125,1.1375279426574707,76400
1990-01-09,0.0,2.125,2.0625,2.125,1.1375279426574707,188000
1990-01-10,0.0,2.125,2.0625,2.0625,1.1040716171264648,50000
1990-01-11,0.0,2.125,2.0625,2.0625,1.1040716171264648,288000
1990-01-12,0.0,2.09375,2.0,2.0,1.0706145763397217,80000
1990-01-15,0.0,2.0,2.0,2.0,1.0706145763397217,10000
1990-01-16,0.0,2.0625,2.0,2.0625,1.1040716171264648,272000
1990-01-17,0.0,2.09375,2.0,2.03125,1.0873427391052246,91200
1990-01-18,0.0,2.0625,2.0,2.0,1.0706145763397217,268000
1990-01-19,0.0,2.0625,2.0,2.0,1.0706145763397217,65600
1990-01-22,0.0,2.0625,1.9375,1.96875,1.0538859367370605,268000
1990-01-23,0.0,2.0,1.96875,1.96875,1.0538859367370605,203200
1990-01-24,0.0,2.0,1.90625,2.0,1.0706145763397217,70800
1990-01-25,0.0,2.0625,1.9375,1.9375,1.0371575355529785,508400
1990-01-26,0.0,2.0,1.9375,1.9375,1.0371575355529785,228400
1990-01-29,0.0,2.0625,1.875,1.9375,1.0371575355529785,113200
1990-01-30,0.0,1.96875,1.875,1.875,1.0037013292312622,961200
1990-01-31,0.0,1.9375,1.78125,1.84375,0.9869730472564697,489600
1990-02-01,0.0,1.9375,1.84375,1.90625,1.0204294919967651,41600
1990-02-02,0.0,1.9375,1.84375,1.875,1.0037013292312622,82000
1990-02-05,0.0,1.90625,1.78125,1.84375,0.9869730472564697,350400
1990-02-06,0.0,1.84375,1.75,1.78125,0.9535161256790161,1996000
1990-02-07,0.0,1.875,1.75,1.8125,0.9702442288398743,628800
1990-02-08,0.0,1.875,1.8125,1.875,1.0037013292312622,214800
1990-02-09,0.0,1.875,1.8125,1.875,1.0037013292312622,55200
1990-02-12,0.0,1.875,1.8125,1.875,1.0037013292312622,21600
1990-02-13,0.0,1.90625,1.8125,1.875,1.0037013292312622,382000
1990-02-14,0.0,1.90625,1.84375,1.875,1.0037013292312622,65200
1990-02-15,0.0,1.90625,1.84375,1.84375,0.9869730472564697,548000
1990-02-16,0.0,1.875,1.8125,1.84375,0.9869730472564697,306800
1990-02-20,0.0,1.875,1.8125,1.8125,0.9702442288398743,346800
1990-02-21,0.0,1.8125,1.75,1.75,0.9367878437042236,588400
1990-02-22,0.0,1.84375,1.75,1.78125,0.9535161256790161,148400
1990-02-23,0.0,1.8125,1.71875,1.75,0.9367878437042236,160800
1990-02-26,0.0,1.8125,1.75,1.78125,0.9535161256790161,70400
1990-02-27,0.0,1.8125,1.75,1.75,0.9367878437042236,302400
1990-02-28,0.0,1.8125,1.75,1.8125,0.9702442288398743,205200
1990-03-01,0.0,1.875,1.78125,1.875,1.0037013292312622,188000
1990-03-02,0.0,1.875,1.8125,1.8125,0.9702442288398743,518400
1990-03-05,0.0,1.875,1.8125,1.8125,0.9702442288398743,12800
1990-03-06,0.0,1.90625,1.8125,1.90625,1.0204294919967651,575200
1990-03-07,0.0,1.96875,1.875,1.96875,1.0538859367370605,748000
1990-03-08,0.0,1.96875,1.90625,1.90625,1.0204294919967651,30000
1990-03-09,0.0,2.03125,1.90625,2.0,1.0706145763397217,540000
1990-03-12,0.0,2.03125,1.96875,2.0,1.0706145763397217,460800
1990-03-13,0.0,2.03125,1.96875,2.0,1.0706145763397217,212400
1990-03-14,0.0,2.3125,2.0,2.3125,1.2378982305526733,984800
1990-03-15,0.0,2.34375,2.21875,2.21875,1.1877129077911377,260800
1990-03-16,0.0,2.28125,2.21875,2.21875,1.1877129077911377,115200
1990-03-19,0.0,2.28125,2.15625,2.21875,1.1877129077911377,73600
1990-03-20,0.0,2.25,2.15625,2.15625,1.1542565822601318,103600
1990-03-21,0.0,2.21875,2.15625,2.1875,1.1709846258163452,114800
1990-03-22,0.0,2.1875,2.15625,2.15625,1.1542565822601318,270800
1990-03-23,0.0,2.25,2.15625,2.1875,1.1709846258163452,108000
1990-03-26,2.1875,2.25,2.15625,2.15625,1.1542565822601318,242400
1990-03-27,2.25,2.25,2.15625,2.25,1.2044414281845093,24800
1990-03-28,2.1875,2.25,2.1875,2.21875,1.1877129077911377,37200
1990-03-29,2.1875,2.25,2.15625,2.15625,1.1542565822601318,74800
1990-03-30,2.15625,2.25,2.15625,2.15625,1.1542565822601318,14000
1990-04-02,2.15625,2.21875,2.15625,2.21875,1.1877129077911377,138800
1990-04-03,2.25,2.46875,2.1875,2.4375,1.3048115968704224,1432800
1990-04-04,2.4375,2.5625,2.4375,2.5,1.3382682800292969,862000
1990-04-05,2.46875,2.53125,2.46875,2.5,1.3382682800292969,3251200
1990-04-06,2.46875,2.53125,2.46875,2.46875,1.3215397596359253,964400
1990-04-09,2.46875,2.53125,2.46875,2.46875,1.3215397596359253,214000
1990-04-10,2.46875,2.53125,2.46875,2.5,1.3382682800292969,667200
1990-04-11,2.46875,2.65625,2.46875,2.65625,1.421910285949707,2848800
1990-04-12,2.6875,2.6875,2.53125,2.5625,1.3717248439788818,406000
1990-04-16,2.53125,2.625,2.5,2.5,1.3382682800292969,148400
1990-04-17,2.5,2.5625,2.5,2.5,1.3382682800292969,82800
1990-04-18,2.5625,2.5625,2.4375,2.4375,1.3048115968704224,312400
1990-04-19,2.4375,2.4375,2.34375,2.375,1.2713547945022583,264800
1990-04-20,2.3125,2.3125,2.25,2.25,1.2044414281845093,797600
1990-04-23,2.25,2.25,2.125,2.1875,1.1709846258163452,680000
1990-04-24,2.15625,2.25,2.15625,2.25,1.2044414281845093,389200
1990-04-25,2.1875,2.375,2.1875,2.3125,1.2378982305526733,181600
1990-04-26,2.3125,2.4375,2.3125,2.40625,1.2880829572677612,58800
1990-04-27,2.3125,2.34375,2.25,2.28125,1.2211695909500122,205600
1990-04-30,2.25,2.3125,2.25,2.3125,1.2378982305526733,56400
1990-05-01,2.28125,2.28125,2.25,2.28125,1.2211695909500122,42800
1990-05-02,2.25,2.28125,2.25,2.25,1.2044414281845093,82400
1990-05-03,2.25,2.3125,2.25,2.3125,1.2378982305526733,45600
1990-05-04,2.3125,2.375,2.25,2.3125,1.2378982305526733,324400
1990-05-07,2.34375,2.375,2.34375,2.375,1.2713547945022583,40800
1990-05-08,2.34375,2.4375,2.3125,2.4375,1.3048115968704224,131600
1990-05-09,2.375,2.4375,2.375,2.4375,1.3048115968704224,100000
1990-05-10,2.375,2.4375,2.375,2.4375,1.3048115968704224,246400
1990-05-11,2.4375,2.4375,2.375,2.375,1.2713547945022583,284400
1990-05-14,2.375,2.46875,2.375,2.40625,1.2880829572677612,322800
1990-05-15,2.4375,2.4375,2.375,2.4375,1.3048115968704224,477600
1990-05-16,2.375,2.5,2.375,2.46875,1.3215397596359253,1628000
1990-05-17,2.4375,2.5625,2.4375,2.53125,1.3549970388412476,649600
1990-05-18,2.5625,2.6875,2.5,2.65625,1.421910285949707,627200
1990-05-21,2.625,2.96875,2.625,2.8125,1.5055519342422485,1808800
1990-05-22,2.9375,2.9375,2.8125,2.84375,1.522280216217041,648800
1990-05-23,2.8125,2.8125,2.75,2.75,1.4720954895019531,560000
1990-05-24,2.75,2.78125,2.75,2.78125,1.488823413848877,544400
1990-05-25,2.75,2.8125,2.6875,2.71875,1.4553674459457397,144800
1990-05-29,2.71875,2.84375,2.71875,2.84375,1.522280216217041,1823200
1990-05-30,2.84375,2.9375,2.8125,2.9375,1.572465419769287,590400
1990-05-31,2.90625,3.0,2.90625,2.96875,1.5891939401626587,320000
1990-06-01,3.0,3.0,2.9375,2.96875,1.5891939401626587,1073200
1990-06-04,2.96875,3.0,2.96875,3.0,1.6059223413467407,336400
1990-06-05,2.96875,3.0,2.875,2.875,1.539008378982544,813200
1990-06-06,2.90625,2.9375,2.84375,2.875,1.539008378982544,326800
1990-06-07,2.875,2.96875,2.875,2.96875,1.5891939401626587,151200
1990-06-08,2.90625,2.96875,2.875,2.90625,1.5557372570037842,636400
1990-06-11,2.875,2.9375,2.84375,2.84375,1.522280216217041,101600
1990-06-12,2.84375,2.9375,2.84375,2.9375,1.572465419769287,162400
1990-06-13,2.9375,2.9375,2.84375,2.875,1.539008378982544,254800
1990-06-14,2.84375,2.875,2.78125,2.78125,1.488823413848877,174000
1990-06-15,2.78125,2.8125,2.75,2.8125,1.5055519342422485,284400
1990-06-18,2.78125,2.84375,2.75,2.84375,1.522280216217041,329600
1990-06-19,2.75,2.8125,2.75,2.78125,1.488823413848877,64400
1990-06-20,2.78125,2.875,2.78125,2.875,1.539008378982544,312000
1990-06-21,2.84375,2.9375,2.84375,2.9375,1.572465419769287,510400
1990-06-22,2.875,2.96875,2.875,2.90625,1.5557372570037842,552000
1990-06-25,2.84375,2.875,2.78125,2.78125,1.488823413848877,470800
1990-06-26,2.8125,2.875,2.8125,2.84375,1.522280216217041,103200
1990-06-27,2.8125,2.875,2.8125,2.8125,1.5055519342422485,115600
1990-06-28,2.875,2.96875,2.8125,2.875,1.539008378982544,118800
1990-06-29,2.96875,3.0,2.90625,3.0,1.6059223413467407,106400
1990-07-02,2.90625,3.125,2.90625,3.03125,1.6226497888565063,281600
1990-07-03,3.0625,3.09375,3.03125,3.0625,1.639378547668457,194000
1990-07-05,3.03125,3.0625,2.9375,3.0625,1.639378547668457,109600
1990-07-06,2.9375,3.0,2.9375,2.9375,1.572465419769287,58800
1990-07-09,2.9375,3.0625,2.8125,2.875,1.539008378982544,248400
1990-07-10,2.84375,2.90625,2.84375,2.875,1.539008378982544,61200
1990-07-11,2.875,2.9375,2.84375,2.9375,1.572465419769287,234800
1990-07-12,2.9375,3.0,2.875,3.0,1.6059223413467407,785600
1990-07-13,2.9375,3.0,2.9375,3.0,1.6059223413467407,91200
1990-07-16,3.0,3.0,2.9375,3.0,1.6059223413467407,29600
1990-07-17,2.9375,3.0,2.9375,2.9375,1.572465419769287,94000
1990-07-18,2.9375,3.0,2.9375,3.0,1.6059223413467407,48000
1990-07-19,2.9375,3.0,2.875,2.875,1.539008378982544,930400
1990-07-20,2.9375,2.9375,2.78125,2.8125,1.5055519342422485,757600
1990-07-23,2.75,2.8125,2.75,2.78125,1.488823413848877,258000
1990-07-24,2.8125,2.8125,2.75,2.75,1.4720954895019531,174800
1990-07-25,2.75,2.8125,2.6875,2.71875,1.4553674459457397,912400
1990-07-26,2.75,2.75,2.6875,2.71875,1.4553674459457397,75200
1990-07-27,2.65625,2.75,2.65625,2.75,1.4720954895019531,158800
1990-07-30,2.78125,2.78125,2.6875,2.78125,1.488823413848877,52800
1990-07-31,2.75,2.8125,2.75,2.8125,1.5055519342422485,331200
1990-08-01,2.84375,2.875,2.6875,2.6875,1.4386385679244995,199600
1990-08-02,2.625,2.6875,2.5625,2.59375,1.3884530067443848,96400
1990-08-03,2.59375,2.6875,2.40625,2.53125,1.3549970388412476,643600
1990-08-06,2.5,2.5,2.34375,2.34375,1.2546261548995972,432800
1990-08-07,2.34375,2.46875,2.34375,2.34375,1.2546261548995972,114000
1990-08-08,2.34375,2.4375,2.34375,2.375,1.2713547945022583,129200
1990-08-09,2.34375,2.40625,2.34375,2.34375,1.2546261548995972,109600
1990-08-10,2.4375,2.4375,2.25,2.25,1.2044414281845093,204400
1990-08-13,2.21875,2.25,2.21875,2.25,1.2044414281845093,167200
1990-08-14,2.25,2.3125,2.1875,2.28125,1.2211695909500122,298800
1990-08-15,2.21875,2.28125,2.1875,2.1875,1.1709846258163452,384800
1990-08-16,2.1875,2.21875,2.125,2.125,1.1375279426574707,56400
1990-08-17,2.0625,2.125,2.03125,2.0625,1.1040716171264648,961200
1990-08-20,2.0,2.0625,1.9375,2.0,1.0706145763397217,309600
1990-08-21,1.9375,2.0,1.9375,1.96875,1.0538859367370605,437600
1990-08-22,1.96875,2.0,1.8125,1.8125,0.9702442288398743,479600
1990-08-23,1.84375,1.90625,1.78125,1.8125,0.9702442288398743,820800
1990-08-24,1.875,1.96875,1.875,1.9375,1.0371575355529785,469200
1990-08-27,2.0,2.0625,1.96875,2.03125,1.0873427391052246,150800
1990-08-28,2.03125,2.0625,1.9375,2.0625,1.1040716171264648,270400
1990-08-29,2.0625,2.0625,1.9375,1.9375,1.0371575355529785,614000
1990-08-30,1.96875,1.96875,1.875,1.875,1.0037013292312622,60000
1990-08-31,1.9375,1.9375,1.875,1.90625,1.0204294919967651,372400
1990-09-04,1.90625,1.90625,1.875,1.875,1.0037013292312622,163200
1990-09-05,1.9375,1.9375,1.875,1.9375,1.0371575355529785,488400
1990-09-06,1.9375,1.9375,1.875,1.875,1.0037013292312622,169200
