Date,Open,High,Low,Close,Adj Close,Volume
1995-10-16,5.75,5.8125,5.75,5.8125,1.9889992475509644,62000
1995-10-17,5.8125,5.8125,5.8125,5.8125,1.9889992475509644,53200
1995-10-18,5.78125,5.84375,5.78125,5.8125,1.9889992475509644,72000
1995-10-19,5.84375,5.84375,5.8125,5.8125,1.9889992475509644,5200
1995-10-20,5.71875,5.71875,5.65625,5.65625,1.9355309009552002,16400
1995-10-23,5.46875,5.46875,5.25,5.25,1.7965154647827148,34000
1995-10-24,5.1875,5.34375,5.125,5.34375,1.8285962343215942,50400
1995-10-25,5.3125,5.3125,5.21875,5.21875,1.7858220338821411,65600
1995-10-26,5.28125,5.28125,5.1875,5.1875,1.7751291990280151,63200
1995-10-27,5.125,5.40625,5.125,5.40625,1.849984049797058,145200
1995-10-30,5.46875,5.5,5.3125,5.40625,1.849984049797058,65200
1995-10-31,5.65625,5.75,5.59375,5.625,1.9248384237289429,88400
1995-11-01,5.65625,5.65625,5.5625,5.59375,1.91414475440979,45200
1995-11-02,5.5625,5.6875,5.5625,5.6875,1.9462252855300903,13200
1995-11-03,5.71875,5.71875,5.6875,5.71875,1.9569190740585327,35200
1995-11-06,5.65625,5.75,5.65625,5.75,1.9676121473312378,110000
1995-11-07,5.625,5.6875,5.625,5.6875,1.9462252855300903,16800
1995-11-08,5.65625,5.65625,5.65625,5.65625,1.9355309009552002,33600
1995-11-09,5.6875,5.6875,5.59375,5.59375,1.91414475440979,12000
1995-11-10,5.5625,5.59375,5.5625,5.59375,1.91414475440979,11200
1995-11-13,5.625,5.71875,5.59375,5.71875,1.9569190740585327,14000
1995-11-14,5.65625,5.71875,5.65625,5.71875,1.9569190740585327,12800
1995-11-15,5.65625,5.65625,5.625,5.625,1.9248384237289429,5600
1995-11-16,5.71875,5.71875,5.6875,5.6875,1.9462252855300903,4800
1995-11-17,5.6875,5.71875,5.6875,5.6875,1.9462252855300903,11200
1995-11-20,5.6875,5.75,5.6875,5.71875,1.9569190740585327,10000
1995-11-21,5.71875,5.71875,5.71875,5.71875,1.9569190740585327,0
1995-11-22,5.75,5.75,5.75,5.75,1.9676121473312378,1600
1995-11-24,5.78125,5.78125,5.78125,5.78125,1.9783060550689697,400
1995-11-27,5.78125,5.8125,5.78125,5.8125,1.9889992475509644,8000
1995-11-28,5.75,5.78125,5.75,5.78125,1.9783060550689697,6800
1995-11-29,5.71875,5.71875,5.71875,5.71875,1.9569190740585327,9200
1995-11-30,5.75,5.75,5.71875,5.75,1.9676121473312378,18800
1995-12-01,5.75,5.84375,5.75,5.8125,1.9889992475509644,25200
1995-12-04,5.875,5.875,5.84375,5.875,2.0103864669799805,5600
1995-12-05,5.9375,5.9375,5.875,5.875,2.0103864669799805,16400
1995-12-06,5.90625,5.9375,5.875,5.90625,2.021080255508423,42400
1995-12-07,5.875,5.875,5.875,5.875,2.0103864669799805,4800
1995-12-08,5.875,5.875,5.84375,5.875,2.0103864669799805,7600
1995-12-11,5.84375,5.84375,5.8125,5.8125,1.9889992475509644,2800
1995-12-12,5.65625,5.6875,5.625,5.625,1.9248384237289429,14400
1995-12-13,5.625,5.625,5.625,5.625,1.9248384237289429,6800
1995-12-14,5.625,5.625,5.625,5.625,1.9248384237289429,0
1995-12-15,5.71875,5.71875,5.65625,5.65625,1.9355309009552002,7200
1995-12-18,5.5625,5.5625,5.5,5.5,1.882063865661621,27200
1995-12-19,5.46875,5.53125,5.46875,5.53125,1.8927569389343262,3200
1995-12-20,5.65625,5.65625,5.625,5.625,1.9248384237289429,3600
1995-12-21,5.625,5.625,5.625,5.625,1.9248384237289429,0
1995-12-22,5.625,5.6875,5.625,5.6875,1.9462252855300903,2800
1995-12-26,5.6875,5.6875,5.6875,5.6875,1.9462252855300903,2400
1995-12-27,5.6875,5.71875,5.6875,5.71875,1.9569190740585327,2800
1995-12-28,5.6875,5.75,5.6875,5.75,1.9676121473312378,2000
1995-12-29,5.75,5.75,5.75,5.75,1.9676121473312378,800
1996-01-02,5.75,5.78125,5.71875,5.78125,1.9783060550689697,7600
1996-01-03,5.75,5.875,5.75,5.84375,1.999692440032959,86800
1996-01-04,5.84375,5.90625,5.84375,5.90625,2.021080255508423,5600
1996-01-05,5.90625,5.90625,5.90625,5.90625,2.021080255508423,2000
1996-01-08,5.90625,5.9375,5.90625,5.9375,2.031773567199707,38800
1996-01-09,5.875,5.90625,5.875,5.90625,2.021080255508423,4000
1996-01-10,5.84375,5.84375,5.75,5.75,1.9676121473312378,15200
1996-01-11,5.75,5.75,5.6875,5.71875,1.9569190740585327,4000
1996-01-12,5.71875,5.71875,5.71875,5.71875,1.9569190740585327,0
1996-01-15,5.78125,5.78125,5.78125,5.78125,1.9783060550689697,1600
1996-01-16,5.8125,5.8125,5.78125,5.8125,1.9889992475509644,7200
1996-01-17,5.90625,5.90625,5.84375,5.90625,2.021080255508423,20800
1996-01-18,5.90625,5.9375,5.90625,5.9375,2.031773567199707,9600
