Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,1.5,1.5,1.5,1.5,0.8598529696464539,0
1990-01-03,0.0,1.75,1.5,1.5,0.8598529696464539,14000
1990-01-04,0.0,1.625,1.5,1.5,0.8598529696464539,4000
1990-01-05,0.0,1.75,1.625,1.625,0.9315072894096375,6000
1990-01-08,0.0,1.75,1.625,1.625,0.9315072894096375,6000
1990-01-09,0.0,1.75,1.5,1.5,0.8598529696464539,4000
1990-01-10,0.0,1.75,1.5,1.5,0.8598529696464539,3000
1990-01-11,0.0,1.75,1.5,1.5,0.8598529696464539,1000
1990-01-12,0.0,1.75,1.5,1.5,0.8598529696464539,1200
1990-01-15,0.0,1.625,1.625,1.625,0.9315072894096375,2500
1990-01-16,0.0,1.625,1.5,1.5,0.8598529696464539,3500
1990-01-17,0.0,1.75,1.625,1.625,0.9315072894096375,27500
1990-01-18,0.0,1.75,1.625,1.625,0.9315072894096375,11600
1990-01-19,0.0,1.75,1.625,1.625,0.9315072894096375,1500
1990-01-22,1.625,1.625,1.625,1.625,0.9315072894096375,0
1990-01-23,0.0,1.75,1.625,1.625,0.9315072894096375,2000
1990-01-24,0.0,1.75,1.5,1.5,0.8598529696464539,11200
1990-01-25,0.0,1.75,1.5,1.5,0.8598529696464539,4100
1990-01-26,0.0,1.75,1.5,1.5,0.8598529696464539,1000
1990-01-29,0.0,1.625,1.5,1.5,0.8598529696464539,3500
1990-01-30,0.0,1.5,1.375,1.375,0.788198709487915,12700
1990-01-31,1.375,1.375,1.375,1.375,0.788198709487915,0
1990-02-01,0.0,1.625,1.375,1.375,0.788198709487915,1000
1990-02-02,1.375,1.375,1.375,1.375,0.788198709487915,0
1990-02-05,0.0,1.625,1.5,1.5,0.8598529696464539,500
1990-02-06,0.0,1.625,1.375,1.375,0.788198709487915,5800
1990-02-07,0.0,1.5,1.375,1.375,0.788198709487915,6500
1990-02-08,0.0,1.5,1.375,1.375,0.788198709487915,3100
1990-02-09,0.0,1.5,1.375,1.375,0.788198709487915,3000
1990-02-12,0.0,1.5,1.375,1.375,0.788198709487915,200
1990-02-13,0.0,1.5,1.375,1.375,0.788198709487915,8100
1990-02-14,1.375,1.375,1.375,1.375,0.788198709487915,0
1990-02-15,0.0,1.5,1.375,1.375,0.788198709487915,12500
1990-02-16,0.0,1.5,1.375,1.375,0.788198709487915,3100
1990-02-20,0.0,1.5,1.375,1.375,0.788198709487915,1600
1990-02-21,1.375,1.375,1.375,1.375,0.788198709487915,0
1990-02-22,0.0,1.5,1.375,1.375,0.788198709487915,2000
1990-02-23,0.0,1.5,1.375,1.375,0.788198709487915,100
1990-02-26,1.375,1.375,1.375,1.375,0.788198709487915,0
1990-02-27,0.0,1.5,1.5,1.5,0.8598529696464539,1000
1990-02-28,0.0,1.625,1.5,1.5,0.8598529696464539,3000
1990-03-01,1.5,1.5,1.5,1.5,0.8598529696464539,0
1990-03-02,1.5,1.5,1.5,1.5,0.8598529696464539,0
1990-03-05,0.0,1.625,1.5,1.5,0.8598529696464539,2000
1990-03-06,0.0,1.625,1.5,1.5,0.8598529696464539,4200
1990-03-07,0.0,1.625,1.5,1.5,0.8598529696464539,800
1990-03-08,0.0,1.625,1.5,1.5,0.8598529696464539,200
1990-03-09,0.0,1.625,1.5,1.5,0.8598529696464539,22000
