EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.173,-1.177,-1.172,0.7666,-0.7354,2.492,-0.6064,0.981,-0.8867,-1.214,-0.7534,0.7534,-0.375,-0.9414,-1.0,-1.0,1.622,1.49,-0.6055,0.0,-0.502,0.3835,-0.3152,-0.3606,-0.793,-0.5376,-0.9053,-1.028,0.003271,-0.1438,0.2145,-1.279,-1.045,-1.209,-1.174,0.0,0.0,-1.159,0.0,-0.9775,-0.9624,0.0,1.0,0.0,0.0,-0.01076,-1.0,-1.0,-1.0,0.914,-0.5264,-0.5,2.0,0.6665,-0.5,0.0,0.0,0.0,-0.02452
-1.183,-1.186,-1.181,1.982,-1.939,2.492,-0.6064,1.473,-1.959,-1.437,-0.7725,1.79,-0.5,-0.9414,-1.0,-1.0,2.053,1.86,-0.7417,0.0,-0.5015,2.576,-0.236,-0.3662,-1.883,-0.5635,-0.822,-3.053,0.05328,-1.028,2.646,-1.312,-0.6484,-1.221,-1.178,0.0,0.0,-1.161,0.0,-1.079,-1.138,0.0,1.0,0.0,0.0,-0.02731,-1.0,-1.0,-1.0,2.209,-1.565,-0.5,3.0,0.6665,-0.5,0.0,1.0,-7.574,-0.05832
-1.196,-1.199,-1.195,2.998,-2.938,2.492,-1.538,1.885,-2.76,-1.62,-0.801,0.6333,-0.625,-0.9414,-1.0,-1.0,2.445,2.203,-0.856,0.0,-0.501,1.156,-0.1128,-0.359,-2.818,-0.584,-0.6733,-2.717,0.2612,-3.055,-0.1439,0.2147,-1.079,-1.236,-1.184,0.0,0.0,-1.168,0.0,-1.162,-1.318,0.0,1.0,0.0,0.0,-0.03046,-2.0,-1.0,-1.333,3.307,-2.408,-0.5,4.0,0.6665,-0.5,0.0,0.0,0.0,-0.0677
-1.213,-1.216,-1.212,3.914,-3.826,2.492,-2.453,2.344,-3.416,-1.785,-0.8374,0.4084,-0.75,-0.9414,-1.0,-1.0,2.84,2.541,-0.958,0.0,-0.5,0.4712,0.08545,-0.292,-3.35,-0.6313,-1.053,-2.588,0.516,-2.717,-1.029,2.645,0.436,-1.255,-1.19,0.0,0.0,-1.181,0.0,-1.235,-1.401,0.0,1.0,0.0,0.0,-0.03522,-3.0,-1.5,-1.333,4.258,-3.2,-0.5,5.0,0.6665,0.0,0.0,1.0,-7.24,-0.0815
-1.228,-1.2295,-1.227,3.35,-3.254,0.06232,-2.453,2.18,-2.926,-1.741,-0.8677,-0.0704,-0.875,-0.9414,-1.0,-1.0,2.729,2.45,-0.94,0.0,-0.4995,0.05334,0.258,-0.1918,-3.074,-0.6523,-0.8325,0.4312,0.6143,-2.59,-3.057,-0.1433,-1.71,-1.272,-1.195,0.0,0.0,-1.196,0.0,-1.221,-1.291,0.0,1.0,0.0,0.0,-0.00527,-2.0,-1.0,-1.0,3.705,-2.648,0.0,0.0,0.6665,0.0,1.0,0.0,2.223,-0.01246
-1.244,-1.247,-1.244,4.22,-4.098,0.06232,-2.453,2.506,-3.502,-1.8955,-0.904,0.373,-1.0,-0.9414,-1.0,-1.0,3.117,2.799,-1.035,0.0,-0.4988,0.3296,0.415,-0.0781,-3.35,-0.675,-0.699,-2.525,0.8066,0.4314,-2.719,-1.027,-1.276,-1.306,-1.201,0.0,0.0,-1.212,0.0,-1.29,-1.349,0.0,1.0,0.0,0.0,-0.0235,-2.0,-1.0,-1.0,4.61,-3.396,-0.5,1.0,0.6665,0.0,0.0,1.0,-6.43,-0.05615
-1.261,-1.263,-1.261,3.865,-3.74,0.06232,-2.453,2.318,-3.236,-1.888,-0.936,0.001631,-1.0,-0.9414,-1.0,-1.0,3.086,2.791,-1.038,0.0,-0.4983,0.4375,0.5464,0.03906,-3.35,-0.6943,-0.5913,-0.1079,0.9185,-2.525,-2.592,-3.053,-1.308,-1.338,-1.208,0.0,0.0,-1.228,0.0,-1.291,-1.308,0.0,1.0,0.0,0.0,-0.00814,-2.0,-1.0,-1.0,4.254,-3.064,-0.5,2.0,0.6665,0.0,0.0,0.0,0.0,-0.01944
-1.2705,-1.272,-1.2705,2.32,-2.193,0.06232,-2.453,2.389,-1.864,-1.695,-0.962,-0.4214,-1.0,-0.9414,-1.0,-1.0,2.639,2.334,-0.9355,0.0,-0.4976,2.857,0.65,0.1627,-2.44,-0.7183,-0.9023,2.756,0.923,-0.1079,0.4316,-2.717,0.2148,-1.36,-1.213,0.0,0.0,-1.241,0.0,-1.212,-1.043,0.0,1.0,0.0,0.0,0.01137,-1.0,-1.0,-1.0,2.787,-1.534,0.0,0.0,-0.3333,0.0,1.0,0.0,7.793,0.02985
-1.281,-1.283,-1.281,2.709,-2.582,0.06232,-2.453,2.422,-2.133,-1.773,-0.9844,0.2942,-1.0,-0.9414,-1.0,-1.0,2.818,2.51,-0.988,0.0,-0.497,0.4973,0.7065,0.278,-2.818,-0.737,-1.865,-1.4,0.916,2.758,-2.527,-2.588,2.639,-1.378,-1.22,0.0,0.0,-1.256,0.0,-1.249,-1.012,0.0,1.0,0.0,0.0,-0.01548,-1.0,-1.5,-1.0,3.172,-1.901,-0.5,1.0,-0.3333,0.0,0.0,0.0,0.0,-0.03693
-1.29,-1.292,-1.29,2.084,-1.963,0.06232,-2.453,2.285,-1.533,-1.7,-0.999,-0.25,-1.0,-0.9414,-1.0,-1.0,2.643,2.352,-0.9536,0.0,-0.4963,0.366,0.7114,0.3857,-2.236,-0.7607,-2.123,0.863,0.852,-1.4,-0.10803,0.4316,-0.1423,-1.384,-1.225,0.0,0.0,-1.27,0.0,-1.221,-0.8354,0.0,0.0,0.0,0.0,0.0017185,-1.0,-1.0,-0.6665,2.549,-1.322,0.0,0.0,-0.3333,0.0,0.0,0.0,0.0,0.004807
-1.295,-1.297,-1.294,1.226,-1.113,0.06232,-2.453,2.068,-0.686,-1.574,-1.005,-0.6123,-1.0,-0.9414,-1.0,-1.0,2.361,2.096,-0.8896,0.0,-0.4956,1.98,0.6685,0.4646,-1.4795,-0.7686,-2.082,1.619,0.7637,0.8633,2.76,-2.525,-1.024,-1.38,-1.229,0.0,0.0,-1.28,0.0,-1.172,-0.5684,0.0,0.0,0.0,0.0,-0.003426,0.0,-0.5,-0.3333,1.781,-0.4292,0.5,0.0,-0.3333,0.0,0.0,0.0,0.0,-0.00803
-1.305,-1.307,-1.305,2.502,-2.37,0.06232,-2.453,2.725,-1.81,-1.784,-1.021,2.49,-1.0,-0.9414,-1.0,-1.0,2.863,2.516,-1.015,0.0,-0.495,1.464,0.6187,0.542,-2.559,-0.7964,-1.361,-3.209,0.725,1.62,-1.401,-0.1074,-3.045,-1.385,-1.233,0.0,0.0,-1.294,0.0,-1.262,-0.7817,0.0,0.0,0.0,0.0,-0.05322,0.0,-0.5,-0.6665,3.037,-1.623,-0.5,1.0,-0.3333,0.0,0.0,1.0,-6.47,-0.1246
-1.314,-1.317,-1.313,2.404,-2.293,0.06232,-2.453,2.662,-1.588,-1.792,-1.049,-0.0489,-1.0,-0.9414,-1.0,-1.0,2.877,2.537,-1.026,0.0,-0.4944,3.06,0.6855,0.6465,-2.117,-0.8545,-0.7856,-0.353,0.6934,-3.209,0.864,2.756,-2.709,-1.384,-1.241,0.0,0.0,-1.306,0.0,-1.268,-1.139,0.0,1.0,0.0,0.0,-0.01094,-1.0,-0.5,-1.0,2.973,-1.52,-0.5,2.0,-0.3333,0.0,0.0,0.0,0.0,-0.0264
-1.32,-1.323,-1.319,1.443,-1.364,0.06232,-2.453,2.506,-0.528,-1.66,-1.07,-0.7603,-1.0,-0.9414,-1.0,-1.0,2.57,2.25,-0.9604,0.0,-0.4937,0.778,0.9185,0.8237,-0.243,-0.959,-0.2168,1.748,0.578,-0.3533,1.621,-1.399,-2.582,-1.379,-1.25,0.0,0.0,-1.317,0.0,-1.217,-0.932,0.0,1.0,0.0,0.0,-0.0005064,0.0,0.0,-0.6665,2.078,-0.579,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0002675
-1.335,-1.339,-1.334,3.904,-3.828,0.06232,-2.453,3.645,-2.562,-2.033,-1.105,6.082,-1.0,-0.9414,-1.0,-1.0,3.549,3.09,-1.175,0.0,-0.4932,0.5693,1.112,0.9805,-2.305,-1.003,-0.3396,-3.508,0.6216,1.749,-3.21,0.8633,0.4312,-1.3955,-1.264,0.0,0.0,-1.332,0.0,-1.371,-1.102,0.0,1.0,0.0,0.0,-0.1083,-1.0,-0.5,-0.6665,4.617,-2.8,-0.5,1.0,-1.0,0.0,0.0,1.0,-7.867,-0.2617
-1.35,-1.354,-1.348,3.852,-3.793,0.06232,-2.453,3.074,-2.49,-2.06,-1.129,0.0732,-1.0,-0.9414,-1.0,-1.0,3.588,3.201,-1.197,0.0,-0.4924,0.826,1.278,1.101,-2.21,-1.037,0.141,-0.7197,0.6777,-3.51,-0.3535,1.619,-2.518,-1.409,-1.276,0.0,0.0,-1.346,0.0,-1.383,-0.993,0.0,1.0,0.0,0.0,-0.01639,-2.0,-0.5,-0.6665,4.47,-2.871,-0.5,2.0,-1.0,0.0,0.0,0.0,0.0,-0.04205
-1.364,-1.368,-1.362,4.01,-3.941,0.06232,-2.453,3.223,-2.64,-2.113,-1.1455,0.1849,-1.0,-0.9414,-1.0,-1.0,3.744,3.34,-1.233,0.0,-0.492,4.867,1.412,1.203,-2.277,-1.072,0.04852,-1.14,0.756,-0.72,1.75,-3.207,-0.10657,-1.429,-1.291,0.0,0.0,-1.358,0.0,-1.404,-0.9043,0.0,0.0,0.0,0.0,-0.02322,-2.0,-0.5,-0.6665,4.55,-3.098,-0.5,3.0,-1.0,0.0,0.0,0.0,0.0,-0.0613
-1.378,-1.382,-1.377,3.781,-3.7,0.06232,-2.453,3.117,-2.531,-2.115,-1.154,0.05722,-1.0,-0.9414,-1.0,-1.0,3.744,3.352,-1.242,0.0,-0.4912,3.04,1.545,1.284,-2.076,-1.1,-0.764,-0.3254,0.7935,-1.14,-3.512,-0.3525,2.75,-1.452,-1.305,0.0,0.0,-1.372,0.0,-1.407,-0.776,0.0,0.0,0.0,0.0,-0.01087,-2.0,-1.0,-0.6665,4.324,-2.863,-0.5,4.0,-1.0,0.0,0.0,0.0,0.0,-0.02725
-1.394,-1.397,-1.394,4.434,-4.234,-0.004044,-2.748,3.594,-3.219,-2.248,-1.172,0.4521,-1.0,-0.9414,-1.0,-1.0,4.176,3.727,-1.322,0.0,-0.4905,0.2343,1.653,1.38,-2.713,-1.134,-0.62,-2.508,0.745,-0.3254,-0.7207,1.749,-1.3955,-1.474,-1.32,0.0,0.0,-1.391,0.0,-1.461,-0.9414,0.0,1.0,0.0,0.0,-0.0414,-3.0,-1.0,-1.0,5.047,-3.49,-0.5,5.0,-1.0,0.0,0.0,0.0,0.0,-0.11444
-1.406,-1.409,-1.405,3.373,-3.254,-0.004044,-2.748,3.346,-2.33,-2.127,-1.176,-0.2367,-1.0,-0.9414,-1.0,-1.0,3.795,3.375,-1.266,0.0,-0.49,1.277,1.697,1.439,-1.861,-1.144,-1.07,1.806,0.582,-2.508,-1.141,-3.508,0.862,-1.489,-1.334,0.0,0.0,-1.408,0.0,-1.416,-0.6367,0.0,0.0,0.0,0.0,0.0007577,-2.0,-1.0,-0.6665,3.998,-2.354,0.0,0.0,-1.0,0.0,1.0,0.0,5.547,0.007187
-1.411,-1.414,-1.411,1.466,-1.341,1.332,-2.748,3.287,-0.673,-1.879,-1.169,-0.7944,-1.0,-0.9414,-1.0,-1.0,3.125,2.707,-1.141,0.0,-0.4893,2.22,1.672,1.451,-0.1836,-1.147,-1.703,3.646,0.3303,1.807,-0.3257,-0.719,1.616,-1.502,-1.346,0.0,0.0,-1.421,0.0,-1.32,-0.3242,0.0,0.0,0.0,0.0,0.01178,-1.0,-1.0,-0.3333,2.16,-0.4897,0.5,0.0,-1.0,0.0,1.0,0.0,8.73,0.03815
-1.416,-1.42,-1.416,1.53,-1.417,1.332,-2.748,3.158,-0.68,-1.894,-1.173,0.1245,-1.0,-0.9414,-1.0,-1.0,3.152,2.752,-1.156,0.0,-0.4885,2.025,1.603,1.441,-0.2451,-1.159,-1.035,-0.508,0.1805,3.648,-2.51,-1.139,-3.2,-1.501,-1.356,0.0,0.0,-1.431,0.0,-1.33,-0.5967,0.0,0.0,0.0,0.0,-0.01096,-1.0,-1.0,-0.6665,2.188,-0.6016,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,-0.02704
-1.416,-1.419,-1.415,0.07947,0.0336,1.332,-2.748,3.053,0.869,-1.654,-1.163,-3.209,-0.875,-0.9414,0.0,-1.0,2.592,2.203,-1.038,0.0,-0.488,1.922,1.469,1.4,1.342,-1.161,-1.054,3.422,0.097,-0.5083,1.808,-0.325,-0.3513,-1.49,-1.365,0.0,0.0,-1.435,0.0,-1.239,-0.2236,0.0,0.0,0.0,0.0,0.01367,0.0,-0.5,-0.3333,0.8687,0.8965,0.0,0.0,-1.0,0.0,1.0,0.0,8.73,0.03952
