EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.7266,-0.7256,-0.727,-0.04807,0.006725,1.491,-1.144,1.358,0.0079,0.4255,-0.1705,-0.72,0.4285,-1.564,0.0,0.0,-0.2612,-0.5493,0.0314,0.0,-0.1288,0.7915,-0.5854,-0.6216,0.03082,0.00085,-0.2145,-0.727,-0.636,0.923,0.0,-1.625,0.18,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.514,0.2659,0.0,0.0,0.0,0.0,-0.0962,0.0,-1.0,-0.5,0.2627,0.3308,0.0,1.0,-0.5,-0.5,0.0,0.0,0.0,-0.5317
-0.7266,-0.7256,-0.727,-0.1942,0.148,1.491,-1.144,1.315,0.0395,0.4758,-0.1631,0.4246,0.5713,-1.564,0.0,0.0,-0.308,-0.5913,0.0657,0.0,-0.1262,1.2705,-0.5703,-0.6196,0.0848,0.02528,-0.1682,0.368,-0.638,-0.727,0.7476,-0.3713,-0.5386,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.5127,0.5703,0.0,0.0,0.0,0.0,0.0459,1.0,-0.5,0.0,0.05872,0.398,1.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.2568
-0.7266,-0.7256,-0.727,-1.308,1.276,1.491,-1.144,1.148,1.197,0.901,-0.1537,8.36,0.7144,-1.555,0.0,0.0,-0.67,-0.9463,0.3225,0.0,-0.1237,1.857,-0.5513,-0.605,1.206,0.0664,-0.0695,2.549,-0.612,0.368,0.923,0.0,-0.906,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.5,0.6875,0.0,0.0,0.0,0.0,0.5005,2.0,0.0,0.0,-1.04,1.455,2.0,0.0,-0.5,-0.5,0.0,0.0,0.0,2.783
-0.7266,-0.7256,-0.727,-1.459,1.432,1.491,-1.144,0.822,1.461,1.005,-0.1503,0.3638,0.7144,-1.545,0.0,0.0,-0.78,-1.001,0.3909,0.0,-0.1212,-0.2737,-0.525,-0.584,1.379,0.1007,0.008255,0.6997,-0.5913,2.549,-0.727,0.747,-0.368,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.497,0.354,0.0,0.0,0.0,0.0,0.1895,2.0,0.5,0.0,-1.161,1.633,3.0,0.0,-0.5,-0.5,1.0,0.0,4.234,1.008
-0.7266,-0.7256,-0.727,-1.631,1.803,1.56,-0.04987,0.8145,1.907,1.309,-0.1432,0.7114,0.7144,-1.534,0.0,0.0,-1.007,-1.242,0.579,0.0,-0.1187,1.493,-0.5,-0.564,1.872,0.12244,-0.1115,1.901,-0.5537,0.6997,0.368,0.9224,1.48,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.4878,0.5913,0.0,0.0,0.0,0.0,0.3508,2.0,0.5,0.0,-1.384,2.045,4.0,0.0,-0.5,-0.5,0.0,0.0,0.0,1.845
-0.7266,-0.7256,-0.727,-1.301,1.283,1.56,-0.04987,0.9204,1.44,1.064,-0.138,-0.2411,0.7144,-1.524,0.0,0.0,-0.8164,-1.06,0.4424,0.0,-0.11615,0.6387,-0.4753,-0.544,1.393,0.1482,0.1322,-1.34,-0.536,1.901,2.547,-0.7266,-1.625,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.4949,0.403,0.0,0.0,0.0,0.0,-0.2625,2.0,0.5,0.0,-0.9253,1.58,0.0,1.0,-0.5,-0.5,0.0,0.0,0.0,-1.338
-0.7266,-0.7256,-0.727,-1.163,1.145,1.56,-0.04987,0.859,1.281,1.051,-0.131,0.03088,0.7144,-1.515,0.0,0.0,-0.812,-1.043,0.4424,0.0,-0.11365,-0.0532,-0.455,-0.527,1.318,0.1626,0.2311,0.0,-0.533,-1.34,0.699,0.368,-0.3713,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.4949,0.5913,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.816,1.422,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0
-0.7266,-0.7256,-0.727,-1.039,1.019,1.56,0.197,0.777,1.111,1.038,-0.12305,0.009155,0.7144,-1.505,0.0,0.0,-0.809,-1.024,0.4424,0.0,-0.1111,0.6387,-0.4338,-0.5093,1.136,0.1979,0.292,0.0,-0.553,0.0,1.901,2.547,0.0,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.495,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.772,1.218,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0
-0.7266,-0.7256,-0.727,-0.4836,0.456,1.56,0.197,0.763,0.509,0.8525,-0.1205,-0.3958,0.7144,-1.495,0.0,0.0,-0.667,-0.869,0.3396,0.0,-0.1086,-0.02898,-0.4207,-0.4973,0.5493,0.2109,0.2688,-1.028,-0.569,0.0,-1.34,0.699,0.747,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.5005,0.2478,0.0,0.0,0.0,0.0,-0.1144,-1.0,0.0,-0.5,-0.2732,0.637,0.0,1.0,-0.5,-0.5,0.0,0.0,0.0,-0.596
-0.7266,-0.7256,-0.727,0.5938,-0.6343,1.56,-0.4695,0.9595,-0.676,0.4678,-0.1192,-1.939,0.5713,-1.485,-1.0,0.0,-0.333,-0.55,0.117,0.0,-0.1061,2.22,-0.4158,-0.4858,-0.6465,0.2258,0.2037,-2.268,-0.5684,-1.028,0.0,1.9,0.9224,-0.718,-0.73,0.0,0.0,-0.727,0.0,-0.5117,0.10547,0.0,0.0,0.0,0.0,-0.3872,-2.0,-0.5,-0.5,0.8545,-0.315,0.0,2.0,-0.5,-0.5,0.0,0.0,0.0,-2.053
