EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.391,-0.3862,-0.3923,1.315,-1.54,1.903,-2.861,2.59,-0.3665,-2.102,-0.3352,-0.0974,-1.0,-1.618,-1.0,-1.0,3.477,3.535,-1.064,0.0,-0.10767,0.9814,-0.3193,-0.3184,-0.6177,-1.066,-0.1268,-0.01075,-0.4465,0.9766,-1.27,-1.436,-2.879,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3093,-0.3171,0.0,0.0,0.0,0.0,-0.01216,-1.0,-1.0,-1.0,1.919,-0.739,-0.5,0.0,-0.5,2.234,0.0,0.0,0.0,-0.006676
-0.391,-0.3862,-0.3923,-0.3403,0.1497,1.903,-2.861,2.25,1.233,-1.836,-0.3335,-7.438,-0.875,-1.618,0.0,-1.0,3.06,2.836,-0.956,0.0,-0.10583,3.074,-0.3271,-0.3223,1.071,-1.061,-0.1592,3.291,-0.4539,-0.011,2.072,-0.7515,0.892,-0.3901,-0.3914,1.0,-1.0,-0.3928,0.0,-0.3093,0.2983,0.0,0.0,0.0,0.0,0.321,0.0,-1.0,-0.5,0.4343,1.052,0.0,0.0,-0.5,2.234,0.0,0.0,0.0,8.2
-0.391,-0.3862,-0.3923,-2.068,2.123,2.822,-2.861,1.987,2.543,-1.406,-0.33,2.186,-0.75,-1.618,0.0,-1.0,2.092,1.819,-0.7793,0.0,-0.104,3.074,-0.3372,-0.33,2.312,-1.023,-0.145,3.291,-0.4465,3.291,0.9756,-1.2705,-0.4514,-0.3901,-0.3914,1.0,-1.0,-0.3928,0.0,-0.3088,0.588,0.0,0.0,0.0,0.0,0.9663,1.0,-0.5,-0.5,-1.469,2.547,0.5,0.0,-0.5,2.234,1.0,0.0,7.902,12.11
-0.391,-0.3862,-0.3923,-1.769,1.617,2.822,-2.861,1.827,2.543,-1.473,-0.329,-0.02927,-0.625,-1.618,0.0,-1.0,2.205,1.982,-0.8066,0.0,-0.1022,1.851,-0.3494,-0.339,2.312,-1.014,-0.0673,-0.7666,-0.4414,3.291,-0.010994,2.076,-2.018,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3093,0.135,0.0,0.0,0.0,0.0,-0.0896,0.0,-0.5,-1.0,-1.089,2.326,-0.5,1.0,-0.5,2.234,0.0,0.0,0.0,-1.506
-0.391,-0.3862,-0.3923,-2.068,2.268,2.822,-2.861,1.465,2.543,-1.259,-0.326,0.4905,-0.5,-1.618,0.0,-1.0,1.7705,1.583,-0.7183,0.0,-0.10034,2.467,-0.3618,-0.3494,2.312,-0.9985,-0.03818,2.496,-0.4307,-0.7666,3.29,0.977,-0.2466,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3076,0.6943,1.0,0.0,0.0,0.0,0.225,0.0,0.0,-0.5,-1.578,2.547,0.0,0.0,-0.5,2.234,0.0,0.0,0.0,4.68
-0.391,-0.3862,-0.3923,-2.068,2.072,2.822,-2.861,1.449,2.543,-1.261,-0.323,0.0469,-0.375,-1.618,0.0,-1.0,1.771,1.588,-0.7183,0.0,-0.0985,1.255,-0.371,-0.359,2.312,-0.9805,0.03235,-0.01075,-0.4216,2.496,3.29,-0.01075,-1.435,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3076,0.6436,0.0,0.0,0.0,0.0,-0.01216,0.0,0.0,-1.0,-1.484,2.547,-0.5,0.0,-0.5,2.234,0.0,0.0,0.0,-0.006676
-0.391,-0.3862,-0.3923,-1.59,1.447,2.822,-2.861,1.633,2.543,-1.361,-0.3206,-0.1265,-0.25,-1.618,0.0,-1.0,1.972,1.769,-0.759,0.0,-0.09674,1.744,-0.3718,-0.3674,2.312,-0.961,0.0874,-1.095,-0.4165,-0.011,-0.766,3.293,-0.751,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3083,0.5293,0.0,0.0,0.0,0.0,-0.1309,-1.0,0.0,-1.0,-0.923,2.15,-0.5,1.0,-0.5,2.234,0.0,0.0,0.0,-2.205
-0.391,-0.3862,-0.3923,-1.075,0.926,2.822,-1.467,1.81,2.059,-1.445,-0.3179,-0.1715,-0.125,-1.618,0.0,-1.0,2.148,1.924,-0.793,0.0,-0.0949,2.674,-0.3687,-0.3745,1.762,-0.9487,0.1534,-0.9414,-0.4155,-1.095,2.494,3.293,-1.27,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3088,0.6436,0.0,0.0,0.0,0.0,-0.06836,-2.0,0.0,-1.0,-0.3955,1.675,-0.5,2.0,-0.5,2.234,0.0,0.0,0.0,-1.079
-0.391,-0.3862,-0.3923,-0.3552,0.1906,2.822,-1.467,1.847,1.017,-1.578,-0.3154,-0.4028,0.0,-1.618,0.0,-1.0,2.42,2.219,-0.847,0.0,-0.0931,0.1659,-0.3638,-0.3801,0.817,-0.94,0.1353,-1.538,-0.416,-0.9414,-0.010994,-0.7666,2.074,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3093,0.4497,0.0,0.0,0.0,0.0,-0.068,-2.0,-0.5,-1.0,0.321,0.9785,-0.5,3.0,-0.5,2.234,0.0,0.0,0.0,-1.099
-0.391,-0.3862,-0.3923,0.1814,-0.3562,2.822,-1.467,2.098,0.198,-1.677,-0.3132,-0.6743,0.125,-1.618,0.0,-1.0,2.664,2.432,-0.8877,0.0,-0.09125,2.512,-0.3582,-0.385,0.0952,-0.9316,0.1327,-1.205,-0.416,-1.538,-1.094,2.496,0.9766,-0.3901,-0.3914,0.0,0.0,-0.3928,0.0,-0.3093,0.4497,0.0,0.0,0.0,0.0,-0.0734,-3.0,-1.0,-1.0,0.873,0.4814,-0.5,4.0,-0.5,2.234,0.0,0.0,0.0,-1.257
