EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.7905,-0.789,-0.7905,1.417,-1.541,-0.4873,0.0161,0.356,-1.385,-1.551,-0.2328,0.481,-0.5713,-1.445,-1.0,-1.0,2.09,2.07,-0.06903,0.0,-0.0573,0.832,-0.5757,-0.605,-1.439,0.01043,-0.04395,-0.8086,-0.666,-0.792,0.0,-1.491,-1.462,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3232,-0.721,0.0,0.0,0.0,0.0,-0.001546,-2.0,-2.0,-2.0,1.41,-1.374,0.0,2.0,-1.5,-0.5,0.0,0.0,0.0,-0.05762
-0.7905,-0.789,-0.7905,1.289,-1.412,-0.4873,0.0161,0.2678,-1.281,-1.541,-0.2334,0.04987,-0.5713,-1.445,-1.0,-1.0,2.062,2.06,-0.06903,0.0,-0.0569,-0.1727,-0.5757,-0.605,-1.328,0.002748,-0.05,0.0,-0.6646,-0.8086,0.0,-0.776,0.0,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3232,-1.01,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1.291,-1.25,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.7905,-0.789,-0.7905,0.4138,-0.5317,-0.4314,0.0161,0.2715,-0.4497,-1.345,-0.2335,-0.6304,-0.5713,-1.445,-1.0,-1.0,1.7295,1.711,-0.01974,0.0,-0.05643,-0.2147,-0.5757,-0.605,-0.525,0.001067,-0.0712,1.652,-0.664,0.0,-0.792,0.0,0.7603,-0.7925,-0.791,1.0,-1.0,-0.789,0.0,-0.3218,-0.481,0.0,0.0,0.0,0.0,0.001302,-1.0,-2.0,-2.0,0.4624,-0.423,1.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.04956
-0.7905,-0.789,-0.7905,0.7515,-0.872,-0.4314,0.0161,0.2267,-0.7046,-1.429,-0.2344,0.915,-0.7144,-1.445,-1.0,-1.0,1.864,1.862,-0.0444,0.0,-0.056,-0.8022,-0.5757,-0.605,-0.7827,-0.007687,-0.07574,-0.792,-0.6636,1.652,-0.8086,0.0,0.0,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3225,-1.134,0.0,1.0,0.0,0.0,-0.001471,-1.0,-2.0,-2.0,0.741,-0.785,0.0,1.0,-1.5,-0.5,0.0,0.0,0.0,-0.05365
-0.7905,-0.789,-0.7905,0.6865,-0.8066,-0.4314,0.0161,0.1404,-0.623,-1.42,-0.2347,-0.00829,-0.7144,-1.445,-1.0,-1.0,1.84,1.855,-0.0444,0.0,-0.05557,-0.1942,-0.5757,-0.605,-0.741,-0.01042,-0.0818,0.0,-0.6626,-0.792,0.0,-0.792,0.0,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3225,-0.859,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,0.681,-0.7227,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.7905,-0.789,-0.7905,0.259,-0.3774,-0.4314,0.0161,0.01823,-0.1727,-1.316,-0.2349,-0.79,-0.7144,-1.445,-1.0,-1.0,1.657,1.691,-0.01974,0.0,-0.05515,-0.2147,-0.5728,-0.604,-0.1131,-0.02539,-0.05756,0.8086,-0.6626,0.0,1.652,-0.8086,-1.49,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3218,-0.5566,0.0,0.0,0.0,0.0,0.000866,0.0,-1.5,-2.0,0.2778,-0.3184,1.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0323
-0.7905,-0.789,-0.7905,0.609,-0.7295,-0.4314,0.0161,0.05417,-0.4573,-1.4,-0.2355,3.842,-0.857,-1.445,-1.0,-1.0,1.8,1.832,-0.0444,0.0,-0.05472,-0.1942,-0.571,-0.602,-0.4602,-0.02864,-0.04395,-0.792,-0.662,0.8086,-0.792,0.0,-0.776,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3225,-1.01,0.0,0.0,0.0,0.0,-0.000279,0.0,-1.5,-2.0,0.6523,-0.603,0.0,1.0,-1.5,-0.5,0.0,0.0,0.0,-0.01018
-0.7905,-0.789,-0.7905,0.5566,-0.6777,-0.4314,0.0161,-0.03207,-0.3452,-1.392,-0.2361,-0.1969,-1.0,-1.445,-1.0,-1.0,1.774,1.825,-0.0444,0.0,-0.0543,-0.1942,-0.569,-0.6006,-0.3352,-0.03656,-0.04544,0.0,-0.662,-0.792,0.0,1.652,0.0,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3225,-1.01,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.0,0.605,-0.553,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.7905,-0.789,-0.7905,0.51,-0.632,-0.4314,0.0161,-0.03207,-0.2318,-1.383,-0.2368,-0.3486,-1.143,-1.445,-1.0,-1.0,1.761,1.811,-0.0444,0.0,-0.05386,-0.1942,-0.567,-0.5996,-0.29,-0.0394,-0.04697,0.0,-0.662,0.0,0.8086,-0.792,0.0,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3225,-1.01,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.0,0.4758,-0.598,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
-0.7905,-0.789,-0.7905,0.4675,-0.5894,-0.4314,0.0161,-0.2046,-0.1746,-1.374,-0.2369,-0.3013,-1.143,-1.445,-1.0,-1.0,1.729,1.815,-0.0444,0.0,-0.05344,-0.8022,-0.566,-0.5986,-0.2402,-0.0425,-0.03333,0.0,-0.6646,0.0,-0.792,0.0,-0.792,-0.7925,-0.791,0.0,0.0,-0.789,0.0,-0.3225,-0.67,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.0,0.3938,-0.602,0.0,0.0,-1.5,-0.5,0.0,0.0,0.0,0.0
