Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,-0.838,0.8438,0.0,0.0,1.734,0.804,0.3137,-0.7856,-0.8306,0.0,0.0,0.0,0.0,-0.2039,-0.406,0.0,0.0,1.0,-0.9873,1.224,0.0,0.412,-1.794,-0.6,1.006,0.6167,-2.0,1.976,-1.988,-1.977,0.0,-0.013245,0.0,0.0,-0.8335,0.0,0.1637,2.0,0.0,-2.0,0.0,0.0,1.835,2.0,0.0,2.0,-0.51,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836
0.0,0.0,0.0,0.0,-1.394,1.39,-4.0,0.0,0.4568,1.456,1.744,-0.636,-0.7876,0.0,0.0,0.0,0.0,-1.853,-1.612,2.0,0.0,1.0,-0.398,0.9814,0.0,1.529,-0.562,0.25,0.399,0.1803,2.012,0.4985,-0.5205,-1.443,0.0,-0.012985,0.0,0.0,-0.3704,0.0,1.795,1.083,0.0,-0.5,0.0,0.0,0.2445,1.2,4.0,1.2,-1.611,1.246,1.2,0.0,0.0,0.0,4.0,0.0,4.0,0.2428
0.0,0.0,0.0,0.0,-0.5796,0.577,-1.0,0.0,0.0887,0.6465,0.7954,-1.216,0.593,-1.0,0.0,0.0,0.0,-0.8613,-0.7354,1.0,0.0,1.0,0.4968,0.96,4.1e-05,0.7144,-0.52,0.3845,-0.3306,0.0,1.0,-0.02469,0.982,-0.3347,0.0,0.0,0.0,0.0,0.0,0.0,0.8564,0.0,0.0,0.0,0.0,0.0,-0.2913,0.5,1.0,0.0,-0.729,0.4636,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2886
0.0,0.0,0.0,0.0,-0.665,0.6606,-0.5,0.0,-0.3428,0.8545,0.8223,-1.466,-0.6587,-2.666,0.0,0.0,0.0,-0.8843,-0.754,0.857,0.0,1.0,-0.2874,3.61,696.0,2.658,-7.992,0.5083,0.1996,-0.575,-0.4407,1.523,0.66,-0.2028,0.0,0.0,0.0,0.0,0.0,0.0,0.967,-0.264,0.0,0.5,0.0,0.0,1.248,0.857,1.5,0.0,-0.7266,0.612,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.228
0.0,0.0,0.0,0.0,-0.432,0.4268,0.0,0.0,0.0,0.652,0.5244,-1.499,-0.6973,-2.0,0.0,0.0,0.0,-0.551,-0.486,0.5,0.0,1.0,0.0,2.033,3.244,1.162,-1.703,0.6855,0.0,-0.974,0.4993,0.675,-0.6953,-0.00605,0.0,0.0,0.0,0.0,0.0,0.0,0.5947,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6665,0.0,-0.552,0.3357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.3423,0.3352,0.0,0.0,-2.545,0.605,0.3987,-1.165,-6.035,-0.75,0.0,1.0,0.0,-0.5093,-0.2769,0.25,0.0,1.0,0.0,1.388,1.833,0.766,-0.987,1.393,0.0,-0.756,0.0,-0.2009,1.528,-0.5854,0.0,0.0,0.0,0.0,0.0,0.0,0.3604,0.585,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,-0.482,0.2091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.816,0.3723,0.0,-0.963,-2.13,-0.5,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,1.0,0.0,1.205,1.573,0.6206,-1.066,2.25,-0.4985,-0.661,0.0,0.3374,1.519,-0.5186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157,0.0,0.0,0.0,0.0,-0.1642,-1.0,0.5,0.0,-0.08356,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.617,-0.1625
0.03125,0.0,0.0,0.0,-1.578,1.583,0.0,0.0,-0.7866,1.432,1.791,-0.624,-6.06,0.0,0.0,1.0,0.0,-1.685,-1.8545,2.0,0.0,1.0,1.138,0.857,1.19,0.9556,-0.5366,1.417,1.597,-0.589,-0.6646,0.0,-0.01221,0.5635,0.0,0.0,0.0,0.0,0.0,0.0,1.761,3.158,0.0,0.0,0.0,0.0,1.678,0.0,0.857,1.0,-1.395,1.867,1.0,0.0,0.0,0.0,1.0,0.0,2.484,1.649
0.03125,0.0,0.0,0.0,-1.647,1.651,0.0,0.0,-0.858,1.327,3.07,-0.1959,0.3438,0.5,0.0,2.0,0.0,-1.807,-1.986,3.0,0.0,1.0,0.0,0.538,0.9116,0.6523,-0.08014,1.035,0.0,-1.096,1.997,0.0,0.9956,0.6562,0.0,0.0,0.0,0.0,0.0,0.0,2.602,2.041,0.0,0.0,0.0,0.0,0.0,-1.0,0.6665,2.0,-1.464,1.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
