Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,-0.8447,0.8457,0.0,0.0,1.633,0.81,0.933,1.127,0.0,0.0,1.0,0.0,0.0,-0.6284,-1.077,0.9614,0.0,1.0,1.921,0.863,0.9497,0.8477,1.138,0.0,0.0,0.996,0.806,-1.194,1.705,1.727,0.0,0.0,0.0,0.0,0.0,0.0,0.893,1.047,2.0,0.0,0.0,0.0,0.2338,0.0,0.0,1.0,-0.8843,0.8115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286
0.0,0.0,0.0,0.0,-0.9785,0.9775,0.0,0.0,0.5645,0.9004,1.043,1.187,-0.04037,0.0,1.0,0.0,0.0,-1.27,-0.901,1.045,0.0,1.0,-1.195,0.886,0.947,0.9434,1.161,0.433,0.04642,0.9106,0.3533,-0.9062,0.3687,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,1.108,1.233,0.5,0.0,0.0,0.0,-0.06696,0.0,0.0,1.0,-0.952,1.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833
0.0,0.0,0.0,0.0,-3.63,3.627,0.0,0.0,0.5376,4.406,3.13,1.487,6.2,0.0,1.0,0.0,0.0,-3.72,-2.363,0.6035,1.0,-1.5,1.402,1.094,1.083,3.096,-1.993,0.0,28.77,1.835,0.06226,0.0,-0.4307,0.5254,0.0,0.0,1.0,-1.0,0.0,0.0,2.713,1.458,0.0,0.0,0.0,0.0,16.97,1.0,0.0,1.0,-3.541,3.705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.734
0.0,0.0,0.0,0.0,-0.9526,0.9526,0.0,0.0,1.174,0.968,0.97,1.359,-1.011,1.0,1.0,0.0,0.0,-0.9927,-0.9155,0.2832,0.0,-0.6,0.0995,1.216,1.166,0.81,-0.2443,3.035,-1.245,1.208,2.578,-0.02173,-1.214,-0.1461,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.864,0.0,0.0,0.0,0.0,-0.962,1.333,0.0,0.6,-0.947,0.958,-0.6,1.333,0.0,0.0,0.0,0.0,0.0,-0.9424
0.0,0.0,0.0,0.0,0.08307,-0.08026,0.0,0.0,1.562,-0.4216,0.2289,1.169,-1.1875,2.0,1.0,0.0,0.0,0.0,-0.404,-0.4822,0.0,0.0,-0.2551,1.082,1.114,-0.3672,0.1714,1.946,-1.353,1.011,-0.847,0.0,0.1769,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,-1.389,0.0,-2.0,0.0,0.3652,0.0,-0.4,1.333,0.0,0.0,0.0,1.0,-9.01,-1.289
0.0,0.0,0.0,0.0,0.755,-0.7524,0.0,0.0,1.381,-1.164,-0.0669,0.989,-0.6426,1.0,1.0,0.0,0.0,0.5225,-0.127,-0.523,0.0,0.3333,-0.4028,0.8125,0.981,-0.751,0.409,-2.02,-0.5044,0.6836,-1.22,1.234,0.08453,3.197,0.0,0.0,0.0,0.0,0.0,0.0,-0.10406,-0.2559,0.0,0.0,0.0,0.0,-0.363,-4.0,-2.0,-0.3333,0.964,-0.5776,-0.2222,1.25,0.0,0.0,0.0,0.0,0.0,-0.3596
0.0,0.0,0.0,0.0,0.892,-0.892,0.0,0.0,1.036,-1.591,-0.1396,0.88,-0.08295,1.0,1.0,0.0,0.0,0.6426,0.0,-0.2147,0.0,0.5,-1.324,0.5254,0.849,-0.5996,0.598,-3.275,0.0,0.3838,-0.2522,-0.444,0.0875,1.396,0.0,0.0,0.0,0.0,0.0,0.0,-0.00366,-0.3276,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,1.1455,-0.7847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.897,-0.8994,0.0,0.0,0.645,-1.146,-0.1857,0.818,-0.0872,0.5,1.0,0.0,0.0,0.4631,0.07367,-0.1619,0.0,1.0,-1.779,0.2473,0.7456,-0.753,1.194,-1.919,0.02284,0.1681,0.0986,-1.1045,1.432,-0.603,0.0,0.0,0.0,0.0,0.0,0.0,0.05444,-0.243,0.0,0.0,0.0,0.0,-0.004204,-1.333,-0.5,0.5,0.85,-0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.004124
0.0,0.0,0.0,0.0,0.6885,-0.6924,0.0,0.0,0.3555,-0.911,-0.06235,0.759,0.1708,0.0,1.0,0.0,0.0,0.1385,0.0,0.03394,0.0,1.0,-1.13,0.0,0.6367,-0.606,1.265,-0.1392,0.2241,0.0,0.04614,-0.6694,-0.599,-1.804,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,-0.269,0.0,0.0,0.0,0.0,0.03955,0.0,0.0,0.0,0.4812,-0.938,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.03796
0.0,0.0,0.0,0.0,-0.443,0.4414,0.0,0.0,-0.0413,0.02849,1.034,0.79,6.242,0.0,1.0,0.0,0.0,-1.439,-1.065,0.7163,1.0,-1.0,0.7954,-0.2603,0.5586,0.4026,0.6855,-0.481,1.99,-0.07306,0.242,-0.2191,-1.578,0.334,0.0,0.0,1.0,-1.0,0.0,0.0,1.194,-0.5137,-4.0,0.0,0.0,0.0,3.059,2.0,0.0,0.0,-0.5166,0.4006,0.8335,0.0,0.0,0.0,0.0,0.0,0.0,2.924
