EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.4104,-0.4124,-0.4082,1.888,-1.914,0.59,-3.168,1.286,-1.473,-2.121,-0.5664,0.4553,-0.75,-1.5,-1.0,-1.0,2.824,2.926,-1.176,0.0,0.1068,-0.2412,-0.1054,-0.1389,-0.702,-1.116,-0.6445,-0.885,-0.2915,0.8496,0.5737,-2.9,0.2379,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.2651,-0.524,0.0,0.0,0.0,0.0,-0.02858,1.0,-0.5,0.5,2.25,-1.416,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.1501
-0.4104,-0.4124,-0.4082,1.354,-1.385,0.59,-3.168,1.244,-0.9644,-2.031,-0.569,-0.3013,-0.75,-1.5,-1.0,-1.0,2.668,2.758,-1.131,0.0,0.10876,0.0992,-0.0917,-0.1327,-0.0923,-1.141,-0.6963,0.8496,-0.3088,-0.885,1.16,0.579,-0.2825,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.263,-0.5625,0.0,0.0,0.0,0.0,0.008514,1.0,0.0,0.5,1.703,-0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09985
-0.4104,-0.4124,-0.4082,0.643,-0.691,0.59,-3.168,0.9834,-0.1794,-1.891,-0.5713,-0.9565,-0.75,-1.5,-1.0,-1.0,2.414,2.52,-1.057,0.0,0.11066,0.06866,-0.0833,-0.131,0.7773,-1.163,-0.584,1.412,-0.3208,0.8496,0.848,0.5737,-1.587,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.2593,-0.6025,0.0,0.0,0.0,0.0,0.0462,1.0,0.5,0.5,1.048,-0.2319,0.5,0.0,0.0,0.0,1.0,0.0,3.572,0.3506
-0.4104,-0.4124,-0.4082,0.2499,-0.309,0.59,-3.168,0.915,0.358,-1.803,-0.575,-11.09,-0.625,-1.5,0.0,-1.0,2.268,2.37,-1.012,0.0,0.1126,0.0509,-0.0932,-0.1385,1.142,-1.159,-0.469,0.8193,-0.3342,1.412,-0.884,1.16,-1.358,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.257,-0.6436,0.0,0.0,0.0,0.0,0.02348,1.0,1.0,0.5,0.704,0.1768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937
-0.4104,-0.4124,-0.4082,-0.4216,0.3489,0.951,-3.168,0.845,1.248,-1.637,-0.5767,2.324,-0.625,-1.5,0.0,-1.0,2.01,2.094,-0.9224,0.0,0.11456,0.3508,-0.1196,-0.1454,1.964,-1.162,-0.2693,1.641,-0.3325,0.8193,0.848,0.848,-1.932,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.2527,-0.4504,0.0,0.0,0.0,0.0,0.02084,1.0,1.5,0.5,0.1309,0.8955,1.5,0.0,0.0,0.0,1.0,0.0,3.879,0.174
-0.4104,-0.4124,-0.4082,-0.8945,0.8145,1.593,-3.168,0.8506,1.951,-1.497,-0.576,0.746,-0.625,-1.5,0.0,-1.0,1.806,1.866,-0.848,0.0,0.1165,0.644,-0.1519,-0.157,2.537,-1.157,0.242,1.329,-0.34,1.641,1.41,-0.884,-2.904,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.2493,-0.257,0.0,0.0,0.0,0.0,0.01677,2.0,2.0,1.0,-0.335,1.336,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1434
-0.4104,-0.4124,-0.4082,-0.8994,0.8193,1.719,-3.168,0.7485,2.053,-1.463,-0.5728,0.2006,-0.5,-1.5,0.0,-1.0,1.749,1.82,-0.8335,0.0,0.11847,-0.01566,-0.1954,-0.1704,2.537,-1.152,0.2722,0.2416,-0.3323,1.329,0.818,0.848,0.5806,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.2485,-0.04572,0.0,0.0,0.0,0.0,-0.003305,2.0,2.0,1.5,-0.393,1.283,2.5,0.0,0.3333,0.0,0.0,0.0,0.0,0.01608
-0.4104,-0.4124,-0.4082,-0.2761,0.2052,1.719,-3.168,0.8647,1.361,-1.586,-0.5693,-0.232,-0.375,-1.5,0.0,-1.0,1.936,2.008,-0.9077,0.0,0.12036,1.009,-0.2527,-0.1844,1.964,-1.147,0.2996,-1.343,-0.331,0.2416,1.638,1.41,0.575,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.252,-0.04572,0.0,0.0,0.0,0.0,-0.02936,1.0,1.5,1.5,0.172,0.6484,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-0.1444
-0.4104,-0.4124,-0.4082,-0.9634,0.8906,1.719,-3.168,0.7876,2.115,-1.395,-0.5605,0.7407,-0.25,-1.5,0.0,-1.0,1.656,1.711,-0.8037,0.0,0.1223,0.944,-0.3242,-0.2042,2.537,-1.121,0.245,1.862,-0.3271,-1.343,1.327,0.818,1.162,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.247,0.395,0.0,0.0,0.0,0.0,0.1337,1.0,1.5,2.0,-0.599,1.196,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.8774
-0.4104,-0.4124,-0.4082,-0.555,0.477,1.719,-3.168,0.486,1.424,-1.466,-0.5464,-0.2213,-0.125,-1.5,0.0,-1.0,1.733,1.847,-0.848,0.0,0.12427,0.317,-0.383,-0.2308,2.068,-1.104,0.2299,-0.8086,-0.3325,1.862,0.241,1.638,0.85,-0.4092,-0.4114,0.0,0.0,-0.4092,0.0,-0.2489,1.041,1.0,0.0,0.0,0.0,-0.02246,0.0,1.0,2.0,-0.197,0.8037,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-0.1014
