EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.65,-0.624,-0.6626,0.8477,-1.382,0.2703,-1.079,1.554,-0.8955,-0.1564,-0.3596,1.524,-1.0,-1.739,-1.0,0.0,0.2744,0.03766,-0.6616,0.0,-0.10767,0.883,-0.3972,-0.4006,-0.767,-0.472,-0.1428,-0.9756,-0.546,-0.681,-0.1875,0.5605,2.809,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.538,-0.55,0.0,0.0,0.0,0.0,-0.05185,-2.0,-1.0,-1.0,1.244,-1.156,-0.5,2.0,2.0,-2.0,0.0,0.0,0.0,-0.2656
-0.65,-0.624,-0.6626,0.919,-1.449,0.2703,-1.079,1.589,-1.038,-0.2079,-0.3608,0.3608,-1.0,-1.739,-1.0,0.0,0.3313,0.0911,-0.7275,0.0,-0.1,1.375,-0.4158,-0.4006,-0.887,-0.4963,-0.1517,-0.4163,-0.5435,-0.9736,0.1141,-0.9844,-0.2249,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.539,-0.4172,0.0,0.0,0.0,0.0,-0.03912,-2.0,-1.0,-1.0,1.293,-1.257,-0.5,3.0,2.0,-2.0,0.0,0.0,0.0,-0.1685
-0.65,-0.624,-0.6626,0.11084,-0.6274,0.2703,-1.079,1.481,-0.266,0.01808,-0.3596,-0.8555,-1.0,-1.739,-1.0,0.0,0.09216,-0.1395,-0.402,0.0,-0.0923,1.676,-0.431,-0.4033,-0.1313,-0.4497,-0.1848,1.714,-0.547,-0.4148,-0.6816,-0.1875,0.0674,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.5347,0.1559,0.0,0.0,0.0,0.0,0.0783,-1.0,-1.0,-0.6665,0.5166,-0.3057,0.0,0.0,2.0,-2.0,1.0,0.0,7.98,0.778
-0.65,-0.624,-0.6626,-0.973,0.4946,0.945,-1.079,1.364,0.96,0.3965,-0.356,-17.22,-0.857,-1.739,0.0,0.0,-0.266,-0.4922,0.1411,0.0,-0.0846,2.52,-0.4446,-0.41,1.072,-0.3542,-0.1539,2.787,-0.5474,1.715,-0.974,0.114,-0.6006,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.528,0.536,0.0,0.0,0.0,0.0,0.1687,-1.0,-0.5,-0.6665,-0.6646,0.8438,0.5,0.0,2.0,-2.0,0.0,0.0,0.0,1.445
-0.65,-0.624,-0.6626,-0.3345,-0.1649,0.945,-1.079,1.358,0.2462,0.186,-0.357,-0.5366,-0.7144,-1.739,0.0,0.0,-0.0775,-0.2961,-0.143,0.0,-0.0769,2.42,-0.452,-0.4194,0.3076,-0.3447,-0.10223,-1.456,-0.547,2.787,-0.4148,-0.681,-0.544,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.5317,-0.27,0.0,0.0,0.0,0.0,-0.0994,-1.0,-0.5,-1.0,0.0869,0.227,-0.5,1.0,2.0,-2.0,0.0,0.0,0.0,-0.596
-0.65,-0.624,-0.6626,-0.08765,-0.42,0.945,-1.079,1.412,-0.005028,0.10333,-0.3582,-0.4863,-0.5713,-1.739,0.0,0.0,0.00436,-0.2197,-0.2499,0.0,-0.0692,0.6245,-0.4565,-0.4324,0.01481,-0.3389,-0.1425,-0.6035,-0.5513,-1.454,1.716,-0.9736,0.5615,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.533,-0.3435,0.0,0.0,0.0,0.0,-0.04044,-1.0,-1.0,-1.0,0.3748,-0.01413,-0.5,2.0,0.0,-2.0,0.0,0.0,0.0,-0.1711
-0.65,-0.624,-0.6626,-0.664,0.1797,0.945,-1.079,1.387,0.7173,0.3066,-0.358,4.363,-0.5713,-1.739,0.0,0.0,-0.1853,-0.412,0.04645,0.0,-0.06152,0.9453,-0.4565,-0.448,0.7407,-0.3186,-0.0731,1.465,-0.547,-0.602,2.79,-0.4148,-0.985,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.5293,-0.08734,0.0,0.0,0.0,0.0,0.06088,0.0,-0.5,-1.0,-0.2002,0.6562,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.598
-0.65,-0.624,-0.6626,-1.016,0.5615,0.945,-1.079,1.416,1.196,0.458,-0.356,0.7144,-0.4285,-1.739,0.0,0.0,-0.3152,-0.551,0.2727,0.0,-0.05383,1.428,-0.4565,-0.463,1.237,-0.2795,-0.04663,1.065,-0.539,1.466,-1.455,1.715,-0.1873,-0.62,-0.665,0.0,0.0,-0.655,0.0,-0.5264,0.1914,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,-0.6665,-0.559,1.073,0.5,0.0,0.0,-2.0,0.0,0.0,0.0,0.309
-0.65,-0.624,-0.6626,-0.2463,-0.2212,0.945,0.2098,1.662,0.2686,0.2034,-0.3555,-0.59,-0.2856,-1.739,0.0,0.0,-0.07104,-0.3362,-0.077,0.0,-0.04614,1.283,-0.456,-0.4731,0.2964,-0.2654,-0.033,-1.755,-0.544,1.066,-0.602,2.787,0.11456,-0.6196,-0.665,0.0,0.0,-0.655,0.0,-0.5312,-0.04532,0.0,0.0,0.0,0.0,-0.06097,-1.0,-0.5,-0.6665,0.3271,0.3235,-0.5,1.0,0.0,-2.0,0.0,0.0,0.0,-0.3125
-0.65,-0.624,-0.6626,-0.1891,-0.2793,0.945,0.2098,1.655,0.2081,0.1868,-0.3552,-0.003475,-0.2856,-1.739,0.0,0.0,-0.0563,-0.3198,-0.0935,0.0,-0.03845,0.2479,-0.453,-0.4739,0.2144,-0.2483,0.02568,-0.143,-0.549,-1.753,1.467,-1.454,-0.6816,-0.619,-0.665,0.0,0.0,-0.655,0.0,-0.5312,-0.1482,0.0,0.0,0.0,0.0,-0.02821,-1.0,-0.5,-1.0,0.3438,0.2156,-0.5,2.0,0.0,-2.0,0.0,0.0,0.0,-0.0791
-0.65,-0.624,-0.6626,-0.4312,-0.03278,0.945,0.2098,1.458,0.463,0.2744,-0.3535,0.8345,-0.1428,-1.739,0.0,0.0,-0.1512,-0.3877,0.0382,0.0,-0.03076,-0.01169,-0.4482,-0.4739,0.4827,-0.2169,0.1095,0.6055,-0.5474,-0.1415,1.066,-0.602,-0.974,-0.6196,-0.665,0.0,0.0,-0.655,0.0,-0.53,0.1109,0.0,0.0,0.0,0.0,0.02812,0.0,0.0,-0.6665,0.1102,0.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.3416
-0.65,-0.624,-0.6626,-0.3752,-0.0935,0.945,0.2098,1.341,0.3625,0.2632,-0.3516,-0.02733,0.0,-1.739,0.0,0.0,-0.1497,-0.3682,0.02997,0.0,-0.02307,1.513,-0.442,-0.4739,0.351,-0.1688,0.1631,-0.1009,-0.546,0.6064,-1.753,1.466,-0.4148,-0.619,-0.665,0.0,0.0,-0.655,0.0,-0.53,0.1266,0.0,0.0,0.0,0.0,-0.02638,-1.0,0.0,-0.6665,0.1644,0.4304,-0.5,1.0,0.0,-2.0,0.0,0.0,0.0,-0.06525
-0.65,-0.624,-0.6626,-0.903,0.4563,0.945,0.2098,1.2295,0.982,0.4683,-0.3484,1.359,0.1428,-1.739,0.0,0.0,-0.338,-0.5454,0.3303,0.0,-0.01538,-0.0634,-0.433,-0.4736,0.928,-0.086,0.0647,1.437,-0.5386,-0.0994,-0.1415,1.066,1.717,-0.6187,-0.665,0.0,0.0,-0.655,0.0,-0.5264,0.2957,0.0,0.0,0.0,0.0,0.0769,-1.0,0.0,-0.6665,-0.3667,1.04,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.6953
-0.65,-0.624,-0.6626,-0.9126,0.4688,0.945,0.2098,1.163,0.9517,0.4988,-0.3442,0.1115,0.2856,-1.739,0.0,0.0,-0.3687,-0.5674,0.384,0.0,-0.00769,0.1501,-0.4246,-0.4666,0.9067,-0.01794,-0.1209,0.1976,-0.531,1.4375,0.607,-1.753,2.791,-0.618,-0.665,0.0,0.0,-0.655,0.0,-0.526,0.441,0.0,0.0,0.0,0.0,-0.010056,0.0,0.0,-0.3333,-0.4128,1.016,0.5,0.0,0.0,-2.0,0.0,0.0,0.0,0.0515
-0.65,-0.624,-0.662,-0.5093,0.0426,0.945,0.2098,1.277,0.3672,0.3706,-0.34,-0.4182,0.4285,-1.739,0.0,0.0,-0.25,-0.4622,0.211,0.0,0.0,1.157,-0.4165,-0.458,0.314,0.05167,0.0008125,-0.8867,-0.5283,0.199,-0.0994,-0.1415,-1.455,-0.618,-0.665,0.0,0.0,-0.655,0.0,-0.528,0.441,0.0,0.0,0.0,0.0,-0.1014,0.0,0.0,-0.3333,0.05487,0.6084,-0.5,1.0,0.0,-2.0,0.0,0.0,0.0,-0.595
