EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.1643,-0.1646,-0.1733,-1.415,0.9473,2.12,0.678,-0.2036,0.8315,2.61,0.01804,-0.0914,0.7144,-1.777,0.0,0.0,-2.06,-2.295,0.5425,0.0,-0.3228,-0.9175,-0.1371,-0.1666,0.8193,0.3083,0.00466,0.08734,-0.2114,-0.2081,0.5938,-0.3123,2.01,-0.1653,-0.1658,0.0,0.0,-0.165,0.0,-0.1068,1.381,1.0,0.0,1.0,0.0,0.000978,0.0,0.0,1.0,-1.324,1.42,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.08545
-0.1643,-0.1646,-0.1733,-0.5854,0.1022,2.12,0.07947,0.06073,-0.3945,2.61,0.01952,-1.371,0.5713,-1.777,-1.0,0.0,-2.06,-2.22,0.2642,0.0,-0.3184,2.828,-0.1368,-0.1609,-0.3403,0.338,0.02176,-2.277,-0.2166,0.08734,0.7866,-0.011375,-0.011375,-0.1653,-0.1658,0.0,0.0,-0.1649,0.0,-0.1082,0.748,1.0,0.0,0.0,0.0,-0.2876,0.0,0.0,0.5,-0.3,0.4756,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-2.887
-0.1642,-0.1646,-0.1733,-0.1486,-0.3472,2.12,-0.4753,0.107,-1.018,2.61,0.01949,2.955,0.4285,-1.777,-1.0,0.0,-2.018,-2.096,0.11884,0.0,-0.314,1.045,-0.1409,-0.1573,-1.003,0.3716,0.02098,-1.245,-0.2229,-2.277,-0.208,0.5938,-0.011375,-0.1655,-0.1658,0.0,0.0,-0.1648,0.0,-0.109,0.2439,0.0,0.0,0.0,0.0,-0.1023,-1.0,0.0,0.0,0.2074,-0.05988,-0.5,2.0,0.3333,0.0,0.0,0.0,0.0,-1.02
-0.1643,-0.1646,-0.1733,0.3064,-0.8027,2.12,-1.09,0.1471,-1.599,2.61,0.01782,0.9204,0.2856,-1.777,-1.0,0.0,-1.876,-1.954,-0.03842,0.0,-0.3093,0.9683,-0.1516,-0.1571,-1.581,0.3674,-0.04352,-1.378,-0.232,-1.245,0.0873,0.7866,0.7065,-0.1658,-0.1658,0.0,0.0,-0.1647,0.0,-0.1098,-0.3123,0.0,0.0,0.0,0.0,-0.1178,-2.0,-0.5,-0.5,0.7095,-0.631,-0.5,3.0,0.3333,0.0,0.0,0.0,0.0,-1.213
-0.1644,-0.1647,-0.1735,0.9355,-1.42,2.12,-1.963,0.2498,-2.3,2.297,0.01392,0.7095,0.1428,-1.777,-1.0,0.0,-1.672,-1.76,-0.256,0.0,-0.305,2.195,-0.164,-0.161,-2.225,0.315,-0.10803,-1.952,-0.2405,-1.378,-2.277,-0.208,0.4949,-0.1661,-0.1658,0.0,0.0,-0.1646,0.0,-0.11096,-1.089,0.0,1.0,0.0,0.0,-0.2793,-2.0,-1.0,-1.0,1.533,-1.269,-0.5,4.0,0.3333,0.0,0.0,0.0,0.0,-3.062
-0.1646,-0.1648,-0.1736,0.6553,-1.125,2.12,-1.963,0.3293,-1.947,2.355,0.01033,-0.05374,0.0,-1.777,-1.0,0.0,-1.696,-1.799,-0.1957,0.0,-0.3005,2.16,-0.182,-0.167,-1.812,0.2556,-0.1282,0.5474,-0.2456,-1.952,-1.244,0.08734,-0.3125,-0.1666,-0.1658,0.0,0.0,-0.1646,0.0,-0.1107,-0.945,0.0,0.0,0.0,0.0,0.0623,-2.0,-0.5,-0.5,1.225,-0.899,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.8135
-0.1646,-0.1648,-0.1737,0.299,-0.7534,2.12,-1.963,0.5435,-1.473,2.467,0.007236,-0.17,-0.1428,-1.777,-1.0,0.0,-1.739,-1.879,-0.09894,0.0,-0.296,1.965,-0.201,-0.1755,-1.273,0.2059,-0.1655,0.8735,-0.2524,0.5474,-1.377,-2.277,-0.011375,-0.1669,-0.1658,0.0,0.0,-0.1646,0.0,-0.11035,-0.7407,0.0,0.0,0.0,0.0,0.1711,-1.0,0.0,0.0,0.8047,-0.4624,0.5,0.0,0.3333,0.0,1.0,0.0,4.887,2.062
-0.1646,-0.1648,-0.1737,-0.01865,-0.432,2.12,-1.963,0.5166,-0.998,2.58,0.004257,-0.2803,-0.2856,-1.766,-1.0,0.0,-1.801,-1.938,-0.002125,0.0,-0.2915,-0.2776,-0.2166,-0.1863,-0.8335,0.1863,-0.2433,0.8594,-0.2573,0.8735,-1.951,-1.244,0.5938,-0.1671,-0.1656,0.0,0.0,-0.1644,0.0,-0.11,-0.7173,0.0,0.0,0.0,0.0,0.07007,0.0,0.0,0.0,0.445,-0.06885,1.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.881
-0.1646,-0.1648,-0.1737,-0.02556,-0.425,2.12,-1.963,0.5166,-0.883,2.547,0.0009747,-0.01724,-0.4285,-1.753,-1.0,0.0,-1.783,-1.92,-0.002125,0.0,-0.287,-0.5513,-0.2306,-0.1986,-0.793,0.1747,-0.335,-0.0114,-0.259,0.8594,0.547,-1.378,0.787,-0.1671,-0.1655,0.0,0.0,-0.1644,0.0,-0.11,-0.839,0.0,0.0,0.0,0.0,-0.00814,0.0,-0.5,-0.5,0.4219,-0.0766,-0.5,0.0,0.3333,0.0,0.0,0.0,0.0,-0.00867
-0.1646,-0.1648,-0.1737,-0.437,-0.0096,2.12,-1.963,0.5566,-0.2443,2.61,-0.001447,-0.8696,-0.5713,-1.741,-1.0,0.0,-1.873,-2.02,0.1431,0.0,-0.2825,0.3665,-0.2416,-0.213,-0.1602,0.1549,-0.3552,1.274,-0.2598,-0.0114,0.873,-1.951,-0.2081,-0.1671,-0.1654,0.0,0.0,-0.1644,0.0,-0.1093,-0.521,0.0,0.0,0.0,0.0,0.06384,1.0,0.0,0.0,-0.004433,0.473,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.7974
-0.1646,-0.1648,-0.1737,-0.0624,-0.3787,-0.2377,-1.963,0.887,-0.621,2.512,-0.004433,4.12,-0.7144,-1.729,-1.0,0.0,-1.735,-1.933,0.02208,0.0,-0.278,2.309,-0.2527,-0.2255,-0.605,0.1478,-0.3877,-1.059,-0.2588,1.274,0.859,0.5474,0.08734,-0.1671,-0.1654,0.0,0.0,-0.1644,0.0,-0.11,-0.6562,0.0,0.0,0.0,0.0,-0.1371,0.0,-0.5,0.0,0.453,0.0565,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-1.419
-0.1646,-0.1648,-0.1736,-0.4702,0.02747,-0.2377,-1.963,0.8467,0.03644,2.61,-0.007122,-1.456,-0.7144,-1.716,0.0,0.0,-1.832,-2.025,0.1672,0.0,-0.2734,-0.1733,-0.259,-0.239,0.04846,0.12305,-0.2424,1.27,-0.259,-1.059,-0.01139,0.8735,-2.277,-0.1671,-0.1653,0.0,0.0,-0.1644,0.0,-0.1093,-0.5405,0.0,0.0,0.0,0.0,0.06396,0.0,0.0,0.0,-0.007565,0.5547,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.796
