EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.781,-0.7803,-0.7817,0.205,-0.217,1.684,-0.68,-0.3538,-0.1593,-0.5674,-0.2668,-1.58,0.5713,-0.7173,-1.0,-1.0,0.5825,0.6846,0.4746,0.0,-0.6206,-0.8687,-0.3513,-0.3335,0.1504,0.4604,-0.0193,-0.4084,-0.421,-0.2034,0.2052,0.0,2.555,-0.7754,-0.7773,0.0,0.0,-0.7876,0.0,-0.02696,1.0205,1.0,0.0,0.0,0.0,-0.001173,0.0,-0.5,0.3333,0.2117,-0.2212,0.0,2.0,0.0,0.0,0.0,1.0,-0.897,-0.003712
-0.7803,-0.7793,-0.781,-0.3696,0.3582,1.684,-0.68,-0.4387,0.351,-0.4236,-0.2512,-4.973,0.7144,-0.7173,0.0,-1.0,0.4104,0.5073,0.532,0.0,-0.62,0.1334,-0.2937,-0.3503,0.4766,0.489,-0.1271,1.442,-0.4087,-0.4087,0.2043,-1.585,0.403,-0.776,-0.7783,0.0,0.0,-0.786,0.0,-0.0163,0.997,1.0,0.0,0.0,0.0,0.01129,1.0,-0.5,0.3333,-0.288,0.4106,1.0,0.0,0.0,0.0,1.0,0.0,3.168,0.03604
-0.7783,-0.7773,-0.779,-0.857,0.8467,1.684,-0.68,-0.3604,0.82,-0.2798,-0.2327,1.502,0.857,-0.7173,0.0,-1.0,0.2588,0.33,0.59,0.0,-0.6196,-0.2343,-0.219,-0.3503,0.942,0.505,-0.1271,1.398,-0.3828,1.443,-0.2034,0.2052,0.0,-0.7744,-0.7783,0.0,0.0,-0.784,0.0,-0.005634,1.104,1.0,0.0,0.0,0.0,0.01026,1.0,0.0,0.3333,-0.7456,0.91,2.0,0.0,0.0,0.0,1.0,0.0,4.91,0.03177
-0.7754,-0.775,-0.7764,-1.06,1.05,1.684,-0.68,-0.4255,1.018,-0.1963,-0.2157,0.403,0.857,-0.7173,0.0,-1.0,0.1681,0.2395,0.623,0.0,-0.6187,-0.5728,-0.1782,-0.3477,1.269,0.5083,-0.0969,0.7754,-0.3538,1.398,-0.4087,0.2043,0.0,-0.77,-0.7783,0.0,0.0,-0.7817,0.0,0.0004542,1.063,1.0,0.0,0.0,0.0,0.00176,1.0,0.5,0.3333,-1.014,1.032,3.0,0.0,0.0,0.0,1.0,0.0,3.018,0.005283
-0.774,-0.773,-0.7744,-0.811,0.8,1.684,-0.68,-0.6846,0.7573,-0.233,-0.2074,-0.1415,0.857,-0.7173,0.0,-1.0,0.1893,0.299,0.6064,0.0,-0.618,-1.217,-0.1396,-0.3352,1.042,0.5117,-0.1357,-0.381,-0.354,0.7754,1.443,-0.2034,0.3997,-0.7666,-0.7783,0.0,0.0,-0.779,0.0,-0.002583,0.573,0.0,0.0,0.0,0.0,-0.001467,1.0,0.0,0.0,-0.7783,0.7783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.00433
-0.771,-0.77,-0.7715,-1.225,1.216,1.684,0.3823,-0.6455,1.29,-0.09045,-0.1964,0.9033,0.857,-0.7173,0.0,-1.0,0.04852,0.139,0.664,0.0,-0.6177,-0.586,-0.06445,-0.2883,1.211,0.552,-0.1055,1.346,-0.3792,-0.3813,1.398,-0.4087,0.0,-0.761,-0.777,0.0,0.0,-0.775,0.0,0.00812,0.748,0.0,0.0,0.0,0.0,0.0739,2.0,0.5,0.0,-1.112,1.264,1.0,0.0,0.0,0.0,1.0,0.0,2.953,0.2201
-0.768,-0.7676,-0.7686,-1.104,1.095,1.684,0.3823,-0.6455,1.179,-0.088,-0.1854,0.04462,0.857,-0.7173,0.0,-1.0,0.04617,0.1365,0.664,0.0,-0.617,-1.217,-0.02065,-0.2445,1.211,0.552,0.2996,0.0,-0.4316,1.346,0.7754,1.443,-1.585,-0.756,-0.776,0.0,0.0,-0.771,0.0,0.00812,0.748,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.9995,1.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.765,-0.764,-0.7656,-1.268,1.262,1.684,0.3823,-0.511,1.404,-0.005733,-0.1721,0.3518,0.857,-0.71,0.0,0.0,-0.0241,0.0405,0.6973,0.0,-0.6167,-0.286,0.02534,-0.1848,1.235,0.581,0.3513,0.7466,-0.442,0.0,-0.3813,1.398,0.2052,-0.749,-0.774,0.0,0.0,-0.767,0.0,0.01422,0.861,1.0,0.0,0.0,0.0,0.0352,1.0,0.5,0.3333,-1.143,1.321,1.0,0.0,0.0,0.0,1.0,0.0,1.64,0.1018
-0.763,-0.762,-0.7637,-0.8657,0.859,1.684,0.3823,-0.4497,0.9473,-0.0836,-0.1625,-0.2227,0.857,-0.71,0.0,-1.0,0.0544,0.1181,0.664,0.0,-0.616,-0.586,0.04248,-0.1315,0.8047,0.5874,0.416,-0.735,-0.4795,0.747,1.346,0.7754,0.2043,-0.745,-0.7725,0.0,0.0,-0.7637,0.0,0.008156,0.5615,0.0,0.0,0.0,0.0,-0.01466,0.0,0.0,0.0,-0.7256,0.953,0.0,1.0,0.0,0.0,0.0,1.0,-2.79,-0.04172
-0.7617,-0.7607,-0.762,-0.564,0.5566,1.684,0.3823,-0.4133,0.6035,-0.1416,-0.1547,-0.2583,0.857,-0.71,0.0,-1.0,0.1137,0.1781,0.6396,0.0,-0.615,-1.217,0.02704,-0.113,0.5337,0.588,0.5454,-0.56,-0.5107,-0.735,0.0,-0.3813,-0.2034,-0.7437,-0.7715,0.0,0.0,-0.761,0.0,0.00359,0.4023,0.0,0.0,0.0,0.0,-0.00044,0.0,0.0,0.0,-0.4836,0.599,0.0,2.0,0.0,0.0,0.0,1.0,-2.033,-0.001272
-0.7607,-0.76,-0.761,-0.3599,0.3508,1.684,0.3418,-0.47,0.313,-0.1791,-0.143,-0.3755,0.857,-0.71,0.0,-1.0,0.1478,0.2235,0.623,0.0,-0.6147,-0.2507,-0.0099,-0.0934,0.2942,0.5938,0.709,-0.378,-0.5103,-0.56,0.747,1.346,-0.4087,-0.7437,-0.77,0.0,0.0,-0.7603,0.0,0.000554,0.741,0.0,0.0,0.0,0.0,-0.00176,-1.0,0.0,0.0,-0.2803,0.4014,0.0,3.0,0.0,0.0,0.0,1.0,-0.83,-0.005154
-0.761,-0.7607,-0.762,0.3713,-0.3823,0.421,-0.4417,-0.241,-0.535,-0.3567,-0.1371,-2.588,0.7144,-0.71,-1.0,-1.0,0.3489,0.412,0.549,0.0,-0.6143,0.791,-0.0858,-0.08203,-0.4924,0.593,0.485,-1.715,-0.5127,-0.3782,-0.735,0.0,1.443,-0.745,-0.769,0.0,0.0,-0.7603,0.0,-0.01309,0.2275,0.0,0.0,0.0,0.0,-0.03958,-1.0,-0.5,-0.3333,0.4924,-0.2524,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.1169
-0.762,-0.761,-0.7627,0.34,-0.3516,0.421,-0.4417,-0.264,-0.5723,-0.3538,-0.1321,0.2274,0.5713,-0.71,-1.0,-1.0,0.3445,0.4104,0.549,0.0,-0.614,-1.217,-0.0733,-0.04916,-1.038,0.6465,0.1919,0.0,-0.515,-1.716,-0.56,0.747,1.398,-0.749,-0.768,0.0,0.0,-0.76,0.0,-0.01309,0.1926,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-0.6665,0.454,-0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
