EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.1162,-0.1201,-0.1726,1.963,1.069,2.463,-2.25,2.865,-0.5366,-1.458,-1.822,-0.318,-0.375,-1.355,-1.0,-1.0,2.658,2.215,-0.288,0.0,-0.2375,1.36,-0.00953,0.1729,-1.019,-0.2563,2.207,0.376,0.1025,-1.31,-2.135,-1.66,-3.06,-0.1244,-0.1103,0.0,0.0,-0.1208,0.0,-0.4238,-0.345,0.0,0.0,0.0,0.0,0.1622,-2.0,0.0,-1.0,1.708,-0.3315,0.0,0.0,-0.6665,0.5,0.0,0.0,0.0,0.211
-0.1154,-0.11755,-0.1742,1.114,1.902,2.463,-2.25,2.54,1.146,-1.221,-1.804,-4.715,-0.25,-1.355,0.0,-1.0,2.055,1.638,-0.2496,0.0,-0.237,2.21,-0.09143,0.1252,0.6543,-0.2563,2.158,4.094,0.1005,0.3757,-1.089,-0.1945,0.521,-0.126,-0.11127,0.0,0.0,-0.12085,0.0,-0.3997,0.010284,0.0,0.0,0.0,0.0,4.586,-1.0,0.0,-0.5,0.2499,1.22,0.5,0.0,-0.6665,0.5,0.0,0.0,0.0,6.2
-0.11395,-0.11255,-0.1774,0.958,2.322,2.463,-2.25,2.443,1.723,-1.114,-1.767,0.6895,-0.125,-1.355,0.0,-1.0,1.824,1.41,-0.2325,0.0,-0.2365,1.465,-0.1714,0.0759,1.306,-0.2544,1.15,1.625,0.1185,4.09,-1.309,-2.135,3.281,-0.1251,-0.1116,0.0,0.0,-0.1204,0.0,-0.389,0.2803,0.0,0.0,0.0,0.0,1.463,0.0,0.0,0.0,-0.2323,1.718,1.0,0.0,-0.6665,0.5,0.0,0.0,0.0,1.786
-0.1116,-0.104,-0.183,0.8193,2.902,2.463,-2.25,2.338,2.47,-0.967,-1.708,0.6284,0.0,-1.355,0.0,-1.0,1.532,1.12,-0.2087,0.0,-0.236,1.803,-0.2266,0.01703,2.152,-0.2507,0.475,2.201,0.1781,1.623,0.3755,-1.089,2.146,-0.1225,-0.1114,0.0,0.0,-0.1193,0.0,-0.3738,0.501,0.0,0.0,0.0,0.0,2.553,1.0,0.0,0.5,-0.8813,2.268,1.5,0.0,-0.6665,0.5,0.0,0.0,0.0,3.002
-0.1095,-0.105,-0.1766,0.852,2.611,2.463,-2.25,2.281,1.918,-0.987,-1.637,-0.1349,0.125,-1.355,0.0,-1.0,1.563,1.165,-0.2124,0.0,-0.2355,0.8413,-0.1772,-0.05145,1.674,-0.2439,-1.282,-0.3433,0.2057,2.2,4.086,-1.309,4.418,-0.11865,-0.1113,0.0,0.0,-0.11884,0.0,-0.3755,0.7554,1.0,0.0,0.0,0.0,-0.3247,1.0,-0.5,0.5,-0.6216,1.997,-0.5,1.0,-0.6665,0.5,0.0,0.0,0.0,-0.3752
-0.1072,-0.1046,-0.1714,0.6387,2.586,2.463,-2.25,2.213,2.004,-0.915,-1.562,0.18,0.25,-1.355,0.0,-1.0,1.429,1.036,-0.2009,0.0,-0.235,0.7944,-0.1085,-0.09924,1.891,-0.2382,-0.372,1.001,0.2642,-0.3428,1.622,0.3757,-1.66,-0.1133,-0.11084,0.0,0.0,-0.11774,0.0,-0.3682,0.7847,1.0,0.0,0.0,0.0,1.424,1.0,0.0,0.5,-0.8936,2.1,0.0,0.0,-0.6665,0.5,0.0,0.0,0.0,1.596
-0.10626,-0.10645,-0.1666,1.102,1.995,2.463,-2.25,2.383,0.6963,-1.072,-1.519,-0.631,0.375,-1.355,0.0,-1.0,1.734,1.327,-0.227,0.0,-0.2345,2.166,-0.05444,-0.1162,0.608,-0.2336,-0.07886,-2.29,0.2825,0.9995,2.197,4.086,-0.1941,-0.1088,-0.1106,0.0,0.0,-0.1168,0.0,-0.3835,0.3677,0.0,0.0,0.0,0.0,-1.587,0.0,0.0,0.0,0.0786,1.214,-0.5,1.0,-0.6665,0.5,0.0,0.0,0.0,-1.759
-0.1044,-0.10266,-0.1672,0.8003,2.371,2.463,-2.25,2.27,1.405,-0.9355,-1.475,1.206,0.375,-1.355,0.0,-1.0,1.47,1.068,-0.2051,0.0,-0.2339,3.447,-0.01325,-0.1074,1.374,-0.2305,1.049,2.004,0.3237,-2.285,-0.3425,1.622,-2.133,-0.10315,-0.1101,0.0,0.0,-0.11536,0.0,-0.3699,0.3784,0.0,0.0,0.0,0.0,1.374,0.0,0.5,0.0,-0.626,1.697,0.0,0.0,-0.6665,0.5,0.0,0.0,0.0,1.591
-0.1016,-0.0979,-0.1669,0.52,2.709,2.463,-2.25,1.871,2.256,-0.7837,-1.442,0.817,0.375,-1.355,0.0,-1.0,1.179,0.839,-0.1807,0.0,-0.2334,1.786,0.0509,-0.0771,2.223,-0.2273,1.844,2.11,0.3853,2.002,0.999,2.197,-1.088,-0.09845,-0.10913,0.0,0.0,-0.1128,0.0,-0.3547,0.2588,0.0,0.0,0.0,0.0,3.217,0.0,1.0,0.0,-1.17,2.246,0.5,0.0,-0.6665,0.5,0.0,0.0,0.0,3.56
-0.0998,-0.0965,-0.1643,0.8755,2.396,2.463,-2.25,1.8125,1.46,-0.874,-1.403,-0.285,0.375,-1.355,0.0,-1.0,1.32,1.003,-0.1963,0.0,-0.2329,2.717,0.1262,-0.02538,1.363,-0.2222,2.89,-1.316,0.3967,2.107,-2.283,-0.3423,-1.308,-0.09595,-0.10803,0.0,0.0,-0.1104,0.0,-0.3635,0.282,0.0,0.0,0.0,0.0,-2.432,0.0,1.0,0.0,-0.5127,1.708,-0.5,1.0,-0.6665,0.5,0.0,0.0,0.0,-2.576
