EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.102,-1.105,-1.1,0.6577,-0.6772,0.875,-0.9453,-0.02048,-0.4739,0.691,0.3625,2.04,0.0,-0.974,-1.0,0.0,-0.608,-0.6465,0.6924,0.0,-0.4111,-0.3982,-0.517,-0.5034,-0.8965,0.771,0.8145,-0.5327,-0.4504,-1.046,-0.2559,0.08466,-0.1824,-1.084,-1.1,0.0,0.0,-1.1045,0.0,-0.05145,0.08606,0.0,0.0,0.0,0.0,-0.0324,-2.0,0.0,-0.5,0.677,-0.6235,0.0,5.0,1.0,1.5,0.0,0.0,0.0,-0.06775
-1.104,-1.107,-1.103,0.5625,-0.5845,0.875,-0.9453,-0.06,-0.4702,0.696,0.3652,0.1068,0.0,-0.966,-1.0,0.0,-0.6143,-0.648,0.6963,0.0,-0.4106,-0.561,-0.502,-0.5244,-0.867,0.772,0.499,0.08966,-0.4646,-0.5327,-0.943,-0.5073,1.189,-1.093,-1.103,0.0,0.0,-1.106,0.0,-0.05026,0.2192,0.0,0.0,0.0,0.0,0.008286,-1.0,0.0,0.0,0.5796,-0.537,0.5,0.0,1.0,1.5,0.0,0.0,0.0,0.01747
-1.105,-1.109,-1.104,0.439,-0.465,0.875,-0.9453,-0.1266,-0.4407,0.713,0.3704,0.034,0.0,-0.957,-1.0,0.0,-0.6323,-0.658,0.704,0.0,-0.4102,-0.4028,-0.487,-0.5557,-0.785,0.7715,0.259,0.179,-0.479,0.08966,-1.046,-0.2559,0.8066,-1.101,-1.1045,0.0,0.0,-1.108,0.0,-0.0477,0.3293,0.0,0.0,0.0,0.0,0.02153,0.0,0.0,0.5,0.4558,-0.4236,1.0,0.0,1.0,1.5,0.0,0.0,0.0,0.04535
-1.108,-1.111,-1.106,0.5825,-0.6133,0.875,-0.9453,-0.1611,-0.667,0.6436,0.3713,0.7954,0.0,-0.9487,-1.0,0.0,-0.579,-0.596,0.685,0.0,-0.4094,-0.719,-0.4758,-0.5845,-1.003,0.7734,-0.2698,-0.446,-0.4783,0.179,-0.5327,-0.9424,1.679,-1.109,-1.106,0.0,0.0,-1.11,0.0,-0.05536,0.1343,0.0,0.0,0.0,0.0,-0.02618,0.0,-0.5,0.0,0.609,-0.555,0.0,1.0,1.0,1.5,0.0,0.0,0.0,-0.055
-1.111,-1.115,-1.109,0.8286,-0.862,0.875,-0.9453,-0.126,-0.997,0.538,0.3696,0.741,0.0,-0.94,-1.0,0.0,-0.4907,-0.5063,0.654,0.0,-0.409,-0.547,-0.4749,-0.6035,-1.3955,0.7812,-0.5933,-0.719,-0.4663,-0.446,0.08966,-1.046,0.7725,-1.118,-1.108,0.0,0.0,-1.112,0.0,-0.0674,0.003248,0.0,0.0,0.0,0.0,-0.02135,0.0,-1.0,0.0,0.824,-0.826,0.0,2.0,1.0,1.5,0.0,1.0,-1.735,-0.04517
-1.113,-1.117,-1.111,0.6055,-0.637,0.875,-0.9453,-0.199,-0.8193,0.581,0.3633,-0.10223,0.0,-0.9316,-1.0,0.0,-0.531,-0.539,0.6694,0.0,-0.4084,-0.5522,-0.495,-0.615,-1.214,0.779,-0.747,0.3643,-0.457,-0.719,0.179,-0.5327,0.08466,-1.124,-1.109,0.0,0.0,-1.114,0.0,-0.06165,-0.1882,0.0,0.0,0.0,0.0,0.02597,1.0,-1.0,0.0,0.59,-0.6235,0.5,0.0,1.0,1.5,0.0,0.0,0.0,0.0557
-1.115,-1.118,-1.113,0.3333,-0.3628,0.875,-0.9453,-0.2642,-0.5527,0.648,0.355,-0.288,-0.1428,-0.923,-1.0,0.0,-0.5894,-0.593,0.6924,0.0,-0.408,-0.2368,-0.5454,-0.609,-0.9756,0.779,-0.704,0.543,-0.465,0.3643,-0.446,0.0896,-0.5073,-1.125,-1.11,0.0,0.0,-1.113,0.0,-0.05276,-0.2603,0.0,0.0,0.0,0.0,0.01227,1.0,-0.5,0.0,0.2744,-0.409,1.0,0.0,1.0,1.5,0.0,0.0,0.0,0.02614
-1.116,-1.12,-1.114,0.2664,-0.3032,0.875,-0.9453,-0.547,-0.4363,0.654,0.3376,-0.1552,-0.2856,-0.9146,-1.0,0.0,-0.6123,-0.5776,0.6963,0.0,-0.4072,-0.722,-0.6216,-0.602,-0.922,0.7773,-0.7095,0.08966,-0.4844,0.543,-0.719,0.179,-0.2559,-1.125,-1.112,0.0,0.0,-1.112,0.0,-0.05145,-0.814,0.0,0.0,0.0,0.0,0.004475,1.0,0.0,0.0,0.1802,-0.382,1.5,0.0,1.0,1.5,0.0,0.0,0.0,0.00944
-1.117,-1.121,-1.115,0.3145,-0.358,0.875,-0.3452,-0.677,-0.409,0.621,0.3147,0.03348,-0.4285,-0.906,-1.0,0.0,-0.5947,-0.5405,0.6885,0.0,-0.4067,-0.72,-0.6772,-0.6025,-0.888,0.766,-0.4883,-0.179,-0.5117,0.08966,0.3643,-0.446,-0.9424,-1.126,-1.113,0.0,0.0,-1.111,0.0,-0.05453,-1.231,0.0,1.0,0.0,0.0,-0.004837,1.0,0.0,-0.5,0.2338,-0.4292,0.0,1.0,1.0,1.5,0.0,0.0,0.0,-0.010185
-1.118,-1.122,-1.116,0.359,-0.4077,0.875,-0.3452,-0.685,-0.3728,0.5894,0.2903,-0.001795,-0.5713,-0.8975,-1.0,0.0,-0.569,-0.512,0.681,0.0,-0.4062,-0.7183,-0.6816,-0.6064,-0.8433,0.7534,-0.2158,-0.1796,-0.527,-0.179,0.543,-0.719,-1.046,-1.127,-1.116,0.0,0.0,-1.11,0.0,-0.0576,-1.307,0.0,1.0,0.0,0.0,-0.00404,1.0,0.0,-1.0,0.2615,-0.495,0.0,2.0,1.0,1.5,0.0,0.0,0.0,-0.00854
