EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.6016,-0.6016,-0.602,0.8066,-0.859,-0.3608,0.03873,0.001965,-0.8936,0.10504,0.1389,0.52,-0.125,-1.111,-1.0,0.0,-0.0947,-0.1016,0.155,0.0,-0.0866,-0.1449,-0.865,-0.952,-0.802,0.2053,0.0943,-0.6035,-0.85,-1.005,0.0835,0.4722,-0.02415,-0.611,-0.594,0.0,0.0,-0.6016,0.0,-0.08716,-0.509,0.0,0.0,0.0,0.0,-0.1747,-1.0,0.0,0.0,0.7744,-0.851,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,-0.278
-0.603,-0.603,-0.604,0.4214,-0.465,-0.3608,0.03873,-0.00581,-0.52,0.1951,0.1277,-0.3484,-0.125,-1.102,-1.0,0.0,-0.1764,-0.1874,0.1816,0.0,-0.0856,-0.3706,-0.8247,-0.956,-0.4265,0.203,-0.0923,0.8086,-0.8438,-0.603,-1.001,-1.124,0.3745,-0.6167,-0.5933,0.0,0.0,-0.603,0.0,-0.0734,-0.283,0.0,0.0,0.0,0.0,0.1355,0.0,0.0,0.0,0.4194,-0.4475,1.0,0.0,0.0,-1.0,1.0,0.0,1.918,0.2179
-0.6055,-0.605,-0.6064,0.653,-0.691,-0.3608,0.03873,0.0326,-0.7725,0.1021,0.1148,0.752,-0.125,-1.093,-1.0,0.0,-0.0906,-0.1004,0.1592,0.0,-0.0845,-0.01674,-0.745,-0.925,-0.5796,0.1923,-0.02281,-0.6753,-0.8286,0.808,-1.005,0.0835,-0.3481,-0.625,-0.5938,0.0,0.0,-0.6055,0.0,-0.08527,-0.3489,0.0,0.0,0.0,0.0,-0.469,-1.0,0.0,0.0,0.65,-0.661,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-0.744
-0.608,-0.607,-0.609,0.573,-0.6035,-0.3608,0.03873,0.0426,-0.695,0.1002,0.09924,0.03052,-0.125,-1.083,-1.0,0.0,-0.0883,-0.09906,0.1613,0.0,-0.08344,0.1648,-0.6865,-0.8823,-0.5205,0.1898,-0.2142,0.06204,-0.7886,-0.675,-0.6035,-1.001,0.3984,-0.631,-0.594,0.0,0.0,-0.607,0.0,-0.0842,-0.4724,0.0,0.0,0.0,0.0,0.00877,0.0,0.0,0.0,0.5723,-0.5767,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.01408
-0.6104,-0.6094,-0.6113,0.6724,-0.6953,-0.3608,0.03873,0.073,-0.7925,0.0454,0.0819,0.3225,-0.125,-1.074,-1.0,0.0,-0.03638,-0.0471,0.1489,0.0,-0.0824,0.3596,-0.643,-0.8364,-0.636,0.1863,-0.5986,-0.372,-0.7393,0.062,0.8086,-1.005,0.936,-0.6377,-0.595,0.0,0.0,-0.608,0.0,-0.0906,-0.539,0.0,0.0,0.0,0.0,-0.0557,0.0,-0.5,0.0,0.6646,-0.67,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-0.0893
-0.613,-0.612,-0.6143,0.6885,-0.7065,-0.3608,0.03873,0.05338,-0.7935,0.01361,0.06143,0.1537,-0.25,-1.064,-1.0,0.0,-0.007763,-0.01464,0.1428,0.0,-0.08136,-0.506,-0.611,-0.7944,-0.6816,0.1836,-0.8735,-0.1871,-0.6836,-0.3718,-0.6753,-0.6035,0.4727,-0.642,-0.596,0.0,0.0,-0.6094,0.0,-0.09375,-0.694,0.0,0.0,0.0,0.0,-0.02304,0.0,-1.0,-0.5,0.671,-0.6904,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,-0.03717
-0.6177,-0.616,-0.6196,1.282,-1.273,-0.3608,0.03873,0.3694,-1.359,-0.1869,0.03485,1.01,-0.25,-1.064,-1.0,-1.0,0.2004,0.1735,0.0909,0.0,-0.0803,2.748,-0.5522,-0.739,-1.237,0.1736,-0.621,-1.589,-0.532,-0.187,0.06204,0.8086,-1.126,-0.6484,-0.5977,0.0,0.0,-0.6123,0.0,-0.1205,-0.874,0.0,1.0,0.0,0.0,-0.6206,-1.0,-1.0,-0.5,1.288,-1.198,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,-1.004
-0.623,-0.621,-0.6255,1.518,-1.484,-0.3608,-0.1621,0.4863,-1.561,-0.2927,0.001675,0.3262,-0.375,-1.064,-1.0,-1.0,0.3123,0.2798,0.06433,0.0,-0.0792,1.708,-0.4543,-0.6665,-1.424,0.1605,-0.797,-0.835,-0.3582,-1.588,-0.372,-0.6753,0.0836,-0.655,-0.6006,0.0,0.0,-0.6157,0.0,-0.1338,-1.095,0.0,1.0,0.0,0.0,-0.3164,-1.0,-1.5,-1.0,1.499,-1.422,0.0,4.0,0.0,-0.5,0.0,0.0,0.0,-0.5254
-0.626,-0.624,-0.6284,0.831,-0.7915,-0.3608,-0.1621,0.564,-0.8403,-0.1376,-0.02937,-0.39,-0.5,-1.056,-1.0,0.0,0.1616,0.11194,0.1081,0.0,-0.0782,0.104,-0.3604,-0.592,-0.729,0.152,-0.635,1.394,-0.2986,-0.8345,-0.1871,0.06204,-1.002,-0.6597,-0.603,0.0,0.0,-0.618,0.0,-0.11084,-0.985,0.0,1.0,0.0,0.0,0.2683,-1.0,-1.0,-1.0,0.873,-0.705,1.0,0.0,0.0,-0.5,1.0,0.0,3.371,0.452
-0.628,-0.6265,-0.6304,0.5996,-0.578,-0.3608,-0.1621,0.588,-0.5293,-0.09875,-0.06076,-0.2922,-0.625,-1.046,-1.0,0.0,0.1251,0.07074,0.12036,0.0,-0.07715,0.788,-0.2903,-0.5254,-0.4917,0.1465,-0.3992,0.382,-0.2717,1.393,-1.589,-0.372,-1.007,-0.6626,-0.605,0.0,0.0,-0.6206,0.0,-0.1043,-1.021,0.0,1.0,0.0,0.0,0.06995,0.0,-0.5,-1.0,0.62,-0.528,2.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.1152
-0.6294,-0.6284,-0.6313,0.4275,-0.4214,-0.237,-0.1621,0.5327,-0.299,-0.0709,-0.0841,-0.3845,-0.75,-1.037,-1.0,0.0,0.09576,0.04526,0.1298,0.0,-0.0761,1.096,-0.2338,-0.4695,-0.2922,0.1411,-0.2554,0.291,-0.262,0.3818,-0.835,-0.1871,-0.6045,-0.665,-0.607,0.0,0.0,-0.6226,0.0,-0.09937,-0.7876,0.0,0.0,0.0,0.0,0.03342,1.0,0.0,-0.5,0.471,-0.3567,3.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0547
-0.633,-0.6313,-0.6343,0.809,-0.817,-0.237,-0.1621,0.778,-0.626,-0.2062,-0.1138,1.583,-0.875,-1.037,-1.0,-1.0,0.2396,0.1724,0.095,0.0,-0.0751,2.225,-0.1825,-0.4048,-0.6016,0.1293,-0.543,-1.07,-0.2344,0.2908,1.394,-1.589,0.8096,-0.669,-0.6094,0.0,0.0,-0.626,0.0,-0.11707,-0.9478,0.0,1.0,0.0,0.0,-0.3923,1.0,-0.5,-1.0,0.8486,-0.7344,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,-0.639
-0.6357,-0.635,-0.637,0.8867,-0.9004,-0.237,-0.1621,0.9077,-0.6724,-0.2573,-0.1392,0.2427,-0.875,-1.037,-1.0,-1.0,0.297,0.22,0.08276,0.0,-0.074,3.42,-0.1365,-0.3315,-0.615,0.1179,-0.4065,-0.3845,-0.1952,-1.07,0.382,-0.835,-0.6763,-0.673,-0.6123,0.0,0.0,-0.6294,0.0,-0.12274,-0.8667,0.0,1.0,0.0,0.0,-0.2437,1.0,-0.5,-1.0,0.896,-0.8447,0.0,2.0,0.0,-0.5,0.0,0.0,0.0,-0.4038
-0.64,-0.6387,-0.642,1.18,-1.163,-0.237,-0.1621,1.643,-0.9414,-0.3674,-0.1637,0.6377,-0.875,-1.037,-1.0,-1.0,0.4458,0.3013,0.05453,0.0,-0.07294,3.82,-0.041,-0.2278,-0.735,0.09827,-0.5024,-0.89,-0.1471,-0.3843,0.291,1.394,0.06213,-0.676,-0.615,0.0,0.0,-0.634,0.0,-0.136,-0.8438,0.0,0.0,0.0,0.0,-0.577,0.0,-1.0,-1.0,1.179,-1.102,0.0,3.0,0.0,-0.5,0.0,0.0,0.0,-0.963
-0.646,-0.6436,-0.649,1.649,-1.594,-0.237,-0.5513,2.01,-1.388,-0.529,-0.1912,0.718,-0.875,-1.037,-1.0,-1.0,0.6353,0.464,0.01203,0.0,-0.0719,3.82,0.0752,-0.1182,-1.112,0.0828,-0.4866,-1.361,-0.1024,-0.8896,-1.07,0.382,-0.3726,-0.679,-0.6177,0.0,0.0,-0.64,0.0,-0.1566,-0.929,0.0,1.0,0.0,0.0,-0.9736,-1.0,-1.0,-1.0,1.641,-1.514,0.0,4.0,0.0,-0.5,0.0,0.0,0.0,-1.647
-0.6436,-0.6406,-0.647,-0.5254,0.621,1.376,-0.5513,2.336,0.8994,0.0797,-0.1964,-1.79,-0.75,-1.027,0.0,0.0,0.04306,-0.1986,0.1792,0.0,-0.07086,2.018,0.1079,-0.058,1.134,0.08765,-0.561,2.844,-0.2493,-1.36,-0.3845,0.291,-0.1874,-0.6743,-0.618,0.0,0.0,-0.6426,0.0,-0.0697,-0.04504,0.0,0.0,0.0,0.0,2.824,-1.0,-0.5,-1.0,-0.2812,0.839,1.0,0.0,0.0,-0.5,1.0,0.0,5.69,4.887
-0.6426,-0.6396,-0.646,-0.1289,0.226,1.376,-0.5513,2.564,0.507,-0.03577,-0.2026,-0.3289,-0.625,-1.019,0.0,0.0,0.1621,-0.09625,0.1498,0.0,-0.0698,2.518,0.1342,-0.013214,0.7847,0.0836,-0.012314,-0.885,-0.3474,2.844,-0.89,-1.07,-1.592,-0.6724,-0.619,0.0,0.0,-0.6445,0.0,-0.08514,-0.07495,0.0,0.0,0.0,0.0,-0.3271,-1.0,-0.5,-1.0,0.1431,0.496,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,-0.5195
