EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.4119,-0.4075,-0.4158,-1.191,1.327,2.215,-1.231,1.067,1.576,-0.8726,-1.072,-0.0843,0.375,-1.351,0.0,-1.0,1.145,1.076,-0.4204,0.0,-0.2983,1.5625,0.157,-0.1312,1.615,-0.5376,0.6987,-0.097,0.422,-1.112,1.994,1.148,-0.31,-0.375,-0.429,0.0,0.0,-0.426,0.0,-0.5977,1.005,1.0,0.0,0.0,0.0,-0.049,0.0,1.0,1.0,-0.892,1.578,-0.5,2.0,1.0,0.0,0.0,0.0,0.0,-0.07306
-0.4087,-0.4045,-0.4124,-0.827,0.9414,2.215,-1.231,0.954,1.032,-0.914,-1.028,-0.2585,0.5,-1.351,0.0,-1.0,1.202,1.156,-0.4436,0.0,-0.297,-0.1392,0.2954,-0.0319,1.073,-0.5225,1.507,-0.6987,0.4646,-0.09686,0.968,0.18,-2.13,-0.3708,-0.428,0.0,0.0,-0.4236,0.0,-0.609,0.7476,1.0,0.0,0.0,0.0,-0.2096,-1.0,1.0,0.6665,-0.5317,1.214,-0.5,3.0,1.0,0.0,0.0,0.0,0.0,-0.3303
-0.4072,-0.403,-0.4106,-0.3098,0.4146,2.215,-1.231,1.077,0.3513,-0.991,-0.994,-0.589,0.5,-1.351,0.0,-1.0,1.336,1.286,-0.4822,0.0,-0.2957,0.532,0.4026,0.0614,0.3982,-0.5117,1.722,-1.162,0.4824,-0.698,-1.113,1.994,-0.003344,-0.3704,-0.4272,0.0,0.0,-0.422,0.0,-0.6274,0.4888,0.0,0.0,0.0,0.0,-0.447,-2.0,0.5,0.3333,-0.04178,0.6953,-0.5,4.0,1.0,0.0,0.0,0.0,0.0,-0.722
-0.4075,-0.4036,-0.4106,0.2465,-0.1553,2.215,-1.231,1.103,-0.3076,-1.081,-0.973,-1.611,0.375,-1.351,-1.0,-1.0,1.492,1.455,-0.526,0.0,-0.2944,0.654,0.4766,0.1465,-0.2996,-0.504,1.501,-1.357,0.4722,-1.162,-0.097,0.968,1.398,-0.3728,-0.4268,0.0,0.0,-0.4202,0.0,-0.6484,0.1461,0.0,0.0,0.0,0.0,-0.4624,-3.0,0.0,0.0,0.5474,0.2024,-0.5,5.0,1.0,0.0,0.0,0.0,0.0,-0.767
-0.4072,-0.4033,-0.4104,0.1074,-0.02492,2.215,-0.689,1.065,-0.2487,-1.049,-0.9497,-0.2124,0.25,-1.351,-1.0,-1.0,1.433,1.395,-0.515,0.0,-0.2932,-0.2242,0.5195,0.2183,-0.2465,-0.4968,0.6025,0.3064,0.395,-1.356,-0.6987,-1.113,3.2,-0.378,-0.4255,0.0,0.0,-0.4163,0.0,-0.6426,0.2196,0.0,0.0,0.0,0.0,0.0647,-2.0,0.0,0.3333,0.344,0.2517,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1199
-0.4062,-0.4028,-0.409,-0.198,0.2489,2.215,-0.689,0.9194,-0.0798,-0.9834,-0.9136,-1.235,0.375,-1.351,0.0,-1.0,1.312,1.283,-0.4897,0.0,-0.2917,0.10535,0.539,0.2815,-0.05447,-0.4858,0.24,0.757,0.3525,0.3064,-1.162,-0.09717,1.149,-0.3835,-0.4238,0.0,0.0,-0.4128,0.0,-0.6294,0.619,0.0,0.0,0.0,0.0,0.2964,-1.0,0.0,0.6665,0.09985,0.5703,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.516
-0.4026,-0.3997,-0.405,-0.9863,1.02,2.215,-0.689,0.931,0.66,-0.806,-0.867,14.945,0.5,-1.351,0.0,-1.0,1.035,0.9756,-0.415,0.0,-0.2905,2.99,0.547,0.3376,0.75,-0.4722,0.1699,2.24,0.2834,0.757,-1.357,-0.6987,0.1803,-0.3835,-0.4214,0.0,0.0,-0.4072,0.0,-0.592,0.7856,1.0,0.0,0.0,0.0,1.405,0.0,0.0,0.6665,-0.6064,1.373,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.373
-0.3984,-0.3958,-0.4001,-1.195,1.204,2.215,-0.689,0.9126,0.8154,-0.73,-0.8223,0.3718,0.5,-1.351,0.0,-1.0,0.9233,0.855,-0.385,0.0,-0.289,0.3281,0.557,0.3896,0.893,-0.454,-0.4275,0.8354,0.2734,2.24,0.3064,-1.162,1.996,-0.3816,-0.4177,0.0,0.0,-0.4023,0.0,-0.576,0.764,1.0,0.0,0.0,0.0,0.4897,1.0,0.0,0.6665,-0.892,1.458,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.787
-0.3953,-0.3928,-0.397,-0.823,0.815,2.215,-0.689,0.794,0.3872,-0.7773,-0.7954,-0.4292,0.5,-1.351,0.0,-1.0,0.983,0.939,-0.4097,0.0,-0.2878,0.935,0.5493,0.4343,0.3765,-0.4392,-0.7417,-0.726,0.243,0.835,0.757,-1.357,0.9688,-0.38,-0.4138,0.0,0.0,-0.3982,0.0,-0.5884,0.3713,0.0,0.0,0.0,0.0,-0.1779,1.0,-0.5,0.3333,-0.5493,1.063,-0.5,1.0,1.0,0.0,0.0,0.0,0.0,-0.2734
-0.3928,-0.3904,-0.3945,-0.67,0.6543,2.215,-0.689,0.697,0.2407,-0.7817,-0.774,-0.23,0.5,-1.351,0.0,-1.0,0.9824,0.9536,-0.4158,0.0,-0.2864,0.05933,0.5156,0.466,0.1735,-0.4297,-0.3901,-0.2072,0.2284,-0.7256,2.24,0.3062,-1.114,-0.3765,-0.4106,0.0,0.0,-0.3948,0.0,-0.591,0.2052,0.0,0.0,0.0,0.0,-0.0631,0.0,-0.5,0.0,-0.4038,0.906,-0.5,2.0,1.0,0.0,0.0,0.0,0.0,-0.0952
