EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.718,-0.717,-0.7197,1.403,-1.545,-0.10834,-1.35,0.825,-1.401,-1.735,-0.3342,0.85,-0.375,-1.224,-1.0,-1.0,2.584,2.58,-1.325,0.0,-0.2737,0.3442,-0.5186,-0.54,-1.408,-1.142,-0.2079,-1.334,-0.549,0.292,0.1458,-2.53,0.6836,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,-0.742,0.0,0.0,0.0,0.0,-0.0866,0.0,-0.5,0.0,1.53,-1.289,-0.5,1.0,-0.5,0.0,0.0,1.0,-4.906,-0.838
-0.718,-0.717,-0.7197,1.408,-1.548,-0.10834,-1.35,0.781,-1.422,-1.751,-0.3357,0.1569,-0.375,-1.224,-1.0,-1.0,2.617,2.62,-1.344,0.0,-0.2715,-0.3289,-0.511,-0.5366,-1.413,-1.161,-0.287,-0.309,-0.5425,-1.334,0.5967,-0.894,0.6733,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,-0.779,0.0,0.0,0.0,0.0,-0.03134,0.0,-1.0,0.0,1.516,-1.3125,-0.5,2.0,-0.5,0.0,0.0,0.0,0.0,-0.2883
-0.718,-0.717,-0.7197,0.3584,-0.4846,-0.10834,-1.35,0.744,-0.3787,-1.575,-0.3364,-0.8228,-0.5,-1.224,-1.0,-1.0,2.244,2.236,-1.2,0.0,-0.2695,0.4888,-0.504,-0.534,-0.3855,-1.17,-0.2634,2.29,-0.542,-0.309,0.292,0.1459,-0.941,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,-0.4705,0.0,0.0,0.0,0.0,0.1423,0.0,-0.5,0.0,0.5903,-0.1848,0.0,0.0,-0.5,0.0,1.0,0.0,5.555,1.525
-0.718,-0.717,-0.7197,-0.5083,0.3933,0.824,-1.35,0.7295,0.6187,-1.398,-0.3357,-4.324,-0.5,-1.224,0.0,-1.0,1.907,1.888,-1.058,0.0,-0.2673,1.234,-0.498,-0.532,0.6006,-1.172,-0.2197,2.182,-0.5415,2.29,-1.334,0.597,-0.96,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5933,-0.204,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,-0.1757,0.744,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,1.581
-0.718,-0.717,-0.7197,-0.6123,0.496,1.035,-1.35,0.608,0.8438,-1.358,-0.3352,0.511,-0.5,-1.224,0.0,-1.0,1.828,1.82,-1.028,0.0,-0.2654,-0.02702,-0.4934,-0.5303,0.8457,-1.179,-0.2014,0.4128,-0.54,2.182,-0.309,0.2922,-0.2832,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.592,-0.2478,0.0,0.0,0.0,0.0,0.01701,0.0,0.5,0.0,-0.2898,0.8286,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.1958
-0.718,-0.717,-0.7197,-0.807,0.693,1.384,-1.35,0.662,1.2,-1.296,-0.335,0.59,-0.5,-1.224,0.0,-1.0,1.723,1.703,-0.981,0.0,-0.2632,0.765,-0.4912,-0.5283,1.211,-1.185,-0.0328,0.6855,-0.5376,0.4128,2.29,-1.335,-2.527,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5903,-0.2478,0.0,0.0,0.0,0.0,0.03735,1.0,1.0,0.0,-0.492,1.004,1.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.386
-0.718,-0.717,-0.7197,-0.4597,0.34,1.384,-1.35,0.6846,0.8926,-1.347,-0.3342,-0.1467,-0.5,-1.224,0.0,-1.0,1.813,1.795,-1.028,0.0,-0.261,-0.2333,-0.491,-0.525,1.046,-1.207,0.0474,-0.6855,-0.536,0.6855,2.182,-0.309,-0.893,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.592,-0.2075,0.0,0.0,0.0,0.0,-0.02826,1.0,1.0,0.0,-0.1731,0.6436,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.2299
-0.718,-0.717,-0.7197,-0.1367,0.01233,1.384,-1.35,0.669,0.5747,-1.398,-0.3333,-0.2463,-0.375,-1.224,0.0,-1.0,1.904,1.892,-1.076,0.0,-0.259,-0.2148,-0.4934,-0.5215,0.768,-1.215,0.0647,-0.696,-0.536,-0.6855,0.4128,2.29,0.1461,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5938,-0.1653,0.0,0.0,0.0,0.0,-0.02328,0.0,0.5,0.0,0.156,0.3447,-0.5,2.0,-0.5,0.0,0.0,0.0,0.0,-0.1863
-0.718,-0.717,-0.7197,0.6304,-0.763,1.384,-1.35,0.9263,-0.2166,-1.541,-0.3337,-1.262,-0.375,-1.224,-1.0,-1.0,2.19,2.156,-1.2,0.0,-0.2568,0.9243,-0.5,-0.5186,-0.0646,-1.218,0.04922,-1.827,-0.5356,-0.696,0.6855,2.184,0.5967,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,-0.3767,0.0,0.0,0.0,0.0,-0.04752,-1.0,0.0,0.0,0.8584,-0.4487,-0.5,3.0,-0.5,0.0,0.0,1.0,-5.0,-0.4211
-0.718,-0.717,-0.7197,0.7573,-0.8945,1.384,-1.35,0.71,-0.4229,-1.57,-0.3323,2.447,-0.375,-1.224,-1.0,-1.0,2.232,2.229,-1.2295,0.0,-0.2546,-0.152,-0.5063,-0.5156,-0.2458,-1.221,0.03647,-0.4426,-0.5366,-1.827,-0.686,0.413,0.2922,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,-0.0753,0.0,0.0,0.0,0.0,-0.02602,-2.0,-0.5,0.0,0.963,-0.5967,-0.5,4.0,-0.5,0.0,0.0,0.0,0.0,-0.2236
-0.718,-0.717,-0.7197,0.573,-0.709,1.384,-1.35,0.672,-0.338,-1.541,-0.3298,-0.1892,-0.375,-1.224,-1.0,-1.0,2.174,2.172,-1.21,0.0,-0.2527,0.05814,-0.512,-0.515,-0.2142,-1.205,0.11945,0.2893,-0.5405,-0.4426,-0.696,0.6855,-1.333,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,0.1196,0.0,0.0,0.0,0.0,0.003323,-2.0,0.0,0.5,0.795,-0.4055,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.06934
-0.718,-0.717,-0.7197,0.2908,-0.425,1.384,-1.35,0.516,-0.1366,-1.49,-0.3271,-0.9233,-0.375,-1.224,-1.0,-1.0,2.066,2.078,-1.172,0.0,-0.2505,-0.1763,-0.518,-0.517,-0.03772,-1.192,0.1486,0.58,-0.549,0.2893,-1.827,-0.686,-0.3086,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,0.1812,0.0,0.0,0.0,0.0,0.01564,-1.0,0.5,0.5,0.5264,-0.1261,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.192
-0.718,-0.717,-0.7197,0.5654,-0.7036,1.384,-1.35,0.5786,-0.4817,-1.543,-0.3257,14.02,-0.375,-1.224,-1.0,-1.0,2.172,2.18,-1.22,0.0,-0.2484,-0.1561,-0.5244,-0.5215,-0.3699,-1.192,0.02826,-0.7275,-0.5537,0.58,-0.4426,-0.6963,2.287,-0.7188,-0.7134,0.0,0.0,-0.718,0.0,-0.5947,-0.02933,0.0,0.0,0.0,0.0,-0.05316,-1.0,0.0,0.0,0.8115,-0.374,-0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.4895
