EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.3076,-0.3066,-0.3083,-0.3296,0.492,0.7603,-1.193,2.32,0.08844,1.26,0.2479,-1.161,-0.1428,-1.753,0.0,0.0,-0.741,-1.3545,-0.09705,0.0,-0.1318,3.336,-0.3066,-0.3684,0.0749,-0.117,-0.893,3.463,-0.2003,1.528,-3.78,-0.9634,-0.725,-0.3164,-0.3042,0.0,0.0,-0.3057,0.0,-0.3481,-0.02486,0.0,0.0,0.0,0.0,0.422,1.0,-1.0,-0.5,0.3213,1.129,0.5,0.0,0.3333,0.5,0.0,0.0,0.0,1.08
-0.3079,-0.307,-0.3086,0.3567,-0.2146,0.7603,-1.193,2.28,-0.5312,0.9907,0.2294,-4.367,-0.2856,-1.741,-1.0,0.0,-0.5527,-1.151,-0.1683,0.0,-0.1299,1.54,-0.2905,-0.3667,-0.581,-0.12256,-0.54,-1.545,-0.2156,3.463,-1.806,3.912,-1.617,-0.3162,-0.304,0.0,0.0,-0.3066,0.0,-0.362,-0.3645,0.0,0.0,0.0,0.0,-0.1378,0.0,-1.0,-1.0,1.023,0.5093,-0.5,1.0,0.3333,0.5,0.0,0.0,0.0,-0.325
-0.3083,-0.3076,-0.3088,0.5303,-0.4128,0.7603,-1.193,2.234,-0.597,0.9004,0.204,0.303,-0.4285,-1.7295,-1.0,0.0,-0.49,-1.076,-0.1897,0.0,-0.1279,0.5864,-0.2947,-0.3767,-0.5767,-0.1454,-0.518,-0.4817,-0.2156,-1.545,1.527,-3.78,-0.3052,-0.3157,-0.304,0.0,0.0,-0.3066,0.0,-0.3665,-0.5186,0.0,0.0,0.0,0.0,-0.0579,0.0,-1.0,-1.5,1.206,0.339,-0.5,2.0,0.3333,0.5,0.0,0.0,0.0,-0.1389
-0.308,-0.3076,-0.3083,0.014786,0.0677,0.7603,-1.186,2.1,0.04932,1.062,0.181,-1.288,-0.4285,-1.718,0.0,0.0,-0.627,-1.184,-0.1398,0.0,-0.126,0.2306,-0.3035,-0.3838,0.0782,-0.1606,-0.3137,1.121,-0.2449,-0.4817,3.459,-1.805,-1.071,-0.317,-0.304,0.0,0.0,-0.3057,0.0,-0.3572,-0.4497,0.0,0.0,0.0,0.0,0.06415,1.0,-0.5,-1.5,0.7354,0.816,0.0,0.0,0.3333,0.5,0.0,0.0,0.0,0.1627
-0.3086,-0.308,-0.3086,0.4055,-0.3635,0.7603,-1.186,2.047,-0.2505,0.896,0.1578,-2.748,-0.5713,-1.706,-1.0,0.0,-0.5093,-1.05,-0.1825,0.0,-0.124,-0.0695,-0.3105,-0.4072,-0.2142,-0.1749,-0.0575,-0.947,-0.2703,1.121,-1.543,1.526,-1.096,-0.3162,-0.3042,0.0,0.0,-0.3052,0.0,-0.3657,-0.4614,0.0,0.0,0.0,0.0,-0.0716,0.0,-0.5,-1.5,1.099,0.3958,-0.5,1.0,0.3333,0.5,0.0,0.0,0.0,-0.1704
-0.3088,-0.3086,-0.3088,0.5083,-0.481,0.7603,-1.186,2.027,-0.3042,0.8315,0.1407,0.4849,-0.7144,-1.694,-1.0,0.0,-0.4622,-0.997,-0.1968,0.0,-0.1221,0.7554,-0.31,-0.4192,-0.2158,-0.1895,0.1653,-0.3245,-0.2656,-0.947,-0.4807,3.459,-0.961,-0.3142,-0.3042,0.0,0.0,-0.306,0.0,-0.3687,-0.3506,0.0,0.0,0.0,0.0,-0.03558,-1.0,-0.5,-1.5,1.207,0.2957,-0.5,2.0,0.3333,0.5,0.0,0.0,0.0,-0.08466
-0.3103,-0.31,-0.3105,1.472,-1.447,0.7603,-1.186,2.232,-1.19,0.4666,0.1156,4.555,-0.7144,-1.683,-1.0,0.0,-0.1394,-0.7183,-0.2966,0.0,-0.12006,1.015,-0.3018,-0.4265,-1.113,-0.2026,-0.711,-2.262,-0.2268,-0.3245,1.12,-1.543,3.914,-0.3152,-0.3047,0.0,0.0,-0.307,0.0,-0.388,-0.4954,0.0,0.0,0.0,0.0,-0.2766,-1.0,-1.0,-1.5,2.21,-0.5303,-0.5,3.0,0.3333,0.5,0.0,0.0,0.0,-0.6855
-0.3115,-0.311,-0.3115,1.054,-1.022,0.7603,-1.186,2.17,-0.7944,0.551,0.097,-0.2737,-0.7144,-1.671,-1.0,0.0,-0.2184,-0.7837,-0.268,0.0,-0.1181,0.8174,-0.2795,-0.4248,-0.6523,-0.2196,0.09106,0.6724,-0.2246,-2.262,-0.9453,-0.4805,-3.777,-0.3179,-0.305,0.0,0.0,-0.3083,0.0,-0.3828,-0.3484,0.0,0.0,0.0,0.0,0.12024,0.0,-0.5,-1.0,1.78,-0.1613,0.0,0.0,0.3333,0.5,0.0,0.0,0.0,0.318
-0.311,-0.3105,-0.311,-0.2489,0.299,0.7603,-1.186,2.021,0.5225,0.9795,0.0939,-1.976,-0.5713,-1.659,0.0,0.0,-0.575,-1.111,-0.1398,0.0,-0.11615,2.145,-0.2605,-0.4175,0.709,-0.2219,0.481,2.998,-0.2705,0.6724,-0.3237,1.12,-1.803,-0.3174,-0.3052,0.0,0.0,-0.3093,0.0,-0.359,-0.001335,0.0,0.0,0.0,0.0,0.3557,0.0,0.0,-0.5,0.591,1.147,0.5,0.0,0.3333,0.5,0.0,0.0,0.0,0.92
-0.31,-0.3096,-0.31,-0.6465,0.706,0.7603,-1.186,1.87,0.9404,1.126,0.09796,0.954,-0.4285,-1.647,0.0,0.0,-0.701,-1.202,-0.0899,0.0,-0.1142,1.139,-0.2537,-0.4133,1.122,-0.212,0.2358,1.096,-0.3315,2.998,-2.258,-0.945,1.528,-0.3157,-0.3054,0.0,0.0,-0.31,0.0,-0.3499,0.168,0.0,0.0,0.0,0.0,0.128,1.0,0.0,0.0,0.06445,1.378,1.0,0.0,0.3333,0.5,0.0,0.0,0.0,0.3142
-0.3093,-0.3088,-0.309,-0.5234,0.5537,0.7603,-1.186,1.542,0.8994,1.074,0.0851,0.0901,-0.4285,-1.636,0.0,0.0,-0.7026,-1.123,-0.09705,0.0,-0.1122,0.2064,-0.2427,-0.4062,1.103,-0.2172,-0.4622,-0.1578,-0.3794,1.096,0.672,-0.3237,3.46,-0.3152,-0.306,0.0,0.0,-0.3105,0.0,-0.3513,-0.1716,0.0,0.0,0.0,0.0,-0.00631,1.0,-0.5,-0.5,0.0133,1.055,-0.5,1.0,0.3333,0.5,0.0,0.0,0.0,-0.01185
-0.309,-0.3088,-0.3088,-0.02472,0.0369,0.7603,-1.186,1.368,0.3115,0.8774,0.0858,-0.565,-0.2856,-1.623,0.0,0.0,-0.5767,-0.952,-0.147,0.0,-0.1102,0.3948,-0.2306,-0.3992,0.5874,-0.2174,-0.0909,-1.083,-0.3992,-0.1578,2.994,-2.258,-1.54,-0.3145,-0.3064,0.0,0.0,-0.311,0.0,-0.3608,0.1301,0.0,0.0,0.0,0.0,-0.03235,1.0,-0.5,-0.5,0.4717,0.5464,-0.5,2.0,0.3333,0.5,0.0,0.0,0.0,-0.0739
-0.31,-0.3098,-0.3098,0.9297,-0.9463,0.7603,-1.186,1.384,-0.777,0.5093,0.08453,-3.16,-0.2856,-1.611,-1.0,0.0,-0.2783,-0.6514,-0.2467,0.0,-0.1083,1.804,-0.2612,-0.3962,-0.5674,-0.2058,0.03165,-2.21,-0.408,-1.083,1.095,0.672,-0.478,-0.3154,-0.3066,0.0,0.0,-0.312,0.0,-0.3801,0.07367,0.0,0.0,0.0,0.0,-0.1458,0.0,-0.5,-0.5,1.449,-0.3154,-0.5,3.0,0.3333,0.5,0.0,0.0,0.0,-0.3516
-0.31,-0.3098,-0.3096,0.0991,-0.1114,0.7603,-1.186,1.273,-0.01826,0.756,0.0838,-1.109,-0.1428,-1.6,0.0,0.0,-0.4937,-0.8438,-0.1683,0.0,-0.1063,1.217,-0.3005,-0.3948,0.1971,-0.2012,-0.258,1.812,-0.4128,-2.21,-0.1572,2.994,1.122,-0.3132,-0.3062,0.0,0.0,-0.3123,0.0,-0.3652,0.10486,0.0,0.0,0.0,0.0,0.11066,0.0,-0.5,-0.5,0.567,0.381,0.0,0.0,0.3333,0.5,0.0,0.0,0.0,0.286
