EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.633,-0.634,-0.6323,0.11273,-0.1459,1.882,-2.232,1.554,-0.02417,-0.4583,-0.2996,-0.6426,0.1428,-1.379,0.0,-1.0,0.597,0.3425,-0.8975,0.0,-0.1373,1.129,-0.6167,-0.558,-0.1443,-0.9395,-0.24,-0.2988,-0.705,2.537,-1.799,-1.72,1.131,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.2546,0.0,0.0,0.0,0.0,-0.02702,-1.0,-1.0,-0.5,0.637,0.4158,-1.0,1.0,-0.5,0.0,0.0,0.0,0.0,-0.1416
-0.633,-0.634,-0.6323,0.2426,-0.2783,1.882,-2.232,1.569,-0.2998,-0.499,-0.2937,-2.79,0.1428,-1.379,-1.0,-1.0,0.6426,0.386,-0.9316,0.0,-0.1348,0.744,-0.61,-0.5835,-0.3945,-0.9116,-0.2478,-0.3,-0.7085,-0.2988,1.52,-1.47,-0.1499,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.3203,0.0,0.0,0.0,0.0,-0.05588,-1.0,-1.0,-0.5,0.697,0.2203,-1.0,2.0,-0.5,0.0,0.0,0.0,0.0,-0.3804
-0.633,-0.634,-0.6323,-1.391,1.351,1.882,-2.232,1.61,1.403,0.075,-0.285,-10.55,0.2856,-1.379,0.0,0.0,0.06024,-0.2177,-0.471,0.0,-0.1321,3.066,-0.5796,-0.6016,1.09,-0.8096,-0.2345,2.918,-0.693,-0.3,2.537,-1.799,-0.4314,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.527,0.0,0.0,0.0,0.0,1.552,0.0,-0.5,-0.5,-0.895,1.777,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,5.625
-0.633,-0.634,-0.6323,-1.915,1.875,1.882,-2.232,1.244,2.104,0.326,-0.2795,0.637,0.2856,-1.379,0.0,0.0,-0.2083,-0.4287,-0.266,0.0,-0.1295,0.2179,-0.5503,-0.6074,1.68,-0.75,-0.2433,1.648,-0.6704,2.918,-0.2988,1.52,0.2732,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.349,0.0,0.0,0.0,0.0,0.278,0.0,-0.5,-0.5,-1.385,2.299,1.0,0.0,-0.5,0.0,1.0,0.0,3.516,2.262
-0.633,-0.634,-0.6323,-1.953,2.006,1.882,-1.714,1.276,2.361,0.448,-0.2747,0.2776,0.2856,-1.379,0.0,0.0,-0.3174,-0.546,-0.1636,0.0,-0.127,1.467,-0.5234,-0.5986,1.879,-0.6973,-0.1522,0.801,-0.6587,1.648,-0.3,2.535,-0.8545,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.3203,0.0,0.0,0.0,0.0,0.1454,0.0,0.0,-0.5,-1.482,2.389,2.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.191
-0.633,-0.634,-0.6323,-1.39,1.357,1.882,-1.714,1.398,1.723,0.2737,-0.271,-0.1476,0.2856,-1.379,0.0,0.0,-0.1466,-0.3926,-0.3003,0.0,-0.1243,0.04028,-0.5054,-0.585,1.283,-0.686,0.01889,-1.078,-0.655,0.801,2.918,-0.2988,-1.72,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.1715,0.0,0.0,0.0,0.0,-0.07086,0.0,0.0,-0.5,-0.8135,1.867,-1.0,1.0,-0.5,0.0,0.0,0.0,0.0,-0.4644
-0.633,-0.634,-0.6323,-1.629,1.599,1.882,-1.714,1.422,2.06,0.4177,-0.2654,0.3374,0.2856,-1.379,0.0,0.0,-0.2773,-0.531,-0.1807,0.0,-0.12177,0.928,-0.489,-0.5693,1.612,-0.649,0.1722,0.9395,-0.6494,-1.078,1.648,-0.2998,-1.47,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.3315,0.0,0.0,0.0,0.0,0.1234,1.0,0.5,0.0,-1.019,2.125,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.026
-0.633,-0.634,-0.6323,-1.512,1.484,1.882,-1.714,1.293,1.981,0.4346,-0.26,0.1005,0.2856,-1.379,0.0,0.0,-0.3037,-0.535,-0.1636,0.0,-0.11914,-0.3438,-0.474,-0.553,1.533,-0.612,0.3667,0.1242,-0.654,0.9395,0.801,2.916,-1.799,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.318,0.0,0.0,0.0,0.0,0.004925,1.0,1.0,0.0,-0.9453,1.975,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.1114
-0.633,-0.634,-0.6323,-0.9033,0.878,1.882,-1.714,1.274,1.29,0.2603,-0.255,-0.2172,0.2856,-1.379,0.0,0.0,-0.1447,-0.369,-0.3003,0.0,-0.1166,-0.3274,-0.4653,-0.5415,0.9243,-0.596,0.331,-1.078,-0.6597,0.1242,-1.078,1.648,1.52,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.2773,0.0,0.0,0.0,0.0,-0.0813,0.0,0.5,0.0,-0.3813,1.365,-1.0,1.0,-0.5,0.0,0.0,0.0,0.0,-0.544
-0.633,-0.634,-0.6323,-0.6294,0.604,1.882,-1.714,1.205,0.904,0.1932,-0.2477,-0.1571,0.2856,-1.379,0.0,0.0,-0.08746,-0.298,-0.3513,0.0,-0.114,0.2335,-0.461,-0.5317,0.6104,-0.568,0.1978,-0.4163,-0.656,-1.078,0.9395,0.801,2.535,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.4717,0.0,0.0,0.0,0.0,-0.03925,-1.0,0.0,0.0,-0.1656,1.051,-1.0,2.0,-0.5,0.0,0.0,0.0,0.0,-0.2274
-0.633,-0.634,-0.6323,-0.898,0.8696,1.722,-1.714,1.133,1.058,0.3162,-0.2373,0.3022,0.4285,-1.379,0.0,0.0,-0.2086,-0.4097,-0.249,0.0,-0.1114,0.2147,-0.461,-0.523,0.879,-0.5327,0.2534,0.8086,-0.649,-0.4163,0.1242,-1.078,-0.2986,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.7915,1.0,0.0,0.0,0.0,0.0678,0.0,0.5,0.5,-0.4724,1.259,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6016
-0.633,-0.634,-0.6323,-1.025,0.99,1.722,-1.714,0.9346,0.9937,0.3955,-0.2236,0.08044,0.5713,-1.379,0.0,0.0,-0.2988,-0.4673,-0.1807,0.0,-0.1088,-0.5234,-0.464,-0.5146,0.972,-0.4873,0.3179,0.53,-0.64,0.8086,-1.078,0.939,-0.2998,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,1.18,1.0,0.0,0.0,0.0,0.04843,0.0,1.0,1.0,-0.6387,1.33,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.4458
-0.633,-0.634,-0.6323,-0.858,0.8184,1.722,-1.714,0.8354,0.6484,0.369,-0.2122,-0.1958,0.7144,-1.379,0.0,0.0,-0.283,-0.4336,-0.1978,0.0,-0.1062,0.3872,-0.4685,-0.507,0.7363,-0.444,0.06665,-0.1434,-0.634,0.53,-0.4163,0.12415,2.916,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,1.057,1.0,0.0,0.0,0.0,-0.02438,-1.0,0.5,0.5,-0.589,1.05,-1.0,1.0,-0.5,0.0,0.0,0.0,0.0,-0.1116
-0.633,-0.634,-0.6323,-0.987,0.944,1.722,-1.714,0.6406,0.706,0.448,-0.2037,0.2203,0.7144,-1.379,0.0,0.0,-0.3716,-0.4905,-0.1295,0.0,-0.10364,0.3738,-0.475,-0.4995,0.864,-0.4077,-0.0489,0.527,-0.626,-0.1434,0.8086,-1.078,1.648,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,0.907,1.0,0.0,0.0,0.0,0.0484,0.0,0.5,0.5,-0.7007,1.185,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.4429
-0.633,-0.634,-0.6323,-1.156,1.109,1.722,-1.714,0.5464,0.7954,0.546,-0.194,0.2563,0.7144,-1.379,0.0,0.0,-0.4675,-0.5723,-0.04413,0.0,-0.101,0.1785,-0.4836,-0.4941,1.054,-0.3706,-0.1067,0.656,-0.6177,0.5264,0.53,-0.4163,0.8003,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,1.041,1.0,0.0,0.0,0.0,0.0896,1.0,0.5,1.0,-0.8457,1.363,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.7515
-0.633,-0.634,-0.6323,-1.308,1.254,1.722,-1.714,0.556,0.8496,0.6426,-0.1829,0.2035,0.857,-1.368,0.0,0.0,-0.552,-0.66,0.04123,0.0,-0.09845,0.872,-0.4895,-0.4878,1.09,-0.294,-0.01,0.6494,-0.6147,0.656,-0.1434,0.808,-1.077,-0.6377,-0.6313,0.0,0.0,-0.634,0.0,-0.5547,1.167,1.0,0.0,0.0,0.0,0.0795,1.0,1.0,1.5,-1.144,1.347,2.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.669
