Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,1.631,0.0,-0.3076,-1.243,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,-0.4648,0.7314,1.964,-1.082,1.786,1.214,-0.6924,0.0,0.0,1.215,-1.377,0.0,0.0,0.0,0.0,0.0,0.0,1.963,1.429,0.0,0.0,0.0,0.0,1.367,2.0,2.0,2.0,-2.0,1.843,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38
0.0,0.0,0.0,0.0,-1.345,1.437,4.0,0.0,0.0,1.328,0.0,-1.122,-1.656,4.0,0.0,4.0,0.0,0.0,-4.0,1.375,0.0,1.0,-0.2935,-0.1814,0.814,1.464,-1.599,-3.7e-05,0.63,-1.541,1.2705,-0.4265,2.832,1.598,0.0,0.0,0.0,0.0,0.0,0.0,1.343,0.3718,0.0,0.0,0.0,0.0,0.443,0.5,0.5,0.5,-1.595,1.302,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.438
0.0,0.0,0.0,0.0,-1.219,1.295,4.508,0.0,0.0,1.333,5.38,0.0,5.457,2.0,0.0,1.0,0.0,-0.0675,-7.562,1.429,0.0,1.0,1.31,-1.411,0.4314,1.207,-0.8403,-4.332,0.3494,-1.028,0.9473,0.0,0.883,0.682,0.0,0.0,0.0,0.0,0.0,0.0,1.385,1.412,0.0,0.0,0.0,0.0,0.315,0.0,0.0,1.0,-1.374,1.2295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234
0.0,0.0,0.0,0.0,-0.659,0.6816,1.104,0.0,0.0,0.712,1.38,1.052,0.0906,1.429,0.0,0.5,0.0,-1.414,-1.216,0.744,0.0,1.0,-2.63,-3.055,-0.2135,0.6685,-0.3699,1.381,-0.4143,-0.933,0.695,0.7773,0.1366,-0.648,0.0,0.0,0.0,0.0,0.0,0.0,0.7456,0.8535,0.0,0.0,0.0,0.0,-0.4878,0.0,0.0,0.6665,-0.7227,0.644,-0.2856,0.0,0.0,0.0,0.0,0.0,0.0,-0.4714
0.0,0.0,0.0,0.0,-0.5347,0.5474,0.7783,0.0,0.0,0.522,1.405,2.154,0.4055,1.2,0.0,0.0,0.0,-1.593,-1.113,0.696,0.0,1.0,-1.765,-2.904,-1.255,0.4287,0.0,2.982,0.0,-0.579,-0.2886,0.815,0.53,-0.623,0.0,0.0,0.0,0.0,0.0,0.0,0.7007,1.231,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.333,-0.591,0.5054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.1517,0.1539,0.3892,0.0,-0.1492,0.1865,0.4539,1.774,-0.518,1.077,0.0,0.0,0.0,-0.4897,-0.3733,0.2325,0.0,1.0,-0.7466,-2.52,-2.023,0.1799,0.0412,2.64,-0.8887,-0.4229,0.10693,0.766,0.9263,-0.2147,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.4724,0.0,0.0,0.0,0.0,-0.6196,0.0,2.0,0.4,-0.1511,0.1564,-0.4,4.0,0.0,0.0,0.0,0.0,0.0,-0.5347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2502,0.0,0.0,1.178,-0.4321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6216,-2.412,-2.521,0.0,-0.01643,1.13,-0.3606,-0.3196,-1.144,-0.3284,0.774,0.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1383,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.12427
0.0,0.0,0.0,0.0,0.00199,-0.002268,0.0,0.0,-6.44,-0.01254,0.01295,1.156,0.05728,1.0,0.0,0.0,0.0,-0.05292,0.009514,0.0,0.0,1.0,-0.3225,-2.01,-1.717,-0.007057,0.0501,0.836,0.0,-0.4177,-0.555,0.1244,0.7085,0.5254,0.0,0.0,0.0,0.0,0.0,0.0,0.003157,0.3918,0.0,0.0,0.0,0.0,0.0,-2.0,-1.333,0.0,-0.034,-0.03903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
