EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.722,-0.72,-0.7246,0.822,-1.015,0.841,-0.386,-0.0842,-0.8164,0.973,-0.176,0.502,0.4285,-1.685,-1.0,0.0,-0.817,-0.854,0.2365,0.0,-0.1997,0.5146,-0.7847,-0.8203,-0.7065,0.2878,-0.03638,-0.497,-0.9346,-1.777,-0.3442,0.64,-0.4067,-0.7266,-0.7217,0.0,0.0,-0.7285,0.0,-0.3271,-0.3823,0.0,0.0,0.0,0.0,-0.08496,-2.0,-0.5,-1.0,0.86,-0.911,-0.5,4.0,0.0,0.0,0.0,0.0,0.0,-0.4443
-0.723,-0.7207,-0.725,1.167,-1.352,-0.4583,-0.871,0.05634,-1.195,0.816,-0.1803,0.751,0.4285,-1.674,-1.0,0.0,-0.6846,-0.744,0.2008,0.0,-0.1989,0.6855,-0.7847,-0.8203,-1.034,0.2798,-0.0386,-1.012,-0.9346,-0.497,-0.7075,1.045,-0.1643,-0.727,-0.722,0.0,0.0,-0.729,0.0,-0.33,-0.4888,0.0,0.0,0.0,0.0,-0.147,-3.0,-0.5,-1.0,1.167,-1.267,-0.5,5.0,0.0,0.0,0.0,0.0,0.0,-0.894
-0.7236,-0.7217,-0.726,1.789,-1.958,-0.4583,-1.694,0.1846,-1.77,0.5693,-0.1885,0.7456,0.2856,-1.663,-1.0,0.0,-0.4746,-0.5527,0.1415,0.0,-0.198,1.246,-0.7847,-0.8203,-1.59,0.2666,-0.0674,-1.688,-0.9346,-1.012,-1.775,-0.3438,0.0649,-0.728,-0.7227,0.0,0.0,-0.7295,0.0,-0.3347,-1.229,0.0,1.0,0.0,0.0,-0.1914,-3.0,-1.0,-1.5,1.847,-1.779,-0.5,5.734,0.0,0.5,0.0,0.0,0.0,-1.234
-0.7246,-0.722,-0.7266,1.631,-1.795,-0.4583,-1.698,0.0457,-1.639,0.554,-0.1965,0.0542,0.1428,-1.652,-1.0,0.0,-0.4734,-0.5283,0.1412,0.0,-0.1971,-0.793,-0.781,-0.8203,-1.439,0.253,-0.08295,-0.04706,-0.9263,-1.688,-0.496,-0.7065,-0.259,-0.728,-0.7236,0.0,0.0,-0.7295,0.0,-0.3347,-1.222,0.0,1.0,0.0,0.0,-0.02798,-3.0,-1.0,-1.5,1.674,-1.641,-0.5,5.734,0.0,1.0,0.0,0.0,0.0,-0.03806
-0.7246,-0.722,-0.7266,0.656,-0.816,-0.4333,-1.698,0.1887,-0.7314,0.806,-0.2017,-0.533,0.0,-1.643,-1.0,0.0,-0.666,-0.747,0.2107,0.0,-0.1963,2.006,-0.7705,-0.8203,-0.4517,0.24,-0.129,1.951,-0.923,-0.04706,-1.01,-1.772,0.1206,-0.728,-0.724,0.0,0.0,-0.7295,0.0,-0.3296,-0.5864,0.0,0.0,0.0,0.0,0.3,-2.0,-1.0,-1.0,0.8135,-0.5986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.436
-0.7246,-0.722,-0.7266,0.519,-0.678,-0.359,-1.698,0.2181,-0.5845,0.8164,-0.2064,-0.12274,-0.1428,-1.632,-1.0,0.0,-0.6714,-0.758,0.2178,0.0,-0.1954,-0.2047,-0.761,-0.8203,-0.3137,0.2356,-0.2051,0.1586,-0.9194,1.951,-1.687,-0.4954,0.642,-0.728,-0.724,0.0,0.0,-0.7295,0.0,-0.3293,-0.5166,0.0,0.0,0.0,0.0,-0.007717,-1.0,-1.0,-0.5,0.6846,-0.46,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.10986
-0.7246,-0.722,-0.7266,-0.1715,0.012024,0.2505,-1.698,0.2426,0.1387,1.022,-0.2092,-1.571,-0.1428,-1.621,0.0,0.0,-0.8267,-0.919,0.2764,0.0,-0.1946,0.8135,-0.7505,-0.8203,0.4028,0.2349,-0.3213,1.573,-0.9194,0.1586,-0.04642,-1.009,1.048,-0.728,-0.724,0.0,0.0,-0.7295,0.0,-0.325,-0.1975,0.0,0.0,0.0,0.0,0.10187,0.0,-1.0,-0.5,0.0771,0.2766,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.905
-0.7246,-0.722,-0.7266,-0.3796,0.2202,0.4702,-1.698,0.2302,0.3896,1.086,-0.2109,1.349,-0.1428,-1.61,0.0,0.0,-0.8745,-0.9653,0.2979,0.0,-0.1937,-0.1906,-0.7397,-0.8203,0.645,0.2365,-0.3127,0.5425,-0.9185,1.573,1.949,-1.685,-0.3447,-0.728,-0.724,0.0,0.0,-0.7295,0.0,-0.3235,-0.0521,0.0,0.0,0.0,0.0,0.006596,1.0,-0.5,0.0,-0.10706,0.4978,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.2064
-0.724,-0.722,-0.7266,-0.694,0.5376,0.8154,-1.698,0.288,0.7695,1.196,-0.2118,1.034,-0.1428,-1.6,0.0,0.0,-0.9497,-1.051,0.3323,0.0,-0.1929,0.0794,-0.736,-0.8203,0.9966,0.2415,-0.2646,0.875,-0.915,0.5425,0.159,-0.04636,-0.7085,-0.728,-0.724,0.0,0.0,-0.7295,0.0,-0.3208,0.0718,0.0,0.0,0.0,0.0,0.0499,2.0,0.0,0.0,-0.4065,0.812,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5063
-0.724,-0.7217,-0.726,-0.619,0.4604,0.8154,-1.698,0.1727,0.752,1.174,-0.2136,0.1203,-0.1428,-1.59,0.0,0.0,-0.943,-1.024,0.332,0.0,-0.192,-0.655,-0.732,-0.8203,1.031,0.2385,-0.11145,-0.0463,-0.9116,0.875,1.573,1.947,-1.777,-0.728,-0.7236,0.0,0.0,-0.7295,0.0,-0.321,-0.0399,0.0,0.0,0.0,0.0,-0.0275,1.0,0.0,-0.5,-0.387,0.6826,-0.5,1.0,0.0,1.0,0.0,0.0,0.0,-0.03415
