EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.457,-1.456,-1.456,3.297,-3.072,0.1366,-3.223,3.89,-2.889,-2.568,-1.225,-0.1428,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.274,0.0,-0.393,3.893,0.922,1.603,-2.766,-0.967,-1.195,1.465,1.049,-2.3,-3.19,-0.03009,1.538,-1.532,-1.385,0.0,0.0,-1.458,0.0,-1.461,-1.207,0.0,1.0,0.0,0.0,0.125,-2.0,-1.5,-1.0,3.393,-2.643,0.0,0.0,-0.6665,0.0,0.0,0.0,0.0,0.467
-1.466,-1.465,-1.465,3.297,-3.072,0.1366,-3.223,3.834,-2.447,-2.568,-1.243,-0.1909,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.221,0.0,-0.3923,3.893,0.975,1.396,-2.541,-0.9937,-1.581,1.431,0.782,1.465,-0.6436,-2.771,0.6504,-1.54,-1.397,0.0,0.0,-1.472,0.0,-1.434,-0.9434,0.0,1.0,0.0,0.0,0.07117,-1.0,-1.5,-0.6665,3.393,-2.643,0.5,0.0,-0.6665,0.0,0.0,0.0,0.0,0.265
-1.477,-1.476,-1.476,3.297,-3.072,0.1366,-3.223,3.902,-2.889,-2.568,-1.27,0.6978,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.358,0.0,-0.3918,3.893,1.072,1.123,-2.766,-1.061,-1.365,-3.184,0.4548,1.432,-2.3,-3.19,-2.219,-1.54,-1.41,0.0,0.0,-1.485,0.0,-1.488,-1.097,0.0,1.0,0.0,0.0,-0.661,-1.0,-1.5,-0.6665,3.393,-2.643,-0.5,1.0,-0.6665,0.0,0.0,0.0,0.0,-2.287
-1.486,-1.485,-1.485,3.297,-3.072,0.1366,-3.223,3.902,-2.889,-2.568,-1.298,-0.0656,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.344,0.0,-0.391,2.492,1.1455,1.078,-2.766,-1.093,-1.237,0.4016,0.4878,-3.184,1.466,-0.6436,-1.947,-1.54,-1.423,0.0,0.0,-1.493,0.0,-1.476,-1.189,0.0,1.0,0.0,0.0,0.03406,0.0,-1.0,-0.6665,3.393,-2.643,0.0,0.0,-0.6665,0.0,0.0,0.0,0.0,0.1382
-1.491,-1.49,-1.49,2.63,-2.402,0.6484,-3.223,3.902,-1.023,-2.568,-1.321,-0.7095,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.189,0.0,-0.3906,1.726,1.162,1.065,-1.007,-1.113,-1.237,3.406,0.469,0.402,1.433,-2.3,-1.107,-1.54,-1.433,0.0,0.0,-1.498,0.0,-1.396,-0.948,0.0,1.0,0.0,0.0,0.5728,1.0,-0.5,-0.6665,3.146,-1.534,0.5,0.0,-0.6665,0.0,1.0,0.0,5.824,2.11
-1.498,-1.497,-1.497,3.252,-3.057,0.6484,-2.64,3.902,-1.44,-2.568,-1.352,0.6665,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.267,0.0,-0.39,1.82,1.174,1.087,-1.286,-1.168,-1.3545,-2.05,0.4902,3.406,-3.19,1.467,-0.03036,-1.54,-1.444,0.0,0.0,-1.503,0.0,-1.431,-1.104,0.0,1.0,0.0,0.0,-0.1129,0.0,-0.5,-1.0,3.393,-2.158,-0.5,1.0,-0.6665,0.0,0.0,0.0,0.0,-0.377
-1.502,-1.502,-1.501,2.172,-2.016,0.6484,-2.64,3.902,-0.358,-2.568,-1.37,-0.854,-1.0,-1.191,-1.0,-1.0,3.398,3.113,-1.197,0.0,-0.3894,2.543,1.134,1.097,-0.3108,-1.186,-0.987,1.843,0.449,-2.049,0.4028,1.433,-2.768,-1.54,-1.454,0.0,0.0,-1.509,0.0,-1.3955,-0.8247,0.0,0.0,0.0,0.0,0.0813,0.0,0.0,-0.6665,2.723,-1.157,0.0,0.0,-0.6665,0.0,0.0,0.0,0.0,0.2998
-1.503,-1.503,-1.501,0.6357,-0.4993,0.8574,-2.64,3.902,1.266,-2.365,-1.377,-7.18,-0.875,-1.191,0.0,-1.0,3.398,3.113,-1.067,0.0,-0.3887,3.893,1.071,1.117,1.611,-1.224,-0.257,3.406,0.4124,1.844,3.41,-3.19,-3.186,-1.54,-1.463,0.0,0.0,-1.511,0.0,-1.332,-0.4214,0.0,0.0,0.0,0.0,0.1605,1.0,0.5,-0.3333,1.376,0.4028,0.5,0.0,-0.6665,0.0,0.0,0.0,0.0,0.564
-1.502,-1.502,-1.5,-0.2742,0.4058,1.688,-2.64,3.85,2.348,-2.195,-1.375,1.1,-0.75,-1.191,0.0,-1.0,3.346,2.879,-0.975,0.0,-0.3882,0.7495,0.931,1.109,2.402,-1.215,-0.08325,2.277,0.379,3.406,-2.049,0.403,-0.643,-1.54,-1.471,0.0,0.0,-1.513,0.0,-1.285,-0.1775,0.0,0.0,0.0,0.0,0.2244,1.0,1.0,0.0,0.612,1.371,1.0,0.0,-0.6665,0.0,1.0,0.0,5.824,0.744
-1.503,-1.503,-1.5,0.4065,-0.293,1.688,-2.64,3.902,1.664,-2.312,-1.378,-0.2205,-0.625,-1.191,0.0,-1.0,3.398,3.113,-1.044,0.0,-0.3875,2.322,0.806,1.088,1.968,-1.231,0.4207,-1.704,0.3147,2.277,1.845,3.412,-2.297,-1.535,-1.479,0.0,0.0,-1.516,0.0,-1.316,-0.2825,0.0,0.0,0.0,0.0,-0.0749,0.0,1.0,0.0,1.219,0.664,-0.5,1.0,-0.6665,0.0,0.0,0.0,0.0,-0.2277
