EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.194,-1.197,-1.193,-1.939,1.987,1.695,0.02138,0.2361,1.626,1.944,-0.1565,0.519,0.75,-1.274,0.0,0.0,-1.283,-1.339,1.03,1.0,-0.4731,1.372,-0.6074,-0.629,1.595,0.8955,-0.0285,1.382,-0.8027,1.428,-0.3113,-0.1808,-0.0291,-1.191,-1.205,1.0,-1.0,-1.184,0.0,-0.6016,1.049,1.0,0.0,0.0,0.0,0.02135,0.0,0.0,0.5,-1.557,2.14,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,4.51
-1.194,-1.197,-1.193,-1.939,1.987,1.695,0.02138,0.1882,1.717,2.018,-0.1561,0.1892,0.75,-1.266,0.0,0.0,-1.32,-1.368,1.03,1.0,-0.4731,-0.251,-0.6064,-0.63,1.75,0.884,-0.03021,0.655,-0.8027,1.382,-1.165,3.156,0.8867,-1.191,-1.205,1.0,-1.0,-1.184,0.0,-0.6016,1.06,1.0,0.0,0.0,0.0,-0.007175,0.0,0.0,0.5,-1.557,2.17,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,1.147
-1.194,-1.197,-1.193,-1.921,1.871,1.695,0.02138,0.2285,1.551,2.014,-0.1559,0.0247,0.75,-1.257,0.0,0.0,-1.315,-1.369,1.03,1.0,-0.4731,0.6084,-0.606,-0.6304,1.471,0.905,-0.02542,0.1056,-0.8027,0.6543,1.428,-0.3113,-0.6274,-1.191,-1.205,0.0,0.0,-1.184,0.0,-0.6016,1.037,1.0,0.0,0.0,0.0,-0.01456,1.0,0.5,0.5,-1.557,1.981,1.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.3079
-1.194,-1.197,-1.193,-1.819,1.77,1.695,0.4553,0.2299,1.469,2.027,-0.1555,0.0725,0.75,-1.248,0.0,0.0,-1.322,-1.376,1.03,1.0,-0.4731,0.7417,-0.605,-0.631,1.277,0.92,-0.02162,0.2395,-0.8027,0.1054,1.382,-1.165,-0.3323,-1.191,-1.205,0.0,0.0,-1.184,0.0,-0.6016,1.002,1.0,0.0,0.0,0.0,-0.008156,2.0,1.0,0.5,-1.517,1.892,2.0,0.0,1.0,-0.5,0.0,0.0,0.0,1.018
-1.194,-1.197,-1.193,-1.442,1.393,1.695,0.4553,0.2273,1.018,1.931,-0.1553,-0.1986,0.75,-1.239,0.0,0.0,-1.277,-1.332,1.009,0.0,-0.473,-0.5376,-0.604,-0.6304,0.7686,0.94,-0.02017,-0.563,-0.8027,0.2393,0.655,1.428,0.2761,-1.191,-1.205,0.0,0.0,-1.184,0.0,-0.6016,0.8413,1.0,0.0,0.0,0.0,-0.02196,1.0,0.5,0.5,-1.176,1.517,-0.5,1.0,1.0,-0.5,0.0,0.0,0.0,-0.5117
-1.194,-1.197,-1.193,-1.193,1.145,0.4155,0.4553,0.2146,0.741,1.871,-0.1552,-0.1509,0.75,-1.23,0.0,0.0,-1.25,-1.304,0.9985,0.0,-0.4727,-0.534,-0.6035,-0.63,0.584,0.9443,-0.01717,-0.2993,-0.8027,-0.563,0.1056,1.382,-0.1807,-1.191,-1.205,0.0,0.0,-1.184,0.0,-0.6016,0.6743,0.0,0.0,0.0,0.0,-0.0178,0.0,0.5,0.0,-0.9575,1.264,-0.5,2.0,1.0,-0.5,0.0,0.0,0.0,-0.05508
-1.194,-1.197,-1.193,-0.815,0.766,0.4155,0.428,0.3098,0.2805,1.758,-0.155,-0.4878,0.75,-1.222,0.0,0.0,-1.1875,-1.258,0.9717,0.0,-0.4724,0.3613,-0.603,-0.63,0.1802,0.9517,-0.02995,-0.709,-0.8027,-0.2996,0.2395,0.655,3.156,-1.191,-1.205,0.0,0.0,-1.184,0.0,-0.6016,0.6367,0.0,0.0,0.0,0.0,-0.02646,-1.0,0.0,0.0,-0.5825,0.9214,-0.5,3.0,1.0,-0.5,0.0,0.0,0.0,-1.027
-1.194,-1.197,-1.193,-1.175,1.126,0.4155,0.428,0.3076,0.6685,1.904,-0.1547,1.248,0.75,-1.212,0.0,0.0,-1.258,-1.326,1.02,0.0,-0.4722,1.184,-0.603,-0.6294,0.588,0.965,-0.02818,1.213,-0.8027,-0.709,-0.563,0.1056,-0.3113,-1.191,-1.205,1.0,-1.0,-1.184,0.0,-0.6016,0.8438,1.0,0.0,0.0,0.0,0.0011835,-1.0,0.5,0.5,-0.884,1.306,0.0,0.0,1.0,-0.5,0.0,0.0,0.0,2.113
-1.194,-1.197,-1.193,-1.71,1.661,0.4155,0.428,0.4324,1.308,2.139,-0.1543,1.064,0.75,-1.203,0.0,0.0,-1.354,-1.442,1.03,1.0,-0.4731,1.918,-0.6035,-0.6294,1.297,0.9185,-0.02176,1.852,-0.8027,1.213,-0.2993,0.2394,-1.165,-1.191,-1.205,1.0,-1.0,-1.184,0.0,-0.6016,0.9795,1.0,0.0,0.0,0.0,0.03946,-1.0,1.0,0.5,-1.32,1.888,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,6.31
-1.194,-1.197,-1.193,-1.939,1.987,0.76,0.428,0.527,1.859,2.348,-0.1538,0.574,0.75,-1.194,0.0,0.0,-1.431,-1.546,1.03,1.0,-0.4731,1.8,-0.6045,-0.6294,1.898,0.8726,-0.02568,1.774,-0.8027,1.851,-0.709,-0.563,1.428,-1.191,-1.205,1.0,-1.0,-1.184,0.0,-0.6016,1.131,1.0,0.0,0.0,0.0,0.03674,0.0,1.0,1.0,-1.557,2.24,1.0,0.0,1.0,-0.5,0.0,0.0,0.0,5.76
-1.194,-1.197,-1.193,-1.759,1.709,0.76,0.428,0.4011,1.42,2.27,-0.1536,-0.1268,0.75,-1.186,0.0,0.0,-1.413,-1.495,1.011,0.0,-0.473,0.4924,-0.605,-0.629,1.372,0.894,-0.02936,-0.5244,-0.8027,1.774,1.213,-0.2993,1.381,-1.191,-1.205,0.0,0.0,-1.184,0.0,-0.6016,0.778,1.0,0.0,0.0,0.0,-0.03047,0.0,0.5,0.5,-1.421,1.876,-0.5,1.0,1.0,-0.5,0.0,0.0,0.0,-1.348
