EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.7495,-0.75,-0.737,1.81,-1.9,-1.054,-0.8037,0.2207,-1.515,-0.5176,-0.1438,0.2559,-1.143,-1.415,-1.0,-1.0,0.5493,0.539,-0.2051,0.0,-0.2524,-0.04346,-0.2056,-0.3289,-1.4795,0.09863,-0.2415,-0.7607,-0.3987,0.1919,-0.644,-1.117,-0.3184,-0.7485,-0.742,0.0,0.0,-0.7397,0.0,-0.612,-1.594,0.0,1.0,0.0,0.0,-0.0825,-2.0,-1.0,-2.0,1.679,-1.954,-0.5,1.0,-1.0,2.0,0.0,0.0,0.0,-0.2913
-0.7505,-0.751,-0.738,1.296,-1.388,-1.054,-0.8037,0.02226,-1.027,-0.41,-0.1586,-0.2301,-1.143,-1.415,-1.0,-1.0,0.4172,0.4348,-0.1288,0.0,-0.2507,0.5723,-0.1664,-0.2878,-0.979,0.06433,-0.33,0.729,-0.393,-0.761,-0.651,-1.24,0.08154,-0.751,-0.743,0.0,0.0,-0.741,0.0,-0.605,-1.384,0.0,1.0,0.0,0.0,0.04794,-1.0,-1.0,-1.5,1.218,-1.411,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.2024
-0.752,-0.752,-0.7393,1.327,-1.417,-1.054,-0.8037,0.04788,-1.043,-0.4575,-0.1735,0.1494,-1.143,-1.415,-1.0,-1.0,0.4705,0.4858,-0.1615,0.0,-0.2491,-0.5317,-0.1367,-0.253,-1.009,0.037,-0.483,-0.338,-0.3914,0.73,0.192,-0.6426,0.4822,-0.7524,-0.744,0.0,0.0,-0.7427,0.0,-0.608,-1.384,0.0,1.0,0.0,0.0,-0.0478,-1.0,-1.5,-1.5,1.247,-1.439,-0.5,1.0,-1.0,2.0,0.0,0.0,0.0,-0.1605
-0.7524,-0.7524,-0.7397,0.588,-0.6694,-0.7236,-0.8037,0.1793,-0.3018,-0.259,-0.183,-0.6904,-1.143,-1.415,-1.0,-1.0,0.272,0.2563,-0.01996,0.0,-0.2474,1.158,-0.118,-0.2256,-0.252,0.01464,-0.556,1.362,-0.4229,-0.3381,-0.761,-0.649,-0.01883,-0.7524,-0.745,0.0,0.0,-0.744,0.0,-0.595,-0.7603,0.0,0.0,0.0,0.0,0.2756,0.0,-1.0,-1.0,0.5996,-0.63,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,1.062
-0.753,-0.7534,-0.74,0.7256,-0.81,-0.7236,-0.8037,0.2094,-0.419,-0.3232,-0.1926,0.7046,-1.143,-1.415,-1.0,-1.0,0.341,0.3232,-0.0635,0.0,-0.2457,-0.7036,-0.10834,-0.207,-0.3674,-0.004463,-0.549,-0.436,-0.458,1.363,0.73,0.1935,-0.317,-0.7524,-0.7456,0.0,0.0,-0.745,0.0,-0.5986,-0.7803,0.0,0.0,0.0,0.0,-0.05478,-1.0,-1.0,-1.0,0.749,-0.7505,-0.5,1.0,-1.0,2.0,0.0,0.0,0.0,-0.1838
-0.7534,-0.754,-0.7407,0.851,-0.941,-0.7236,-0.8037,0.1554,-0.519,-0.3872,-0.2041,0.4492,-1.143,-1.415,-1.0,-1.0,0.404,0.3982,-0.10706,0.0,-0.244,-0.698,-0.1093,-0.1956,-0.4912,-0.02184,-0.3923,-0.4392,-0.4937,-0.4365,-0.338,-0.7593,-1.117,-0.752,-0.7466,0.0,0.0,-0.7466,0.0,-0.6025,-0.893,0.0,0.0,0.0,0.0,-0.03177,-1.0,-1.0,-1.5,0.866,-0.8843,-0.5,2.0,-1.0,2.0,0.0,0.0,0.0,-0.09937
-0.7544,-0.755,-0.7417,0.917,-1.015,-0.7236,-0.8037,0.11096,-0.539,-0.4355,-0.2184,0.1819,-1.143,-1.415,-1.0,-1.0,0.452,0.4558,-0.1396,0.0,-0.2423,-0.3765,-0.1243,-0.1895,-0.5723,-0.03754,-0.2037,-0.3367,-0.519,-0.4395,1.362,0.731,-1.24,-0.752,-0.7476,0.0,0.0,-0.748,0.0,-0.6055,-1.138,0.0,1.0,0.0,0.0,-0.03503,-2.0,-1.0,-2.0,0.9507,-0.9346,-0.5,3.0,-1.0,2.0,0.0,0.0,0.0,-0.1122
-0.7554,-0.756,-0.7427,1.074,-1.181,-0.7236,-0.8037,0.1451,-0.645,-0.514,-0.2345,0.3792,-1.143,-1.415,-1.0,-1.0,0.54,0.542,-0.1941,0.0,-0.2406,0.4343,-0.1489,-0.185,-0.7266,-0.05978,-0.11127,-0.5503,-0.524,-0.337,-0.4363,-0.3362,-0.6426,-0.752,-0.7485,0.0,0.0,-0.749,0.0,-0.6104,-1.209,0.0,1.0,0.0,0.0,-0.05417,-2.0,-1.0,-2.0,1.117,-1.083,-0.5,4.0,-1.0,2.0,0.0,0.0,0.0,-0.1848
-0.757,-0.7573,-0.744,1.677,-1.792,-0.7236,-0.8037,0.3206,-1.181,-0.7324,-0.2546,1.147,-1.143,-1.415,-1.0,-1.0,0.799,0.782,-0.3464,0.0,-0.2389,1.635,-0.1852,-0.1825,-1.298,-0.0923,-0.01697,-1.518,-0.5107,-0.551,-0.4392,1.364,-0.649,-0.7534,-0.7495,0.0,0.0,-0.75,0.0,-0.624,-1.341,0.0,1.0,0.0,0.0,-0.2546,-3.0,-1.0,-2.0,1.713,-1.67,-0.5,5.0,-1.0,2.0,0.0,0.0,0.0,-0.948
-0.7583,-0.7583,-0.745,1.471,-1.587,-0.7236,-0.8037,0.2429,-0.9805,-0.7188,-0.2705,-0.0619,-1.143,-1.415,-1.0,-1.0,0.7764,0.772,-0.3357,0.0,-0.2372,-0.1753,-0.2222,-0.1809,-1.071,-0.1311,-0.0886,0.0892,-0.5034,-1.519,-0.3367,-0.4346,0.1936,-0.7544,-0.751,0.0,0.0,-0.7515,0.0,-0.623,-1.17,0.0,1.0,0.0,0.0,0.001754,-2.0,-1.0,-1.5,1.456,-1.53,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.02747
