EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.746,-0.744,-0.747,-0.929,0.8125,1.921,0.0926,-0.0435,0.553,1.587,0.0668,4.242,0.0,-1.722,0.0,0.0,-1.222,-1.246,0.696,1.0,-0.3792,1.119,-0.5034,-0.5474,0.6914,0.5103,-0.1584,1.302,-0.7793,0.8555,0.1636,0.219,0.05017,-0.7505,-0.7466,0.0,0.0,-0.7456,0.0,-0.413,0.566,0.0,0.0,0.0,0.0,0.0447,0.0,0.0,0.6665,-0.8506,0.8525,0.5,0.0,3.188,-1.0,0.0,0.0,0.0,0.2294
-0.746,-0.744,-0.747,-0.8496,0.733,1.921,0.0926,-0.1362,0.5195,1.576,0.0675,0.0821,0.0,-1.709,0.0,0.0,-1.222,-1.231,0.696,1.0,-0.3792,-0.1764,-0.506,-0.5645,0.676,0.5146,-0.314,-0.005466,-0.797,1.302,-0.1415,-0.335,1.081,-0.7505,-0.7466,0.0,0.0,-0.7456,0.0,-0.413,0.3682,0.0,0.0,0.0,0.0,-0.02179,1.0,0.0,0.6665,-0.7783,0.7695,1.0,0.0,3.188,-1.0,0.0,0.0,0.0,-0.03207
-0.746,-0.744,-0.747,-0.7334,0.6187,1.921,0.0926,-0.00454,0.4385,1.549,0.06793,7.164e-05,0.0,-1.696,0.0,0.0,-1.195,-1.224,0.689,0.0,-0.375,0.8745,-0.514,-0.5635,0.62,0.523,-0.1675,-0.11145,-0.797,-0.005466,0.8555,0.1635,-0.988,-0.7505,-0.7466,0.0,0.0,-0.7456,0.0,-0.4143,0.3342,0.0,0.0,0.0,0.0,-0.02635,0.0,0.0,0.3333,-0.685,0.637,-0.5,1.0,3.188,-1.0,0.0,0.0,0.0,-0.04953
-0.746,-0.744,-0.747,-0.787,0.678,1.921,0.0926,0.03723,0.5474,1.581,0.06854,0.344,0.0,-1.684,0.0,0.0,-1.212,-1.247,0.696,1.0,-0.3792,-0.009415,-0.5186,-0.5615,0.686,0.5117,-0.1067,0.2861,-0.797,-0.11145,1.302,-0.1417,-0.356,-0.7505,-0.7466,0.0,0.0,-0.7456,0.0,-0.4124,0.3472,0.0,0.0,0.0,0.0,0.01218,1.0,0.5,0.3333,-0.727,0.7065,0.0,0.0,3.188,-1.0,0.0,0.0,0.0,0.0979
-0.746,-0.744,-0.747,-0.7183,0.6133,1.921,0.0926,0.148,0.5176,1.568,0.069,0.0881,0.0,-1.671,0.0,0.0,-1.197,-1.247,0.696,1.0,-0.3792,0.3018,-0.5312,-0.562,0.6836,0.5127,0.0839,-0.00581,-0.797,0.2861,-0.005554,0.8555,-1.1455,-0.749,-0.7466,0.0,0.0,-0.7456,0.0,-0.4124,0.3342,0.0,0.0,0.0,0.0,-0.02171,1.0,1.0,0.3333,-0.7183,0.578,0.5,0.0,3.188,-1.0,0.0,0.0,0.0,-0.03183
-0.746,-0.744,-0.747,-0.2285,0.11005,1.921,0.0926,0.2227,0.05237,1.399,0.0638,-0.646,0.0,-1.658,0.0,0.0,-1.086,-1.143,0.57,0.0,-0.375,0.4768,-0.552,-0.5654,0.1973,0.5156,0.0852,-1.059,-0.797,-0.00581,-0.1116,1.302,0.2191,-0.7476,-0.7466,0.0,0.0,-0.7456,0.0,-0.4233,-0.3445,0.0,0.0,0.0,0.0,-0.08813,0.0,0.5,0.0,-0.257,0.0744,-0.5,1.0,3.188,-1.0,0.0,0.0,0.0,-0.284
-0.746,-0.744,-0.747,-0.1498,0.03052,1.921,0.0926,0.2798,-0.00784,1.365,0.06085,-0.1969,0.0,-1.6455,0.0,0.0,-1.06,-1.124,0.5566,0.0,-0.3708,0.7646,-0.5645,-0.5723,0.1486,0.515,0.1493,-0.1658,-0.797,-1.059,0.2861,-0.005745,-0.3347,-0.747,-0.7466,0.0,0.0,-0.7456,0.0,-0.425,-0.0667,0.0,0.0,0.0,0.0,-0.02945,-1.0,0.5,0.0,-0.1937,-0.01741,-0.5,2.0,3.188,-1.0,0.0,0.0,0.0,-0.06165
-0.746,-0.744,-0.747,0.0333,-0.1564,1.921,0.0926,0.3494,-0.1929,1.292,0.05777,-1.316,-0.1428,-1.633,-1.0,0.0,-1.007,-1.079,0.5103,0.0,-0.367,-0.1488,-0.5806,-0.5825,-0.04153,0.5195,0.1415,-0.4348,-0.797,-0.1658,-0.005898,-0.11176,0.1636,-0.748,-0.7466,0.0,0.0,-0.7456,0.0,-0.4304,-0.0969,0.0,0.0,0.0,0.0,-0.0751,-1.0,0.0,0.0,-0.05786,-0.246,-0.5,3.0,3.188,-1.0,0.0,0.0,0.0,-0.2386
-0.746,-0.744,-0.747,-0.1272,0.00334,1.921,0.0926,0.259,-0.0582,1.333,0.05856,-3.475,0.0,-1.62,0.0,0.0,-1.04,-1.101,0.56,0.0,-0.3628,-0.584,-0.5996,-0.5938,0.088,0.536,0.1699,0.348,-0.797,-0.4348,-1.059,0.286,-0.1415,-0.7485,-0.7466,0.0,0.0,-0.745,0.0,-0.4272,0.506,0.0,0.0,0.0,0.0,0.0007644,-1.0,0.5,0.3333,-0.1989,-0.0748,0.0,0.0,3.188,-1.0,0.0,0.0,0.0,0.05624
-0.746,-0.744,-0.747,0.05103,-0.184,1.921,0.0926,0.1858,-0.2708,1.26,0.0577,-2.44,0.0,-1.607,-1.0,0.0,-0.9976,-1.046,0.5137,0.0,-0.359,-0.221,-0.6143,-0.6016,-0.2021,0.5693,0.05707,-0.4348,-0.797,0.348,-0.1659,-0.00609,0.8555,-0.7495,-0.7466,0.0,0.0,-0.745,0.0,-0.4312,0.2386,0.0,0.0,0.0,0.0,-0.03482,-2.0,0.0,0.0,-0.02551,-0.256,-0.5,1.0,3.188,-1.0,0.0,0.0,0.0,-0.08246
