EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.837,-0.836,-0.8354,-0.9814,0.996,0.6733,-0.03397,1.436,0.856,0.3645,-0.0853,-0.067,0.75,-1.193,0.0,0.0,-0.2202,-0.4873,0.628,1.0,-0.2534,-0.1707,-0.098,-0.3645,0.802,0.5317,0.1068,0.0,-0.2388,0.313,0.325,0.0,0.322,-0.8267,-0.8486,0.0,0.0,-0.8433,0.0,-0.5366,0.9688,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.7695,1.163,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
-0.833,-0.832,-0.8315,-1.514,1.534,0.6733,-0.03397,1.5,1.393,0.5825,-0.0561,0.747,0.75,-1.185,0.0,0.0,-0.405,-0.6963,0.628,1.0,-0.2534,1.009,0.02821,-0.259,1.37,0.47,0.2556,1.557,-0.1688,0.0,2.59,-2.514,-0.3206,-0.823,-0.8486,0.0,0.0,-0.84,0.0,-0.505,1.04,1.0,0.0,0.0,0.0,0.08154,2.0,0.5,1.0,-1.235,1.74,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1906
-0.828,-0.8267,-0.8267,-1.915,2.129,0.6733,-0.03397,1.566,2.03,0.843,-0.02162,0.5967,0.75,-1.176,0.0,0.0,-0.6167,-0.934,0.628,1.0,-0.2534,1.343,0.1488,-0.1512,2.008,0.4028,0.1068,1.829,-0.06696,1.558,0.3125,0.3254,0.9663,-0.818,-0.8467,0.0,0.0,-0.8354,0.0,-0.467,1.137,1.0,0.0,0.0,0.0,0.1824,2.0,0.5,1.0,-1.605,2.318,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4172
-0.822,-0.8203,-0.8213,-1.915,2.281,1.212,-0.03397,1.568,2.361,1.057,0.011314,0.376,0.75,-1.167,0.0,0.0,-0.787,-1.117,0.628,1.0,-0.2534,1.288,0.3035,-0.01956,2.283,0.3745,0.2468,1.487,0.0661,1.831,0.0,2.592,0.0,-0.806,-0.8433,0.0,0.0,-0.83,0.0,-0.4363,1.125,1.0,0.0,0.0,0.0,0.2145,2.0,1.0,1.0,-1.605,2.643,3.0,0.0,0.0,3.0,1.0,0.0,3.004,0.479
-0.814,-0.812,-0.814,-1.915,2.281,2.252,-0.03397,1.615,2.361,1.356,0.05243,0.4238,0.75,-1.158,0.0,0.0,-1.012,-1.366,0.628,1.0,-0.2534,1.59,0.471,0.1228,2.342,0.314,0.1681,2.041,0.2391,1.488,1.557,0.313,0.9536,-0.7915,-0.8394,0.0,0.0,-0.8237,0.0,-0.393,1.243,1.0,0.0,0.0,0.0,0.3013,2.0,1.0,1.0,-1.605,2.643,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.659
-0.809,-0.8066,-0.809,-1.915,2.121,2.252,-0.03397,1.742,2.033,1.081,0.0862,-0.264,0.75,-1.149,0.0,0.0,-0.7935,-1.152,0.5347,0.0,-0.2527,0.512,0.594,0.2415,1.833,0.3318,0.387,-1.702,0.2747,2.043,1.829,0.0,0.0,-0.7837,-0.836,0.0,0.0,-0.8184,0.0,-0.4321,0.9067,1.0,0.0,0.0,0.0,-0.11163,2.0,1.0,1.0,-1.551,2.455,0.0,1.0,0.0,3.0,0.0,0.0,0.0,-0.2378
-0.806,-0.8037,-0.8066,-1.036,1.188,2.252,-0.496,1.914,0.9644,0.808,0.10706,-0.4226,0.75,-1.141,0.0,0.0,-0.5625,-0.9316,0.4412,0.0,-0.252,0.5586,0.678,0.3389,0.8174,0.3467,1.254,-1.742,0.2307,-1.703,1.487,1.558,-2.51,-0.779,-0.8335,0.0,0.0,-0.814,0.0,-0.4712,0.4993,0.0,0.0,0.0,0.0,-0.1498,1.0,1.0,0.5,-0.5615,1.635,0.0,2.0,0.0,3.0,0.0,1.0,-3.406,-0.3264
-0.8037,-0.8013,-0.8037,-0.9233,1.066,2.252,-0.496,1.837,0.791,0.801,0.128,-0.05197,0.75,-1.132,0.0,0.0,-0.5625,-0.919,0.4412,0.0,-0.251,0.5586,0.716,0.4136,0.728,0.3562,1.35,0.0,0.1869,-1.744,2.041,1.831,0.325,-0.774,-0.8306,0.0,0.0,-0.8096,0.0,-0.4717,0.4993,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.4973,1.467,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
-0.8027,-0.801,-0.8027,-0.1776,0.3225,2.252,-0.496,2.037,-0.03055,0.572,0.1367,-0.8896,0.75,-1.123,0.0,0.0,-0.3562,-0.7295,0.3633,0.0,-0.2502,0.199,0.7017,0.463,-0.02785,0.3599,0.8247,-1.487,0.1209,0.0,-1.702,1.488,2.588,-0.7734,-0.8286,0.0,0.0,-0.8066,0.0,-0.504,0.1753,0.0,0.0,0.0,0.0,-0.0711,-1.0,0.0,0.0,0.2986,0.82,0.0,1.0,0.0,3.0,0.0,0.0,0.0,-0.1588
-0.802,-0.7993,-0.802,-0.273,0.4158,2.252,-0.496,2.098,0.02167,0.6074,0.1465,1.035,0.75,-1.114,0.0,0.0,-0.3818,-0.7666,0.379,0.0,-0.2494,0.591,0.6465,0.4934,0.0658,0.3652,0.7983,0.3035,0.0914,-1.488,-1.742,2.043,0.3125,-0.7754,-0.826,0.0,0.0,-0.804,0.0,-0.4978,0.2074,0.0,0.0,0.0,0.0,0.01322,-1.0,0.0,0.5,0.096,0.793,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.03014
