EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.566,-1.568,-1.564,-0.2925,0.2676,-0.1001,0.08417,-0.05658,-0.01846,0.562,0.0863,-0.3552,0.857,-1.1,0.0,0.0,-0.4927,-0.5073,1.023,0.0,-0.4954,-0.615,-0.3154,-0.4055,-0.1906,1.03,0.2289,0.03445,-0.747,-0.541,-1.161,-0.4739,-0.07275,-1.502,-1.571,0.0,0.0,-1.542,0.0,-0.0693,0.3894,0.0,0.0,0.0,0.0,0.000818,-1.0,0.0,0.0,-0.2085,0.3274,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.002443
-1.564,-1.566,-1.5625,-0.326,0.2998,-0.1001,0.08417,-0.06506,-0.0002851,0.582,0.0923,0.5254,0.857,-1.091,0.0,0.0,-0.509,-0.523,1.034,0.0,-0.4949,-0.2764,-0.3193,-0.3948,-0.2203,1.044,0.03683,0.1401,-0.7617,0.0345,0.889,-0.6323,0.959,-1.507,-1.568,0.0,0.0,-1.54,0.0,-0.0656,0.3481,0.0,0.0,0.0,0.0,0.002945,0.0,0.0,0.0,-0.264,0.3323,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.00865
-1.563,-1.565,-1.562,-0.1544,0.12445,-0.1001,0.08417,-0.1274,-0.1797,0.5386,0.0947,-2.719,0.7144,-1.082,-1.0,0.0,-0.4775,-0.4846,1.013,0.0,-0.4944,0.4233,-0.3337,-0.3904,-0.403,1.048,0.1287,-0.3345,-0.784,0.1401,-0.541,-1.161,-0.3901,-1.512,-1.565,0.0,0.0,-1.538,0.0,-0.07367,0.1176,0.0,0.0,0.0,0.0,-0.005806,0.0,0.0,-0.5,-0.09454,0.1678,-1.0,1.0,-0.5,0.0,0.0,0.0,0.0,-0.01685
-1.562,-1.5625,-1.559,-0.4668,0.4412,-0.1001,0.08417,-0.1594,0.1454,0.642,0.10046,-3.145,0.7144,-1.072,0.0,0.0,-0.561,-0.566,1.064,0.0,-0.4941,0.3867,-0.3616,-0.392,-0.0447,1.052,0.05252,0.7773,-0.821,-0.3345,0.03445,0.889,0.3564,-1.512,-1.5625,0.0,0.0,-1.534,0.0,-0.05417,0.333,0.0,0.0,0.0,0.0,0.01933,0.0,0.0,0.0,-0.3525,0.5215,0.0,0.0,-0.5,-1.0,0.0,0.0,0.0,0.05673
-1.558,-1.559,-1.555,-0.759,0.738,-0.1001,0.08417,-0.1248,0.4622,0.752,0.10925,1.765,0.7144,-1.063,0.0,0.0,-0.6426,-0.6523,1.12,0.0,-0.4937,0.3494,-0.4004,-0.3992,0.304,1.06,-0.3882,0.8145,-0.8364,0.7773,0.1401,-0.541,1.998,-1.506,-1.56,0.0,0.0,-1.53,0.0,-0.0334,0.4978,0.0,0.0,0.0,0.0,0.01862,1.0,0.0,0.5,-0.6353,0.8066,1.0,0.0,-0.5,-1.0,0.0,0.0,0.0,0.0536
-1.552,-1.554,-1.55,-1.09,1.079,0.03333,0.08417,0.0471,0.874,0.8887,0.1182,0.9907,0.7144,-1.055,0.0,0.0,-0.733,-0.762,1.145,1.0,-0.4978,2.574,-0.4219,-0.3962,0.5786,1.047,-0.288,1.003,-0.805,0.815,-0.3345,0.0345,-0.4744,-1.5,-1.556,0.0,0.0,-1.526,0.0,-0.00924,0.5146,0.0,0.0,0.0,0.0,0.1309,1.0,0.5,0.5,-0.9194,1.175,2.0,0.0,-0.5,-1.0,1.0,0.0,3.955,0.3691
-1.547,-1.549,-1.545,-0.9585,0.9473,0.03333,0.08417,0.0582,0.741,0.878,0.1284,-0.02141,0.7144,-1.046,0.0,0.0,-0.7246,-0.755,1.141,0.0,-0.4973,0.0905,-0.4558,-0.398,0.4836,1.056,-0.1165,-0.06836,-0.797,1.003,0.7773,0.1401,-0.633,-1.493,-1.552,0.0,0.0,-1.521,0.0,-0.011215,0.6064,0.0,0.0,0.0,0.0,-0.002758,0.0,0.5,0.5,-0.8135,1.024,-1.0,1.0,-0.5,-1.0,0.0,0.0,0.0,-0.007668
-1.544,-1.545,-1.541,-0.696,0.68,0.03333,0.08417,0.0893,0.4624,0.818,0.1355,-0.2468,0.7144,-1.036,0.0,0.0,-0.6797,-0.713,1.114,0.0,-0.497,-0.1123,-0.505,-0.4023,0.2281,1.063,0.189,-0.4177,-0.803,-0.0683,0.8145,-0.3342,-1.162,-1.487,-1.549,0.0,0.0,-1.519,0.0,-0.02199,0.4243,0.0,0.0,0.0,0.0,-0.006435,0.0,0.5,0.0,-0.644,0.6733,-1.0,2.0,-0.5,-1.0,0.0,0.0,0.0,-0.0178
-1.54,-1.542,-1.538,-0.582,0.563,0.03333,0.08417,-0.1233,0.4084,0.799,0.1343,0.02202,0.7144,-1.027,0.0,0.0,-0.6772,-0.6875,1.107,0.0,-0.4966,-0.1089,-0.5127,-0.4148,0.1809,1.0625,0.04047,-0.11926,-0.803,-0.4177,1.003,0.7773,0.8896,-1.482,-1.546,0.0,0.0,-1.516,0.0,-0.02496,-0.04477,0.0,0.0,0.0,0.0,-0.003075,-1.0,0.0,-0.5,-0.5557,0.536,-1.0,3.0,-0.5,-1.0,0.0,0.0,0.0,-0.008606
-1.538,-1.54,-1.536,-0.4353,0.4136,0.03333,0.08417,-0.1465,0.2954,0.767,0.1344,-0.1278,0.7144,-1.019,0.0,0.0,-0.655,-0.6626,1.094,0.0,-0.496,-0.542,-0.516,-0.4358,0.077,1.063,0.1951,-0.2205,-0.8193,-0.1192,-0.06836,0.8145,-0.5415,-1.477,-1.544,0.0,0.0,-1.513,0.0,-0.03049,0.03348,0.0,0.0,0.0,0.0,-0.004154,-2.0,0.0,-0.5,-0.4395,0.3643,-1.0,4.0,-0.5,-0.5,0.0,0.0,0.0,-0.01164
-1.534,-1.536,-1.532,-0.7007,0.685,0.03333,0.08417,-0.1519,0.6084,0.867,0.1395,1.083,0.7144,-1.009,0.0,0.0,-0.728,-0.736,1.145,1.0,-0.4978,-0.9917,-0.5146,-0.4626,0.4023,1.07,0.224,0.7427,-0.827,-0.2205,-0.4177,1.003,0.03445,-1.472,-1.54,0.0,0.0,-1.509,0.0,-0.01104,0.439,0.0,0.0,0.0,0.0,0.015434,-2.0,0.0,0.0,-0.708,0.612,0.0,0.0,-0.5,-0.5,1.0,0.0,2.436,0.04324
-1.531,-1.533,-1.529,-0.566,0.5464,0.03333,0.08417,-0.244,0.4365,0.841,0.1486,-0.1466,0.7144,-1.0,0.0,0.0,-0.714,-0.712,1.134,0.0,-0.4973,-0.1225,-0.5166,-0.49,0.2554,1.074,0.2457,-0.168,-0.822,0.7427,-0.11926,-0.0683,0.1401,-1.469,-1.537,0.0,0.0,-1.506,0.0,-0.01511,0.8516,1.0,0.0,0.0,0.0,-0.001815,-2.0,-0.5,0.0,-0.6177,0.434,-1.0,1.0,-0.5,-0.5,0.0,1.0,-0.8286,-0.00507
-1.529,-1.531,-1.527,-0.3367,0.314,0.03333,0.08417,-0.0981,0.1871,0.78,0.1523,-0.4114,0.7144,-0.9907,0.0,0.0,-0.6616,-0.6743,1.107,0.0,-0.497,2.738,-0.525,-0.523,0.002792,1.074,0.369,-0.4187,-0.8394,-0.168,-0.2205,-0.4175,-0.3345,-1.471,-1.534,0.0,0.0,-1.504,0.0,-0.02591,0.4539,0.0,0.0,0.0,0.0,-0.008514,-2.0,-0.5,-0.5,-0.4092,0.1956,-1.0,2.0,-0.5,-0.5,0.0,0.0,0.0,-0.0236
-1.528,-1.529,-1.525,-0.2347,0.2084,0.03333,0.08417,-0.1576,0.0503,0.7544,0.158,-0.4556,0.7144,-0.982,0.0,0.0,-0.646,-0.6523,1.097,0.0,-0.4966,-0.6533,-0.5366,-0.563,-0.10205,1.074,0.2361,-0.17,-0.8545,-0.4187,0.7427,-0.1192,0.778,-1.473,-1.531,0.0,0.0,-1.502,0.0,-0.0303,0.63,0.0,0.0,0.0,0.0,-0.005367,-2.0,-1.0,-0.5,-0.3083,0.0966,-1.0,3.0,-0.5,-0.5,0.0,0.0,0.0,-0.01502
-1.525,-1.527,-1.523,-0.44,0.4163,0.03333,0.08417,-0.10254,0.2417,0.8257,0.1652,1.897,0.7144,-0.9727,0.0,0.0,-0.696,-0.7085,1.134,0.0,-0.496,-0.4478,-0.5493,-0.572,0.0907,1.074,0.06946,0.539,-0.846,-0.1699,-0.168,-0.2205,0.815,-1.472,-1.528,0.0,0.0,-1.501,0.0,-0.01622,0.7524,0.0,0.0,0.0,0.0,0.01474,-1.0,-1.0,-0.5,-0.4802,0.326,0.0,0.0,-0.5,-0.5,1.0,0.0,1.576,0.04123
-1.522,-1.524,-1.5205,-0.538,0.5146,0.03333,0.08417,-0.11255,0.3264,0.868,0.1727,0.4346,0.7144,-0.964,0.0,0.0,-0.7266,-0.739,1.145,1.0,-0.4978,0.0809,-0.5537,-0.5728,0.2052,1.074,-0.1516,0.3318,-0.828,0.539,-0.4187,0.7427,1.003,-1.47,-1.525,0.0,0.0,-1.5,0.0,-0.00727,0.796,1.0,0.0,0.0,0.0,0.005512,-1.0,-1.0,-0.5,-0.57,0.4265,1.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.015175
-1.5205,-1.521,-1.518,-0.5034,0.475,0.03333,0.08417,-0.1481,0.2512,0.8677,0.1816,-0.0761,0.857,-0.9546,0.0,0.0,-0.7285,-0.737,1.145,1.0,-0.4978,-0.1359,-0.5645,-0.571,0.1741,1.074,-0.1346,0.03113,-0.816,0.3318,-0.17,-0.168,-0.06836,-1.466,-1.521,0.0,0.0,-1.498,0.0,-0.006145,0.964,1.0,0.0,0.0,0.0,-0.000121,0.0,-0.5,0.0,-0.5713,0.3489,2.0,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.000411
