EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5444,-0.545,-0.5435,0.3145,-0.3464,-0.567,0.655,-0.7695,-0.4375,0.2142,0.0712,0.738,0.25,-1.118,-1.0,0.0,-0.2365,-0.1537,0.809,0.0,-0.4385,-0.4548,-0.656,-0.578,-0.4846,0.8477,-0.2441,-0.2947,-0.717,0.00392,-0.894,0.335,0.4385,-0.556,-0.5454,0.0,0.0,-0.549,0.0,-0.1613,-0.2944,0.0,0.0,0.0,0.0,-0.02068,-1.0,-0.5,0.0,0.1378,-0.544,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.037
-0.544,-0.5444,-0.543,0.04544,-0.0749,-0.567,0.655,-0.778,-0.1392,0.275,0.0662,-0.9644,0.125,-1.11,-1.0,0.0,-0.2886,-0.2089,0.8325,0.0,-0.4375,-0.483,-0.6846,-0.5874,-0.2037,0.848,-0.1355,0.6396,-0.717,-0.2947,-0.01361,0.10754,-0.4617,-0.556,-0.5444,0.0,0.0,-0.5483,0.0,-0.1372,-0.2761,0.0,0.0,0.0,0.0,0.04556,-1.0,0.0,0.0,-0.08435,-0.2456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08417
-0.543,-0.543,-0.542,-0.1654,0.1382,-0.567,0.655,-0.7227,0.1155,0.328,0.06274,-8.875,0.125,-1.103,0.0,0.0,-0.3281,-0.2607,0.854,0.0,-0.4365,0.2097,-0.697,-0.6006,0.04022,0.8486,-0.1296,0.5615,-0.717,0.64,0.003956,-0.894,-0.04843,-0.5557,-0.5435,0.0,0.0,-0.5474,0.0,-0.1173,-0.08716,0.0,0.0,0.0,0.0,0.11633,0.0,0.5,0.0,-0.264,-0.0176,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.211
-0.5405,-0.541,-0.5396,-0.3447,0.3203,-0.4766,0.655,-0.6895,0.3337,0.3777,0.06287,1.302,0.125,-1.095,0.0,0.0,-0.3662,-0.3076,0.871,1.0,-0.4753,0.1052,-0.697,-0.616,0.2517,0.848,-0.1732,0.5376,-0.717,0.562,-0.2947,-0.01362,0.1604,-0.5537,-0.542,0.0,0.0,-0.5454,0.0,-0.0966,0.274,0.0,0.0,0.0,0.0,0.03647,1.0,0.5,0.5,-0.4226,0.1705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658
-0.538,-0.538,-0.537,-0.4148,0.3918,-0.3547,0.655,-0.691,0.4473,0.4023,0.06232,0.4236,0.125,-1.087,0.0,0.0,-0.386,-0.3286,0.871,1.0,-0.4753,-0.663,-0.697,-0.6406,0.3896,0.837,-0.05292,0.2932,-0.717,0.538,0.6396,0.00396,-0.291,-0.549,-0.5405,0.0,0.0,-0.543,0.0,-0.08484,0.226,0.0,0.0,0.0,0.0,0.006664,1.0,1.0,0.5,-0.4927,0.2349,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01233
-0.537,-0.5376,-0.536,-0.0401,0.01394,-0.3547,0.655,-0.653,0.04535,0.3052,0.0601,-0.76,0.125,-1.079,0.0,0.0,-0.3042,-0.2465,0.8394,0.0,-0.4744,0.1199,-0.697,-0.6685,-0.003067,0.838,-0.1221,-0.861,-0.717,0.2932,0.5615,-0.2947,0.335,-0.5464,-0.539,0.0,0.0,-0.542,0.0,-0.1191,0.03247,0.0,0.0,0.0,0.0,-0.04593,1.0,0.5,0.5,-0.11786,-0.1054,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0802
-0.5366,-0.537,-0.5356,0.04147,-0.0683,-0.3547,0.6064,-0.629,-0.04074,0.28,0.0571,-0.573,0.125,-1.071,0.0,0.0,-0.2812,-0.2257,0.833,0.0,-0.4734,-0.7056,-0.697,-0.6978,-0.08514,0.8384,-0.1564,-0.186,-0.717,-0.8613,0.538,0.64,0.10754,-0.544,-0.538,0.0,0.0,-0.5415,0.0,-0.1267,-0.02518,0.0,0.0,0.0,0.0,-0.01554,0.0,0.0,0.5,-0.0441,-0.1885,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.0272
-0.5356,-0.536,-0.535,-0.0431,0.01736,-0.3547,0.6064,-0.5996,0.05743,0.2976,0.05432,1.943,0.125,-1.063,0.0,0.0,-0.2937,-0.2439,0.842,0.0,-0.4724,-0.3667,-0.697,-0.7,0.01491,0.839,0.1366,0.2284,-0.717,-0.186,0.2932,0.562,-0.8945,-0.5405,-0.537,0.0,0.0,-0.541,0.0,-0.1179,-0.0001218,0.0,0.0,0.0,0.0,0.01312,0.0,0.5,0.5,-0.12256,-0.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02414
-0.5356,-0.536,-0.5347,0.0719,-0.0985,-0.3547,0.6064,-0.56,-0.0702,0.2634,0.0518,-0.829,0.125,-1.055,0.0,0.0,-0.2622,-0.2164,0.8325,0.0,-0.4714,-0.4526,-0.697,-0.7,-0.1104,0.84,0.1709,-0.2717,-0.717,0.2285,-0.861,0.538,-0.01366,-0.5396,-0.5366,0.0,0.0,-0.5415,0.0,-0.1312,0.006905,0.0,0.0,0.0,0.0,-0.0815,-1.0,0.5,0.5,-0.02232,-0.2256,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.1449
-0.535,-0.535,-0.534,-0.02228,-0.003109,-0.3547,0.6064,-0.511,0.0379,0.2832,0.04883,3.828,0.125,-1.047,0.0,0.0,-0.275,-0.2383,0.842,0.0,-0.4705,-0.2231,-0.697,-0.7,-0.005817,0.841,0.1907,0.2458,-0.717,-0.272,-0.186,0.2935,0.00392,-0.539,-0.536,0.0,0.0,-0.541,0.0,-0.1238,-0.0245,0.0,0.0,0.0,0.0,0.0631,-1.0,0.5,0.5,-0.10187,-0.12274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11383
