EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.6997,-0.6953,-0.703,0.4253,-0.487,-0.3054,0.793,-0.9795,-0.478,0.2551,0.08386,0.10913,-0.2856,-1.337,-1.0,0.0,-0.2983,-0.1757,0.5376,0.0,-0.325,0.0721,-0.6333,-0.6846,-0.534,0.579,-0.2705,-0.1754,-0.866,-0.3198,0.551,-0.4622,-0.1713,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,-0.03146,-1.064,0.0,1.0,0.0,0.0,-0.03099,-1.0,-1.0,-1.5,0.2429,-0.6763,-0.5,3.0,0.0,0.5,0.0,0.0,0.0,-0.04694
-0.6997,-0.6953,-0.703,-0.4006,0.3499,-0.3054,0.793,-0.893,0.4087,0.5522,0.0788,-2.254,-0.2856,-1.326,0.0,0.0,-0.54,-0.4617,0.5996,0.0,-0.3245,0.01794,-0.6694,-0.699,0.2001,0.59,-0.3132,1.874,-0.866,-0.1754,-0.603,0.1161,-0.02933,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,0.0085,-0.0262,0.0,0.0,0.0,0.0,0.679,-1.0,-0.5,-1.0,-0.4531,0.269,0.0,0.0,0.0,0.5,1.0,0.0,4.047,1.359
-0.6997,-0.6953,-0.703,-0.8145,0.7734,0.2678,0.793,-0.837,0.891,0.7285,0.08374,1.212,-0.2856,-1.316,0.0,0.0,-0.6787,-0.619,0.638,0.0,-0.3242,-0.862,-0.707,-0.7056,0.591,0.6,-0.1716,1.1,-0.866,1.874,-0.3196,0.551,-0.4565,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,0.03308,0.524,0.0,0.0,0.0,0.0,0.2274,-1.0,0.0,-0.5,-0.803,0.746,0.5,0.0,0.0,0.5,1.0,0.0,3.082,0.4475
-0.6997,-0.6953,-0.703,-0.673,0.633,0.2678,0.793,-0.854,0.7773,0.6895,0.08453,-0.009926,-0.2856,-1.306,0.0,0.0,-0.649,-0.584,0.6333,0.0,-0.3237,-0.8604,-0.719,-0.696,0.48,0.6035,0.01717,-0.1675,-0.832,1.1,-0.1753,-0.603,-0.4602,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,0.02989,0.3577,0.0,0.0,0.0,0.0,-0.02863,-1.0,0.0,-1.0,-0.6753,0.5977,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.04108
-0.6997,-0.6953,-0.703,-0.487,0.4468,0.2678,0.793,-0.8267,0.6006,0.6265,0.0843,-0.1076,-0.2856,-1.296,0.0,0.0,-0.596,-0.532,0.624,0.0,-0.3232,-0.8574,-0.691,-0.6934,0.307,0.606,0.0429,-0.3064,-0.8047,-0.1675,1.873,-0.3196,0.1155,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,0.02365,0.301,0.0,0.0,0.0,0.0,-0.02702,-1.0,-0.5,-1.0,-0.492,0.4185,-0.5,2.0,0.0,0.5,0.0,0.0,0.0,-0.03812
-0.6997,-0.6953,-0.703,-0.605,0.5693,0.2678,0.793,-0.775,0.7495,0.682,0.0868,0.36,-0.2856,-1.286,0.0,0.0,-0.637,-0.584,0.638,0.0,-0.3228,-0.9175,-0.657,-0.695,0.448,0.6104,0.2274,0.3882,-0.763,-0.3064,1.099,-0.1753,-0.4626,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,0.03284,0.411,0.0,0.0,0.0,0.0,0.03114,0.0,0.0,-0.5,-0.603,0.5425,0.0,0.0,0.0,0.5,1.0,0.0,1.099,0.0713
-0.6997,-0.6953,-0.703,-1.039,1.015,0.2678,0.793,-0.7056,1.244,0.878,0.0994,0.774,-0.2856,-1.275,0.0,0.0,-0.7856,-0.754,0.6816,0.0,-0.3223,-0.8755,-0.603,-0.6885,0.9233,0.619,0.266,1.213,-0.663,0.3882,-0.1674,1.873,0.11633,-0.7285,-0.703,0.0,0.0,-0.7173,0.0,0.06058,0.8315,1.0,0.0,0.0,0.0,0.1571,0.0,0.0,0.0,-0.9673,1.047,0.5,0.0,0.0,0.5,1.0,0.0,2.725,0.3057
-0.6997,-0.6953,-0.703,-0.822,0.798,0.2678,0.793,-0.698,0.9873,0.8145,0.11304,-0.0933,-0.1428,-1.266,0.0,0.0,-0.736,-0.702,0.672,0.0,-0.3218,-0.595,-0.5522,-0.678,0.7256,0.6235,0.2103,-0.2988,-0.5947,1.214,-0.3062,1.099,0.552,-0.7188,-0.703,0.0,0.0,-0.7173,0.0,0.0543,0.8887,1.0,0.0,0.0,0.0,-0.03955,-1.0,-0.5,0.0,-0.763,0.8267,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.0605
-0.6997,-0.6953,-0.703,-0.68,0.6567,0.2678,0.793,-0.6743,0.8105,0.7754,0.1251,-0.0632,0.0,-1.255,0.0,0.0,-0.7036,-0.671,0.667,0.0,-0.3213,-0.871,-0.5107,-0.6763,0.6187,0.6265,0.4722,-0.1649,-0.547,-0.299,0.388,-0.1674,-0.6035,-0.7134,-0.703,0.0,0.0,-0.7173,0.0,0.05118,0.808,1.0,0.0,0.0,0.0,-0.01787,-1.0,-0.5,-0.5,-0.648,0.662,-0.5,2.0,0.0,0.5,0.0,0.0,0.0,-0.02095
-0.6997,-0.6953,-0.703,-1.358,1.353,0.2678,0.793,-0.53,1.55,1.087,0.1515,1.031,0.1428,-1.245,0.0,0.0,-0.9287,-0.935,0.7344,0.0,-0.3208,-0.3547,-0.4417,-0.643,1.344,0.64,0.661,1.872,-0.4001,-0.1649,1.213,-0.3062,-0.3198,-0.706,-0.703,0.0,0.0,-0.7173,0.0,0.09436,1.227,1.0,0.0,0.0,0.0,0.2988,0.0,0.0,0.0,-1.196,1.475,0.0,0.0,0.0,0.5,1.0,0.0,3.744,0.561
