EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.698,-0.6973,-0.697,-0.997,0.9194,1.295,0.7764,0.173,0.6265,-0.1903,-0.2617,-0.2084,0.857,-1.296,0.0,0.0,0.2,0.1914,-0.1589,0.0,-0.1953,-0.5933,-0.1307,-0.1628,0.506,-0.2443,0.2554,-0.2578,-0.57,0.2238,0.4634,0.471,1.45,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.522,1.216,1.0,0.0,0.0,0.0,-0.03418,0.0,1.5,1.5,-0.9307,0.925,-0.5,1.0,1.0,1.0,0.0,0.0,0.0,-0.1387
-0.698,-0.6973,-0.697,-0.757,0.6763,1.237,0.7764,0.108,0.3218,-0.2208,-0.2515,-0.3638,0.857,-1.296,0.0,0.0,0.2278,0.2289,-0.1836,0.0,-0.1943,-0.4233,-0.1318,-0.1523,0.282,-0.2352,0.1465,-0.38,-0.586,-0.2585,-0.7334,0.2241,1.409,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.5234,0.965,1.0,0.0,0.0,0.0,-0.09937,-1.0,1.0,1.0,-0.7046,0.6826,-0.5,2.0,1.0,1.0,0.0,0.0,0.0,-0.481
-0.698,-0.6973,-0.697,-0.6787,0.5923,1.237,0.913,0.0916,0.1719,-0.2115,-0.2405,-0.2922,0.857,-1.296,0.0,0.0,0.2169,0.2197,-0.1836,0.0,-0.1935,-0.5874,-0.1448,-0.1545,0.1592,-0.2166,0.1128,-0.01732,-0.619,-0.3806,0.2239,0.464,0.4866,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.5234,1.176,1.0,0.0,0.0,0.0,-0.01004,-2.0,0.5,1.0,-0.6274,0.603,-0.5,0.0,1.0,1.0,0.0,0.0,0.0,-0.01267
-0.698,-0.6973,-0.697,-0.326,0.2319,1.237,0.906,0.10803,-0.285,-0.2832,-0.231,-1.927,0.7144,-1.296,-1.0,-1.0,0.294,0.298,-0.233,0.0,-0.1926,0.0902,-0.1644,-0.1649,-0.3386,-0.1896,0.0268,-0.7476,-0.647,-0.01796,-0.2585,-0.7344,0.9194,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.526,0.8696,1.0,0.0,0.0,0.0,-0.1737,-2.0,0.0,1.0,-0.3137,0.2256,-0.5,1.0,1.0,1.0,0.0,0.0,0.0,-0.8765
-0.698,-0.6973,-0.697,0.3057,-0.4019,1.237,0.1776,0.05685,-0.9805,-0.4353,-0.2264,4.32,0.5713,-1.296,-1.0,-1.0,0.4587,0.4763,-0.3318,0.0,-0.1917,1.163,-0.197,-0.1824,-1.072,-0.1754,-0.01016,-1.499,-0.6895,-0.748,-0.3806,0.2241,0.2883,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.5312,0.1454,0.0,0.0,0.0,0.0,-0.09875,-3.0,-0.5,0.5,0.3025,-0.3823,-0.5,2.0,1.0,1.0,0.0,0.0,0.0,-0.4878
-0.698,-0.6973,-0.697,0.0325,-0.1305,1.237,0.1776,-0.03818,-0.7114,-0.3586,-0.2238,-0.2175,0.4285,-1.296,-1.0,-1.0,0.367,0.393,-0.2905,0.0,-0.1908,-0.3918,-0.2451,-0.1965,-0.8354,-0.1703,-0.0868,0.6187,-0.708,-1.5,-0.01796,-0.259,0.4697,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.5293,-0.03348,0.0,0.0,0.0,0.0,0.0739,-2.0,-0.5,0.5,0.04608,-0.1117,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4504
-0.698,-0.6973,-0.697,-0.728,0.6274,1.237,0.1776,-0.08685,0.1181,-0.1333,-0.2185,-1.433,0.4285,-1.296,0.0,0.0,0.125,0.1471,-0.1589,0.0,-0.1898,0.873,-0.31,-0.2169,0.006104,-0.1677,-0.1351,1.992,-0.7285,0.6177,-0.7485,-0.381,0.2231,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.522,0.2944,0.0,0.0,0.0,0.0,0.278,-1.0,-0.5,0.5,-0.638,0.6753,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.558
-0.698,-0.6973,-0.697,-1.102,1.001,1.237,0.1776,-0.1512,0.603,0.00868,-0.2131,2.9,0.4285,-1.296,0.0,0.0,-0.02016,0.00403,-0.07666,0.0,-0.189,0.661,-0.375,-0.2379,0.491,-0.1599,-0.1917,1.191,-0.735,1.991,-1.5,-0.01799,0.4626,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.5176,0.3496,0.0,0.0,0.0,0.0,0.1576,0.0,-0.5,0.5,-0.959,1.079,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.866
-0.698,-0.6973,-0.697,-1.832,1.739,1.392,0.1776,0.02438,1.562,0.2869,-0.2037,1.77,0.4285,-1.296,0.0,0.0,-0.267,-0.2764,0.08795,0.0,-0.1881,2.549,-0.42,-0.2632,1.44,-0.1422,-0.1056,2.344,-0.726,1.19,0.618,-0.7495,-0.7344,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.509,0.651,0.0,0.0,0.0,0.0,0.4146,1.0,0.0,0.5,-1.578,1.874,1.5,0.0,1.0,1.0,0.0,0.0,0.0,2.162
-0.698,-0.6973,-0.697,-1.846,2.004,2.309,0.1776,0.0956,2.387,0.551,-0.1909,0.7295,0.4285,-1.296,0.0,0.0,-0.4866,-0.5146,0.2444,0.0,-0.1871,1.221,-0.457,-0.2896,2.229,-0.1105,-0.09216,2.127,-0.6924,2.344,1.992,-1.502,0.2231,-0.6943,-0.6895,0.0,0.0,-0.691,0.0,-0.5005,0.831,1.0,0.0,0.0,0.0,0.4805,2.0,0.0,0.5,-1.578,2.201,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.389
