EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2457,-0.2449,-0.2467,-0.654,0.6274,2.516,-0.04315,1.011,0.685,0.309,-0.1857,-0.446,0.5713,-1.344,0.0,0.0,-0.2109,-0.3547,0.4424,0.0,-0.327,1.66,-0.1827,-0.2263,0.4094,0.3442,0.2124,-1.424,-0.1772,-1.307,1.128,0.005753,-0.0105,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1656,0.6177,1.0,0.0,0.0,0.0,-0.346,0.0,1.5,1.333,-0.4277,0.8833,-0.5,2.0,1.333,0.5,0.0,0.0,0.0,-1.649
-0.2457,-0.2449,-0.2467,-0.8594,0.8354,2.516,-0.04315,0.997,0.8813,0.392,-0.178,0.429,0.5713,-1.344,0.0,0.0,-0.28,-0.4263,0.5283,0.0,-0.323,0.3223,-0.1766,-0.2189,0.6963,0.3655,0.2573,0.745,-0.1732,-1.422,1.58,0.6377,-0.0328,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1635,0.6724,1.0,0.0,0.0,0.0,0.0362,0.0,1.5,1.333,-0.631,1.09,0.0,0.0,1.333,0.5,0.0,0.0,0.0,0.433
-0.2457,-0.2449,-0.2467,-1.506,1.488,2.516,-0.04315,0.926,1.628,0.6274,-0.1654,1.009,0.7144,-1.344,0.0,0.0,-0.4653,-0.6133,0.727,1.0,-0.3342,1.333,-0.1725,-0.2106,1.524,0.3735,0.2754,2.137,-0.1664,0.744,-1.309,1.126,0.2998,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1573,1.034,1.0,0.0,0.0,0.0,0.72,0.0,1.5,1.333,-1.216,1.8,0.5,0.0,1.333,0.5,1.0,0.0,7.32,4.176
-0.2457,-0.2449,-0.2467,-1.014,0.9897,2.516,-0.04315,0.969,0.9497,0.514,-0.1562,-0.3042,0.7144,-1.344,0.0,0.0,-0.378,-0.5264,0.623,0.0,-0.3306,0.538,-0.1722,-0.2023,0.932,0.408,0.3022,-1.001,-0.1667,2.135,-1.424,1.578,0.428,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1603,0.7275,1.0,0.0,0.0,0.0,-0.2473,-1.0,1.0,1.333,-0.701,1.337,-0.5,1.0,1.333,0.5,0.0,0.0,0.0,-1.076
-0.2457,-0.2449,-0.2467,-1.151,1.13,2.516,-0.04315,1.118,1.0625,0.5913,-0.146,0.2754,0.7144,-1.344,0.0,0.0,-0.426,-0.598,0.704,0.0,-0.327,1.453,-0.173,-0.1935,1.015,0.472,0.08685,0.6675,-0.1658,-1.0,0.7437,-1.311,2.44,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1584,0.7827,1.0,0.0,0.0,0.0,0.3306,0.0,1.0,1.333,-0.8096,1.508,0.0,0.0,1.333,0.5,0.0,0.0,0.0,1.976
-0.2457,-0.2449,-0.2467,-1.658,1.643,2.516,-0.04315,1.251,1.661,0.801,-0.1327,0.7417,0.7144,-1.344,0.0,0.0,-0.566,-0.7656,0.727,1.0,-0.3342,2.988,-0.1785,-0.1857,1.713,0.33,0.12335,1.829,-0.1582,0.667,2.135,-1.426,0.004578,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1532,0.9106,1.0,0.0,0.0,0.0,0.81,1.0,1.0,1.333,-1.242,2.094,0.5,0.0,1.333,0.5,0.0,0.0,0.0,4.445
-0.2457,-0.2449,-0.2467,-1.154,1.133,2.516,-0.04315,1.427,0.9463,0.6826,-0.1215,-0.3203,0.7144,-1.344,0.0,0.0,-0.4724,-0.6904,0.6235,0.0,-0.3306,1.31,-0.1908,-0.1791,1.092,0.3699,0.1086,-0.9995,-0.1569,1.827,-1.002,0.7417,0.6367,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1562,0.701,1.0,0.0,0.0,0.0,-0.3513,0.0,0.5,1.0,-0.731,1.603,-0.5,1.0,1.333,0.5,0.0,0.0,0.0,-1.555
-0.2457,-0.2449,-0.2467,-1.275,1.252,2.516,-0.04315,1.369,1.031,0.76,-0.1099,0.2462,0.7144,-1.344,0.0,0.0,-0.5303,-0.7437,0.703,0.0,-0.327,0.2952,-0.2057,-0.1726,1.206,0.4246,0.01255,0.6562,-0.1547,-0.999,0.666,2.133,1.126,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1543,0.723,1.0,0.0,0.0,0.0,0.2072,0.0,0.5,1.0,-0.917,1.645,0.0,0.0,1.333,0.5,0.0,0.0,0.0,1.265
-0.2457,-0.2449,-0.2467,-1.698,1.775,2.516,-0.04315,1.039,2.186,1.215,-0.09546,1.702,0.7144,-1.344,0.0,0.0,-0.839,-1.026,0.727,1.0,-0.3342,3.342,-0.1829,-0.16,1.968,0.1766,-0.1487,2.697,-0.1372,0.656,1.827,-1.003,1.578,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1428,0.8413,1.0,0.0,0.0,0.0,3.303,1.0,0.5,1.0,-1.452,2.219,0.5,0.0,1.333,0.5,0.0,0.0,0.0,8.445
-0.2457,-0.2449,-0.2467,-1.698,1.775,2.516,-0.04315,1.045,2.186,1.226,-0.0809,0.04016,0.7144,-1.344,0.0,0.0,-0.844,-1.033,0.727,1.0,-0.3342,0.2908,-0.1589,-0.148,1.968,0.2285,0.0871,0.10657,-0.1223,2.695,-1.0,0.664,-1.3125,-0.2408,-0.2487,0.0,0.0,-0.2468,0.0,-0.1426,0.848,1.0,0.0,0.0,0.0,0.02231,1.0,1.0,1.0,-1.452,2.219,1.0,0.0,1.333,0.5,0.0,0.0,0.0,0.2808
