EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2979,-0.2983,-0.2998,0.7017,-0.932,0.5635,-0.553,-0.2632,-0.7495,-1.441,-0.4426,0.547,-0.125,-1.489,-1.0,-1.0,1.719,1.868,-1.22,0.0,-0.1119,-0.01707,-0.3945,-0.3687,-0.6465,-1.134,-0.0922,-0.3962,-0.3972,0.6255,-1.394,-0.4973,0.6045,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2294,-0.0777,0.0,0.0,0.0,0.0,-0.01785,-2.0,-1.0,-0.5,0.8516,-0.755,-0.5,1.0,0.0,1.0,0.0,0.0,0.0,-0.0848
-0.2979,-0.2983,-0.2998,0.8433,-1.07,0.5635,-0.553,-0.2473,-0.9697,-1.488,-0.442,0.5264,-0.125,-1.489,-1.0,-1.0,1.792,1.942,-1.264,0.0,-0.1084,-0.6997,-0.3994,-0.3784,-0.8286,-1.143,-0.1665,-0.5264,-0.3948,-0.396,-0.015564,-1.717,0.475,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2302,-0.1329,0.0,0.0,0.0,0.0,-0.05817,-2.0,-1.5,-0.5,1.001,-0.878,-0.5,2.0,0.0,1.0,0.0,0.0,0.0,-0.3708
-0.2979,-0.2983,-0.2998,0.6074,-0.839,0.5635,-0.553,-0.2429,-0.802,-1.447,-0.4412,-0.074,-0.125,-1.489,-1.0,-1.0,1.7295,1.876,-1.23,0.0,-0.1049,-0.704,-0.3994,-0.3875,-0.675,-1.14,-0.276,0.3708,-0.3933,-0.5264,0.626,-1.393,0.7144,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2294,-0.1057,0.0,0.0,0.0,0.0,0.02579,-1.0,-1.5,-0.5,0.702,-0.7236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2262
-0.2979,-0.2983,-0.2998,0.4968,-0.7334,0.5635,-0.553,-0.4424,-0.691,-1.432,-0.4429,-0.03323,-0.25,-1.489,-1.0,-1.0,1.691,1.865,-1.22,0.0,-0.1014,-0.878,-0.3994,-0.3953,-0.4714,-1.17,-0.2883,0.1124,-0.3926,0.3706,-0.3962,-0.01521,-0.2554,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2289,-0.5674,0.0,0.0,0.0,0.0,0.02397,0.0,-1.0,-0.5,0.574,-0.6416,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.2117
-0.2979,-0.2983,-0.2998,-0.001372,-0.2443,0.5635,-0.553,-0.3938,-0.1458,-1.314,-0.444,-0.8916,-0.375,-1.489,-1.0,-1.0,1.521,1.681,-1.119,0.0,-0.0979,0.632,-0.3994,-0.4023,0.06714,-1.176,-0.3223,1.134,-0.3943,0.1123,-0.5264,0.626,-0.01521,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2267,-0.4153,0.0,0.0,0.0,0.0,0.0936,0.0,-0.5,-0.5,0.1255,-0.1243,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.705
-0.2979,-0.2983,-0.2998,-0.10004,-0.1492,0.5635,-0.553,-0.4167,0.01502,-1.287,-0.4456,-2.928,-0.375,-1.489,0.0,-1.0,1.4795,1.64,-1.097,0.0,-0.0944,-0.3857,-0.3994,-0.4067,0.1862,-1.177,-0.2947,0.2349,-0.3953,1.133,0.3708,-0.3958,-0.4973,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2262,-0.4888,0.0,0.0,0.0,0.0,0.003088,1.0,0.0,-0.5,0.00785,-0.0539,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0617
-0.2979,-0.2983,-0.2998,0.2544,-0.5,0.5635,-0.553,-0.408,-0.2795,-1.372,-0.4495,-3.225,-0.5,-1.489,-1.0,-1.0,1.6045,1.769,-1.175,0.0,-0.0909,-0.541,-0.3994,-0.4067,-0.135,-1.192,-0.1338,-0.888,-0.3965,0.2346,0.1124,-0.526,-1.717,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2277,-0.8916,0.0,0.0,0.0,0.0,-0.0919,1.0,0.0,-1.0,0.38,-0.3694,-0.5,1.0,0.0,1.0,0.0,0.0,0.0,-0.596
-0.2979,-0.2983,-0.2998,0.3796,-0.6265,0.5635,-0.553,-0.3972,-0.3452,-1.405,-0.4536,0.534,-0.625,-1.489,-1.0,-1.0,1.655,1.821,-1.208,0.0,-0.0874,-0.7075,-0.3994,-0.4067,-0.2615,-1.201,-0.00171,-0.3953,-0.3977,-0.888,1.134,0.371,-1.393,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2283,-0.9106,0.0,0.0,0.0,0.0,-0.0446,0.0,0.0,-1.0,0.5205,-0.4736,-0.5,2.0,0.0,1.0,0.0,0.0,0.0,-0.2722
-0.2979,-0.2983,-0.2998,0.7026,-0.9463,0.5635,-0.553,-0.2556,-0.6113,-1.491,-0.459,1.325,-0.75,-1.489,-1.0,-1.0,1.795,1.947,-1.286,0.0,-0.0839,0.001331,-0.397,-0.4067,-0.6143,-1.21,0.002064,-0.9077,-0.3958,-0.3953,0.2349,0.11273,-0.01521,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2297,-1.029,0.0,1.0,0.0,0.0,-0.06088,-1.0,0.0,-1.0,0.852,-0.769,-0.5,3.0,0.0,1.0,0.0,0.0,0.0,-0.3894
-0.2979,-0.2983,-0.2998,1.06,-1.298,0.5635,-0.553,-0.1558,-0.922,-1.588,-0.465,0.824,-0.875,-1.489,-1.0,-1.0,1.956,2.1,-1.376,0.0,-0.08044,0.382,-0.3916,-0.4067,-1.022,-1.221,-0.06586,-1.051,-0.3882,-0.907,-0.888,1.134,0.626,-0.2969,-0.3008,0.0,0.0,-0.3,0.0,-0.2312,-1.088,0.0,1.0,0.0,0.0,-0.05515,-2.0,-0.5,-1.0,1.161,-1.154,-0.5,4.0,0.0,1.0,0.0,0.0,0.0,-0.354
