EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.3826,-0.3818,-0.383,2.434,-2.615,0.9863,-3.002,3.309,-2.121,-1.338,-0.2695,0.0862,-0.857,-1.638,-1.0,-1.0,1.918,1.429,-0.572,0.0,-0.0968,0.2554,-0.4612,-0.4578,-2.074,-0.4448,-0.2554,-0.2683,-0.494,-2.557,0.6914,-2.703,0.7925,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2166,-0.767,0.0,0.0,0.0,0.0,-0.02547,0.0,-1.0,-0.5,2.994,-1.829,-0.5,2.0,-0.5,0.5,0.0,0.0,0.0,-0.2122
-0.3826,-0.3818,-0.383,1.593,-1.749,0.9863,-3.002,3.12,-1.386,-1.199,-0.271,-0.2996,-0.857,-1.638,-1.0,-1.0,1.693,1.227,-0.527,0.0,-0.09595,2.357,-0.4597,-0.4573,-1.345,-0.4534,-0.2028,1.431,-0.499,-0.2678,1.391,0.2136,-2.445,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.216,-0.4934,0.0,0.0,0.0,0.0,0.0635,0.0,-0.5,0.0,2.197,-0.977,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,1.955
-0.3826,-0.3818,-0.383,0.5854,-0.7134,0.9863,-3.002,2.725,-0.363,-0.99,-0.2722,-0.8228,-0.857,-1.638,-1.0,-1.0,1.366,0.9526,-0.4595,0.0,-0.0951,1.921,-0.458,-0.4578,-0.3203,-0.4597,-0.2069,2.1,-0.502,1.43,-2.557,0.691,-0.449,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2148,-0.368,0.0,0.0,0.0,0.0,0.0989,0.0,0.0,0.0,1.1455,-0.06396,0.5,0.0,-0.5,0.5,0.0,0.0,0.0,2.742
-0.3826,-0.3818,-0.383,-0.1753,0.065,1.1875,-3.002,2.352,0.6147,-0.8066,-0.274,-5.043,-0.857,-1.638,0.0,-1.0,1.095,0.7324,-0.3997,0.0,-0.0943,0.39,-0.4568,-0.4587,0.6704,-0.4707,-0.1896,1.791,-0.504,2.1,-0.2683,1.39,-0.8784,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2139,-0.5474,0.0,0.0,0.0,0.0,0.1283,0.0,0.5,0.0,0.4434,0.722,1.0,0.0,-0.5,0.5,1.0,0.0,6.004,3.307
-0.3826,-0.3818,-0.383,-1.059,0.971,2.324,-3.002,2.121,1.865,-0.5547,-0.2754,2.041,-0.857,-1.638,0.0,-1.0,0.768,0.4314,-0.3171,0.0,-0.09344,2.22,-0.4575,-0.4597,2.037,-0.4849,-0.1641,2.389,-0.503,1.79,1.43,-2.555,-0.892,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2126,-0.368,0.0,0.0,0.0,0.0,0.1744,1.0,1.0,0.0,-0.4368,1.566,1.5,0.0,-0.5,0.5,0.0,0.0,0.0,4.215
-0.3826,-0.3818,-0.383,-0.785,0.6885,2.324,-3.002,2.01,1.652,-0.608,-0.2756,0.00873,-0.7144,-1.638,0.0,-1.0,0.8223,0.506,-0.332,0.0,-0.0926,0.8774,-0.4614,-0.461,1.83,-0.4854,-0.0173,-0.4468,-0.5024,2.389,2.1,-0.268,-2.701,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2129,-0.1515,0.0,0.0,0.0,0.0,-0.03928,1.0,1.0,0.0,-0.172,1.295,-0.5,1.0,-0.5,0.5,0.0,0.0,0.0,-0.478
-0.3826,-0.3818,-0.383,-0.3677,0.258,2.324,-3.002,2.049,1.242,-0.7075,-0.2761,-0.1329,-0.5713,-1.638,0.0,-1.0,0.9453,0.628,-0.362,0.0,-0.09174,0.913,-0.468,-0.463,1.448,-0.488,-0.00346,-0.8735,-0.5024,-0.4463,1.79,1.429,0.2139,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2134,-0.1986,0.0,0.0,0.0,0.0,-0.04727,0.0,0.5,0.0,0.2356,0.885,-0.5,2.0,-0.5,0.5,0.0,0.0,0.0,-0.6523
-0.3826,-0.3818,-0.383,-0.732,0.6343,2.324,-3.002,1.924,1.718,-0.5967,-0.276,0.5293,-0.4285,-1.638,0.0,-1.0,0.802,0.4993,-0.3245,0.0,-0.0909,1.688,-0.4775,-0.4646,1.98,-0.4883,-0.00692,1.049,-0.501,-0.8726,2.389,2.098,0.691,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2128,0.01165,0.0,0.0,0.0,0.0,0.03662,0.0,0.5,0.5,-0.1155,1.248,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,1.15
-0.3826,-0.3818,-0.383,0.284,-0.4119,2.324,-3.002,2.145,0.5474,-0.8594,-0.2761,-0.5967,-0.2856,-1.638,0.0,-1.0,1.1455,0.82,-0.407,0.0,-0.0901,0.683,-0.4912,-0.4658,0.833,-0.4897,-0.02975,-2.346,-0.501,1.049,-0.4465,1.788,1.389,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.214,-0.1515,0.0,0.0,0.0,0.0,-0.1047,-1.0,0.0,0.5,0.786,0.1532,-0.5,1.0,-0.5,0.5,0.0,0.0,0.0,-1.865
-0.3826,-0.3818,-0.383,1.002,-1.154,2.324,-3.002,2.023,-0.394,-1.051,-0.2754,-1.445,-0.2856,-1.638,-1.0,-1.0,1.393,1.098,-0.467,0.0,-0.08923,3.383,-0.499,-0.4683,-0.1954,-0.4768,0.05328,-1.791,-0.5044,-2.344,-0.873,2.387,-2.553,-0.3774,-0.39,0.0,0.0,-0.385,0.0,-0.2148,0.1444,0.0,0.0,0.0,0.0,-0.1172,-2.0,0.0,0.5,1.568,-0.4666,-0.5,2.0,-0.5,0.5,0.0,0.0,0.0,-2.227
