EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.543,-0.542,-0.5435,0.698,-0.7144,1.491,-1.743,2.807,-0.9316,-0.1555,-0.1516,3.557,-0.125,-1.233,-1.0,0.0,0.32,-0.015564,0.02959,0.0,-0.2257,1.005,-0.5327,-0.563,-0.9824,0.1858,-0.141,-1.244,-0.5938,0.501,-2.018,-2.68,-2.127,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3801,-0.01787,0.0,0.0,0.0,0.0,-0.0876,0.0,-0.5,-0.5,1.323,-0.03778,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,-0.5137
-0.543,-0.542,-0.5435,0.43,-0.4548,1.491,-1.743,2.736,-0.7456,-0.0975,-0.1492,-0.11505,-0.125,-1.225,-1.0,0.0,0.2585,-0.0714,0.06946,0.0,-0.2233,0.6353,-0.535,-0.5723,-0.851,0.204,-0.1438,0.5063,-0.5933,-1.244,2.596,-0.995,-0.2437,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.379,0.03076,0.0,0.0,0.0,0.0,0.03717,1.0,0.0,0.0,0.963,0.1113,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.2218
-0.543,-0.542,-0.5435,0.0891,-0.12146,1.491,-1.743,2.547,-0.3845,-0.01147,-0.1497,-0.502,-0.25,-1.217,-1.0,0.0,0.1637,-0.1473,0.1293,0.0,-0.221,2.006,-0.548,-0.571,-0.54,0.2098,-0.3074,0.7544,-0.595,0.5063,0.501,-2.018,1.223,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.377,-0.1505,0.0,0.0,0.0,0.0,0.09045,2.0,0.0,0.0,0.4934,0.293,2.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.536
-0.543,-0.542,-0.5435,-0.513,0.463,1.491,-1.743,2.28,0.3982,0.1597,-0.1534,-3.02,-0.25,-1.208,0.0,0.0,-0.01331,-0.3,0.2489,0.0,-0.2185,1.594,-0.555,-0.568,0.217,0.197,-0.392,1.493,-0.5938,0.7544,-1.243,2.596,0.4807,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.373,-0.4026,0.0,0.0,0.0,0.0,0.473,2.0,0.0,0.0,-0.1282,0.822,3.0,0.0,-0.5,0.0,0.0,0.0,0.0,2.773
-0.543,-0.542,-0.5435,0.67,-0.696,1.491,-1.743,2.701,-0.808,-0.1569,-0.1577,-2.66,-0.375,-1.2,-1.0,0.0,0.3152,-0.007534,0.02959,0.0,-0.2162,3.625,-0.5625,-0.5684,-0.877,0.1661,-0.409,-2.68,-0.6133,1.493,0.5063,0.501,0.0,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3806,-0.4553,0.0,0.0,0.0,0.0,-0.9365,1.0,0.0,0.0,1.149,-0.1697,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,-5.38
-0.543,-0.542,-0.5435,0.83,-0.8516,1.491,-1.743,2.771,-0.946,-0.2151,-0.1626,0.367,-0.5,-1.191,-1.0,0.0,0.3777,0.0495,-0.01029,0.0,-0.2137,2.451,-0.56,-0.568,-0.8643,0.12134,-0.11847,-0.5063,-0.612,-2.68,0.754,-1.243,-2.68,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3813,-0.4805,0.0,0.0,0.0,0.0,-0.1703,1.0,0.0,0.0,1.27,-0.3574,0.0,2.0,-0.5,0.0,0.0,0.0,0.0,-1.016
-0.543,-0.542,-0.5435,0.8677,-0.891,1.491,-1.743,2.719,-0.9155,-0.2446,-0.1698,0.1017,-0.625,-1.184,-1.0,0.0,0.4045,0.0843,-0.03023,0.0,-0.2114,0.3145,-0.5483,-0.567,-0.8887,0.1045,-0.02539,-0.255,-0.614,-0.5063,1.492,0.5063,-0.995,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3813,-0.691,0.0,0.0,0.0,0.0,-0.0419,0.0,0.0,-0.5,1.297,-0.405,0.0,3.0,-0.5,0.0,0.0,0.0,0.0,-0.252
-0.543,-0.542,-0.5435,1.565,-1.58,1.491,-1.743,2.666,-1.529,-0.4458,-0.1803,1.011,-0.75,-1.184,-1.0,-1.0,0.611,0.3083,-0.1698,0.0,-0.209,1.096,-0.5303,-0.5664,-1.602,0.0856,0.189,-1.791,-0.599,-0.255,-2.68,0.754,-2.018,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3813,-0.9165,0.0,0.0,0.0,0.0,-0.164,-1.0,0.0,-1.0,2.076,-0.9707,0.0,4.0,-0.5,0.0,0.0,0.0,0.0,-0.9893
-0.543,-0.542,-0.5435,1.652,-1.668,1.491,-1.743,2.812,-1.531,-0.5034,-0.1917,0.1444,-0.875,-1.184,-1.0,-1.0,0.6816,0.3645,-0.2096,0.0,-0.2067,1.484,-0.502,-0.56,-1.631,0.04755,-0.10156,-0.525,-0.574,-1.791,-0.5063,1.492,2.596,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3813,-0.9526,0.0,0.0,0.0,0.0,-0.0902,-2.0,-0.5,-1.0,2.035,-1.184,0.0,5.0,-0.5,0.0,0.0,0.0,0.0,-0.558
-0.543,-0.542,-0.5435,1.278,-1.301,0.1697,-1.743,2.484,-1.164,-0.4465,-0.1976,-0.153,-0.875,-1.184,-1.0,-1.0,0.6006,0.3208,-0.1698,0.0,-0.2042,-0.007076,-0.474,-0.5454,-1.26,0.02257,-0.2002,0.529,-0.581,-0.525,-0.255,-2.68,0.501,-0.5405,-0.543,0.0,0.0,-0.544,0.0,-0.3813,-0.618,0.0,0.0,0.0,0.0,0.09845,-1.0,-0.5,-0.5,1.646,-0.853,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.614
