EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.593,-0.588,-0.598,-2.287,2.389,4.74,-0.9556,3.266,3.06,3.725,1.972,-0.132,0.7144,-1.0,0.0,0.0,-2.158,-2.918,0.9756,0.0,-0.597,4.215,1.343,1.482,2.75,0.4895,0.4556,-1.248,2.244,3.549,3.56,1.669,-0.02588,-0.503,-0.687,0.0,0.0,-0.6094,0.0,0.544,0.907,1.0,0.0,0.0,0.0,-0.806,1.0,0.5,0.5,-1.745,3.002,-0.5,1.0,1.0,1.0,0.0,0.0,0.0,-1.017
-0.5815,-0.5767,-0.5864,-1.879,2.05,4.74,-1.33,3.975,1.346,3.725,1.998,-0.6084,0.7144,-0.991,0.0,0.0,-2.158,-2.918,0.678,0.0,-0.5967,4.27,1.524,1.624,1.05,0.552,0.6426,-3.236,2.23,-1.248,3.56,1.69,0.619,-0.4731,-0.673,0.0,0.0,-0.595,0.0,0.356,0.3164,0.0,0.0,0.0,0.0,-2.105,0.0,0.0,0.0,-0.718,3.002,-0.5,2.0,1.0,1.0,0.0,0.0,0.0,-2.73
-0.566,-0.5615,-0.5713,-2.287,2.389,4.74,-1.33,3.47,2.254,3.725,2.004,0.87,0.7144,-0.9824,0.0,0.0,-2.158,-2.918,0.7954,0.0,-0.5967,4.23,1.686,1.735,1.968,0.5645,1.189,2.008,2.238,-3.236,3.56,3.559,-0.979,-0.4412,-0.657,0.0,0.0,-0.5786,0.0,0.426,0.1338,0.0,0.0,0.0,0.0,0.3677,0.0,0.5,0.0,-1.333,3.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5347
-0.5444,-0.5396,-0.5503,-2.287,2.389,4.74,-1.33,3.184,3.06,3.725,2.049,0.7812,0.7144,-0.9736,0.0,0.0,-2.158,-2.918,0.991,0.0,-0.596,3.03,1.919,1.857,2.75,0.6206,2.264,3.21,2.246,2.008,-1.248,3.559,-2.098,-0.4026,-0.6396,0.0,0.0,-0.555,0.0,0.541,0.599,0.0,0.0,0.0,0.0,1.443,0.0,1.0,0.5,-1.745,3.002,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0
-0.529,-0.5234,-0.5347,-2.287,2.389,4.74,-1.33,3.586,2.332,3.725,2.086,-0.2235,0.7144,-0.965,0.0,0.0,-2.158,-2.918,0.892,0.0,-0.5957,4.27,2.145,1.96,1.888,0.661,3.309,-1.547,2.135,3.209,-3.234,3.559,-1.861,-0.3816,-0.623,0.0,0.0,-0.535,0.0,0.4763,0.452,0.0,0.0,0.0,0.0,-0.552,-1.0,1.0,0.5,-1.15,3.002,-0.5,1.0,1.0,1.0,0.0,0.0,0.0,-0.7124
-0.514,-0.5083,-0.52,-2.266,2.389,4.74,-1.33,3.578,2.207,3.725,2.121,0.0967,0.7144,-0.956,0.0,0.0,-2.158,-2.918,0.917,0.0,-0.5957,1.785,2.271,2.008,1.981,0.6733,3.309,0.3682,2.012,-1.546,2.006,-1.247,1.669,-0.3748,-0.6084,0.0,0.0,-0.516,0.0,0.4902,0.445,0.0,0.0,0.0,0.0,0.033,0.0,1.0,0.5,-1.088,3.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0434
-0.4873,-0.481,-0.494,-2.287,2.389,4.74,-1.33,3.312,3.06,3.725,2.193,1.193,0.7144,-0.9473,0.0,0.0,-2.158,-2.918,1.057,1.0,-0.5977,3.205,2.426,2.06,2.75,0.588,3.268,3.533,2.13,0.3682,3.209,-3.234,1.69,-0.3638,-0.59,0.0,0.0,-0.4912,0.0,0.6826,0.743,0.0,0.0,0.0,0.0,2.48,1.0,1.0,1.0,-1.745,3.002,0.5,0.0,1.0,1.0,1.0,0.0,8.16,3.283
-0.4624,-0.4556,-0.4695,-2.287,2.389,4.74,-1.33,3.576,3.06,3.725,2.277,0.02574,0.7144,-0.9385,0.0,0.0,-2.158,-2.918,1.057,1.0,-0.5977,4.27,2.602,2.17,2.75,0.642,2.48,0.3086,2.328,3.549,-1.546,2.006,3.557,-0.347,-0.573,0.0,0.0,-0.4705,0.0,0.691,0.908,1.0,0.0,0.0,0.0,0.1587,1.0,1.0,1.5,-1.745,3.002,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1848
-0.4407,-0.4343,-0.4475,-2.287,2.389,4.74,-1.33,3.826,2.912,3.725,2.371,-0.1054,0.857,-0.9297,0.0,0.0,-2.158,-2.918,1.034,0.0,-0.597,4.023,2.791,2.36,2.514,0.721,1.081,-0.3723,2.549,0.3086,0.368,3.207,3.557,-0.3135,-0.557,0.0,0.0,-0.4568,0.0,0.669,1.007,1.0,0.0,0.0,0.0,-0.2325,0.0,0.5,1.5,-1.745,3.002,-0.5,1.0,1.0,1.0,0.0,0.0,0.0,-0.2764
-0.434,-0.4285,-0.44,-0.89,1.081,4.74,-1.33,4.266,0.0176,3.725,2.424,-0.935,0.857,-0.921,0.0,0.0,-2.158,-2.918,0.7344,0.0,-0.5967,4.27,2.863,2.541,-0.2129,0.7505,-0.4602,-3.236,2.502,-0.372,3.56,-1.545,3.557,-0.3064,-0.545,0.0,0.0,-0.4458,0.0,0.466,0.511,0.0,0.0,0.0,0.0,-2.209,0.0,0.0,1.0,0.4387,2.418,-0.5,2.0,1.0,1.0,0.0,0.0,0.0,-2.62
-0.4204,-0.4155,-0.4255,-1.901,2.06,4.74,-1.33,4.266,1.034,3.725,2.486,10.96,0.857,-0.912,0.0,0.0,-2.158,-2.918,0.911,0.0,-0.5967,4.27,2.828,2.688,1.033,0.774,0.0313,2.969,2.506,-3.236,0.3086,0.3674,-1.247,-0.2993,-0.5283,0.0,0.0,-0.4307,0.0,0.5747,0.5806,0.0,0.0,0.0,0.0,2.154,0.0,0.5,1.0,-0.5967,3.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.852
-0.4065,-0.4023,-0.4106,-1.941,2.07,4.74,-1.33,4.266,0.9995,3.725,2.531,0.11993,0.857,-0.9033,0.0,0.0,-2.158,-2.918,0.949,0.0,-0.596,1.911,2.78,2.822,0.894,0.827,2.299,0.5825,2.51,2.967,-0.372,3.559,-3.232,-0.2842,-0.512,0.0,0.0,-0.4155,0.0,0.596,0.4773,0.0,0.0,0.0,0.0,0.196,0.0,1.0,1.0,-0.8003,3.002,0.5,0.0,1.0,1.0,1.0,0.0,8.16,0.2405
-0.4006,-0.397,-0.4045,-0.749,0.873,4.74,-1.33,4.266,-0.379,3.725,2.531,-1.276,0.7144,-0.8945,-1.0,0.0,-2.158,-2.918,0.788,0.0,-0.5957,2.016,2.65,2.9,-0.4844,0.839,1.784,-2.545,2.387,0.5825,-3.234,0.3079,2.006,-0.2808,-0.4983,0.0,0.0,-0.4028,0.0,0.4812,0.06183,0.0,0.0,0.0,0.0,-2.154,-1.0,0.5,0.5,0.327,1.952,-0.5,1.0,1.0,1.0,0.0,1.0,-8.19,-2.63
-0.3975,-0.3938,-0.4016,-0.3523,0.479,4.74,-1.33,4.266,-0.6777,3.725,2.5,1.318,0.5713,-0.8857,-1.0,0.0,-2.158,-2.918,0.742,0.0,-0.5957,4.27,2.475,2.9,-0.836,0.8374,0.4875,-0.7905,2.13,-2.545,2.967,-0.3723,3.205,-0.2996,-0.484,0.0,0.0,-0.3892,0.0,0.447,-0.2585,0.0,0.0,0.0,0.0,-0.3,-1.0,0.0,0.0,0.6934,1.562,-0.5,2.0,1.0,-2.0,0.0,0.0,0.0,-0.3904
-0.399,-0.395,-0.403,0.4119,-0.2769,4.74,-1.33,4.266,-1.3955,3.725,2.467,1.534,0.4285,-0.877,-1.0,0.0,-2.158,-2.918,0.642,0.0,-0.595,4.184,2.295,2.822,-1.593,0.8325,1.161,-1.713,1.71,-0.7905,0.582,-3.234,-1.544,-0.326,-0.4714,0.0,0.0,-0.3757,0.0,0.3787,-0.285,0.0,0.0,0.0,0.0,-0.4133,-1.0,0.0,0.0,1.301,0.706,-0.5,3.0,1.0,-2.0,0.0,0.0,0.0,-0.5464
-0.4067,-0.4028,-0.4111,1.599,-1.453,4.74,-2.045,4.266,-2.607,3.725,2.447,1.203,0.2856,-0.8687,-1.0,0.0,-2.146,-2.918,0.4895,0.0,-0.5947,4.27,2.102,2.668,-2.742,0.823,0.9263,-2.71,1.354,-1.712,-2.545,2.965,0.3677,-0.3606,-0.4622,0.0,0.0,-0.3672,0.0,0.2715,-0.1398,0.0,0.0,0.0,0.0,-1.701,-2.0,-0.5,0.0,2.52,-0.3271,-0.5,4.0,1.0,-1.0,0.0,0.0,0.0,-2.338
-0.4106,-0.4062,-0.415,0.8374,-0.6855,4.74,-2.045,4.266,-1.956,3.725,2.426,-0.1372,0.1428,-0.86,-1.0,0.0,-2.158,-2.918,0.5674,0.0,-0.594,4.27,1.759,2.43,-1.786,0.778,-1.617,1.433,0.9956,-2.709,-0.79,0.5815,3.557,-0.3713,-0.4526,0.0,0.0,-0.359,0.0,0.3145,-0.181,0.0,0.0,0.0,0.0,1.314,-2.0,-0.5,0.0,1.674,0.2793,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.929
-0.4155,-0.411,-0.4202,1.053,-0.8916,4.74,-2.045,4.266,-2.094,3.725,2.379,0.2382,0.0,-0.851,-1.0,0.0,-2.158,-2.918,0.5327,0.0,-0.594,2.08,1.423,2.15,-2.004,0.769,-2.156,-0.653,0.859,1.433,-1.712,-2.543,0.308,-0.3955,-0.4465,0.0,0.0,-0.3555,0.0,0.2898,-0.4934,0.0,0.0,0.0,0.0,-0.1399,-2.0,-1.0,-0.5,1.835,0.03592,-0.5,1.0,1.0,-1.0,0.0,0.0,0.0,-0.1979
