EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-1.427,-1.426,-1.424,0.6265,-0.674,0.1896,-1.149,1.906,-0.6196,-1.26,-0.171,0.5884,-0.5,-1.286,-1.0,-1.0,1.815,1.54,0.2866,0.0,-0.447,0.002796,-0.6455,-0.6816,-0.4841,0.311,-0.1437,-0.5137,-0.796,1.878,-0.8877,-2.668,0.59,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6875,-0.3938,0.0,0.0,0.0,0.0,-0.03342,-1.0,-1.0,-0.5,1.018,-0.2405,-0.5,1.0,-0.5,0.5,0.0,0.0,0.0,-0.4465
-1.427,-1.426,-1.424,0.03537,-0.08594,0.1896,-1.149,1.825,-0.00938,-1.145,-0.1709,-1.161,-0.375,-1.286,0.0,-1.0,1.608,1.343,0.3276,0.0,-0.4465,1.751,-0.641,-0.6816,0.1841,0.3076,-0.111,1.317,-0.7974,-0.513,1.225,-0.702,-1.516,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6855,-0.0983,0.0,0.0,0.0,0.0,0.0521,0.0,-0.5,0.0,0.4194,0.303,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.321
-1.427,-1.426,-1.424,-0.9434,0.8877,0.554,-1.149,1.605,1.177,-0.915,-0.1705,19.27,-0.375,-1.286,0.0,-1.0,1.2295,0.99,0.4094,0.0,-0.4463,1.988,-0.638,-0.6816,1.37,0.3105,-0.0793,2.57,-0.796,1.316,1.878,-0.887,-1.261,-1.407,-1.431,1.0,-1.0,-1.42,0.0,-0.6807,0.01895,0.0,0.0,0.0,0.0,0.1948,1.0,0.0,0.0,-0.473,1.305,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,4.15
-1.427,-1.426,-1.424,-1.1875,1.131,0.991,-1.149,1.529,1.599,-0.829,-0.17,0.515,-0.375,-1.286,0.0,-1.0,1.099,0.8687,0.44,0.0,-0.446,1.503,-0.6377,-0.6816,1.707,0.318,-0.09564,0.895,-0.792,2.566,-0.513,1.226,0.783,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.679,0.01895,0.0,0.0,0.0,0.0,0.0981,1.0,0.0,0.0,-0.7056,1.545,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,2.074
-1.427,-1.426,-1.424,-1.288,1.231,1.275,-1.149,1.516,1.867,-0.7715,-0.1697,0.3142,-0.375,-1.286,0.0,-1.0,1.017,0.7876,0.4604,0.0,-0.4458,1.056,-0.6387,-0.681,2.031,0.316,-0.0843,0.577,-0.787,0.894,1.316,1.879,-0.175,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6777,0.01895,0.0,0.0,0.0,0.0,0.02202,1.0,0.5,0.0,-0.8545,1.588,1.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.621
-1.427,-1.426,-1.424,-1.268,1.212,1.416,-1.149,1.404,1.911,-0.742,-0.1683,0.1576,-0.375,-1.286,0.0,-1.0,0.968,0.755,0.4707,0.0,-0.4456,0.4326,-0.641,-0.6807,2.031,0.3206,0.0154,0.2751,-0.783,0.5767,2.566,-0.5127,-2.666,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6772,0.2815,0.0,0.0,0.0,0.0,0.00462,2.0,1.0,0.5,-0.8823,1.519,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295
-1.427,-1.426,-1.424,-0.9175,0.8643,1.416,-1.149,1.382,1.48,-0.799,-0.1669,-0.11536,-0.25,-1.286,0.0,-1.0,1.045,0.836,0.4502,0.0,-0.4453,0.6636,-0.645,-0.68,1.746,0.325,0.05258,-0.6016,-0.7803,0.275,0.894,1.317,-0.701,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.678,0.3853,0.0,0.0,0.0,0.0,-0.04388,1.0,1.0,0.5,-0.5503,1.175,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.5854
-1.427,-1.426,-1.424,-0.4165,0.3665,1.416,-1.149,1.574,0.8984,-0.898,-0.1661,-0.2944,-0.125,-1.286,0.0,-1.0,1.201,0.967,0.4146,0.0,-0.445,3.02,-0.6504,-0.6807,1.115,0.331,0.09424,-1.054,-0.7793,-0.601,0.5767,2.568,-0.886,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.68,0.11707,0.0,0.0,0.0,0.0,-0.1246,0.0,1.0,0.0,-0.01666,0.743,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,-2.074
-1.427,-1.426,-1.424,0.05902,-0.1065,1.416,-1.149,1.61,0.3525,-0.997,-0.1658,-0.506,0.0,-1.286,0.0,-1.0,1.3545,1.116,0.3787,0.0,-0.4448,0.1245,-0.6553,-0.681,0.579,0.3315,0.0807,-1.08,-0.7793,-1.053,0.275,0.895,1.224,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.682,-0.01712,0.0,0.0,0.0,0.0,-0.04202,-1.0,0.5,0.0,0.3525,0.1891,-0.5,3.0,0.0,0.0,0.0,0.0,0.0,-0.573
-1.427,-1.426,-1.424,0.512,-0.558,1.416,-1.149,1.517,-0.261,-1.096,-0.1646,-1.488,0.0,-1.286,-1.0,-1.0,1.505,1.283,0.343,0.0,-0.4443,1.272,-0.6553,-0.6816,-0.02202,0.3364,0.0426,-1.108,-0.7803,-1.079,-0.601,0.5776,1.877,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.684,0.296,0.0,0.0,0.0,0.0,-0.05542,-2.0,0.0,0.0,0.8213,-0.2172,-0.5,4.0,0.0,0.0,0.0,0.0,0.0,-0.847
-1.427,-1.426,-1.424,0.019,-0.06885,1.416,-1.149,1.426,0.1098,-0.9937,-0.1625,-2.21,0.125,-1.286,0.0,-1.0,1.336,1.124,0.3787,0.0,-0.444,1.634,-0.6553,-0.6816,0.4011,0.3433,0.0598,1.101,-0.7817,-1.107,-1.053,0.2756,-0.5117,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.682,0.5303,0.0,0.0,0.0,0.0,0.0306,-2.0,0.5,0.5,0.3538,0.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838
-1.427,-1.426,-1.424,-0.1014,0.0486,1.416,-1.149,1.255,0.0714,-0.963,-0.1599,-0.09924,0.25,-1.286,0.0,-1.0,1.276,1.089,0.389,0.0,-0.4438,0.3271,-0.6553,-0.6816,0.2468,0.3633,0.0317,0.2927,-0.7817,1.1,-1.079,-0.6006,1.315,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6816,0.7134,0.0,0.0,0.0,0.0,0.003952,-1.0,0.5,1.0,0.1985,0.3406,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3005
-1.427,-1.426,-1.424,-0.0856,0.03125,1.416,-1.149,1.182,-0.0751,-0.961,-0.158,-0.9717,0.375,-1.286,0.0,-1.0,1.269,1.091,0.389,0.0,-0.4436,0.7554,-0.6455,-0.6816,-0.05807,0.3843,-0.03534,-0.01854,-0.7812,0.2925,-1.107,-1.053,2.566,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6816,0.605,0.0,0.0,0.0,0.0,-0.01224,-1.0,0.0,0.5,0.1316,0.2374,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.01233
-1.427,-1.426,-1.424,-0.7817,0.7236,1.416,-1.149,1.084,0.6406,-0.7876,-0.1559,20.31,0.5,-1.286,0.0,-1.0,1.008,0.842,0.4502,0.0,-0.4434,1.482,-0.635,-0.678,0.586,0.3997,-0.06433,1.836,-0.779,-0.01854,1.1,-1.079,0.894,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.678,0.6216,0.0,0.0,0.0,0.0,0.12006,0.0,0.0,0.5,-0.4844,0.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.525
-1.427,-1.426,-1.424,-1.251,1.189,1.416,-1.149,1.082,1.132,-0.644,-0.1531,0.91,0.625,-1.286,0.0,-1.0,0.8145,0.6455,0.5015,0.0,-0.443,0.9883,-0.6255,-0.673,1.129,0.4114,-0.08154,1.46,-0.7734,1.834,0.2925,-1.107,0.5767,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.6753,0.865,1.0,0.0,0.0,0.0,0.07404,1.0,0.0,1.0,-0.9336,1.427,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.572
-1.427,-1.426,-1.424,-1.071,1.011,1.416,-1.149,0.99,0.8843,-0.658,-0.1509,-0.10187,0.625,-1.286,0.0,-1.0,0.826,0.671,0.4963,0.0,-0.4429,0.2029,-0.618,-0.6665,0.8853,0.4229,-0.08704,-0.1614,-0.773,1.459,-0.01854,1.101,0.2751,-1.407,-1.431,0.0,0.0,-1.42,0.0,-0.676,0.721,0.0,0.0,0.0,0.0,-0.02039,0.0,-0.5,0.5,-0.866,1.142,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.1569
