EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.3035,-0.304,-0.3027,-0.9155,0.683,0.953,-0.1672,0.1416,1.173,1.268,-0.1844,0.3325,-0.2856,-1.556,0.0,0.0,-0.9473,-1.13,0.44,0.0,-0.1431,-0.2688,-0.3984,-0.4055,0.822,0.355,0.04373,0.497,-0.4365,-0.02821,0.7695,3.223,-1.981,-0.3044,-0.303,0.0,0.0,-0.3035,0.0,-0.1774,0.1824,0.0,0.0,0.0,0.0,0.01646,0.0,0.0,-0.5,-0.5522,0.995,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.411
-0.3032,-0.3037,-0.3025,-0.8223,0.5923,0.953,-0.1672,0.0572,1.064,1.255,-0.1829,0.0452,-0.1428,-1.546,0.0,0.0,-0.952,-1.107,0.44,0.0,-0.1417,-0.2688,-0.3984,-0.4111,0.7207,0.366,0.0283,-0.02829,-0.4329,0.497,-0.2893,1.624,0.848,-0.3037,-0.3032,0.0,0.0,-0.3035,0.0,-0.1774,0.4153,0.0,0.0,0.0,0.0,-0.01593,-1.0,-0.5,-0.5,-0.4937,0.876,-0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.01868
-0.303,-0.3035,-0.3022,-0.8403,0.6104,0.953,-0.08514,0.0338,1.096,1.283,-0.1815,0.1681,0.0,-1.535,0.0,0.0,-0.9736,-1.124,0.454,0.0,-0.1404,-0.5083,-0.398,-0.4111,0.8115,0.3699,0.05075,0.2313,-0.4312,-0.02821,-0.02823,0.768,-0.02774,-0.3032,-0.3032,0.0,0.0,-0.3032,0.0,-0.1771,0.3767,0.0,0.0,0.0,0.0,-0.01043,-1.0,0.0,-0.5,-0.5376,0.864,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0534
-0.3027,-0.3032,-0.302,-0.7544,0.5264,0.953,-0.08514,0.017,0.9707,1.269,-0.1796,0.02293,0.1428,-1.525,0.0,0.0,-0.967,-1.11,0.454,0.0,-0.139,-0.03766,-0.392,-0.4111,0.6646,0.386,0.07465,-0.02829,-0.4287,0.2313,0.497,-0.289,-0.02774,-0.3032,-0.303,0.0,0.0,-0.3032,0.0,-0.1772,0.584,0.0,0.0,0.0,0.0,-0.01593,-1.0,0.0,-0.5,-0.546,0.6836,-0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.01868
-0.3027,-0.3032,-0.302,-0.5225,0.2969,0.953,-0.08514,-0.0751,0.6035,1.192,-0.1765,-0.2374,0.2856,-1.516,0.0,0.0,-0.931,-1.04,0.433,0.0,-0.1377,-0.02937,-0.3845,-0.4111,0.2922,0.4065,0.1687,-0.4153,-0.4268,-0.02821,-0.02823,-0.02824,-1.459,-0.3032,-0.303,0.0,0.0,-0.3032,0.0,-0.1779,1.062,1.0,0.0,0.0,0.0,-0.0559,-1.0,0.0,-0.5,-0.3528,0.4358,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,-0.54
-0.3027,-0.3032,-0.302,-0.0923,-0.12427,0.953,-0.08514,-0.002209,0.04984,1.033,-0.1747,-0.718,0.4285,-1.505,0.0,0.0,-0.815,-0.934,0.3838,0.0,-0.1365,0.4753,-0.3787,-0.411,-0.2007,0.4128,0.04303,-0.9395,-0.427,-0.4153,0.2314,0.4963,3.227,-0.3032,-0.303,0.0,0.0,-0.303,0.0,-0.1788,0.627,0.0,0.0,0.0,0.0,-0.04254,-2.0,-0.5,-1.0,0.0838,0.06665,-0.5,2.0,0.5,0.0,0.0,0.0,0.0,-0.3687
-0.3027,-0.3032,-0.302,0.08765,-0.3008,0.953,-0.08514,0.07733,-0.2336,0.9565,-0.1732,-1.755,0.4285,-1.495,-1.0,0.0,-0.751,-0.8887,0.3628,0.0,-0.1351,0.4885,-0.375,-0.4072,-0.4053,0.4148,-0.03278,-0.427,-0.4268,-0.9395,-0.02823,-0.02824,1.626,-0.3032,-0.303,0.0,0.0,-0.303,0.0,-0.1792,0.5024,0.0,0.0,0.0,0.0,-0.03128,-2.0,-1.0,-1.0,0.2678,-0.08655,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,-0.2247
-0.3027,-0.3032,-0.302,0.6006,-0.8022,0.953,-0.1338,0.2532,-0.851,0.7583,-0.1726,6.035,0.4285,-1.484,-1.0,0.0,-0.5835,-0.7593,0.2993,0.0,-0.1338,1.535,-0.3748,-0.405,-0.892,0.406,-0.07697,-1.235,-0.427,-0.427,-0.4153,0.231,0.769,-0.3037,-0.303,0.0,0.0,-0.303,0.0,-0.1805,0.1847,0.0,0.0,0.0,0.0,-0.1327,-3.0,-1.5,-1.0,0.732,-0.5884,-0.5,4.0,0.5,0.0,0.0,0.0,0.0,-1.6
-0.3027,-0.3032,-0.302,0.03195,-0.252,0.953,-0.1338,0.2693,-0.4238,0.9346,-0.17,-0.5103,0.4285,-1.475,-1.0,0.0,-0.707,-0.9033,0.3628,0.0,-0.1324,0.978,-0.3762,-0.4033,-0.3074,0.4033,-0.07556,1.212,-0.427,-1.235,-0.9395,-0.02824,-0.2888,-0.3037,-0.3032,0.0,0.0,-0.303,0.0,-0.1794,0.713,0.0,0.0,0.0,0.0,0.112,-2.0,-1.0,-0.5,0.1317,-0.1327,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.763
-0.3027,-0.3032,-0.302,0.0888,-0.31,0.953,-0.1338,0.0983,-0.521,0.9004,-0.17,0.4912,0.2856,-1.465,-1.0,0.0,-0.7085,-0.848,0.3557,0.0,-0.1311,-0.243,-0.38,-0.401,-0.4985,0.4185,-0.0805,-0.1624,-0.428,1.212,-0.427,-0.4148,-0.02774,-0.304,-0.303,0.0,0.0,-0.303,0.0,-0.1796,0.1584,0.0,0.0,0.0,0.0,-0.01814,-2.0,-1.0,-1.0,0.11475,-0.2666,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,-0.04868
