EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.6113,-0.589,-0.616,2.5,-2.424,1.074,-1.383,3.992,-2.355,-2.682,-1.35,0.9863,-0.5713,-1.608,-1.0,-1.0,4.215,3.615,-0.492,0.0,0.00445,3.188,-0.651,-0.8096,-2.236,-0.4426,-0.631,-2.352,-0.466,-2.498,1.409,1.145,2.281,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.435,-0.4827,0.0,0.0,0.0,0.0,-0.7363,-2.0,-0.5,0.0,3.455,-1.258,-0.5,3.0,-1.5,0.0,0.0,0.0,0.0,-2.06
-0.6113,-0.589,-0.616,1.6455,-1.561,1.074,-1.383,3.867,-1.547,-2.545,-1.353,-0.2783,-0.5713,-1.608,-1.0,-1.0,3.922,3.346,-0.4753,0.0,0.00668,1.914,-0.577,-0.762,-1.459,-0.4458,-0.4854,1.398,-0.4167,-2.35,-0.771,-2.637,-1.402,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4265,-0.4827,0.0,0.0,0.0,0.0,0.283,-1.0,0.0,0.0,2.559,-0.5054,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.9507
-0.6113,-0.589,-0.616,2.596,-2.486,1.074,-1.383,3.896,-2.488,-2.732,-1.3545,0.9243,-0.5713,-1.608,-1.0,-1.0,4.316,3.729,-0.503,0.0,0.0089,2.318,-0.4932,-0.7026,-2.385,-0.4507,0.2434,-2.428,-0.309,1.397,-2.498,1.408,-2.68,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4395,-0.4766,0.0,0.0,0.0,0.0,-0.931,-2.0,0.0,0.0,3.514,-1.354,-0.5,1.0,-1.5,0.0,0.0,0.0,0.0,-2.662
-0.6113,-0.589,-0.616,3.273,-3.127,1.074,-1.383,3.947,-2.488,-2.875,-1.368,0.4292,-0.5713,-1.608,-1.0,-1.0,4.637,4.035,-0.5244,0.0,0.01113,2.498,-0.4182,-0.639,-2.496,-0.4546,-0.367,-1.968,-0.1877,-2.426,-2.35,-0.7705,2.516,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4497,-0.7676,0.0,0.0,0.0,0.0,-0.4417,-2.0,-0.5,-0.3333,4.145,-1.989,-0.5,2.0,-1.5,0.0,0.0,0.0,0.0,-1.254
-0.6113,-0.589,-0.616,3.824,-3.656,1.074,-1.669,3.928,-2.488,-3.0,-1.3955,0.2896,-0.7144,-1.608,-1.0,-1.0,4.926,4.324,-0.5435,0.0,0.01336,2.07,-0.304,-0.544,-2.496,-0.4646,-0.833,-1.818,-0.04135,-1.966,1.396,-2.496,1.345,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4585,-1.1,0.0,1.0,0.0,0.0,-0.6865,-2.0,-1.0,-0.6665,4.707,-2.467,-0.5,3.0,-1.5,0.0,0.0,0.0,0.0,-2.057
-0.6113,-0.589,-0.616,4.938,-4.715,1.074,-3.094,4.25,-2.488,-3.217,-1.425,0.4297,-0.7144,-1.608,-1.0,-1.0,5.477,4.824,-0.5747,0.0,0.01558,2.695,-0.1747,-0.4321,-2.496,-0.4734,-1.325,-2.61,0.202,-1.816,-2.424,-2.348,1.142,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4734,-1.151,0.0,1.0,0.0,0.0,-0.8438,-2.0,-1.5,-0.6665,5.727,-3.537,-0.5,4.0,-1.5,0.0,0.0,0.0,0.0,-2.613
-0.6113,-0.589,-0.616,5.45,-4.934,1.074,-4.008,4.246,-2.488,-3.342,-1.446,0.258,-0.7144,-1.608,-1.0,-1.0,5.81,5.15,-0.594,0.0,0.0178,3.861,-0.05087,-0.322,-2.496,-0.4797,-0.9023,-1.938,0.478,-2.607,-1.966,1.396,-2.68,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4824,-1.05,0.0,1.0,0.0,0.0,-0.3486,-3.0,-1.5,-0.6665,6.168,-4.023,-0.5,5.0,-1.5,0.5,0.0,0.0,0.0,-1.059
-0.6113,-0.589,-0.616,5.055,-4.742,1.074,-4.086,4.24,-2.488,-3.338,-1.478,0.04916,-0.7144,-1.608,-1.0,-1.0,5.793,5.137,-0.5957,0.0,0.02003,3.143,0.1002,-0.1903,-2.496,-0.4912,-1.488,-0.2198,0.673,-1.937,-1.816,-2.424,1.404,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.4827,-1.375,0.0,1.0,0.0,0.0,-0.09344,-3.0,-1.5,-1.0,5.707,-3.701,-0.5,5.97,-1.5,1.0,0.0,0.0,0.0,-0.2069
-0.6113,-0.589,-0.616,6.3,-4.934,1.074,-6.742,4.88,-2.488,-3.729,-1.526,0.582,-0.857,-1.608,-1.0,-1.0,6.97,6.19,-0.6504,0.0,0.02226,3.95,0.3633,0.02187,-2.496,-0.516,-1.634,-2.61,1.028,-0.2197,-2.605,-1.965,-0.7686,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.5083,-1.65,0.0,1.0,0.0,0.0,-2.566,-3.0,-1.5,-1.333,6.484,-5.1,-0.5,5.97,-1.5,1.5,0.0,0.0,0.0,-8.75
-0.6113,-0.589,-0.616,6.3,-4.934,1.074,-6.742,4.88,-2.488,-3.67,-1.579,-0.02893,-1.0,-1.608,-1.0,-1.0,6.797,6.008,-0.6445,0.0,0.02449,3.95,0.635,0.2474,-2.496,-0.5327,-1.487,0.5454,1.253,-2.607,-1.937,-1.815,-2.49,-0.57,-0.637,0.0,0.0,-0.612,0.0,-0.505,-1.65,0.0,1.0,0.0,0.0,0.103,-2.0,-1.5,-1.333,6.484,-4.95,0.0,0.0,-1.5,1.5,0.0,0.0,0.0,0.513
