Close,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,-1.802,1.802,0.0,0.0,0.0,1.963,0.0,1.623,-1.099,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8325,0.0,-1.051,1.976,0.0,-0.1765,1.462,0.0,0.0,0.0,0.0,-0.829,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.048,2.0,0.0,0.0,-1.734,1.874,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057
0.0,0.0,0.0,0.0,-0.95,0.95,0.0,0.0,-0.8228,1.031,0.0,1.133,1.634,1.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,-0.6543,0.0,-1.074,1.038,0.0,-1.088,0.4067,0.0,2.924,-0.3743,1.453,-0.1968,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.4707,0.0,0.0,0.0,0.0,0.3992,0.5,0.0,0.0,-0.954,0.9463,1.2,0.0,0.0,0.0,4.0,0.0,4.0,0.3928
0.0,0.0,0.0,0.0,-0.1377,0.1377,0.0,0.0,-4.945,0.1613,0.0,0.6353,-0.3574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.392,0.0,-1.02,0.1583,0.0,-1.353,-0.4246,0.0,1.0,0.0,0.494,-0.00571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1042,0.0,0.0,0.0,0.0,-0.2334,0.0,-1.0,-1.0,-0.1223,0.1526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2272
0.0,0.0,0.0,0.0,0.0359,-0.03592,0.0,10.79,-0.922,-0.01622,0.0,0.3938,-0.2113,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.09247,0.0,-0.83,-0.04132,0.0,1.401,-0.1351,0.0,-0.5664,1.794,-0.1599,-3.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5415,0.0,0.0,0.0,0.0,-0.0813,0.0,-0.5,-1.5,0.05945,-0.01273,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.081
0.0,0.0,0.0,0.0,0.2896,-0.2896,0.0,2.0,-0.7544,-0.2966,0.0,0.10974,-0.52,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.434,0.0,-0.554,-0.3054,0.0,1.426,-0.00431,0.0,-0.3572,0.98,0.563,-1.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6177,0.0,0.0,0.0,0.0,-0.0772,0.0,0.0,-0.6665,0.31,-0.2678,0.0,1.333,0.0,0.0,0.0,0.0,0.0,-0.0803
0.0,0.0,0.0,0.0,0.7705,-0.7705,0.0,0.999,0.094,-0.8,0.0,-0.1483,6.05,-0.3333,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.6426,0.0,-0.372,-0.839,0.0,1.589,-0.8535,0.0,-0.2683,-0.54,2.28,-1.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.335,0.0,0.0,0.0,0.0,-1.067,-1.0,0.0,-1.0,0.8184,-0.749,0.0,1.333,0.0,0.0,0.0,0.0,0.0,-1.091
0.0,0.0,0.0,0.0,0.8003,-0.8003,0.0,0.883,1.014,-0.815,0.0,-0.586,0.12134,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.875,0.0,-0.217,-0.9507,0.0,0.7065,-0.03253,0.0,-1.324,-0.3164,0.961,0.5464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9795,0.0,0.0,0.0,0.0,-0.0641,-2.0,-1.0,-1.5,0.7554,-0.7896,0.0,1.333,0.0,0.0,0.0,0.0,0.0,-0.1082
0.0,0.0,0.0,0.0,0.5884,-0.588,0.0,0.3938,-0.614,-0.646,0.0,-0.589,0.1014,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1904,0.0,-0.1208,-0.715,0.0,0.4844,-0.0326,0.0,-0.03958,-0.1953,-0.4724,-0.1395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.725,0.0,0.0,0.0,0.0,-0.5923,-1.5,-1.333,-1.0,0.568,-0.637,0.0,1.181,0.0,0.0,0.0,0.0,0.0,-0.6206
