EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5513,-0.5513,-0.5522,2.455,-2.467,0.491,-5.32,0.7554,-0.5205,-1.749,-0.6704,17.88,-0.875,-0.6934,0.0,-1.0,4.574,4.54,-0.3635,0.0,-0.4187,0.675,-0.134,0.154,-1.096,-0.329,-0.2299,-1.661,-0.2374,0.5615,-1.191,0.0,2.244,-0.562,-0.5396,0.0,0.0,-0.556,0.0,-0.2174,-0.5625,0.0,0.0,0.0,0.0,-0.01452,0.0,-0.6665,-1.0,2.754,-2.037,0.0,1.0,-1.0,1.5,0.0,0.0,0.0,-0.11456
-0.5527,-0.5527,-0.5537,2.693,-2.703,0.491,-5.32,1.05,-0.81,-1.776,-0.671,0.8174,-0.875,-0.6934,0.0,-1.0,4.785,4.715,-0.3801,0.0,-0.418,1.302,-0.10535,0.0859,-1.092,-0.347,-0.1606,-1.156,-0.3203,-1.661,3.686,-1.156,-1.062,-0.562,-0.542,0.0,0.0,-0.5586,0.0,-0.2208,-0.6,0.0,0.0,0.0,0.0,-0.03415,0.0,-0.6665,-1.0,3.025,-2.227,0.0,2.0,-1.0,1.5,0.0,1.0,-6.22,-0.2812
-0.5547,-0.5547,-0.5557,5.254,-5.105,0.491,-5.32,1.844,-2.873,-1.932,-0.6753,3.322,-0.875,-0.6934,0.0,-1.0,6.14,5.98,-0.463,0.0,-0.4175,4.43,-0.0579,0.0403,-2.55,-0.3838,-0.1407,-3.549,-0.3696,-1.156,0.5615,-1.191,-0.5454,-0.564,-0.545,0.0,0.0,-0.561,0.0,-0.2369,-0.857,0.0,1.0,0.0,0.0,-1.771,0.0,-0.6665,-1.0,5.7,-4.094,0.0,3.0,-1.0,1.5,0.0,0.0,0.0,-15.04
-0.5566,-0.5566,-0.5576,4.438,-4.438,0.491,-5.32,1.628,-2.445,-1.912,-0.677,-0.0669,-0.875,-0.6934,0.0,-1.0,5.938,5.805,-0.4546,0.0,-0.4167,1.666,-0.01984,-0.02057,-2.031,-0.3938,-0.116,0.702,-0.4104,-3.549,-1.661,3.688,-1.106,-0.5654,-0.5474,0.0,0.0,-0.563,0.0,-0.2347,-0.6323,0.0,0.0,0.0,0.0,0.02446,0.0,-0.3333,-0.6665,4.824,-3.822,1.0,0.0,-1.0,1.5,0.0,0.0,0.0,0.2448
-0.559,-0.559,-0.56,5.26,-5.105,0.491,-5.32,2.338,-3.523,-2.021,-0.6826,0.833,-0.875,-0.6934,0.0,-1.0,6.547,6.094,-0.512,0.0,-0.416,5.082,0.0607,-0.04132,-2.158,-0.4558,-0.126,-3.549,-0.3918,0.702,-1.156,0.562,-0.5693,-0.5674,-0.5503,0.0,0.0,-0.565,0.0,-0.2429,-1.08,0.0,1.0,0.0,0.0,-2.264,-0.5,-0.3333,-1.0,5.977,-4.094,0.0,1.0,-1.0,1.5,0.0,0.0,0.0,-16.47
-0.561,-0.561,-0.562,4.094,-4.086,0.491,-5.32,2.518,-2.322,-1.9375,-0.686,-0.3757,-0.875,-0.6934,0.0,-1.0,6.24,5.99,-0.471,0.0,-0.4155,5.91,0.114,-0.011475,-0.3818,-0.466,-0.2151,3.932,-0.387,-3.549,-3.549,-1.662,0.0,-0.57,-0.5527,1.0,-1.0,-0.5664,0.0,-0.2327,-0.7114,0.0,0.0,0.0,0.0,0.355,0.0,0.0,-0.6665,4.79,-3.154,1.0,0.0,-1.0,1.5,0.0,0.0,0.0,3.977
-0.5625,-0.5625,-0.5635,3.4,-3.395,0.6533,-5.32,2.45,-1.83,-1.917,-0.6885,-0.1475,-0.875,-0.6934,0.0,-1.0,6.04,5.8,-0.463,0.0,-0.4148,1.034,0.139,0.015495,-0.01133,-0.4683,-0.1804,0.715,-0.3882,3.932,0.702,-1.156,-1.155,-0.572,-0.555,0.0,0.0,-0.5674,0.0,-0.2306,-0.628,0.0,0.0,0.0,0.0,0.01814,0.5,0.3333,-0.3333,4.086,-2.508,2.0,0.0,-1.0,1.5,0.0,0.0,0.0,0.1848
-0.5635,-0.5635,-0.5645,3.078,-3.072,0.6533,-5.32,2.45,-1.615,-1.914,-0.69,-0.02739,-0.875,-0.6934,0.0,-1.0,6.008,5.766,-0.463,0.0,-0.414,0.355,0.1421,0.03445,0.01012,-0.4688,-0.1309,0.0,-0.392,0.715,-3.549,-3.55,-1.19,-0.5737,-0.5576,0.0,0.0,-0.5684,0.0,-0.2305,-0.571,0.0,0.0,0.0,0.0,0.0,0.5,0.3333,-0.3333,3.75,-2.213,0.0,0.0,-1.0,1.5,0.0,0.0,0.0,0.0
-0.5654,-0.5654,-0.5664,4.367,-4.35,0.6533,-5.32,3.236,-2.656,-1.991,-0.693,0.935,-0.875,-0.6934,0.0,-1.0,6.547,6.094,-0.504,0.0,-0.4136,4.96,0.1263,0.04544,-1.269,-0.4749,-0.4675,-3.51,-0.3865,0.0,3.932,0.702,3.684,-0.576,-0.56,0.0,0.0,-0.57,0.0,-0.2379,-0.68,0.0,0.0,0.0,0.0,-0.6553,0.0,0.0,-0.3333,5.24,-3.223,0.0,1.0,-1.0,1.5,0.0,0.0,0.0,-6.555
-0.567,-0.567,-0.568,4.66,-4.64,0.6533,-2.258,3.545,-2.89,-2.021,-0.697,0.2335,-0.875,-0.6934,0.0,-1.0,6.547,6.094,-0.5205,0.0,-0.4128,1.325,0.0907,0.05057,-1.792,-0.477,-0.6113,-1.541,-0.3694,-3.51,0.715,-3.55,0.561,-0.577,-0.562,0.0,0.0,-0.571,0.0,-0.2413,-0.7275,0.0,1.0,0.0,0.0,-0.0449,0.0,-0.3333,-0.3333,5.57,-3.455,0.0,2.0,-1.0,1.5,0.0,0.0,0.0,-0.4932
