EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.5503,-0.551,-0.55,-0.07965,-0.008675,0.818,-0.1869,1.71,0.1133,-1.625,-0.4536,-1.648,0.1428,-1.659,0.0,-1.0,2.117,1.868,-1.645,0.0,-0.1183,0.622,-0.5986,-0.5938,0.10864,-1.808,-0.2288,1.565,-0.665,0.6206,-2.584,-1.241,1.213,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4578,0.1904,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.5,0.3674,0.4705,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.7163
-0.5503,-0.551,-0.55,0.3552,-0.4456,0.818,-0.1869,1.662,-0.4082,-1.715,-0.4497,-2.207,0.1428,-1.659,-1.0,-1.0,2.246,2.014,-1.721,0.0,-0.1147,0.6494,-0.593,-0.6094,-0.3838,-1.801,-0.1401,-0.949,-0.6655,1.565,0.954,-0.01999,-1.23,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4592,0.091,0.0,0.0,0.0,0.0,-0.07983,0.0,0.0,0.5,0.8047,0.0695,-0.5,1.0,-1.0,1.0,0.0,0.0,0.0,-0.5186
-0.5503,-0.551,-0.55,-0.351,0.2551,0.818,-0.179,1.551,0.2527,-1.542,-0.445,-2.6,0.2856,-1.659,0.0,-1.0,1.981,1.758,-1.595,0.0,-0.1111,0.6045,-0.5854,-0.62,0.2627,-1.781,-0.2515,1.551,-0.666,-0.949,0.62,-2.584,1.213,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4565,0.1986,0.0,0.0,0.0,0.0,0.0685,1.0,0.0,0.5,0.07605,0.693,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.7217
-0.5503,-0.551,-0.55,-0.7007,0.603,0.818,-0.179,1.35,0.6626,-1.437,-0.4424,1.316,0.2856,-1.659,0.0,-1.0,1.8125,1.621,-1.52,0.0,-0.10754,1.332,-0.5796,-0.624,0.641,-1.769,-0.1831,0.901,-0.664,1.551,1.565,0.954,-0.928,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4546,0.012146,0.0,0.0,0.0,0.0,0.0771,1.0,0.5,0.5,-0.278,1.009,0.5,0.0,-1.0,1.0,0.0,0.0,0.0,0.7754
-0.5503,-0.551,-0.55,-0.2236,0.1259,0.818,-0.179,1.265,0.2417,-1.528,-0.4421,-0.4565,0.2856,-1.659,0.0,-1.0,1.935,1.765,-1.595,0.0,-0.10394,0.9863,-0.579,-0.624,0.2479,-1.779,-0.2009,-0.928,-0.6753,0.901,-0.9487,0.62,0.2866,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4563,-0.3027,0.0,0.0,0.0,0.0,-0.10913,0.0,0.0,0.0,0.1642,0.5317,-0.5,1.0,-1.0,1.0,0.0,0.0,0.0,-0.7446
-0.5503,-0.551,-0.55,0.2216,-0.316,0.818,-0.179,1.437,-0.1909,-1.619,-0.4414,-1.148,0.1428,-1.659,-1.0,-1.0,2.084,1.887,-1.67,0.0,-0.10034,2.955,-0.581,-0.624,-0.1877,-1.781,-0.1021,-0.941,-0.6777,-0.928,1.55,1.565,-1.242,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4578,-0.259,0.0,0.0,0.0,0.0,-0.1447,-1.0,0.0,0.0,0.574,0.0872,-0.5,2.0,-1.0,1.0,0.0,0.0,0.0,-1.046
-0.5503,-0.551,-0.55,0.779,-0.8696,0.818,-0.3115,1.694,-0.6904,-1.744,-0.4436,10.5,0.0,-1.659,-1.0,-1.0,2.295,2.057,-1.7705,0.0,-0.0968,1.853,-0.5874,-0.624,-0.64,-1.809,-0.1021,-1.265,-0.682,-0.941,0.9004,-0.9487,-0.0202,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.46,-0.6304,0.0,0.0,0.0,0.0,-0.2163,-1.0,0.0,-0.5,1.127,-0.429,-0.5,3.0,-1.0,1.0,0.0,0.0,0.0,-1.658
-0.5503,-0.551,-0.55,1.305,-1.391,0.818,-0.928,1.761,-1.183,-1.869,-0.4463,1.133,-0.1428,-1.659,-1.0,-1.0,2.494,2.254,-1.871,0.0,-0.0932,1.511,-0.592,-0.624,-1.109,-1.833,0.11566,-1.288,-0.682,-1.265,-0.9277,1.55,-2.584,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4622,-0.6665,0.0,0.0,0.0,0.0,-0.1658,-2.0,0.0,-0.5,1.684,-0.876,-0.5,4.0,-1.0,1.0,0.0,0.0,0.0,-1.261
-0.5503,-0.551,-0.55,1.648,-1.729,0.818,-1.399,1.779,-1.484,-1.961,-0.4504,0.4578,-0.2856,-1.659,-1.0,-1.0,2.645,2.406,-1.946,0.0,-0.0896,-0.0804,-0.5938,-0.624,-1.461,-1.853,0.04224,-0.9897,-0.6714,-1.288,-0.9404,0.9004,0.954,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4636,-0.822,0.0,0.0,0.0,0.0,-0.1016,-3.0,-0.5,-1.0,1.999,-1.219,-0.5,5.0,-1.0,1.0,0.0,0.0,0.0,-0.729
-0.5503,-0.551,-0.55,1.204,-1.285,0.818,-1.399,1.745,-1.082,-1.888,-0.4524,-0.2008,-0.4285,-1.659,-1.0,-1.0,2.523,2.287,-1.896,0.0,-0.086,0.7163,-0.5913,-0.624,-1.06,-1.87,-0.02107,0.636,-0.6636,-0.9897,-1.265,-0.9277,0.62,-0.538,-0.5527,0.0,0.0,-0.548,0.0,-0.4624,-0.5757,0.0,0.0,0.0,0.0,0.03952,-2.0,-0.5,-0.5,1.609,-0.7524,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.5
