EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.3838,-0.3845,-0.387,0.3252,-0.505,-0.769,0.4353,-0.905,-0.3838,0.1766,-0.11145,1.299,-0.125,-1.227,-1.0,0.0,-0.204,-0.1179,0.5913,0.0,-0.4443,-0.938,-0.612,-0.608,-0.4575,0.621,-0.1173,-0.3567,-0.586,-0.03693,-0.3567,-0.03668,0.926,-0.39,-0.386,0.0,0.0,-0.3857,0.0,-0.3127,-0.1816,0.0,0.0,0.0,0.0,-0.02548,-2.0,-1.0,-0.5,0.2612,-0.5664,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.0747
-0.384,-0.3848,-0.387,0.2377,-0.4182,-0.769,0.4353,-0.908,-0.3032,0.1857,-0.11395,-0.2036,-0.25,-1.218,-1.0,0.0,-0.2119,-0.1262,0.597,0.0,-0.4436,-0.938,-0.612,-0.608,-0.3784,0.6206,-0.0835,0.1235,-0.586,-0.3564,0.2847,-0.98,-0.352,-0.3904,-0.3862,0.0,0.0,-0.3857,0.0,-0.312,-0.2515,0.0,0.0,0.0,0.0,-0.00668,-1.0,-0.5,-0.5,0.1628,-0.4944,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.003765
-0.3843,-0.385,-0.3872,0.2815,-0.4626,-0.769,0.4353,-0.941,-0.3738,0.1609,-0.11584,0.5737,-0.25,-1.209,-1.0,0.0,-0.1951,-0.09827,0.5913,0.0,-0.443,-0.938,-0.612,-0.608,-0.2434,0.603,-0.172,-0.1975,-0.586,0.1238,-0.03696,-0.3564,0.4392,-0.391,-0.3862,0.0,0.0,-0.3857,0.0,-0.315,-0.1161,0.0,0.0,0.0,0.0,-0.1725,-1.0,-1.0,-0.5,0.2053,-0.5386,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.6304
-0.3843,-0.385,-0.3872,0.1372,-0.3193,-0.769,0.5796,-0.929,-0.2378,0.1864,-0.11743,-0.4656,-0.25,-1.2,-1.0,0.0,-0.2139,-0.1255,0.603,0.0,-0.4424,-0.3516,-0.612,-0.608,-0.10114,0.603,-0.2189,0.2842,-0.586,-0.1971,-0.3567,0.2852,0.12054,-0.391,-0.3865,0.0,0.0,-0.3857,0.0,-0.3135,-0.046,0.0,0.0,0.0,0.0,-0.00533,-1.0,-1.0,-0.5,0.03784,-0.4253,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.001354
-0.3845,-0.3853,-0.3875,0.314,-0.4949,-0.769,0.5796,-0.941,-0.4097,0.1279,-0.1219,1.713,-0.375,-1.191,-1.0,0.0,-0.1687,-0.0649,0.585,0.0,-0.442,-0.938,-0.612,-0.608,-0.3008,0.602,-0.211,-0.5166,-0.586,0.2844,0.12384,-0.03668,-0.1935,-0.391,-0.3865,0.0,0.0,-0.3857,0.0,-0.316,-0.7417,0.0,0.0,0.0,0.0,-0.02043,-1.0,-1.0,-1.0,0.2145,-0.594,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.0557
-0.3845,-0.3853,-0.3875,0.1044,-0.2876,-0.769,0.5796,-0.941,-0.1825,0.1702,-0.1248,-0.753,-0.5,-1.183,-1.0,0.0,-0.2057,-0.1041,0.603,0.0,-0.4412,-0.7573,-0.612,-0.608,-0.0849,0.6016,-0.2345,0.4463,-0.586,-0.516,-0.1973,-0.3564,-0.03668,-0.391,-0.3865,0.0,0.0,-0.3857,0.0,-0.3135,-0.3418,0.0,0.0,0.0,0.0,-0.00843,0.0,-0.5,-0.5,0.01452,-0.3848,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.01038
-0.3845,-0.3853,-0.3877,0.0991,-0.2832,-0.769,0.5796,-0.941,-0.1522,0.162,-0.1287,-0.3335,-0.625,-1.174,-1.0,0.0,-0.1986,-0.09644,0.603,0.0,-0.4407,-0.7573,-0.6045,-0.608,-0.04922,0.5986,-0.0939,-0.03723,-0.586,0.4465,0.2847,0.1242,-0.98,-0.391,-0.3865,0.0,0.0,-0.3857,0.0,-0.3135,-0.624,0.0,0.0,0.0,0.0,-0.011185,-1.0,-0.5,-1.0,0.002628,-0.3877,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.02084
-0.3848,-0.3855,-0.388,0.3416,-0.5234,-0.769,0.5796,-0.941,-0.3804,0.08704,-0.134,6.145,-0.75,-1.165,-1.0,0.0,-0.1293,-0.02989,0.579,0.0,-0.44,-0.1344,-0.596,-0.608,-0.312,0.597,-0.04184,-0.6763,-0.586,-0.03693,-0.5166,-0.197,-0.3567,-0.3914,-0.3865,0.0,0.0,-0.3857,0.0,-0.317,-0.9443,0.0,1.0,0.0,0.0,-0.03143,-1.0,-0.5,-1.5,0.2566,-0.6064,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.09717
-0.385,-0.3855,-0.388,0.1274,-0.314,-0.769,0.5796,-0.941,-0.1322,0.1289,-0.1383,-0.9414,-0.875,-1.156,-1.0,0.0,-0.1688,-0.0668,0.597,0.0,-0.4395,-0.938,-0.5894,-0.608,-0.0867,0.5957,-0.0991,0.4478,-0.586,-0.6763,0.4468,0.2852,0.2852,-0.3914,-0.3867,0.0,0.0,-0.3857,0.0,-0.3145,-0.607,0.0,0.0,0.0,0.0,-0.0009027,-1.0,-0.5,-1.0,0.0755,-0.37,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.01836
-0.385,-0.3857,-0.388,0.2421,-0.4304,-0.769,0.5796,-0.941,-0.2288,0.0869,-0.1432,4.703,-1.0,-1.147,-1.0,0.0,-0.1316,-0.02707,0.585,0.0,-0.4387,-0.5474,-0.584,-0.608,-0.2035,0.5938,-0.1017,-0.3577,-0.586,0.448,-0.03696,-0.5166,-0.03668,-0.3914,-0.3867,0.0,0.0,-0.3857,0.0,-0.3162,-0.706,0.0,0.0,0.0,0.0,-0.01962,-1.0,-0.5,-1.0,0.157,-0.517,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,-0.05273
