EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
0.1892,0.1882,0.1903,-1.559,1.615,0.92,0.2976,-0.05673,1.615,1.719,1.359,0.554,0.7144,-1.369,0.0,0.0,-1.424,-1.523,0.846,1.0,-0.3054,0.742,0.697,0.1101,1.509,0.6196,0.0827,1.397,0.844,0.935,1.352,-1.391,0.9824,0.2338,0.1599,0.0,0.0,0.1619,0.0,0.3093,1.066,1.0,0.0,0.0,0.0,0.562,2.0,0.5,1.0,-1.287,1.778,2.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.5615
0.196,0.195,0.1973,-0.5903,0.64,0.92,0.1906,0.2751,0.46,1.671,1.397,-0.6567,0.857,-1.358,0.0,0.0,-1.356,-1.523,0.7183,0.0,-0.305,1.02,0.9526,0.3347,0.3428,0.6436,0.2976,-2.076,0.889,1.397,0.3408,0.5884,-0.04596,0.2407,0.1636,0.0,0.0,0.1694,0.0,0.221,0.6143,0.0,0.0,0.0,0.0,-0.8013,1.0,0.5,1.0,-0.2969,0.903,-0.5,1.0,1.0,-0.5,0.0,0.0,0.0,-0.7915
0.1954,0.1936,0.1973,0.2073,-0.1764,0.92,-0.765,0.3867,-0.4744,1.352,1.412,-1.855,0.7144,-1.348,-1.0,0.0,-1.112,-1.276,0.608,0.0,-0.3044,1.164,1.118,0.5283,-0.5825,0.655,0.7563,-1.845,0.808,-2.076,0.9355,1.352,-0.6904,0.245,0.1631,0.0,0.0,0.1752,0.0,0.1444,0.2328,0.0,0.0,0.0,0.0,-0.7397,0.0,0.5,0.5,0.4653,0.1104,-0.5,2.0,1.0,-0.5,0.0,0.0,0.0,-0.7505
0.1981,0.196,0.2004,-0.1716,0.1963,0.92,-0.765,0.2422,-0.1025,1.484,1.415,-0.9956,0.5713,-1.337,-1.0,0.0,-1.223,-1.373,0.6626,0.0,-0.304,-0.1647,1.199,0.688,-0.2189,0.6616,0.001102,0.896,0.6953,-1.845,1.398,0.3408,1.353,0.251,0.1641,0.0,0.0,0.1836,0.0,0.1788,0.121,0.0,0.0,0.0,0.0,0.3435,0.0,0.5,0.5,0.1065,0.4753,0.0,0.0,1.0,-0.5,0.0,0.0,0.0,0.3545
0.2041,0.202,0.2063,-0.51,0.537,0.92,-0.765,0.2334,0.2793,1.62,1.417,-16.83,0.5713,-1.326,0.0,0.0,-1.322,-1.48,0.7183,0.0,-0.3032,0.4055,1.204,0.8193,0.159,0.6675,0.2678,0.9043,0.625,0.896,-2.078,0.9355,-0.5103,0.2546,0.167,0.0,0.0,0.1927,0.0,0.2147,0.11334,0.0,0.0,0.0,0.0,0.2177,0.0,1.0,0.5,-0.1718,0.854,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.2211
0.2067,0.2047,0.2087,-0.1409,0.1693,0.92,-0.765,0.3843,-0.1018,1.476,1.41,-1.073,0.4285,-1.315,-1.0,0.0,-1.205,-1.377,0.672,0.0,-0.3027,1.046,1.153,0.914,-0.2065,0.669,1.111,-0.7915,0.4087,0.9043,-1.848,1.398,-1.39,0.252,0.1683,0.0,0.0,0.202,0.0,0.1823,-0.002304,0.0,0.0,0.0,0.0,-0.1831,-1.0,1.0,0.5,0.1807,0.498,-0.5,1.0,0.0,-0.5,0.0,0.0,0.0,-0.1871
0.2151,0.2133,0.217,-0.7573,0.791,0.92,-0.765,0.405,0.558,1.719,1.429,-16.83,0.4285,-1.305,0.0,0.0,-1.387,-1.523,0.7705,0.0,-0.3022,1.069,1.109,0.9775,0.476,0.6777,0.8745,1.618,0.3215,-0.7915,0.8965,-2.078,0.5884,0.253,0.172,0.0,0.0,0.2126,0.0,0.2466,0.2927,0.0,0.0,0.0,0.0,0.4949,0.0,1.0,1.0,-0.3923,1.119,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.504
0.2188,0.2169,0.2208,-0.266,0.2961,0.92,-0.765,0.399,0.0562,1.536,1.42,-0.7705,0.4285,-1.294,0.0,0.0,-1.249,-1.428,0.708,0.0,-0.3015,0.0891,1.04,1.004,-0.04047,0.683,0.2668,-1.048,0.1019,1.618,0.905,-1.848,1.351,0.2404,0.1808,0.0,0.0,0.2216,0.0,0.2026,-0.01933,0.0,0.0,0.0,0.0,-0.3052,0.0,0.5,0.5,0.0991,0.6626,-0.5,1.0,0.0,-0.5,0.0,0.0,0.0,-0.3074
0.2137,0.2125,0.2151,0.701,-0.6606,0.92,-0.765,0.7407,-0.949,1.148,1.394,-7.938,0.2856,-1.282,-1.0,0.0,-0.9307,-1.135,0.572,0.0,-0.301,1.241,0.9023,0.9697,-0.9585,0.6685,0.0849,-2.271,-0.075,-1.048,-0.793,0.8965,0.3406,0.2269,0.1837,0.0,0.0,0.2251,0.0,0.1074,-0.2407,0.0,0.0,0.0,0.0,-1.671,-1.0,0.0,0.5,1.055,-0.2319,-0.5,2.0,0.0,-0.5,0.0,1.0,-3.309,-1.696
0.21,0.2085,0.2115,0.557,-0.52,0.92,-0.765,0.702,-0.864,1.168,1.385,0.02028,0.1428,-1.271,-1.0,0.0,-0.9487,-1.148,0.585,0.0,-0.3005,0.2993,0.702,0.8936,-0.804,0.6606,-0.589,0.1917,-0.08844,-2.271,1.619,0.905,0.935,0.2249,0.1863,0.0,0.0,0.2255,0.0,0.1135,-0.0497,0.0,0.0,0.0,0.0,0.09,-1.0,0.0,1.0,0.902,-0.11163,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.09265
