EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.8213,-0.82,-0.8276,-0.03522,0.2505,0.5615,-1.029,2.666,0.1877,2.295,1.23,-1.175,-0.8335,-1.172,0.0,0.0,-1.464,-1.844,0.5415,0.0,-0.3452,2.092,0.00887,-0.01382,-0.004196,0.537,0.209,2.904,0.3062,-0.841,0.4004,-2.416,-1.704,-0.8486,-0.7734,0.0,0.0,-0.7837,0.0,-0.0617,-0.4753,0.0,0.0,0.0,0.0,4.945,0.0,0.0,-0.5,0.481,0.855,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,7.695
-0.819,-0.8184,-0.8247,-0.1054,0.3018,0.5615,-1.029,2.611,0.3477,2.295,1.202,0.735,-0.6665,-1.162,0.0,0.0,-1.47,-1.844,0.5547,0.0,-0.3445,1.008,0.02783,0.0371,0.1571,0.5283,-0.583,0.1788,0.306,2.904,0.605,-0.1235,2.135,-0.8457,-0.776,0.0,0.0,-0.783,0.0,-0.05463,-0.2954,0.0,0.0,0.0,0.0,0.03854,1.0,0.0,0.0,0.3613,0.8433,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0612
-0.813,-0.8145,-0.817,-0.6084,0.756,0.8677,-1.029,2.23,1.012,2.295,1.171,1.719,-0.6665,-1.152,0.0,0.0,-1.603,-1.844,0.6333,0.0,-0.344,0.954,0.0307,0.0778,0.8877,0.5103,-1.246,1.163,0.2969,0.1788,-0.841,0.401,1.556,-0.826,-0.7803,0.0,0.0,-0.784,0.0,-0.00648,-0.3206,0.0,0.0,0.0,0.0,0.2437,1.0,0.0,0.0,-0.2109,1.178,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.3616
-0.81,-0.8115,-0.813,-0.2883,0.4124,0.8677,-1.029,1.809,0.674,2.295,1.163,-0.1709,-0.5,-1.143,0.0,0.0,-1.559,-1.844,0.594,0.0,-0.3435,0.981,0.01608,0.08887,0.628,0.506,-0.8833,-0.5967,0.281,1.163,2.904,0.6055,-0.878,-0.8096,-0.7837,0.0,0.0,-0.785,0.0,-0.03207,0.04977,0.0,0.0,0.0,0.0,-0.1415,0.0,0.0,0.0,0.04208,0.782,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-0.1987
-0.809,-0.811,-0.8115,0.05243,0.05264,0.8677,-1.029,1.656,0.2515,2.238,1.164,-0.4268,-0.3333,-1.134,0.0,0.0,-1.4795,-1.844,0.5483,0.0,-0.343,1.013,-0.02753,0.05817,0.2488,0.5103,-0.3413,-0.7007,0.2405,-0.5967,0.1788,-0.8413,-1.281,-0.7974,-0.787,0.0,0.0,-0.789,0.0,-0.06192,0.2047,0.0,0.0,0.0,0.0,-0.1984,0.0,0.0,0.0,0.2969,0.3496,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-0.2832
-0.8066,-0.809,-0.809,-0.1427,0.2429,0.8677,-1.029,1.453,0.4678,2.291,1.153,0.8,-0.1666,-1.124,0.0,0.0,-1.526,-1.844,0.579,0.0,-0.3425,0.2576,-0.0652,-0.01246,0.4678,0.5117,0.684,0.4468,0.1191,-0.7,1.163,2.906,-2.408,-0.786,-0.788,0.0,0.0,-0.794,0.0,-0.04373,-0.02399,0.0,0.0,0.0,0.0,0.10675,0.0,0.5,0.0,0.0598,0.4768,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.1613
-0.803,-0.8057,-0.805,-0.334,0.4277,0.8677,-1.029,1.371,0.743,2.295,1.134,0.6655,-0.1666,-1.114,0.0,0.0,-1.567,-1.844,0.613,0.0,-0.3418,1.21,-0.10596,-0.04926,0.814,0.5,0.8706,0.4817,0.002853,0.4468,-0.5967,0.1791,-0.12286,-0.769,-0.789,0.0,0.0,-0.7974,0.0,-0.02345,-0.2087,0.0,0.0,0.0,0.0,0.06836,0.0,1.0,0.0,-0.1354,0.642,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.1038
-0.803,-0.806,-0.805,0.1738,-0.0941,0.8677,-1.029,1.401,0.2413,2.121,1.112,-0.4795,0.0,-1.1045,0.0,0.0,-1.435,-1.837,0.5425,0.0,-0.3413,0.1248,-0.1644,-0.07385,0.3057,0.4973,0.874,-1.057,-0.04517,0.4817,-0.7007,1.164,0.4,-0.7686,-0.7925,0.0,0.0,-0.8003,0.0,-0.0694,-0.2372,0.0,0.0,0.0,0.0,-0.507,-1.0,0.5,0.0,0.33,0.1105,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-0.727
-0.8,-0.8027,-0.802,-0.2957,0.3804,0.8677,-1.029,1.168,0.721,2.29,1.109,1.632,0.1666,-1.096,0.0,0.0,-1.549,-1.844,0.614,0.0,-0.3408,0.03067,-0.2462,-0.12067,0.8564,0.4956,0.733,1.057,-0.1724,-1.057,0.4468,-0.5967,0.604,-0.7646,-0.7954,0.0,0.0,-0.8037,0.0,-0.02617,0.1815,0.0,0.0,0.0,0.0,0.3118,0.0,0.5,0.5,-0.1738,0.5093,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.4631
-0.7974,-0.801,-0.7983,-0.1946,0.254,0.8677,-1.029,0.915,0.5034,2.225,1.125,-0.1289,0.3333,-1.086,0.0,0.0,-1.534,-1.844,0.603,0.0,-0.3403,0.3938,-0.3567,-0.1843,0.652,0.5117,1.195,-0.1738,-0.1517,1.057,0.4817,-0.7007,-0.8384,-0.7666,-0.7964,0.0,0.0,-0.802,0.0,-0.03406,0.718,0.0,0.0,0.0,0.0,-0.0583,0.0,0.5,0.5,-0.06665,0.3972,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-0.0799
