EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.1693,-0.1552,-0.1793,1.285,-1.712,-0.2686,-0.05533,1.207,-1.427,-1.072,-0.2998,1.634,-0.5,-2.424,-1.0,-1.0,1.349,1.198,-0.9653,0.0,0.3477,1.465,-0.2407,-0.1437,-1.297,-0.8037,-0.2654,-1.639,-0.1572,-0.4456,-0.4097,0.3152,-0.8394,-0.168,-0.1741,0.0,0.0,-0.1707,0.0,-0.172,-0.533,0.0,0.0,0.0,0.0,-0.4841,-2.0,-0.5,-0.3333,1.673,-1.326,-0.5,2.0,-0.3333,-1.0,0.0,0.0,0.0,-1.383
-0.1707,-0.1561,-0.181,2.88,-3.37,-0.2686,-1.515,1.744,-2.963,-1.488,-0.3132,1.571,-0.5,-2.424,-1.0,-1.0,2.025,1.798,-1.293,0.0,0.3506,4.05,-0.1913,-0.1416,-2.385,-0.9385,-0.4976,-3.121,-0.10095,-1.638,-0.0579,0.262,0.6343,-0.1696,-0.1749,0.0,0.0,-0.1713,0.0,-0.1809,-1.168,0.0,1.0,0.0,0.0,-4.207,-3.0,-1.0,-0.6665,3.453,-2.834,-0.5,3.0,-0.3333,-1.0,0.0,0.0,0.0,-6.824
-0.1719,-0.1571,-0.1824,2.473,-2.861,-0.2686,-1.515,1.817,-2.56,-1.448,-0.328,-0.04654,-0.625,-2.424,-1.0,-1.0,1.968,1.725,-1.261,0.0,0.3535,2.156,-0.133,-0.1313,-1.823,-1.025,-0.345,0.3396,-0.0689,-3.12,-0.4458,-0.4104,-1.411,-0.1711,-0.1758,0.0,0.0,-0.1719,0.0,-0.1798,-1.3125,0.0,1.0,0.0,0.0,0.2252,-2.0,-0.5,-0.6665,3.01,-2.352,0.0,0.0,-0.3333,-1.0,0.0,0.0,0.0,0.8423
-0.1725,-0.1577,-0.1831,1.612,-1.891,-0.2686,-1.515,1.838,-1.684,-1.288,-0.339,-0.3074,-0.75,-2.424,-1.0,-1.0,1.719,1.464,-1.134,0.0,0.3564,0.437,-0.0864,-0.1185,-0.952,-1.065,-0.8643,1.503,-0.05597,0.34,-1.639,-0.05847,1.631,-0.1725,-0.1765,0.0,0.0,-0.1724,0.0,-0.176,-1.006,0.0,0.0,0.0,0.0,0.771,-1.0,-0.5,-0.3333,2.127,-1.377,0.5,0.0,-0.3333,-1.0,1.0,0.0,6.496,2.65
-0.1733,-0.1583,-0.184,1.704,-1.977,-0.2686,-1.515,1.881,-1.748,-1.345,-0.3499,0.1718,-0.875,-2.424,-1.0,-1.0,1.81,1.55,-1.178,0.0,0.3596,0.782,-0.04623,-0.10645,-1.034,-1.098,-0.4426,-0.5874,-0.04434,1.503,-3.121,-0.4465,-2.39,-0.1738,-0.1772,0.0,0.0,-0.173,0.0,-0.1772,-0.977,0.0,0.0,0.0,0.0,-0.3645,-1.0,-0.5,-0.3333,2.21,-1.475,-0.5,1.0,-0.3333,-1.0,0.0,0.0,0.0,-1.095
-0.1744,-0.1593,-0.1852,2.535,-2.861,-0.2686,-1.515,2.082,-2.496,-1.576,-0.3655,0.6816,-1.0,-2.424,-1.0,-1.0,2.201,1.917,-1.361,0.0,0.3625,2.953,-0.01395,-0.0922,-1.913,-1.123,-0.6187,-2.27,-0.01831,-0.587,0.3403,-1.64,0.3145,-0.1758,-0.1781,0.0,0.0,-0.1737,0.0,-0.1823,-1.27,0.0,1.0,0.0,0.0,-0.5205,-1.0,-1.0,-0.6665,3.12,-2.303,-0.5,2.0,-0.3333,-1.0,0.0,0.0,0.0,-1.614
-0.1757,-0.1604,-0.1868,3.021,-3.326,-0.2686,-1.515,2.393,-2.912,-1.728,-0.3806,0.3308,-1.0,-2.424,-1.0,-1.0,2.494,2.16,-1.482,0.0,0.3655,3.898,0.03757,-0.0623,-1.995,-1.246,-0.838,-1.582,0.01368,-2.27,1.504,-3.123,0.261,-0.178,-0.179,0.0,0.0,-0.1746,0.0,-0.1852,-1.265,0.0,1.0,0.0,0.0,-2.1,-1.0,-1.5,-0.6665,3.582,-2.8,-0.5,3.0,-0.3333,-1.0,0.0,1.0,-5.957,-6.824
-0.1765,-0.1611,-0.1876,1.927,-2.133,-0.2686,-1.515,2.305,-1.789,-1.537,-0.3965,-0.3564,-1.125,-2.424,-1.0,-1.0,2.156,1.828,-1.333,0.0,0.3687,2.479,0.0777,-0.03323,-0.986,-1.279,-0.9404,1.891,0.02383,-1.581,-0.587,0.3398,-0.411,-0.1793,-0.1793,0.0,0.0,-0.1753,0.0,-0.1808,-1.274,0.0,1.0,0.0,0.0,0.984,-1.0,-1.0,-0.6665,2.396,-1.676,0.0,0.0,-0.3333,-1.0,0.0,0.0,0.0,3.555
-0.1779,-0.1624,-0.1892,3.334,-3.375,-0.386,-1.515,2.662,-3.014,-1.882,-0.4128,1.053,-1.125,-2.424,-1.0,-1.0,2.805,2.43,-1.606,0.0,0.3716,2.146,0.1147,-0.00391,-2.252,-1.337,-1.078,-3.121,0.04657,1.891,-2.271,1.504,-0.05923,-0.1803,-0.1802,0.0,0.0,-0.1766,0.0,-0.1881,-1.312,0.0,1.0,0.0,0.0,-2.693,-2.0,-1.0,-0.6665,3.582,-2.898,-0.5,1.0,-0.3333,-1.0,0.0,0.0,0.0,-6.824
-0.1797,-0.1637,-0.1913,3.752,-3.375,-0.386,-1.755,3.48,-3.014,-2.148,-0.4343,0.4714,-1.125,-2.424,-1.0,-1.0,3.418,2.912,-1.819,0.0,0.3745,4.05,0.1451,0.02434,-2.633,-1.39,-1.196,-2.914,0.0816,-3.12,-1.582,-0.588,-0.4473,-0.1823,-0.181,0.0,0.0,-0.1781,0.0,-0.1938,-1.503,0.0,1.0,0.0,0.0,-1.613,-2.0,-1.0,-1.0,3.582,-2.898,-0.5,2.0,-0.3333,-1.0,0.0,0.0,0.0,-5.766
