EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.2422,-0.2424,-0.2413,2.514,-2.564,0.8667,-2.016,2.936,-1.846,-1.369,-0.2761,0.4531,-1.143,-1.541,-1.0,-1.0,1.995,1.438,-1.162,0.0,-0.1123,2.635,-0.2683,-0.2847,-2.041,-0.976,-0.2446,-1.362,-0.3206,-2.17,-1.798,-2.69,-1.178,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.6523,0.0,0.0,0.0,0.0,-0.1859,-1.0,-1.0,-1.0,3.184,-1.406,-0.5,2.0,-1.0,1.0,0.0,0.0,0.0,-2.898
-0.2422,-0.2424,-0.2413,3.12,-2.965,0.8667,-2.146,2.936,-2.734,-1.69,-0.2805,1.056,-1.143,-1.541,-1.0,-1.0,2.566,2.004,-1.334,0.0,-0.1096,3.418,-0.2698,-0.2808,-2.447,-1.003,-0.1324,-2.688,-0.3171,-1.362,3.148,1.844,-2.7,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.6636,0.0,0.0,0.0,0.0,-0.898,-2.0,-1.0,-1.0,3.184,-2.574,-0.5,3.0,-1.0,1.0,0.0,0.0,0.0,-7.355
-0.2422,-0.2424,-0.2413,2.676,-2.723,0.8667,-2.146,2.936,-2.098,-1.51,-0.2847,-0.275,-1.143,-1.541,-1.0,-1.0,2.215,1.694,-1.237,0.0,-0.10693,3.074,-0.2722,-0.278,-2.332,-1.025,-0.2329,2.236,-0.3167,-2.688,-2.17,-1.797,1.586,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.628,0.0,0.0,0.0,0.0,0.5347,-1.0,-1.0,-1.0,3.184,-1.494,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,8.17
-0.2422,-0.2424,-0.2413,1.13,-1.177,1.105,-2.146,2.936,-0.53,-1.249,-0.2893,-0.775,-1.143,-1.541,-1.0,-1.0,1.77,1.28,-1.098,0.0,-0.10425,1.347,-0.2766,-0.2766,-0.7803,-1.053,-0.2324,3.1,-0.3203,2.236,-1.362,3.148,-0.73,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.682,0.0,0.0,0.0,0.0,0.5586,-1.0,-0.5,-1.0,2.188,0.03482,0.5,0.0,-1.0,1.0,0.0,0.0,0.0,8.17
-0.2422,-0.2424,-0.2413,0.3965,-0.4438,1.807,-2.146,2.936,0.3555,-1.109,-0.2925,-2.416,-1.0,-1.541,0.0,-1.0,1.556,1.071,-1.022,0.0,-0.1016,2.992,-0.2837,-0.2761,0.1564,-1.077,-0.1945,1.57,-0.3237,3.1,-2.688,-2.17,-1.263,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.4878,0.0,0.0,0.0,0.0,0.2408,0.0,0.0,-0.5,1.359,0.6177,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,4.004
-0.2422,-0.2424,-0.2413,0.4624,-0.511,1.807,-2.146,2.936,0.3125,-1.132,-0.2937,0.03958,-0.857,-1.541,0.0,-1.0,1.569,1.124,-1.033,0.0,-0.09894,0.9907,-0.2908,-0.277,0.2106,-1.094,-0.0362,-0.2277,-0.329,1.57,2.236,-1.361,-2.7,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.2812,0.0,0.0,0.0,0.0,-0.03815,0.0,0.0,-0.5,1.359,0.4844,-0.5,1.0,-1.0,1.0,0.0,0.0,0.0,-0.494
-0.2422,-0.2424,-0.2413,0.7964,-0.848,1.807,-2.146,2.936,0.0449,-1.213,-0.2961,-0.549,-0.7144,-1.541,0.0,-1.0,1.683,1.258,-1.076,0.0,-0.09625,1.324,-0.2988,-0.2798,-0.0819,-1.106,-0.09766,-0.888,-0.3323,-0.2275,3.1,-2.69,1.844,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.4785,0.0,0.0,0.0,0.0,-0.07544,0.0,-0.5,-1.0,1.702,0.1802,-0.5,2.0,-1.0,1.0,0.0,0.0,0.0,-1.084
-0.2422,-0.2424,-0.2413,1.206,-1.26,1.807,-2.146,2.936,-0.319,-1.314,-0.299,-2.209,-0.7144,-1.541,-1.0,-1.0,1.846,1.413,-1.13,0.0,-0.09357,2.281,-0.3013,-0.2817,-0.3357,-1.135,-0.02533,-1.127,-0.3318,-0.8877,1.57,2.236,-1.796,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.4995,0.0,0.0,0.0,0.0,-0.10376,-1.0,-0.5,-1.0,2.105,-0.2097,-0.5,3.0,-1.0,1.0,0.0,0.0,0.0,-1.557
-0.2422,-0.2424,-0.2413,1.798,-1.8545,1.807,-2.146,2.936,-0.8906,-1.455,-0.3018,3.66,-0.7144,-1.541,-1.0,-1.0,2.078,1.648,-1.205,0.0,-0.0909,0.2303,-0.3044,-0.2844,-0.9507,-1.148,-0.1674,-1.608,-0.3318,-1.127,-0.2275,3.1,3.148,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.513,0.0,0.0,0.0,0.0,-0.09955,-2.0,-1.0,-1.0,2.58,-0.887,-0.5,4.0,-1.0,1.0,0.0,1.0,-5.523,-1.521
-0.2422,-0.2424,-0.2413,2.055,-2.111,1.807,-2.146,2.936,-1.254,-1.535,-0.303,0.69,-0.7144,-1.541,-1.0,-1.0,2.195,1.8125,-1.248,0.0,-0.08826,1.52,-0.308,-0.289,-1.32,-1.154,-0.095,-0.952,-0.3384,-1.608,-0.8877,1.57,-2.168,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.2986,0.0,0.0,0.0,0.0,-0.094,-3.0,-1.0,-1.0,2.799,-1.167,-0.5,5.0,-1.0,1.0,0.0,0.0,0.0,-1.476
-0.2422,-0.2424,-0.2413,1.874,-1.932,1.807,-2.146,2.893,-1.139,-1.535,-0.305,0.02249,-0.7144,-1.541,-1.0,-1.0,2.158,1.85,-1.248,0.0,-0.0856,-0.05618,-0.3118,-0.2954,-1.252,-1.161,-0.05338,-0.00872,-0.3445,-0.9517,-1.127,-0.227,-1.361,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.4692,0.0,0.0,0.0,0.0,-0.007164,-3.0,-1.0,-1.5,2.537,-1.085,-0.5,0.0,-1.0,1.0,0.0,0.0,0.0,-0.007656
-0.2422,-0.2424,-0.2413,1.304,-1.36,1.807,-2.146,2.61,-0.6855,-1.455,-0.3054,-0.3762,-0.7144,-1.541,-1.0,-1.0,2.004,1.729,-1.205,0.0,-0.0829,0.5396,-0.3157,-0.302,-0.8096,-1.163,0.0841,0.952,-0.3457,-0.00872,-1.608,-0.887,-2.7,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.2332,0.0,0.0,0.0,0.0,0.03418,-2.0,-0.5,-1.0,1.844,-0.6836,0.0,0.0,-1.0,1.0,1.0,0.0,3.773,0.704
-0.2422,-0.2424,-0.2413,0.7085,-0.7646,1.807,-2.146,2.195,-0.04153,-1.355,-0.3074,-1.196,-0.5713,-1.541,0.0,-1.0,1.811,1.589,-1.151,0.0,-0.0802,1.104,-0.32,-0.3086,-0.1492,-1.177,0.013565,1.171,-0.3518,0.9517,-0.9517,-1.126,2.236,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.4985,0.0,0.0,0.0,0.0,0.06726,-1.0,-0.5,-1.0,1.207,-0.1732,0.5,0.0,-1.0,1.0,0.0,0.0,0.0,1.25
-0.2422,-0.2424,-0.2413,0.1024,-0.1573,1.807,-2.146,1.762,0.5894,-1.235,-0.3074,8.07,-0.4285,-1.541,0.0,-1.0,1.594,1.427,-1.087,0.0,-0.0775,0.4514,-0.3247,-0.3127,0.624,-1.189,-0.0968,1.375,-0.3574,1.17,-0.00872,-1.607,3.098,-0.2465,-0.2411,0.0,0.0,-0.2413,0.0,-0.181,-0.1261,0.0,0.0,0.0,0.0,0.08307,0.0,-0.5,-0.5,0.6143,0.4055,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.484
