EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.3716,-0.3623,-0.3958,-0.3657,-0.2612,-0.4802,0.639,0.03093,0.1897,0.0693,-0.2147,0.395,-0.2856,-2.91,0.0,0.0,-0.0452,-0.08246,-0.1289,0.0,0.886,1.179,-0.366,-0.3525,0.1277,-0.2462,-0.0718,0.1672,-0.3386,0.414,1.522,0.1523,0.06125,-0.374,-0.3708,0.0,0.0,-0.3696,0.0,-0.3838,0.1101,0.0,0.0,0.0,0.0,0.01735,0.0,1.0,0.6665,-0.10205,0.02899,0.5,0.0,0.3333,0.0,0.0,0.0,0.0,0.2318
-0.3716,-0.3623,-0.3958,-0.4746,-0.1318,-0.691,0.639,0.01435,0.3438,0.1142,-0.2145,0.6016,-0.1428,-2.893,0.0,0.0,-0.08746,-0.1261,-0.06995,0.0,0.8945,-0.1316,-0.366,-0.3542,0.2905,-0.2362,-0.11066,0.3398,-0.3386,0.1669,-0.858,-0.357,0.3542,-0.374,-0.3708,0.0,0.0,-0.3696,0.0,-0.3823,0.0848,0.0,0.0,0.0,0.0,0.014786,1.0,1.0,0.6665,-0.2698,0.1176,1.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.2177
-0.3716,-0.3623,-0.3958,-0.671,0.0936,-0.571,0.639,-0.04773,0.5684,0.199,-0.2109,0.623,0.0,-2.875,0.0,0.0,-0.1676,-0.204,0.03238,0.0,0.903,0.798,-0.366,-0.3584,0.4517,-0.178,-0.1249,0.637,-0.3386,0.3398,0.414,1.528,0.1599,-0.374,-0.3708,0.0,0.0,-0.3696,0.0,-0.38,0.7,1.0,0.0,0.0,0.0,0.1715,1.0,1.0,1.0,-0.4844,0.37,1.5,0.0,0.3333,0.0,0.0,0.0,0.0,0.9688
-0.3716,-0.3623,-0.3958,-0.7104,0.1487,-0.429,0.639,-0.0806,0.6167,0.2307,-0.2076,0.2024,0.1428,-2.857,0.0,0.0,-0.1978,-0.2317,0.07733,0.0,0.911,-0.2957,-0.366,-0.359,0.4917,-0.142,-0.1152,0.2332,-0.3386,0.6377,0.1669,-0.8613,0.02524,-0.374,-0.3708,0.0,0.0,-0.3696,0.0,-0.379,0.6567,1.0,0.0,0.0,0.0,0.01364,2.0,1.0,1.0,-0.5264,0.4333,2.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.2045
-0.3716,-0.3623,-0.3958,-1.173,2.129,2.268,0.639,0.3022,1.783,1.041,-0.1948,3.805,0.2856,-2.84,0.0,0.0,-0.781,-0.9316,0.504,1.0,-0.2815,3.098,-0.288,-0.3289,1.663,-0.2732,0.03534,2.818,-0.2847,0.2329,0.3398,0.4158,-1.027,-0.374,-0.3708,0.0,0.0,-0.3696,0.0,-0.3572,1.238,1.0,0.0,0.0,0.0,5.8,2.0,1.5,1.0,-1.257,1.769,2.5,0.0,0.3333,0.0,1.0,0.0,8.625,7.973
-0.3716,-0.3623,-0.3958,-1.173,1.647,2.268,0.639,0.4846,1.783,0.8984,-0.1843,-0.1288,0.2856,-2.822,0.0,0.0,-0.672,-0.842,0.3767,0.0,-0.2732,0.4216,-0.2292,-0.295,1.522,-0.1648,0.1282,-0.8755,-0.2487,2.822,0.6377,0.1675,0.1522,-0.374,-0.3708,0.0,0.0,-0.3696,0.0,-0.3613,0.9683,1.0,0.0,0.0,0.0,-0.4578,1.0,1.0,0.6665,-1.257,1.769,-0.5,1.0,0.3333,0.0,0.0,0.0,0.0,-1.748
-0.3716,-0.3623,-0.3958,-1.173,1.333,2.268,0.639,0.525,1.783,0.8228,-0.1749,-0.0779,0.2856,-2.803,0.0,0.0,-0.616,-0.787,0.3162,0.0,-0.265,-0.2227,-0.1863,-0.2666,1.203,-0.12384,0.2708,-0.4644,-0.2267,-0.877,0.2329,0.341,-0.3567,-0.3733,-0.3708,0.0,0.0,-0.3696,0.0,-0.363,0.8447,1.0,0.0,0.0,0.0,-0.1155,0.0,1.0,0.3333,-1.257,1.769,-0.5,2.0,0.3333,0.0,0.0,0.0,0.0,-0.3638
-0.3716,-0.3623,-0.3958,-1.002,0.804,2.268,0.1687,0.7466,1.248,0.6465,-0.1677,-0.2732,0.2856,-2.785,0.0,0.0,-0.4722,-0.665,0.1532,0.0,-0.2568,0.826,-0.1515,-0.2411,0.5537,-0.0801,0.1699,-1.135,-0.2161,-0.4653,2.822,0.64,1.527,-0.3716,-0.3708,0.0,0.0,-0.3696,0.0,-0.368,0.5786,0.0,0.0,0.0,0.0,-0.3806,-1.0,0.5,0.0,-0.7173,1.317,-0.5,3.0,0.3333,0.0,0.0,1.0,-4.766,-1.478
-0.3716,-0.3623,-0.3958,-0.167,-0.0944,2.268,-0.8667,1.098,0.1091,0.328,-0.1627,-0.8203,0.4285,-2.768,0.0,0.0,-0.1941,-0.417,-0.1584,0.0,-0.2484,1.545,-0.1254,-0.2196,-0.506,-0.0547,0.3413,-2.158,-0.2194,-1.137,-0.877,0.2338,-0.8613,-0.3708,-0.3708,0.0,0.0,-0.3696,0.0,-0.377,0.3296,0.0,0.0,0.0,0.0,-1.11,-2.0,0.5,0.0,0.3042,0.4373,-0.5,4.0,0.3333,0.0,0.0,0.0,0.0,-4.66
-0.3716,-0.3623,-0.3958,-0.264,0.003172,2.268,-0.8667,1.159,0.1334,0.363,-0.1573,0.2212,0.5713,-2.75,0.0,0.0,-0.219,-0.454,-0.1094,0.0,-0.2401,0.6104,-0.1069,-0.2012,-0.4358,-0.02336,0.3235,0.2725,-0.2213,-2.16,-0.4653,2.832,0.4158,-0.37,-0.3708,0.0,0.0,-0.3696,0.0,-0.3757,0.344,0.0,0.0,0.0,0.0,0.03207,-2.0,0.5,0.0,0.2021,0.551,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.278
-0.3716,-0.3616,-0.3958,-0.8335,0.6235,2.268,-0.8667,1.192,0.759,0.604,-0.1484,2.379,0.7144,-2.732,0.0,0.0,-0.4072,-0.6655,0.1517,0.0,-0.2319,1.642,-0.09595,-0.1864,0.3105,0.003523,0.3362,1.754,-0.2179,0.2722,-1.137,-0.8804,0.1675,-0.369,-0.3708,0.0,0.0,-0.3696,0.0,-0.3687,0.5503,0.0,0.0,0.0,0.0,0.4214,-1.0,0.5,0.3333,-0.4229,1.243,0.5,0.0,0.3333,0.0,0.0,0.0,0.0,2.03
