EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.4805,-0.4822,-0.4775,1.177,-1.262,0.1273,-0.02643,0.5435,-1.097,-0.933,-0.3257,0.967,-0.375,-1.369,-1.0,-1.0,1.063,1.062,-0.4302,0.0,-0.18,0.7876,-0.453,-0.4087,-1.046,-0.2988,-0.297,-1.058,-0.478,0.1769,-1.387,-0.6797,1.02,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3867,-0.5796,0.0,0.0,0.0,0.0,-0.1975,-1.0,-1.0,-1.0,1.187,-1.165,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,-0.848
-0.4805,-0.4822,-0.4775,0.838,-0.924,0.1273,-0.02643,0.4565,-0.8247,-0.866,-0.3264,-0.1646,-0.375,-1.369,-1.0,-1.0,0.974,0.9785,-0.3943,0.0,-0.1772,0.2896,-0.4583,-0.418,-0.784,-0.301,-0.3599,0.54,-0.474,-1.058,0.3564,-0.3445,0.0,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.384,-0.2686,0.0,0.0,0.0,0.0,0.0421,0.0,-0.5,-0.5,0.8857,-0.8096,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.1847
-0.4805,-0.4822,-0.4775,0.2372,-0.3276,0.1273,-0.02643,0.4624,-0.2654,-0.715,-0.3237,-0.712,-0.375,-1.369,-1.0,-1.0,0.794,0.78,-0.3105,0.0,-0.1746,0.4827,-0.4612,-0.4307,-0.225,-0.298,-0.387,1.247,-0.4766,0.54,0.1769,-1.387,-0.1667,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3777,0.04373,0.0,0.0,0.0,0.0,0.1521,1.0,0.0,0.0,0.285,-0.255,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.66
-0.4805,-0.4822,-0.4775,-0.283,0.1862,0.1487,-0.02643,0.2705,0.3167,-0.5645,-0.3232,-3.615,-0.375,-1.369,0.0,-1.0,0.6074,0.61,-0.227,0.0,-0.1718,-0.2412,-0.4646,-0.444,0.3455,-0.2969,-0.256,1.218,-0.4785,1.247,-1.058,0.3562,-1.003,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3713,-0.10394,0.0,0.0,0.0,0.0,0.2427,1.0,0.5,0.0,-0.196,0.2654,3.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.028
-0.4805,-0.4822,-0.4775,-0.5273,0.4272,0.4683,-0.02643,0.2233,0.6616,-0.4783,-0.3237,1.071,-0.375,-1.369,0.0,-1.0,0.5093,0.5103,-0.1792,0.0,-0.169,0.4163,-0.4656,-0.4565,0.7046,-0.301,-0.2808,0.6797,-0.4727,1.218,0.54,0.1769,0.1705,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3677,-0.1863,0.0,0.0,0.0,0.0,0.0537,1.0,0.5,0.0,-0.3933,0.5405,4.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.2224
-0.4805,-0.4822,-0.4775,-0.4695,0.3696,0.4683,-0.02643,0.2817,0.674,-0.4775,-0.3242,0.155,-0.375,-1.369,0.0,-1.0,0.513,0.504,-0.1792,0.0,-0.1663,-0.03192,-0.467,-0.468,0.711,-0.302,-0.1608,0.0,-0.467,0.6797,1.247,-1.058,-0.6797,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3677,-0.1863,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.348,0.4734,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
-0.4805,-0.4822,-0.4775,0.003824,-0.1032,0.4683,-0.02643,0.3047,0.2166,-0.6035,-0.327,-0.5254,-0.375,-1.369,0.0,-1.0,0.654,0.6543,-0.251,0.0,-0.1635,-0.2338,-0.4705,-0.478,0.2522,-0.3074,-0.0845,-1.007,-0.4668,0.0,1.218,0.54,-0.3445,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.373,-0.367,0.0,0.0,0.0,0.0,-0.09625,0.0,0.5,0.0,0.09973,0.0055,0.0,1.0,-0.5,1.0,0.0,0.0,0.0,-0.3933
-0.4805,-0.4822,-0.4775,0.601,-0.6963,0.4683,-0.02643,0.3433,-0.3977,-0.771,-0.33,-2.064,-0.375,-1.369,-1.0,-1.0,0.85,0.8633,-0.3464,0.0,-0.1606,0.7363,-0.4758,-0.4844,-0.3577,-0.3154,0.1444,-1.369,-0.4668,-1.007,0.6797,1.247,-1.388,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3801,-0.4304,0.0,0.0,0.0,0.0,-0.0975,-1.0,0.5,0.0,0.725,-0.5156,0.0,2.0,-0.5,1.0,0.0,0.0,0.0,-0.4062
-0.4805,-0.4822,-0.4775,0.9365,-1.028,0.4683,-0.4268,0.4436,-0.728,-0.876,-0.3362,1.343,-0.5,-1.369,-1.0,-1.0,0.9844,0.9927,-0.4062,0.0,-0.1578,0.534,-0.4792,-0.4856,-0.6885,-0.3281,0.1008,-0.879,-0.462,-1.369,0.0,1.218,0.3564,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.3843,-0.614,0.0,0.0,0.0,0.0,-0.2241,-2.0,0.0,-0.5,1.053,-0.833,0.0,3.0,-0.5,1.0,0.0,0.0,0.0,-0.9595
-0.4805,-0.4822,-0.4775,1.174,-1.259,0.4683,-0.7666,0.5396,-0.977,-0.9595,-0.342,0.5723,-0.5,-1.369,-1.0,-1.0,1.096,1.098,-0.454,0.0,-0.1552,0.8027,-0.4795,-0.484,-0.9316,-0.3418,0.0654,-0.7153,-0.45,-0.879,-1.007,0.6797,0.177,-0.4753,-0.4832,0.0,0.0,-0.4788,0.0,-0.388,-0.614,0.0,0.0,0.0,0.0,-0.1005,-3.0,-0.5,-0.5,1.295,-1.041,0.0,4.0,-0.5,1.0,0.0,0.0,0.0,-0.4377
