EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
-0.502,-0.501,-0.5024,1.317,-1.287,0.839,-0.683,1.94,-1.603,-1.459,-1.092,0.02158,0.125,-0.4941,-1.0,-1.0,2.166,2.004,-0.6826,0.0,-0.98,2.143,0.01599,-0.2339,-1.544,-0.5103,-0.7363,0.274,0.3254,-1.47,-1.617,-0.697,-1.188,-0.603,-0.362,0.0,0.0,-0.4688,0.0,-0.817,-0.549,0.0,0.0,0.0,0.0,0.2267,-1.0,0.0,0.3333,1.423,-1.16,0.0,0.0,-0.3333,0.0,0.0,0.0,0.0,0.3035
-0.507,-0.506,-0.508,0.5815,-0.5386,0.839,-0.683,1.814,-1.009,-1.317,-1.083,-0.3462,0.0,-0.4941,-1.0,-1.0,1.861,1.684,-0.608,0.0,-0.98,1.508,-0.16,-0.2534,-0.864,-0.518,-1.37,1.659,0.3442,0.2766,-1.698,0.0517,0.5786,-0.6255,-0.3696,0.0,0.0,-0.4702,0.0,-0.7305,-0.3645,0.0,0.0,0.0,0.0,1.532,-1.0,0.0,0.3333,0.714,-0.3982,0.5,0.0,-0.3333,0.0,0.0,0.0,0.0,1.915
-0.522,-0.5205,-0.5234,1.508,-1.466,0.839,-0.683,2.21,-1.603,-1.495,-1.101,1.201,-0.125,-0.4941,-1.0,-1.0,2.27,2.072,-0.7188,0.0,-0.98,1.085,-0.3254,-0.2708,-1.544,-0.535,-1.887,-2.514,0.526,1.65,-1.457,-1.583,0.4514,-0.6597,-0.3765,0.0,0.0,-0.4773,0.0,-0.8535,-0.9834,0.0,1.0,0.0,0.0,-2.062,-1.0,-0.5,0.0,1.65,-1.285,-0.5,1.0,-0.3333,0.0,0.0,0.0,0.0,-2.404
-0.537,-0.5356,-0.539,1.499,-1.452,0.839,-0.683,2.283,-1.603,-1.506,-1.126,0.0935,-0.25,-0.4941,-1.0,-1.0,2.299,2.094,-0.7305,0.0,-0.98,1.272,-0.361,-0.2717,-1.544,-0.559,-1.466,-0.3625,0.7056,-2.488,0.2795,-1.663,-1.356,-0.697,-0.383,0.0,0.0,-0.4849,0.0,-0.8647,-1.116,0.0,1.0,0.0,0.0,-0.3298,-1.0,-0.5,-0.3333,1.6,-1.322,-0.5,2.0,-0.3333,0.0,0.0,0.0,0.0,-0.3977
-0.541,-0.5396,-0.5425,0.515,-0.4607,0.839,-0.683,1.943,-0.7305,-1.324,-1.134,-0.542,-0.375,-0.4941,-1.0,-1.0,1.884,1.6875,-0.632,0.0,-0.977,0.977,-0.2825,-0.2554,-0.651,-0.5703,-1.938,2.299,0.7393,-0.3545,1.646,-1.427,0.2302,-0.7075,-0.3823,0.0,0.0,-0.4883,0.0,-0.7515,-0.643,0.0,0.0,0.0,0.0,1.783,0.0,-0.5,0.0,0.7417,-0.203,0.0,0.0,-0.3333,0.0,0.0,0.0,0.0,2.309
-0.539,-0.5376,-0.54,0.04285,0.01294,0.839,-0.683,1.871,-0.0825,-1.215,-1.139,-1.0205,-0.375,-0.4941,0.0,-1.0,1.67,1.461,-0.5747,0.0,-0.971,1.408,-0.1515,-0.2593,-0.04025,-0.5806,-1.768,1.195,0.7046,2.285,-2.47,0.2737,-0.7026,-0.6987,-0.3782,0.0,0.0,-0.485,0.0,-0.6846,-0.5596,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.325,0.3257,0.5,0.0,-0.3333,0.0,0.0,0.0,0.0,3.033
-0.534,-0.5337,-0.535,-0.144,0.1918,0.839,-0.683,1.689,0.284,-1.157,-1.145,8.484,-0.375,-0.4941,0.0,-1.0,1.554,1.362,-0.548,0.0,-0.9653,1.032,0.00856,-0.2622,0.3342,-0.5947,-1.938,0.5024,0.704,1.19,-0.3484,1.611,0.05548,-0.677,-0.3733,0.0,0.0,-0.4846,0.0,-0.653,-0.5596,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.1164,0.4707,1.0,0.0,-0.3333,0.0,0.0,0.0,0.0,0.656
-0.5396,-0.539,-0.54,0.626,-0.592,0.839,-0.683,1.873,-0.5283,-1.316,-1.154,-1.976,-0.5,-0.4941,-1.0,-1.0,1.863,1.676,-0.6436,0.0,-0.96,1.891,0.1587,-0.246,-0.4526,-0.6064,-1.127,-2.102,0.7485,0.503,2.277,-2.418,-1.601,-0.6714,-0.3762,0.0,0.0,-0.4905,0.0,-0.76,-0.6177,0.0,0.0,0.0,0.0,-1.834,0.0,0.0,0.0,0.9165,-0.253,-0.5,1.0,-0.3333,0.0,0.0,0.0,0.0,-2.053
-0.553,-0.553,-0.5537,1.372,-1.35,0.839,-0.683,2.098,-1.228,-1.465,-1.175,2.041,-0.625,-0.4941,-1.0,-1.0,2.191,2.006,-0.7334,0.0,-0.954,1.527,0.3083,-0.1759,-1.151,-0.623,-0.3357,-2.104,0.8223,-2.078,1.188,-0.341,-1.682,-0.6895,-0.3826,0.0,0.0,-0.506,0.0,-0.859,-0.834,0.0,0.0,0.0,0.0,-2.172,0.0,0.0,-0.3333,1.685,-0.9624,-0.5,2.0,-0.3333,0.0,0.0,1.0,-7.79,-2.596
-0.569,-0.569,-0.569,1.545,-1.525,0.4746,-0.7417,2.227,-1.345,-1.508,-1.196,0.261,-0.75,-0.4941,-1.0,-1.0,2.3,2.105,-0.7637,0.0,-0.948,0.624,0.433,-0.06775,-1.32,-0.637,0.2705,-0.799,0.842,-2.08,0.505,2.229,-1.442,-0.6963,-0.3894,0.0,0.0,-0.525,0.0,-0.8906,-0.829,0.0,0.0,0.0,0.0,-0.53,-1.0,0.0,-0.3333,1.701,-1.104,-0.5,3.0,-0.3333,0.0,0.0,0.0,0.0,-0.6587
